SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED27305,27464,27986,55451,1370,1288,2662,3544,3228,6768,1949,1847,3795,2072,1795,3866,3125,3072,6196,3430,3665,7096,3919,4447,8367,4022,4155,8179,2434,2578,5012,1262,1462,2726,335,455,786,26870,27452,54326,594,530,1130,119,141,258,3,3,12,5,6,3,125,149,273,18059,17780,35846,8762,9588,18351,18980,18860,37835,7768,8388,16162,24322,24371,48695,441,440,885,3424,3110,6531,1665,1636,3302,941,912,1855,707,1055,1760,13722,15062,28780,3047,2776,5824,3053,2734,5787,1191,1123,2315,696,876,1574,149,207,364,26639,27249,53886,579,585,1162
SED27406,30401,33504,63903,1482,1458,2935,3853,3917,7764,2028,1958,3984,1652,1559,3209,2961,3300,6262,3796,4298,8091,4771,5273,10046,4080,4488,8565,3188,3727,6919,1898,2296,4195,698,1244,1942,29395,32410,61799,1013,1093,2105,97,95,191,0,0,0,0,5,6,100,103,202,21423,23295,44718,8040,9215,17252,25163,27171,52333,4259,5305,9566,26783,29497,56279,551,536,1085,3675,3750,7420,1813,1793,3608,926,921,1852,789,1337,2128,17917,19949,37862,2514,2812,5329,2214,2435,4642,834,950,1785,577,749,1326,82,100,181,28911,31748,60665,1044,1249,2295
SED27504,36941,37654,74598,2319,2101,4418,5150,4754,9907,2355,2154,4510,2116,2030,4146,4618,4924,9540,4250,4515,8762,4572,4580,9151,4563,4811,9370,3950,4099,8048,2289,2520,4806,751,1173,1928,35483,36319,71796,1456,1338,2798,1302,1388,2695,37,38,69,39,39,82,1378,1466,2845,27872,28613,56486,6089,6205,12289,28016,28793,56810,6071,6132,12200,30900,31763,62660,616,547,1163,4654,4289,8946,1649,1624,3276,454,648,1097,744,1509,2253,10893,13723,24611,4641,4413,9054,5762,5149,10912,2820,2358,5174,2127,1891,4019,488,452,939,33601,34326,67933,3212,3147,6358
SED27608,45016,47440,92460,3152,3012,6156,6427,6015,12442,2731,2761,5494,3264,3194,6456,6514,6621,13138,6333,6884,13213,5359,5746,11110,4378,4986,9370,3919,4406,8322,2173,2525,4700,765,1293,2053,43080,45676,88758,1939,1760,3699,358,396,756,12,6,16,10,11,15,378,412,793,35683,38085,73771,7652,7701,15347,38561,41043,79605,4703,4635,9339,39834,42506,82341,1010,967,1976,6153,5768,11925,2194,2315,4512,1537,1699,3234,1621,2375,3998,21434,24634,46068,4949,4726,9672,4558,4367,8927,1744,1748,3497,962,1067,2030,106,96,206,41672,44014,85686,2442,2842,5284
SED27708,32158,33739,65902,1725,1637,3358,4227,3911,8136,1988,1888,3879,1595,1531,3125,3618,3794,7420,3639,3922,7558,4086,4451,8534,4418,4855,9277,4166,4279,8449,2026,2315,4345,672,1144,1819,30630,32288,62917,1536,1455,2981,720,709,1424,12,12,23,25,6,30,758,716,1476,27158,28631,55789,2838,3054,5899,28852,30380,59237,1285,1393,2674,28801,30464,59264,461,479,938,3889,3629,7517,1375,1429,2802,337,477,813,701,1297,1995,10041,13337,23376,4698,4743,9444,5311,4555,9865,2513,2015,4524,1572,1420,2988,114,81,200,29402,30981,60382,2504,2505,5004
SED27807,37942,37447,75388,2188,2059,4247,4134,3826,7960,1975,1891,3870,2857,2564,5419,6881,6274,13150,5113,4957,10067,4305,4467,8773,4279,4332,8610,3569,3786,7350,1971,2175,4148,668,1127,1791,37179,36700,73873,763,746,1514,158,164,326,4,4,11,9,5,13,173,171,348,15282,14401,29682,19613,20348,39958,11609,10643,22249,23140,23949,47087,27163,27563,54722,512,498,1004,3683,3415,7098,1566,1567,3130,1305,1274,2580,1694,2033,3727,17189,16766,33956,2634,2279,4917,3467,2974,6441,1658,1698,3361,2422,3479,5901,1211,1618,2830,35013,34627,69644,2956,2750,5701
SED27907,32626,33699,66327,2089,2006,4090,4119,3940,8059,1969,1771,3741,2022,1805,3823,4952,4951,9905,4478,4651,9129,4132,4462,8596,3812,4193,8004,3017,3470,6482,1573,1800,3374,460,659,1114,31789,32933,64722,834,768,1601,347,303,650,17,17,34,13,11,23,372,338,707,24208,24753,48954,6968,7554,14523,25565,26085,51661,5622,6211,11834,28962,29900,58859,588,616,1200,3906,3698,7606,1493,1471,2968,709,699,1411,819,1429,2246,13402,15653,29059,3910,3692,7603,4601,3904,8504,1778,1557,3326,1134,1360,2491,216,257,475,31018,32178,63199,1559,1441,3002
SED28007,39675,40433,80110,2411,2286,4700,5804,5547,11348,3032,2912,5943,2945,2630,5577,5327,5310,10639,5603,6084,11686,5747,6198,11947,4557,4832,9396,2786,2837,5625,1185,1267,2451,285,527,806,39087,39860,78950,595,568,1165,152,176,324,7,3,11,5,0,5,164,182,342,24020,23872,47894,14284,15241,29526,21100,20630,41731,17032,18210,35236,34628,35178,69810,689,698,1392,5489,5256,10752,2516,2514,5027,1312,1308,2613,1022,1591,2613,18822,20831,39657,3636,3156,6786,4057,3295,7351,1685,1410,3093,1505,1991,3498,440,615,1052,38267,38942,77213,1291,1379,2672
SED28107,68954,65349,134306,6729,6274,13009,11402,10882,22290,3646,3376,7021,5052,3804,8853,12711,12970,25679,14286,12717,27005,6692,6082,12774,4427,4845,9270,2729,2978,5707,1075,1106,2185,209,318,521,67984,64490,132474,975,861,1838,405,322,729,8,8,21,10,9,17,423,336,764,28730,27673,56404,36455,34275,70728,23846,23001,46845,39883,38308,78188,46735,45153,91884,1718,1569,3284,10400,9963,20360,2889,2839,5733,2434,1928,4362,3185,4242,7424,34276,33013,67291,3662,3455,7113,5626,4365,9987,1892,1817,3707,1344,1704,3050,530,767,1293,64550,62265,126812,4252,2956,7205
SED28203,41379,41131,82511,3255,2966,6224,5691,5278,10970,2118,1998,4112,2762,2423,5187,6819,6957,13777,6959,6622,13582,4572,4308,8881,3533,3809,7338,3002,3605,6607,1984,2283,4260,687,886,1573,40692,40477,81162,690,656,1347,262,284,552,14,7,20,11,12,26,288,309,597,19681,18960,38638,19630,20236,39864,13579,12961,26540,25587,26047,51636,32301,32415,64720,840,803,1640,5261,4880,10142,1703,1696,3398,1204,1160,2356,1604,2182,3778,18785,19022,37805,2648,2334,4983,3578,3068,6649,1697,1651,3350,2768,3607,6373,942,1364,2305,39561,39426,78994,1989,1842,3834
SED28301,30841,32445,63284,1391,1379,2767,4399,4027,8429,2233,2013,4240,2040,1812,3851,2837,2883,5722,3718,4303,8024,4405,4767,9172,4025,4453,8477,3064,3438,6501,1983,2353,4335,744,1025,1769,30058,31629,61681,778,819,1598,92,75,168,6,6,10,3,0,3,102,83,182,18633,18943,37582,11352,12590,23951,18675,18941,37615,11272,12572,23843,25969,27037,53015,480,496,979,4249,3900,8154,2009,1826,3840,1122,1061,2186,878,1306,2182,17115,18576,35694,2564,2526,5093,2357,2366,4723,1039,1102,2138,870,1194,2066,206,313,516,29593,30960,60553,918,1189,2102
SED28408,30052,32813,62869,1749,1755,3502,4055,3740,7796,1980,1920,3902,1866,2021,3892,4187,4185,8380,3492,4039,7534,3670,4034,7706,3532,4053,7580,3123,3647,6765,1772,2222,3994,621,1195,1815,28862,31628,60489,1191,1187,2374,521,520,1046,24,9,32,10,13,20,556,543,1096,25123,27427,52543,3385,3782,7164,26336,28902,55244,2202,2334,4536,27153,29731,56883,534,520,1053,3763,3544,7304,1508,1515,3022,571,835,1404,875,1537,2409,11840,14438,26281,3541,3879,7421,4180,4044,8224,1897,1850,3747,1188,1349,2535,99,99,191,27824,30352,58173,2186,2368,4556
SED28507,45000,45900,90901,3840,3567,7408,6709,6413,13125,2627,2452,5078,2956,2793,5754,7478,8466,15945,7801,7338,15139,4922,5145,10066,4066,4355,8420,2904,3056,5962,1322,1568,2891,373,744,1111,44063,45063,89124,940,838,1777,625,701,1320,6,7,14,16,14,29,643,717,1364,25413,25692,51102,16961,17633,34591,25837,26301,52139,16233,16767,32996,34437,34807,69247,1001,885,1885,6113,5890,12002,2000,1932,3937,1010,1097,2106,1508,2608,4113,18476,20571,39048,4017,3819,7836,5272,4652,9922,2214,2033,4249,1482,1751,3233,634,754,1384,42202,43138,85335,2723,2731,5455
SED28607,36433,37868,74303,2601,2347,4949,4820,4686,9502,1823,1683,3508,1832,1678,3506,5187,5516,10708,6089,6441,12528,5329,5682,11011,4107,4189,8301,2587,2790,5380,1403,1847,3247,646,1015,1663,35350,36746,72102,1083,1122,2204,273,206,477,8,16,25,11,7,18,294,225,517,25669,26241,51914,9346,10226,19573,26984,27252,54236,7924,9166,17091,31738,33163,64900,816,780,1595,4605,4482,9080,1556,1465,3023,880,861,1746,1325,1971,3295,19369,21588,40959,2708,2249,4960,2775,2211,4984,1173,1066,2234,1238,1678,2919,354,575,930,34417,35790,70205,1591,1608,3201
SED28704,50577,51825,102403,4316,3947,8260,8388,8026,16419,3340,3192,6536,3047,2757,5804,6993,7752,14745,8280,8619,16900,6468,6791,13257,4689,5094,9787,3243,3630,6868,1496,1498,2994,321,519,834,49327,50670,99993,1249,1158,2409,652,662,1314,15,18,39,15,16,27,684,697,1380,37552,38637,76187,11261,11421,22681,37973,38914,76889,10688,10975,21665,44610,45487,90096,1417,1217,2629,7983,7626,15611,2658,2645,5296,1097,1151,2242,1335,2447,3788,20820,24701,45519,5367,4906,10270,6178,5017,11198,2500,2075,4577,1218,1350,2569,188,231,418,48441,49639,98081,1598,1737,3326
SED28803,65825,65635,131466,6111,5632,11746,10935,10269,21209,4226,4049,8275,4605,4396,8998,11041,11970,23009,11239,11017,22253,7227,7499,14727,5778,5797,11578,3209,3307,6514,1204,1282,2486,261,419,674,64914,64741,129660,918,888,1805,387,370,753,9,15,27,9,5,13,409,389,796,33310,33485,66794,29692,29457,59147,24973,24740,49711,37282,37225,74503,50966,50882,101842,1538,1446,2989,10152,9507,19658,3306,3442,6754,1891,2089,3985,2424,3920,6347,28891,31036,59926,4550,4270,8818,6037,4858,10890,2824,2451,5272,2708,2930,5637,1184,1682,2869,63117,63032,126146,2584,2489,5071
SED29494,5170,3915,9089,222,189,414,370,361,730,234,229,459,345,321,671,939,878,1819,1008,730,1736,912,479,1393,644,429,1074,392,224,613,90,58,152,15,19,29,0,0,0,5170,3915,9089,241,206,448,4,3,9,0,0,4,246,214,462,2348,1934,4283,743,649,1390,2445,2041,4485,490,492,977,2541,2153,4693,39,23,63,201,203,407,57,85,140,55,75,133,95,175,267,1215,1231,2452,366,285,652,529,389,919,235,157,395,152,91,240,37,18,51,0,0,0,0,0,0
SED29797,36,6,38,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,16,0,16,3,0,3,10,6,14,4,0,4,0,0,0,0,0,0,35,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,3,9,0,13,5,0,5,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,72,565
