SED_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
SED25302,0,0,0,3,9,6,10,0,0,25,0,12,31,29,35,18,10,4,0,146,0,0,0,0,8,19,8,10,8,53,0,0,0,6,3,7,13,6,7,41,3,129,188,319,517,540,536,516,238,2992,0,0,0,6,4,7,0,0,4,28,0,0,0,12,7,3,10,8,0,42,0,0,8,33,29,29,54,37,22,204,0,0,0,7,4,10,18,30,11,78,0,5,0,5,12,3,5,0,0,41,0,5,7,38,12,21,8,12,4,110,0,0,3,6,10,3,5,4,0,35,0,0,0,4,0,3,3,0,0,20,0,0,0,0,0,0,0,0,0,4,0,15,18,53,30,35,38,24,11,212,0,0,5,16,9,23,59,35,18,153,0,4,0,10,9,4,3,0,0,38,0,0,4,6,6,0,4,0,0,18,0,0,3,0,0,7,0,0,0,8,0,0,0,6,19,20,18,9,6,78
SED25402,0,0,0,6,3,4,5,0,0,13,0,6,8,54,26,20,3,3,0,115,0,0,0,5,6,5,6,5,7,38,0,0,0,3,0,0,0,0,0,5,0,20,8,58,74,196,263,213,95,923,0,0,0,12,0,3,0,0,0,20,0,0,0,0,5,5,3,3,0,21,0,0,0,5,18,19,85,47,23,197,0,0,0,0,0,0,10,13,5,33,0,9,0,9,6,4,0,0,0,19,3,9,61,148,15,14,8,6,5,259,0,0,0,20,0,0,9,3,0,35,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,6,8,4,10,12,10,8,52,0,0,0,4,7,41,70,77,58,255,3,0,0,8,3,0,0,0,0,20,0,0,0,9,3,0,0,0,0,12,0,0,0,0,7,0,0,0,0,10,0,15,14,18,7,13,4,0,0,73
SED25501,0,0,0,5,7,7,3,0,0,20,23,358,540,2335,1076,744,464,184,61,5789,0,0,0,4,4,8,3,18,7,50,0,15,0,23,9,15,17,21,12,98,6,32,54,70,71,85,93,120,59,588,0,0,0,22,14,10,9,5,0,56,0,0,0,5,4,4,0,3,3,25,0,6,8,12,8,4,21,31,15,103,0,3,6,3,13,46,99,164,58,396,4,52,58,176,91,154,132,31,6,709,19,243,193,1148,334,188,112,50,22,2304,3,5,27,140,66,17,50,5,3,323,0,9,21,70,33,14,6,0,0,155,0,0,0,21,0,0,0,0,0,23,0,0,8,8,8,13,4,9,11,50,0,3,4,14,10,18,46,61,38,204,0,8,16,56,52,13,9,5,0,166,0,27,65,145,96,48,12,15,0,401,0,0,0,0,7,7,3,0,0,21,0,42,141,439,240,289,227,95,26,1494
SED25605,0,0,0,8,13,12,29,21,9,88,9,93,148,960,436,358,220,74,47,2352,0,0,0,10,8,30,61,41,19,173,0,8,3,17,13,29,51,31,14,160,0,20,19,48,41,82,85,104,54,457,0,0,3,14,24,13,8,3,0,72,0,0,0,8,8,4,7,5,0,23,0,0,4,10,5,12,30,54,31,144,0,3,11,33,40,95,246,226,56,719,0,8,13,102,38,49,45,3,0,268,15,72,194,971,226,141,119,71,25,1834,5,12,24,113,39,25,24,3,0,245,0,9,16,57,15,13,7,6,0,125,0,0,4,11,7,7,9,7,0,39,0,4,0,8,0,5,5,12,3,32,0,0,0,7,9,55,190,179,119,570,0,13,8,32,22,8,6,0,0,79,0,13,14,104,42,16,7,8,0,207,0,4,5,15,21,19,29,10,4,108,3,38,85,367,117,144,160,61,16,1000
SED25704,0,0,0,0,0,0,0,0,0,5,0,0,3,45,11,9,7,0,0,89,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,7,0,3,14,34,46,116,122,112,35,493,0,0,3,3,4,3,4,0,0,18,0,0,0,12,0,4,3,3,0,16,0,4,4,14,3,3,16,10,12,59,0,0,0,0,0,3,4,8,0,19,0,0,0,6,0,0,0,0,0,10,0,20,13,134,9,8,8,0,4,197,0,4,0,13,10,0,0,0,0,31,0,0,0,6,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,5,0,15,0,5,3,5,0,31,0,0,0,3,6,13,39,53,21,142,0,0,0,4,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,8,24,117,24,13,3,0,0,190
SED25802,0,0,0,4,5,5,0,0,0,12,0,6,4,50,22,18,5,3,0,117,0,0,0,0,4,3,13,11,4,39,0,0,4,0,0,0,4,0,0,14,0,17,39,128,176,336,361,261,83,1393,0,0,0,6,5,5,3,0,0,26,0,0,0,7,3,5,4,0,0,15,0,4,3,29,19,17,64,40,15,193,0,0,0,0,0,0,8,6,6,24,0,0,4,6,0,8,0,0,0,14,0,11,13,107,20,12,9,5,0,174,0,0,0,15,7,3,4,0,0,36,0,0,0,0,3,0,0,0,0,8,0,5,0,4,0,0,0,0,0,6,0,0,3,11,4,3,17,7,3,48,0,0,0,7,0,16,25,34,28,111,0,0,3,10,10,4,0,0,0,24,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,4,0,0,5,0,0,0,9,10,12,9,0,0,44
SED25905,0,0,0,25,27,34,41,17,10,151,5,27,32,404,145,197,89,42,9,943,0,0,0,41,26,71,55,50,21,268,0,9,16,46,25,39,31,32,12,199,5,12,31,62,101,204,160,131,68,759,0,3,17,76,66,62,18,16,4,262,0,0,5,9,4,6,4,0,4,33,0,0,7,16,13,13,22,20,17,110,0,4,6,22,17,30,44,42,14,167,0,4,7,26,11,30,10,0,0,86,6,50,113,630,242,191,112,46,24,1413,0,7,7,61,31,19,18,5,0,157,0,22,48,112,22,24,4,4,0,246,0,6,3,39,28,24,7,0,0,115,0,0,3,7,0,10,12,8,3,43,0,4,0,9,12,45,80,68,50,263,0,0,4,9,8,0,0,0,0,28,0,7,9,44,16,12,0,0,0,80,0,0,6,27,41,40,15,3,0,143,3,5,30,82,36,45,60,10,3,277
SED26005,0,0,0,31,50,47,25,10,4,169,6,32,57,487,172,149,80,23,4,1011,0,0,0,18,26,31,29,13,0,111,0,11,16,50,38,23,25,5,0,171,3,27,54,99,189,201,157,74,29,846,0,8,21,109,76,56,27,15,3,317,0,0,0,0,0,5,0,0,0,13,0,0,5,17,11,8,22,21,6,91,0,0,5,7,9,10,26,15,0,77,0,6,0,34,14,12,3,0,0,72,14,184,271,1571,447,290,168,77,24,3051,0,11,16,73,38,18,12,3,0,163,0,46,73,125,21,6,3,0,0,282,0,16,24,61,18,13,4,9,0,147,0,7,0,13,17,10,10,10,0,62,0,0,0,6,3,34,51,31,14,139,0,0,0,21,3,0,0,0,0,35,0,11,15,76,30,4,8,0,0,145,0,5,9,16,20,28,7,0,3,82,4,17,30,84,44,47,29,3,4,275
SED26102,0,0,0,6,7,7,3,0,0,28,0,5,3,17,16,10,9,4,3,72,0,0,0,7,0,13,28,22,5,79,0,0,0,0,0,0,30,12,4,48,7,27,54,151,220,390,428,353,142,1780,0,0,0,3,0,0,6,0,0,12,0,3,4,13,3,8,3,8,0,36,0,0,5,11,16,26,48,50,18,177,0,0,3,6,12,30,73,101,22,236,0,0,0,5,0,4,0,0,0,14,0,0,12,32,4,12,13,11,4,89,0,4,0,24,4,0,3,0,0,34,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,20,16,23,21,7,3,96,0,0,9,14,13,42,148,93,39,353,0,0,0,13,11,4,0,0,0,36,0,0,0,9,3,6,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,7,9,9,16,3,0,54
SED26207,0,0,0,10,23,15,24,17,0,92,0,9,18,158,86,73,45,17,15,426,0,0,0,15,10,55,92,96,27,293,0,0,0,30,14,26,36,34,19,169,0,11,25,67,68,95,87,80,31,459,0,0,0,16,5,7,8,3,0,40,0,0,0,9,5,3,6,3,0,26,0,0,0,14,4,7,53,45,16,135,0,3,5,17,20,51,135,196,52,482,0,5,4,38,22,17,16,0,0,98,9,41,30,243,69,67,52,29,15,541,0,0,0,29,9,3,7,0,0,60,0,10,6,59,10,6,6,4,3,112,0,0,4,23,9,0,6,0,0,45,0,6,11,27,12,10,15,13,0,91,0,9,11,27,37,197,605,587,318,1792,0,5,0,19,18,9,0,0,0,57,0,5,3,18,11,3,4,4,0,35,0,0,3,17,26,35,34,13,5,129,0,5,12,71,19,14,25,11,3,165
SED26303,0,0,0,30,13,7,0,4,0,53,0,15,23,158,55,76,46,19,16,402,0,0,0,7,4,9,15,14,8,61,0,0,0,9,3,6,15,9,6,39,12,69,42,422,170,124,78,47,22,984,0,0,0,12,4,8,6,0,0,25,0,4,3,53,13,4,4,3,0,84,0,0,10,63,27,18,31,16,0,169,0,0,10,29,45,129,321,494,245,1274,0,6,3,48,5,3,7,0,0,75,4,13,15,180,29,25,11,9,6,288,0,0,3,35,16,3,3,0,0,60,0,0,3,35,0,3,3,0,0,42,0,0,0,7,3,3,4,0,0,20,0,5,0,89,14,16,3,4,0,132,3,0,3,46,18,71,153,306,228,831,0,0,4,81,41,7,0,0,0,130,0,0,3,40,6,5,0,0,0,57,0,0,0,24,21,34,60,31,13,179,0,5,9,118,28,27,28,4,0,224
SED26406,0,0,0,20,17,12,12,7,0,63,5,47,534,1478,257,295,157,39,18,2827,0,0,0,7,3,0,8,16,6,46,0,0,11,16,7,13,16,30,10,114,3,21,44,136,95,85,83,59,36,564,0,0,5,21,10,7,7,4,3,49,0,3,17,24,17,3,10,0,3,81,0,0,6,35,18,9,6,10,12,104,0,20,25,56,58,148,306,496,219,1325,0,16,63,140,21,30,26,5,0,295,34,150,300,1467,135,108,63,31,25,2316,0,10,72,190,45,22,22,11,0,370,0,5,6,85,12,16,9,0,0,125,0,0,0,9,6,0,0,0,0,19,0,3,0,53,8,15,9,9,6,114,0,5,3,36,18,41,116,189,107,507,5,10,17,103,56,18,18,4,0,228,0,4,27,200,46,26,6,3,0,319,0,0,0,11,8,9,6,5,0,44,0,13,123,341,72,72,51,20,4,694
SED26504,0,0,0,4,0,0,0,6,0,6,0,0,4,29,14,7,5,0,0,50,0,0,0,0,0,0,7,13,0,25,0,0,0,0,0,0,0,0,0,0,0,7,13,71,86,164,194,132,58,718,0,0,0,0,0,5,0,0,0,15,0,0,0,7,0,5,4,3,0,18,0,0,0,14,6,12,54,37,13,126,0,0,0,0,0,0,9,3,6,13,0,0,0,12,0,0,3,0,0,13,9,12,13,99,6,9,9,3,0,161,0,0,0,17,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,4,4,7,5,0,0,0,0,16,0,0,0,3,3,5,4,3,0,34,0,0,0,3,8,35,102,117,64,333,0,0,0,15,3,0,0,0,0,18,0,0,0,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,21,79,16,14,0,0,0,146
SED26603,0,0,0,31,10,9,0,4,0,51,0,15,40,312,95,116,71,22,13,685,0,0,0,0,8,12,17,34,14,88,0,16,10,42,16,21,27,29,28,189,3,29,26,260,99,80,53,39,37,624,0,4,0,31,15,14,3,4,0,71,0,0,4,26,5,4,3,0,0,39,0,5,0,35,12,10,30,25,26,141,0,10,6,37,26,87,168,255,101,689,0,0,7,62,8,7,4,3,0,88,13,81,64,689,68,37,35,14,9,1025,0,4,8,77,13,4,3,8,0,117,0,15,14,96,17,7,3,4,0,158,0,5,11,56,32,23,7,7,0,149,0,0,0,52,12,7,7,4,7,97,0,0,5,86,40,169,366,560,413,1640,0,0,3,64,30,3,3,6,0,105,0,3,6,63,16,3,0,0,0,86,0,8,17,126,162,162,121,45,8,650,4,8,16,168,32,25,14,4,0,275
SED26708,0,0,0,6,3,0,0,0,0,8,0,16,10,61,18,12,6,0,0,117,0,0,0,0,3,0,9,8,0,22,0,0,0,7,0,0,6,0,0,9,0,10,24,110,100,200,198,124,53,818,0,0,0,4,4,0,0,0,0,8,0,0,0,12,10,6,0,0,0,21,0,0,0,35,13,17,35,16,6,124,0,0,0,0,0,5,7,0,3,16,0,0,0,7,5,4,0,0,0,16,0,5,4,46,4,10,11,0,0,78,0,0,0,19,5,4,0,0,0,35,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,25,3,10,3,10,0,57,0,0,0,0,5,3,16,8,4,45,0,6,0,10,10,0,4,0,0,32,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,10,7,6,3,0,0,30
SED26806,0,3,6,77,13,7,6,9,0,114,0,50,238,781,174,126,58,37,14,1494,0,0,0,21,3,8,7,4,0,45,0,0,4,19,0,12,13,9,9,65,5,34,104,747,137,166,126,70,31,1421,0,0,5,30,6,4,4,0,0,46,4,10,13,144,14,8,13,0,7,215,0,0,14,101,13,10,38,24,13,210,0,0,3,27,18,47,83,211,100,485,0,5,36,102,20,20,20,6,0,214,8,26,67,513,32,38,31,14,7,740,0,0,51,130,37,13,15,3,0,239,0,5,9,125,19,9,10,3,0,173,0,0,0,10,3,0,0,0,0,14,0,0,15,441,10,4,8,7,4,499,0,3,7,98,6,25,22,22,10,201,4,6,9,130,34,23,12,4,4,226,0,0,9,120,12,8,3,0,0,157,0,0,0,6,6,4,5,0,0,18,0,8,55,306,62,44,55,13,4,543
SED26903,0,0,0,20,9,9,4,4,3,54,5,12,80,503,194,220,137,38,24,1219,0,0,0,10,6,14,23,27,10,87,0,3,0,20,10,10,19,18,9,90,0,12,23,204,80,67,53,29,14,485,0,0,0,23,10,12,12,0,0,58,0,0,3,25,12,6,0,0,0,42,0,0,0,43,14,9,13,8,7,87,0,6,15,42,56,119,246,332,116,937,0,5,3,44,10,8,10,0,0,78,27,66,95,675,41,32,29,9,7,989,0,0,12,69,14,13,4,0,3,112,0,5,5,69,10,7,5,0,0,102,0,3,4,36,5,9,3,0,0,76,0,0,0,27,8,6,4,3,4,61,0,3,0,74,31,136,336,574,346,1508,0,3,4,71,26,9,4,0,0,117,0,0,0,52,3,0,3,0,0,56,0,5,3,49,71,84,70,29,10,324,0,7,12,152,27,27,21,3,0,250
SED27003,0,0,0,28,3,5,0,4,0,42,0,11,41,256,82,89,84,81,63,705,0,0,0,11,8,8,6,15,3,53,0,4,0,7,0,8,10,9,8,42,9,29,95,782,136,146,121,68,18,1403,0,0,0,4,5,4,5,0,0,21,3,8,8,117,15,5,5,0,0,163,0,4,6,96,21,11,20,6,9,175,0,0,0,22,10,46,103,214,107,511,0,9,13,86,18,13,7,4,0,153,0,13,36,173,19,12,6,5,0,268,0,0,25,75,8,6,8,3,0,126,0,0,0,40,7,0,3,4,0,57,0,0,0,0,0,0,0,0,0,0,0,5,5,185,12,10,12,0,0,231,0,3,7,59,15,28,36,47,49,244,0,7,5,100,27,11,6,3,0,152,0,3,8,84,12,6,0,0,0,114,0,0,0,8,0,5,3,4,4,21,3,9,36,207,48,44,40,17,7,397
SED27101,0,0,3,11,4,6,0,3,0,25,11,78,146,1352,346,340,231,77,20,2598,0,0,0,10,0,13,7,6,7,50,0,8,3,15,6,4,8,11,0,51,4,24,38,123,117,150,170,143,77,841,0,0,0,17,7,8,5,0,0,43,0,0,0,5,0,4,0,3,0,16,0,0,9,18,13,21,38,28,19,141,0,0,4,3,4,8,33,37,13,104,3,9,25,185,52,63,33,10,4,380,9,84,78,600,75,52,43,28,8,978,0,5,5,103,30,14,9,0,3,168,0,23,21,195,41,26,19,4,0,333,0,0,0,8,0,0,0,3,5,18,0,3,6,12,7,5,12,11,7,66,0,4,4,13,10,17,63,63,37,197,0,3,3,41,25,10,6,3,0,94,0,9,18,114,46,14,4,0,0,214,0,0,0,5,0,0,4,0,0,13,16,75,58,303,98,67,79,19,8,722
SED27208,0,0,0,0,0,0,0,0,0,7,0,6,5,50,8,12,0,0,0,78,0,0,0,0,0,6,5,3,0,16,0,0,0,4,0,0,0,0,0,7,0,13,12,62,87,214,296,182,52,931,0,0,0,9,8,5,5,4,0,25,0,0,0,3,0,7,0,0,0,15,0,0,4,11,8,23,25,20,14,108,0,0,0,0,5,0,6,7,0,20,0,0,0,7,0,0,0,0,0,9,0,17,22,143,13,7,10,0,0,222,0,5,0,16,6,0,0,0,0,30,0,0,0,3,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,4,10,4,0,32,0,0,0,3,0,9,18,0,3,42,0,0,0,9,3,0,0,0,0,18,0,0,0,7,0,4,0,0,0,11,0,0,0,0,0,4,0,0,0,7,0,0,0,12,13,7,0,0,0,30
SED27305,0,0,0,0,11,14,8,4,0,42,4,45,60,666,224,216,104,32,10,1356,0,0,0,6,12,11,19,16,0,61,0,4,10,29,32,46,39,22,4,184,0,15,42,63,115,201,162,142,35,779,0,0,0,15,21,19,18,4,0,82,0,0,0,3,3,6,0,0,0,14,0,0,0,18,14,22,19,30,17,124,0,0,0,0,11,27,41,21,10,112,0,12,14,73,28,61,27,0,0,219,3,38,59,334,191,100,60,42,6,842,0,7,6,46,30,15,17,4,0,118,0,10,19,94,21,19,6,4,0,172,0,0,5,14,4,13,4,4,0,39,0,0,0,10,4,13,19,7,3,63,0,0,0,10,15,59,85,59,20,250,0,4,5,15,9,4,0,0,0,27,0,7,16,51,30,14,9,0,0,120,0,0,0,6,17,24,7,3,0,59,0,30,52,194,120,169,92,35,7,700
SED27406,0,0,0,13,12,5,7,0,0,45,0,49,38,299,126,89,48,28,14,687,0,0,0,6,5,18,21,15,7,70,0,0,0,4,4,10,25,13,5,59,10,167,174,353,409,322,250,201,85,1963,0,0,0,7,15,5,9,0,0,38,0,9,4,23,24,11,6,0,3,84,0,9,17,53,55,27,37,46,17,260,0,0,3,16,20,44,63,85,38,271,0,5,14,22,11,7,9,4,0,75,4,20,20,175,47,38,38,20,13,371,0,3,4,31,10,5,6,3,3,67,0,4,3,35,15,5,5,0,0,66,0,0,0,6,7,7,0,0,0,18,0,0,8,90,30,37,12,10,3,192,0,0,0,22,7,28,54,53,50,215,0,5,3,42,30,16,9,0,4,96,0,3,0,18,10,0,0,0,0,39,0,0,0,0,8,8,5,0,4,30,0,3,12,66,18,20,16,10,0,149
SED27504,0,0,0,5,0,0,0,0,0,7,0,4,8,106,22,16,10,3,0,167,0,0,0,3,4,3,9,8,0,23,0,6,5,10,0,0,0,0,0,21,0,11,13,52,59,120,129,87,31,498,3,0,4,29,14,0,6,0,0,50,0,0,0,3,0,5,0,0,0,9,0,0,3,14,6,5,31,10,3,70,0,0,5,7,5,4,16,24,19,76,4,0,3,19,0,0,0,0,0,25,5,52,53,611,80,66,36,8,0,914,0,0,6,19,16,6,0,0,0,53,0,21,18,14,0,0,0,0,0,52,0,17,21,129,44,19,8,4,0,242,0,7,0,8,0,0,7,9,0,30,0,4,0,9,6,48,119,121,63,367,0,0,0,5,5,0,0,0,0,14,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,22,29,211,41,24,4,4,0,338
SED27608,0,0,0,11,10,0,4,0,0,18,0,19,28,192,60,50,26,9,0,381,0,0,0,5,9,15,13,9,5,56,0,0,0,11,0,0,3,0,0,24,5,75,101,298,214,286,267,209,87,1548,0,0,0,15,6,3,0,0,0,28,0,5,5,24,5,0,4,0,0,49,0,3,8,57,25,18,63,42,20,224,0,0,0,0,0,0,17,5,8,32,0,9,7,19,12,12,6,0,0,69,7,30,112,561,47,26,22,13,3,816,0,4,0,31,14,0,10,3,0,58,0,3,13,56,15,12,0,3,0,105,0,0,4,13,9,7,0,0,0,38,0,11,3,47,16,20,15,8,4,122,0,0,5,11,10,20,54,21,24,147,0,12,4,24,14,5,0,0,0,58,0,3,3,33,5,4,0,0,0,52,0,0,0,4,5,3,0,5,0,19,0,16,18,58,28,29,14,5,0,158
SED27708,0,0,0,0,0,0,0,0,0,6,0,7,16,74,19,13,9,0,0,131,0,0,0,0,0,0,0,0,0,3,0,5,3,4,0,0,3,0,0,17,0,25,16,64,62,154,183,116,46,667,0,0,0,7,4,0,5,0,0,18,0,0,0,4,4,3,0,0,0,17,0,0,5,13,4,9,22,12,7,78,0,0,0,0,0,7,4,3,0,5,0,0,0,6,0,0,0,0,0,12,4,9,8,64,7,7,0,4,0,106,0,0,4,22,4,0,0,0,0,38,0,0,0,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,21,4,7,4,4,0,58,0,0,0,3,0,0,3,0,4,18,0,4,0,13,10,5,0,0,0,24,0,0,0,19,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,5,13,10,10,0,0,0,34
SED27807,0,0,0,17,22,30,29,20,3,122,0,12,31,183,80,96,48,22,9,487,0,0,0,17,25,79,149,166,59,494,0,3,9,12,10,25,37,24,14,146,0,6,11,34,29,61,34,38,10,227,0,6,8,29,22,16,13,3,0,91,0,0,3,5,0,0,4,3,0,21,0,0,6,19,5,9,79,59,28,203,0,3,12,10,11,55,114,178,88,462,0,4,0,66,5,14,10,3,0,96,21,57,226,832,73,64,51,31,5,1362,0,4,8,50,15,7,11,0,0,85,0,5,5,36,9,4,0,0,0,61,0,86,38,120,25,19,18,3,0,311,0,0,0,14,3,3,3,4,3,28,0,0,0,9,13,71,112,126,89,431,0,5,9,21,14,0,5,0,0,49,6,0,0,27,8,3,0,0,0,40,4,3,6,32,37,39,24,11,6,160,5,44,14,96,25,22,9,3,0,215
SED27907,0,0,0,5,7,0,3,0,0,20,0,0,9,63,39,31,16,8,5,173,0,0,0,15,3,31,37,23,9,123,0,0,0,10,8,20,37,33,10,126,0,19,36,123,111,193,216,144,60,903,0,0,10,24,30,30,19,5,4,115,0,0,0,0,5,3,0,5,0,18,0,0,0,17,17,13,58,32,15,160,0,0,3,10,9,13,54,61,12,171,0,4,0,21,0,10,6,0,0,41,9,40,42,399,86,80,61,43,22,777,3,0,3,32,11,0,0,5,0,60,0,0,0,20,6,10,4,13,0,58,0,4,8,39,15,22,8,3,4,105,0,4,0,28,8,25,16,12,7,101,0,3,4,19,17,83,169,95,41,433,0,6,5,13,7,4,0,0,0,29,0,0,0,11,7,0,0,0,0,28,0,6,8,35,41,56,33,11,3,203,0,3,7,37,19,22,19,0,3,111
SED28007,0,0,0,29,44,41,31,9,0,162,0,7,11,149,56,67,33,10,4,344,0,0,0,32,64,133,125,79,22,461,0,24,24,123,52,69,62,20,8,395,0,13,23,67,60,91,56,29,18,361,0,3,9,63,40,31,13,4,4,163,0,0,0,6,3,8,0,0,0,22,0,0,8,15,18,15,35,23,9,121,0,3,0,16,22,68,66,50,18,245,0,5,12,21,16,12,10,0,0,81,8,100,219,1247,361,236,141,56,21,2392,0,0,8,44,31,14,8,0,0,116,0,5,12,38,9,8,0,5,0,78,0,18,25,81,25,17,17,3,0,184,0,3,0,11,6,3,7,0,0,35,0,10,8,27,42,156,186,109,44,576,0,0,0,8,10,3,0,0,0,24,0,3,0,22,5,0,0,0,0,39,0,10,8,66,57,70,27,6,6,245,0,0,15,73,22,31,30,9,0,172
SED28107,0,0,4,34,29,31,21,13,0,138,0,27,87,710,168,212,112,12,10,1340,0,0,0,18,18,25,27,15,0,93,4,10,32,24,9,8,10,0,0,104,0,41,55,110,89,146,127,87,16,672,0,8,21,189,75,56,22,8,0,374,0,0,0,15,6,0,5,0,0,22,0,0,8,24,7,17,27,12,8,104,0,4,4,13,15,19,32,12,9,99,0,3,3,59,11,33,10,0,0,129,159,834,1146,9979,643,505,329,58,13,13662,0,10,12,248,66,23,16,6,0,387,0,8,13,62,11,9,0,0,0,95,0,3,14,33,16,12,8,5,0,92,0,3,0,17,4,12,3,3,4,50,0,3,9,19,13,64,64,58,23,249,0,4,5,32,20,4,3,0,0,64,0,4,5,79,15,9,8,0,0,129,4,16,38,187,66,43,16,0,0,378,0,47,52,231,63,56,32,11,0,501
