LGA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
LGA24850,437,1797,1199,15490,186,19117,5,48,22,929,20,1021,362,9,17,78,0,468,131,39,15,85,3,266,295,121,67,308,3,794,2390,1531,993,12877,214,18006,324,4,82,25,3,432,80,18,13,97,0,206,444,183,128,1229,20,1995,259,101,40,252,6,650,52,14,14,40,0,126,1084,33,29,13,5,1162,593,369,236,4576,45,5829,916,350,152,1439,18,2884,21,0,5,0,0,19,104,33,9,43,0,190,187,42,17,110,0,360,401,155,80,447,10,1094,117,33,20,21,0,191,128,62,65,45,0,308,169,36,27,135,5,366,28,8,8,29,0,74,150,15,6,3,0,174,599,350,272,3402,37,4667,56,14,6,19,0,84,79,14,11,10,0,117,66,17,18,44,0,142,118,6,6,11,0,145,65,4,12,4,0,86,85,22,21,107,0,236,3266,457,299,701,33,4755,169,34,19,434,2668,3322,10853,3417,2239,29804,3150,49460
LGA24900,164,770,486,10932,158,12507,3,9,16,556,7,600,283,3,9,50,0,341,50,5,3,15,0,74,234,62,43,123,3,462,1215,725,476,10113,192,12723,198,3,27,0,0,229,16,5,4,45,0,70,175,68,41,776,17,1076,37,21,3,36,4,103,26,7,4,5,0,42,157,0,0,6,0,167,225,145,84,3379,43,3869,474,150,35,772,17,1452,5,0,0,0,0,10,7,4,0,4,0,12,13,0,3,5,0,23,50,15,17,70,0,153,71,11,6,5,0,94,78,30,20,14,0,144,54,23,9,34,0,123,14,6,0,15,0,32,0,0,4,0,0,4,319,160,140,2590,27,3232,16,3,0,7,0,26,27,0,3,3,0,39,21,0,0,19,0,44,12,3,0,0,0,9,19,0,0,0,0,18,35,10,4,64,0,120,741,92,82,278,15,1212,54,24,9,336,1946,2369,4002,1410,889,21884,2333,30522
LGA24970,2373,3849,3257,18421,222,28116,41,35,46,428,5,557,45487,367,806,358,214,47227,686,76,40,156,10,973,938,239,132,495,8,1810,8539,3056,2127,18044,267,32041,1956,41,199,20,7,2223,589,62,44,196,3,900,1375,376,232,1678,28,3684,8682,1003,532,2926,80,13221,494,78,49,124,7,753,14784,153,166,76,24,15190,1622,813,498,6983,67,9987,4933,962,445,2794,64,9205,2411,15,66,7,9,2509,399,64,53,95,4,613,240,39,20,73,4,376,309,112,61,211,6,703,249,39,38,11,0,339,391,143,114,37,3,693,1166,123,100,265,8,1662,885,43,55,59,4,1054,126,22,10,6,0,159,1737,805,584,5796,57,8982,613,53,41,65,6,783,494,84,57,32,3,670,498,46,32,88,0,659,4361,153,110,96,21,4745,3842,92,144,67,11,4154,204,56,28,271,0,568,27730,1366,1408,1562,183,32258,1359,57,56,307,6960,8741,125226,8568,6688,41813,8099,190397
LGA25060,1462,3630,2686,20311,166,28257,38,47,25,450,10,570,5385,147,298,268,47,6142,1347,194,121,592,11,2270,513,191,158,430,0,1293,4954,2842,2064,19162,187,29209,1050,41,173,43,0,1320,309,62,38,198,4,603,913,335,246,1985,23,3504,3623,560,283,1915,34,6421,193,41,32,119,0,387,3111,151,93,108,6,3465,1768,974,682,10303,74,13804,10945,2069,1003,7028,143,21184,288,0,11,9,0,320,748,177,78,289,0,1293,718,123,77,293,7,1222,1569,354,210,1130,18,3278,168,31,34,17,0,241,380,118,129,47,0,686,837,152,121,372,9,1490,262,28,38,84,0,418,73,17,9,0,0,103,1373,707,597,6132,40,8849,449,62,32,90,3,640,182,52,41,11,3,283,578,51,49,114,3,797,500,47,39,63,0,646,3042,75,136,85,20,3358,143,46,51,268,0,513,13166,1344,1210,1863,135,17727,617,35,42,333,4131,5158,52665,8792,6223,49242,4934,121851
LGA25150,294,1524,1049,11769,133,14767,7,29,19,460,11,526,166,10,20,68,0,266,179,34,23,97,3,339,330,134,75,310,3,859,2215,1235,988,10017,147,14604,164,14,34,3,0,222,44,18,17,66,0,138,373,159,99,964,10,1609,129,46,23,124,0,331,94,14,13,42,0,159,579,35,16,25,0,660,526,266,219,3907,53,4966,445,189,85,757,12,1486,15,3,0,0,0,19,28,16,0,27,0,75,70,19,4,24,0,123,583,216,113,547,15,1466,90,17,19,16,0,139,137,62,54,24,0,282,182,55,39,146,5,417,35,9,14,23,0,86,63,14,4,0,0,88,649,339,225,3030,35,4282,112,23,22,31,3,190,66,13,7,12,0,100,78,11,8,29,0,128,40,17,7,7,0,63,78,0,8,0,0,82,77,21,17,80,0,197,1764,311,227,480,24,2807,82,22,18,250,1617,1993,7789,2781,1968,23102,1985,37632
LGA25250,2696,5702,4301,23753,244,36699,41,102,52,851,8,1056,5522,193,366,355,29,6462,908,176,95,319,14,1510,709,384,238,751,4,2086,8488,4650,3366,23338,291,40134,1657,64,252,56,9,2031,590,126,95,312,8,1132,1480,539,374,2714,31,5139,6249,894,434,2434,59,10058,247,92,46,176,0,558,5068,217,140,90,4,5518,2682,1580,1108,12495,92,17959,14118,2647,1263,7447,178,25653,361,10,26,14,0,418,4403,878,448,744,38,6507,428,98,57,193,4,779,1451,328,202,885,18,2882,426,73,55,35,11,599,787,175,187,73,10,1235,947,205,171,486,13,1822,351,65,43,120,4,584,180,38,11,9,5,228,2362,1203,965,8462,58,13045,423,59,63,85,0,637,264,79,43,25,0,412,774,93,68,141,6,1082,709,95,69,71,0,940,1773,57,124,53,7,2006,280,97,56,443,7,881,27372,2499,1974,2751,177,34769,1312,117,74,475,6827,8812,81729,13882,9643,58210,7900,171357
LGA25340,1174,7489,5712,48071,723,63169,15,102,65,1404,32,1618,941,95,111,298,13,1458,567,106,51,208,5,931,1897,614,385,1221,33,4152,17350,7320,5419,45438,920,76436,576,14,140,18,3,755,509,105,85,429,10,1139,1908,655,477,3589,57,6681,1614,259,164,652,31,2712,312,98,38,156,0,609,565,77,81,81,0,811,3584,1622,1039,14741,202,21188,3249,908,387,3267,85,7895,53,0,15,5,0,79,130,31,11,116,4,285,197,35,19,82,0,333,465,133,77,297,12,981,258,101,61,65,7,499,568,356,240,132,13,1311,713,146,105,326,17,1309,281,43,41,80,11,457,63,22,18,6,0,106,4198,1834,1331,13090,154,20605,211,37,21,55,8,331,494,102,85,49,4,731,267,40,35,182,6,536,191,78,49,98,3,423,154,5,14,9,0,184,629,133,109,489,6,1366,5163,1452,1141,2056,111,9923,316,93,79,955,8088,9526,38839,13805,10066,96188,10061,168948
LGA25430,69,715,487,5933,104,7301,0,6,5,207,3,222,60,11,12,57,0,140,32,7,0,10,0,53,184,66,36,110,3,401,1270,765,510,6226,91,8863,34,0,12,0,0,47,56,15,11,43,5,121,229,88,59,612,7,995,69,21,10,41,0,130,45,25,4,19,0,99,64,11,0,9,0,81,292,240,142,2565,30,3269,135,80,34,381,8,639,0,0,0,0,0,0,5,0,0,6,0,17,3,5,0,3,0,12,45,21,11,36,0,106,15,12,5,5,0,37,71,31,24,11,0,140,78,22,5,44,0,150,27,5,0,13,0,39,0,4,0,4,0,10,341,242,160,2138,17,2894,17,0,0,3,0,24,25,5,6,0,0,34,13,4,0,15,0,33,17,5,7,0,0,28,14,0,6,4,0,18,68,24,10,104,4,201,549,186,101,316,6,1151,20,10,3,145,1850,2025,2919,1454,941,12882,2058,20253
LGA25490,49,444,330,6332,83,7234,8,10,3,244,8,275,31,4,0,23,0,63,9,5,9,12,0,24,139,50,34,117,4,343,681,357,273,5644,108,7065,117,0,10,4,0,137,25,0,4,34,0,68,92,32,33,603,12,769,15,5,6,27,0,51,7,0,4,4,0,12,17,0,4,4,0,28,172,127,75,3018,49,3436,36,24,3,126,0,193,0,0,0,0,0,0,0,0,0,4,0,10,0,9,0,3,0,12,25,15,4,23,0,66,50,12,11,12,3,87,82,31,18,13,0,147,17,4,0,16,0,39,13,0,0,9,0,16,4,0,0,0,0,0,170,99,92,1902,33,2303,3,0,0,4,0,10,24,7,15,0,0,42,10,3,0,14,0,26,6,0,0,0,0,3,5,0,0,0,0,5,37,8,6,50,0,101,187,59,52,136,13,451,8,6,12,154,972,1161,1581,758,583,13232,1221,17374
LGA25620,92,554,398,4790,95,5924,0,18,7,202,0,229,56,4,0,22,0,89,26,5,0,20,0,55,181,53,34,102,4,369,965,526,382,4629,85,6593,40,3,7,0,0,51,25,12,0,53,0,91,181,67,31,375,9,674,58,14,4,17,0,105,37,10,9,12,0,60,43,0,3,0,0,54,169,109,85,1450,21,1833,144,57,17,260,12,493,5,0,0,0,0,3,6,4,0,0,0,6,23,0,0,6,0,37,33,15,11,31,0,85,5,4,4,0,0,12,56,23,14,20,3,115,50,7,6,22,0,95,21,5,9,5,0,39,0,0,0,0,0,4,244,151,101,1420,18,1936,17,0,0,0,0,21,35,6,0,5,0,46,29,0,3,10,0,41,9,3,0,4,0,16,11,0,4,0,0,17,37,4,3,38,0,86,372,82,62,153,14,691,29,14,12,136,1213,1402,2375,1016,713,9668,1425,15197
LGA25710,378,2714,1979,17580,99,22749,8,14,12,319,0,359,1258,58,102,150,4,1581,249,60,40,130,0,479,543,217,112,439,5,1317,4287,2396,1694,16584,137,25098,173,18,49,8,0,251,163,41,39,187,0,433,692,231,175,1589,15,2697,797,190,97,621,6,1708,134,41,24,77,0,275,527,48,39,24,0,635,1092,691,417,6308,43,8555,2184,651,348,2496,18,5698,58,0,0,0,0,61,125,25,18,61,0,229,359,86,38,197,0,681,338,105,93,373,4,912,58,14,4,6,0,82,170,106,93,53,0,411,329,57,57,149,4,597,113,16,20,38,0,187,13,6,4,8,0,24,1104,601,466,5166,26,7357,142,23,12,45,0,221,204,54,56,9,0,317,126,13,17,57,3,211,153,34,20,46,0,254,105,11,27,12,0,157,160,39,45,208,0,446,3036,639,551,1050,27,5302,100,25,21,254,1533,1922,15512,5248,3742,36551,1840,62895
LGA25810,53,249,186,4387,77,4960,0,5,5,158,0,177,107,0,0,8,4,121,9,0,4,10,0,18,99,45,14,37,0,191,411,265,197,4019,98,4985,135,5,18,0,6,158,13,0,0,23,0,35,52,34,19,433,15,553,18,6,0,16,0,42,15,9,0,8,0,27,50,4,4,0,0,58,67,53,28,1106,22,1283,27,14,9,156,7,208,3,0,0,0,0,3,8,0,0,0,0,7,0,0,0,0,0,0,13,6,6,12,0,40,7,0,6,3,0,16,22,11,4,11,0,43,15,6,0,6,0,29,0,4,0,3,0,12,14,0,0,0,0,14,96,53,45,1172,26,1391,8,6,0,5,0,10,15,4,0,4,0,21,9,0,3,3,0,17,3,0,0,0,0,3,8,0,0,0,0,13,4,4,5,33,0,44,365,30,40,117,6,558,16,6,0,124,957,1101,1370,467,347,8604,1165,11948
LGA25900,897,3826,3067,15325,184,23302,25,44,17,417,9,511,4102,131,220,236,28,4723,475,112,51,160,0,808,751,284,167,484,7,1692,8893,3557,2605,17830,214,33103,783,13,104,21,4,933,982,113,108,298,9,1508,1584,421,334,2002,22,4368,2619,437,224,1000,14,4298,351,87,50,119,7,607,2403,87,58,56,5,2613,3721,1070,729,8717,79,14325,2737,721,387,2010,22,5878,351,14,15,8,9,406,190,47,22,108,0,367,246,43,15,80,4,386,301,109,68,228,7,710,351,35,41,21,3,453,606,133,105,52,4,899,1212,241,141,443,9,2047,964,69,90,125,7,1255,80,14,11,0,0,109,2605,955,692,6494,46,10792,375,53,28,51,0,509,457,67,55,25,4,608,754,50,39,76,0,927,303,48,35,43,0,432,635,17,38,23,4,721,327,96,58,327,0,807,11667,1398,1278,1704,98,16138,480,40,42,235,6248,7044,42328,8229,6170,38345,6870,101942
LGA25990,28,214,166,2588,46,3047,0,0,0,100,0,105,9,0,0,23,0,33,15,0,0,8,0,27,64,19,14,66,0,160,426,199,157,2350,69,3195,30,0,6,0,0,41,14,3,5,10,0,35,54,17,17,169,5,259,13,0,0,4,0,16,12,7,0,9,0,19,0,0,0,0,0,0,63,48,28,785,11,940,39,7,9,83,3,147,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,11,28,12,0,11,0,51,11,0,0,5,0,13,21,8,11,3,0,38,19,0,0,10,0,32,0,0,0,0,0,7,0,0,0,0,0,0,104,66,48,724,8,952,5,0,0,5,0,6,10,0,0,0,0,14,4,0,0,3,0,15,0,0,0,0,0,0,4,0,0,0,0,4,15,4,10,23,0,48,114,35,35,62,0,248,7,3,3,61,878,946,887,366,292,5128,994,7671
LGA26080,13,123,72,904,17,1128,0,3,0,0,0,4,9,0,0,5,0,14,6,0,0,0,0,6,34,9,9,11,0,51,180,122,76,1198,25,1598,0,0,0,0,0,3,3,0,0,14,0,23,15,10,7,85,0,115,16,3,0,4,0,25,4,0,0,3,0,8,10,0,0,0,0,10,37,28,17,505,18,605,42,13,7,43,0,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,3,0,7,0,19,0,0,6,0,0,9,3,9,0,3,0,14,12,5,0,3,0,20,0,0,0,3,0,3,0,0,3,0,0,3,63,41,26,427,10,572,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,4,3,0,15,0,28,75,13,25,49,3,169,0,0,0,12,194,209,428,218,149,2236,241,3276
LGA26170,140,1133,785,10488,171,12717,4,18,5,277,7,311,98,0,12,47,0,164,34,12,7,15,0,66,510,175,98,352,6,1148,1938,1033,706,9429,187,13296,132,5,29,4,0,169,51,9,7,69,4,137,353,99,76,718,16,1265,56,15,3,20,0,95,42,10,5,9,0,73,136,9,10,18,0,168,408,272,144,2876,49,3738,424,122,61,589,18,1217,17,0,0,0,0,20,8,3,0,0,0,19,10,0,0,0,0,8,50,15,6,56,3,122,39,14,7,7,0,60,79,48,22,28,3,183,72,16,12,58,0,159,29,0,3,13,0,45,6,0,8,4,0,17,460,263,213,2791,42,3764,15,0,0,6,0,23,43,4,10,6,0,58,33,9,0,26,0,72,13,0,3,3,0,27,19,0,11,0,0,34,67,24,6,94,4,189,586,178,127,347,10,1251,52,24,13,218,1778,2085,4815,2029,1376,20171,2182,30577
LGA26260,58,335,314,6283,94,7083,4,5,0,334,0,352,58,3,10,30,4,108,8,4,0,11,0,29,111,43,19,96,0,264,610,309,304,5498,103,6823,45,0,16,0,0,62,13,3,3,28,0,44,93,50,53,1077,12,1288,15,11,4,17,0,45,7,4,0,3,0,16,87,3,0,0,0,96,101,82,44,1776,32,2037,44,24,12,123,4,208,8,0,0,0,0,5,3,0,0,0,0,6,3,0,0,0,0,4,17,3,13,10,0,41,79,0,12,5,0,95,37,24,15,25,0,94,13,4,0,19,0,45,5,0,0,7,0,16,0,0,0,0,0,0,186,119,78,1970,24,2374,5,0,0,0,0,9,38,4,8,0,0,52,11,0,0,8,0,21,9,0,0,0,0,9,14,0,0,0,0,14,32,10,9,28,0,76,297,40,42,117,7,500,15,10,3,199,887,1104,1609,636,561,12666,1110,16588
LGA26350,896,3760,2954,17651,136,25399,24,36,18,290,4,376,8483,200,414,335,34,9474,346,90,35,173,7,652,614,252,156,529,13,1556,6883,3494,2608,20777,198,33959,754,13,114,15,0,898,674,112,96,278,10,1170,1186,352,286,2191,14,4033,3323,439,258,1349,18,5387,353,87,50,166,10,665,2974,98,90,80,3,3252,2444,961,755,9072,55,13286,2136,691,361,2365,16,5571,340,10,33,17,0,397,191,58,37,90,0,376,156,41,22,53,3,275,158,70,46,150,0,430,169,25,13,14,0,222,510,150,96,47,6,809,1308,308,192,606,9,2417,740,110,83,173,8,1105,26,6,0,0,0,37,2009,936,695,7440,58,11130,279,52,20,50,9,407,470,89,58,24,0,650,494,35,37,71,8,642,526,76,67,51,4,723,892,26,53,28,0,998,240,79,49,303,0,672,10432,1328,1104,1844,70,14773,428,30,35,230,4663,5386,41771,8023,6193,43511,5202,104703
LGA26430,45,324,220,3821,63,4475,0,0,0,195,5,196,63,0,3,18,0,94,12,4,3,3,0,23,85,36,18,28,5,166,528,279,232,3682,78,4797,66,0,8,4,5,83,11,4,3,42,0,58,74,39,17,303,12,437,24,12,0,21,0,62,18,4,0,13,0,35,28,0,0,0,0,29,117,95,59,1428,22,1718,84,26,13,153,3,271,0,0,0,0,0,0,3,0,0,0,0,11,9,0,0,4,0,11,37,5,10,18,0,63,16,3,0,4,0,29,28,10,4,10,0,45,23,0,5,23,0,56,8,0,0,0,0,18,0,0,0,3,0,3,138,83,57,1136,19,1440,10,0,0,0,0,8,16,0,0,0,0,16,9,0,0,11,0,27,4,0,4,0,0,9,19,0,0,0,0,15,19,11,6,31,0,68,230,38,39,119,0,429,18,5,0,112,918,1062,1435,565,419,7951,1080,11455
LGA26490,157,1484,1232,11455,153,14476,3,15,4,205,0,235,130,41,22,113,0,308,79,23,15,70,0,183,369,133,99,291,3,905,2224,1380,1080,11452,126,16262,64,4,24,17,11,116,126,33,18,116,0,294,433,150,129,1063,14,1796,122,48,20,105,4,296,62,19,10,32,0,121,90,13,13,16,0,138,605,392,284,4688,31,6001,460,174,73,750,10,1463,21,0,3,0,0,22,13,6,0,37,0,61,39,8,0,17,0,73,166,25,29,128,0,347,45,13,20,0,0,80,124,77,63,21,0,289,156,56,33,146,0,392,43,11,10,30,0,89,8,7,0,0,0,17,636,336,307,3857,34,5179,35,8,3,18,0,61,118,29,21,8,0,175,62,11,9,35,0,123,24,12,10,19,0,67,30,0,9,0,0,36,84,23,25,136,0,272,1009,350,301,593,17,2278,35,22,16,189,1801,2064,5854,2840,2210,24650,2140,37694
LGA26610,145,336,267,6779,91,7630,3,42,7,806,15,878,557,4,21,35,5,614,7,0,0,4,0,12,82,40,23,78,0,221,559,324,267,5828,100,7076,200,0,18,0,5,223,10,0,5,27,3,48,67,34,28,656,8,800,41,15,4,40,0,101,13,7,0,14,0,37,174,20,0,0,0,201,80,52,46,1978,19,2175,543,155,32,872,10,1615,6,0,0,3,0,10,0,0,0,8,0,10,0,0,0,0,0,0,5,8,3,14,0,29,5,12,0,18,0,30,25,13,10,12,0,48,14,3,0,10,0,33,13,0,0,4,0,16,31,7,0,8,0,41,85,70,65,1557,17,1789,7,0,0,3,0,8,37,0,0,7,0,40,11,4,0,10,0,29,12,0,0,0,0,12,342,0,0,5,4,354,6,7,0,42,0,59,1867,93,79,211,31,2283,124,0,0,193,1662,1977,4477,741,529,13726,1926,21403
LGA26670,20,173,122,2227,43,2583,0,0,4,104,0,107,12,0,0,14,0,26,13,8,4,4,0,29,55,11,11,41,0,118,250,148,126,2018,27,2573,35,0,3,0,4,41,8,0,0,15,0,28,66,24,21,246,3,363,0,0,0,3,0,7,19,7,0,3,0,25,10,0,0,0,0,12,41,28,34,705,7,822,28,18,4,79,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,13,4,0,10,0,25,0,0,0,6,0,4,14,8,9,11,0,33,10,3,0,7,0,25,4,0,0,0,0,10,6,0,0,0,0,12,61,49,41,564,9,721,3,0,4,0,0,14,10,0,4,0,0,13,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,26,111,22,14,62,0,212,9,0,3,53,505,565,664,297,235,4447,576,6223
LGA26700,134,846,546,10272,147,11955,0,16,12,498,4,527,115,0,20,86,0,220,46,4,0,17,0,72,216,72,45,181,6,519,972,831,572,10133,185,12691,155,0,28,8,9,198,46,14,4,93,0,151,197,107,55,1017,14,1385,50,21,8,42,0,114,38,14,5,30,0,86,143,3,0,15,0,164,186,205,113,3714,48,4264,701,215,71,1046,16,2052,3,0,0,0,0,7,7,7,0,12,0,24,6,0,0,5,0,16,29,15,5,30,0,74,22,12,9,11,0,48,48,29,29,31,0,139,59,15,9,47,0,128,20,5,5,9,0,41,16,0,5,3,0,28,288,208,151,2920,36,3597,17,0,0,8,0,32,44,9,0,11,0,66,28,3,0,22,0,54,27,11,0,0,0,35,22,5,4,0,0,35,41,9,5,106,0,163,738,144,90,335,9,1316,55,10,3,287,1509,1866,3694,1623,1045,21553,1890,29808
LGA26730,118,902,665,12031,164,13885,9,27,12,644,13,707,378,9,23,59,5,475,18,0,0,30,0,47,231,126,42,293,4,699,1130,811,573,11899,163,14582,230,5,41,12,4,290,33,14,10,115,0,178,154,71,57,1136,9,1434,40,17,7,70,0,133,8,4,3,14,0,30,172,20,4,7,0,203,295,253,144,5897,50,6641,100,73,22,416,4,612,37,0,0,0,0,41,11,6,0,18,0,31,0,0,0,10,0,11,38,11,6,47,0,102,87,28,26,11,3,150,77,37,32,25,0,170,44,21,4,49,0,116,26,7,3,15,0,45,9,5,4,0,0,23,350,216,176,3702,28,4470,9,0,0,0,0,9,89,9,8,3,0,111,32,10,3,24,0,67,63,11,3,0,0,71,107,0,5,0,0,106,36,17,13,103,0,161,967,175,139,320,12,1618,54,17,14,379,1742,2203,4073,1664,1185,26367,2110,35406
LGA26810,223,1368,1049,16230,248,19121,7,34,13,750,27,824,194,5,18,93,0,313,81,19,15,39,0,149,496,180,108,403,16,1203,2329,1303,986,13927,274,18817,304,10,52,15,3,380,55,10,13,71,0,148,370,127,76,1105,18,1690,75,33,14,86,0,207,64,11,3,12,0,83,231,18,6,14,0,269,461,258,180,4256,80,5234,278,123,64,673,10,1150,13,0,5,6,0,17,7,7,0,30,0,41,16,3,0,19,0,42,76,27,11,102,3,221,61,14,12,19,0,103,114,46,35,37,4,241,151,40,20,115,6,329,53,7,3,36,0,99,17,6,0,0,0,22,578,319,240,3822,57,5020,32,7,0,12,0,49,80,6,8,8,0,100,50,3,4,33,0,89,51,6,10,11,0,82,89,0,12,4,3,108,81,30,14,121,4,244,1128,207,193,496,25,2054,90,18,22,405,3677,4208,6340,2459,1847,30729,4265,45639
LGA26890,18,80,80,1500,31,1706,0,0,0,40,0,45,3,0,0,3,0,4,3,0,0,0,0,3,18,11,10,28,0,64,139,79,78,1383,25,1710,20,0,9,3,0,27,3,0,0,15,0,19,36,9,14,298,0,360,0,3,0,0,0,6,5,0,0,0,0,5,16,0,0,0,0,24,27,10,16,367,6,429,15,4,0,32,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,8,0,14,6,0,0,0,0,6,5,0,0,4,0,13,5,0,0,9,0,14,0,5,0,0,0,3,0,0,0,0,0,6,24,12,35,397,0,466,0,0,0,0,0,0,11,0,0,4,0,11,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,3,7,0,0,8,0,23,48,19,8,35,0,102,8,0,0,54,295,361,341,139,153,3020,355,4006
