LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA22620,13134,26250,257,1448,1271,5925,340,1572,7158,28144,9024,37082,628,2692,971,3259,2203,6986,3801,12934,12826,50015,109,493,460,1576,216,775,2376,6387,3157,9230,181,576,463,986,1995,4316,2635,5881,5796,15111,521,1081,32281,92460
LGA22670,12130,24976,392,2428,1856,9057,422,2039,9820,38472,12492,51992,1106,4975,1665,5900,3872,13094,6644,23970,19135,75966,121,624,474,1808,204,812,2185,5972,2987,9215,440,1574,836,2014,3337,7789,4620,11376,7605,20589,1034,2319,39906,123856
LGA22750,29544,59097,429,2442,2696,12512,619,2846,16862,65420,20611,83213,1415,5966,2474,8481,5226,16775,9107,31228,29719,114440,160,741,900,2999,387,1368,4262,11187,5706,16299,512,1628,1172,2616,4356,9587,6040,13827,11749,30126,1088,2246,72099,205914
LGA22830,6963,13930,164,1003,749,3641,227,1085,3877,15555,5012,21289,367,1556,482,1615,1391,4471,2239,7640,7258,28929,59,273,255,907,141,503,1255,3495,1704,5173,117,364,209,464,1035,2249,1360,3071,3060,8252,247,527,17523,51634
LGA22910,2412,4804,23,135,150,671,31,157,758,2971,965,3938,53,204,113,376,302,954,471,1537,1434,5477,7,16,44,135,23,68,220,534,285,757,14,46,55,116,255,538,322,697,608,1452,51,99,4500,11832
LGA22980,777,1556,15,79,51,251,8,30,267,1096,340,1455,25,91,43,121,128,389,188,601,525,2066,5,13,13,39,0,7,69,193,90,249,8,17,16,27,77,160,97,202,181,450,28,55,1516,4125
LGA23110,8937,17930,141,822,994,4529,166,793,6785,25750,8088,31900,548,2334,1026,3636,1959,6368,3531,12340,11623,44239,39,167,258,852,83,300,1293,3202,1672,4521,177,577,438,986,1674,3696,2291,5265,3966,9792,455,963,24972,72927
LGA23190,2387,4777,28,166,235,1057,57,266,1195,4687,1513,6181,104,421,152,493,366,1142,624,2052,2139,8228,9,35,67,222,38,125,368,1011,478,1403,24,73,66,138,292,617,385,833,861,2231,71,141,5463,15381
LGA23270,16782,34133,921,5645,3506,17482,858,4255,19024,75691,24303,103081,2208,10014,2157,7781,6466,22242,10826,40035,35130,143114,236,1200,747,2863,355,1350,3388,9654,4735,15065,653,2271,914,2176,4463,10568,6028,15012,10757,30075,970,2116,63644,209443
LGA23350,2355,4687,31,173,217,987,33,161,1021,4059,1306,5378,82,313,155,494,341,1073,578,1872,1886,7259,4,27,35,131,18,69,204,534,269,760,20,55,62,130,220,447,298,631,569,1395,49,102,4854,13438
