LGA_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
LGA26080,..,0,0,0,0,0,..,11,0,11,0,11,..,4,0,4,0,4,..,0,0,0,0,0,..,11,0,11,0,11,..,11,0,12,0,12,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,23,0,25,0,23,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,8,0,8,..,0,0,8,0,8,..,0
LGA26170,..,0,0,0,0,0,..,54,16,69,0,69,..,12,0,12,0,12,..,45,4,43,0,43,..,104,4,109,0,115,..,41,6,46,0,50,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,27,0,29,0,29,..,12,0,8,0,8,..,0,0,0,0,0,..,0,0,3,0,3,..,53,7,54,0,54,..,164,29,190,5,194,..,14,0,16,0,16,..,10,0,9,0,9,..,10,3,13,0,13,..,0,0,0,0,0,..,64,9,70,0,70,..,0,0,0,0,0,..,11,0,19,0,19,..,12,5,12,0,12,..,0,0,9,0,9,..,0,0,0,0,0,..,9,0,9,0,9,..,35,0,40,0,40,..,14,0,14,0,14,..,30,4,31,0,31,..,21,0,18,0,22,..,94,4,102,0,103,..,51,0,57,0,60,..,9
LGA26260,..,0,0,0,0,0,..,44,5,49,0,51,..,4,3,9,0,9,..,10,0,10,0,10,..,34,0,31,0,31,..,3,0,3,5,5,..,13,0,13,0,13,..,9,0,9,0,9,..,18,0,18,0,18,..,11,0,11,0,11,..,14,0,13,0,13,..,11,0,13,0,13,..,7,0,7,0,7,..,0,0,0,0,0,..,77,3,77,0,77,..,14,0,14,0,14,..,3,0,3,0,3,..,6,3,5,0,5,..,3,0,3,0,6,..,0,0,0,0,0,..,47,4,52,0,52,..,3,0,3,0,3,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,15,0,15,0,15,..,4,0,6,0,6,..,7,0,8,0,8,..,0,0,0,0,0,..,32,0,38,0,38,..,10,0,10,0,11,..,0
LGA26350,..,215,46,258,0,261,..,5465,1048,6512,42,6556,..,110,11,119,0,118,..,693,13,708,14,718,..,368,6,377,3,377,..,2723,672,3398,19,3418,..,133,3,135,0,136,..,329,20,351,3,350,..,749,10,763,9,767,..,195,4,203,0,203,..,177,5,177,0,178,..,291,9,299,5,298,..,104,6,106,0,105,..,176,5,177,0,184,..,2158,61,2214,17,2234,..,876,51,922,9,929,..,374,57,426,9,430,..,52,3,58,0,58,..,224,27,256,3,255,..,73,6,77,0,77,..,125,0,125,0,125,..,302,23,327,4,331,..,240,25,265,4,268,..,248,7,259,3,261,..,477,237,713,0,714,..,3,0,3,0,3,..,169,15,182,7,185,..,185,3,191,0,191,..,374,27,398,3,406,..,214,4,219,6,221,..,123,6,129,0,129,..,894,43,938,9,948,..,1152,72,1229,7,1237,..,245
LGA26430,..,10,5,7,0,7,..,42,20,61,0,65,..,5,0,5,0,5,..,3,0,3,0,3,..,16,0,16,0,16,..,16,0,12,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,8,0,10,0,10,..,0,0,0,0,0,..,5,0,5,0,5,..,5,0,5,0,6,..,0,0,0,0,0,..,26,0,28,0,24,..,31,3,32,0,32,..,6,0,6,0,6,..,11,4,13,0,13,..,0,0,0,0,0,..,4,0,7,0,7,..,12,0,9,0,9,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,26,0,26,0,26,..,3,0,3,0,3,..,14,0,17,0,17,..,9,0,9,0,9,..,51,4,54,0,54,..,14,0,14,0,14,..,8
LGA26490,..,4,0,4,0,4,..,51,22,74,5,83,..,21,0,23,0,23,..,129,11,142,0,147,..,170,7,168,0,172,..,79,0,79,0,79,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,17,0,17,..,3,0,9,0,9,..,21,0,23,0,23,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,52,4,51,0,51,..,132,11,136,0,139,..,34,4,40,0,41,..,3,0,3,0,3,..,12,0,11,0,11,..,21,4,24,0,24,..,0,0,0,0,0,..,8,0,11,0,11,..,22,0,26,0,26,..,65,3,67,5,71,..,17,0,17,0,16,..,0,0,0,0,0,..,12,4,17,0,17,..,19,0,23,0,23,..,45,5,41,3,45,..,15,3,14,0,14,..,11,0,11,0,11,..,77,4,86,3,90,..,119,9,129,0,132,..,3
LGA26610,..,14,20,31,0,31,..,203,308,510,3,517,..,6,0,6,0,6,..,19,0,23,0,23,..,12,0,12,0,12,..,47,3,49,0,52,..,0,0,0,0,0,..,5,0,5,0,5,..,23,0,17,4,24,..,31,0,26,0,26,..,188,28,212,0,215,..,26,0,28,0,28,..,24,0,30,0,32,..,4,0,4,0,4,..,302,31,335,3,340,..,269,46,321,3,319,..,0,0,0,0,0,..,40,36,73,0,73,..,9,0,9,0,9,..,0,0,0,0,0,..,51,5,54,0,51,..,8,0,8,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,5,0,5,..,17,10,18,0,18,..,0,0,0,0,0,..,57,0,55,0,55,..,54,23,80,3,76,..,76,3,76,0,80,..,277,178,453,9,464,..,459,205,664,12,680,..,23,0,22,0,22,..,21
LGA26670,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,10,0,15,0,15,..,18,0,18,0,23,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,16,..,8,0,8,0,8,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,12,..,0,0,0,0,0,..,16,0,16,0,16,..,3,0,3,0,3,..,12,0,12,0,12,..,5,3,4,0,4,..,28,3,30,0,30,..,11,0,11,0,11,..,0
LGA26700,..,0,0,0,0,0,..,74,18,90,0,90,..,15,4,19,0,19,..,30,0,33,0,33,..,55,0,55,0,55,..,29,0,33,0,33,..,0,0,0,0,0,..,4,0,4,0,4,..,24,0,24,0,24,..,68,4,69,3,69,..,65,9,71,0,75,..,30,0,36,0,36,..,22,3,20,0,20,..,12,0,12,0,12,..,229,12,245,0,248,..,348,63,409,0,414,..,26,0,27,0,27,..,6,3,8,0,8,..,3,0,4,0,4,..,0,0,0,0,0,..,26,5,34,0,34,..,3,0,3,0,3,..,0,0,3,0,3,..,11,0,11,0,11,..,7,0,7,0,7,..,10,0,10,0,9,..,7,0,7,0,7,..,64,0,64,0,64,..,3,4,9,0,9,..,49,0,49,0,49,..,25,4,35,0,35,..,143,8,154,0,154,..,19,6,23,0,29,..,30
LGA26730,..,9,6,17,0,17,..,188,165,348,8,357,..,5,0,5,0,5,..,36,0,36,0,36,..,23,0,23,0,29,..,23,0,23,0,23,..,3,0,6,0,6,..,14,0,14,0,14,..,49,0,45,0,45,..,31,0,34,0,38,..,57,3,58,0,58,..,97,0,98,8,100,..,13,0,16,0,16,..,10,0,10,0,10,..,278,10,284,7,288,..,30,0,30,3,34,..,40,0,40,0,38,..,3,3,7,0,7,..,21,7,25,0,25,..,0,0,0,0,0,..,33,0,33,0,33,..,3,0,3,0,3,..,13,0,13,0,13,..,8,0,8,0,8,..,15,0,20,0,22,..,7,5,8,0,8,..,0,0,0,0,0,..,83,0,84,7,90,..,38,0,34,0,34,..,55,0,52,0,55,..,65,7,76,0,75,..,236,11,244,6,250,..,40,0,43,0,41,..,27
LGA26810,..,8,0,11,0,11,..,109,38,155,0,155,..,25,3,26,0,28,..,37,0,37,0,37,..,68,0,68,0,67,..,51,4,60,0,59,..,18,0,18,0,18,..,14,3,20,0,20,..,43,0,43,0,43,..,18,0,21,0,21,..,72,10,84,0,84,..,42,5,41,0,41,..,30,0,30,0,30,..,7,0,7,0,7,..,240,18,263,0,262,..,77,9,81,0,86,..,5,0,5,0,7,..,15,10,28,0,28,..,8,3,12,0,12,..,3,0,3,0,3,..,51,0,54,0,54,..,0,0,0,0,0,..,33,0,33,0,32,..,8,0,8,0,8,..,24,0,27,0,27,..,3,0,3,0,3,..,13,6,16,0,16,..,85,3,87,0,87,..,16,4,21,0,21,..,110,5,120,6,119,..,40,0,39,0,39,..,242,14,260,3,262,..,45,5,51,0,51,..,39
LGA26890,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,6,0,7,0,7,..,4,0,4,0,4,..,3,0,3,0,3,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,19,0,19,0,19,..,5,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,11,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,6,..,0,0,0,0,0,..,7,0,8,0,8,..,0,0,0,0,0,..,14,0,20,0,20,..,4,0,4,0,4,..,0
LGA26980,..,878,308,1188,7,1193,..,26899,10578,37478,352,37828,..,197,47,242,3,248,..,383,15,392,6,399,..,471,5,480,3,485,..,3203,595,3793,20,3817,..,360,15,370,0,367,..,831,56,885,15,897,..,2147,65,2213,13,2219,..,469,18,488,4,486,..,1043,66,1114,4,1112,..,1695,52,1752,14,1765,..,625,14,639,5,646,..,460,9,472,0,472,..,7631,304,7927,53,7982,..,1534,202,1737,7,1745,..,574,62,637,5,649,..,193,92,281,0,284,..,1031,297,1330,11,1346,..,146,17,158,0,158,..,542,18,562,0,564,..,1120,155,1274,13,1288,..,297,21,318,0,323,..,110,3,115,0,116,..,230,27,258,0,261,..,25,0,23,0,23,..,203,35,238,0,244,..,436,8,440,4,442,..,835,62,900,8,909,..,553,10,565,0,563,..,219,9,233,0,233,..,2048,90,2137,12,2148,..,700,62,767,0,769,..,952
LGA27070,..,454,207,659,4,660,..,5042,2383,7422,82,7510,..,649,134,785,9,790,..,352,9,362,6,365,..,204,5,211,8,221,..,5910,1241,7156,57,7216,..,610,26,637,11,645,..,1305,100,1407,12,1423,..,4449,204,4652,33,4684,..,1996,179,2174,24,2198,..,8941,865,9803,95,9898,..,2443,151,2595,23,2617,..,2027,157,2183,41,2223,..,563,17,573,14,588,..,22330,1700,24023,249,24272,..,7013,1258,8274,54,8320,..,175,21,198,0,198,..,306,139,441,5,448,..,277,76,351,8,356,..,8153,1687,9833,75,9913,..,2582,161,2741,37,2779,..,1661,432,2091,18,2112,..,215,20,231,4,238,..,385,70,458,5,461,..,181,17,202,4,199,..,786,72,854,0,857,..,705,130,838,8,848,..,1165,27,1191,17,1205,..,478,32,512,7,519,..,1340,38,1373,11,1380,..,508,55,564,6,571,..,3492,159,3651,34,3682,..,1010,112,1122,15,1135,..,2283
LGA27170,..,6,0,6,0,6,..,123,40,164,6,164,..,82,18,101,5,99,..,54,4,58,0,58,..,103,4,106,0,109,..,28,3,35,0,32,..,30,0,30,0,30,..,60,3,70,0,70,..,86,4,97,0,99,..,154,64,216,4,217,..,163,24,188,4,187,..,49,4,53,0,53,..,31,0,36,0,36,..,12,0,5,0,5,..,584,105,688,6,700,..,84,3,84,0,92,..,6,0,6,0,6,..,17,5,22,0,22,..,25,6,29,0,29,..,4,0,4,0,4,..,82,3,82,0,85,..,18,0,16,0,16,..,18,3,20,0,20,..,17,0,17,0,19,..,13,0,13,0,13,..,0,0,0,0,0,..,52,4,55,0,55,..,88,8,94,0,92,..,9,0,9,0,12,..,115,3,115,0,115,..,23,0,19,0,19,..,234,15,244,0,245,..,53,4,57,0,57,..,18
LGA27260,..,364,110,474,0,481,..,9861,3572,13438,141,13576,..,516,56,573,0,577,..,619,40,663,8,668,..,262,11,280,4,282,..,1277,158,1434,11,1447,..,3660,213,3880,39,3922,..,6286,511,6801,77,6878,..,13171,718,13879,136,14017,..,1460,144,1602,29,1631,..,18807,1754,20562,294,20853,..,2242,130,2374,29,2402,..,7711,576,8287,125,8412,..,1996,98,2096,29,2131,..,55334,4156,59486,761,60246,..,2128,295,2429,19,2450,..,349,42,385,4,388,..,178,49,228,0,227,..,757,227,982,8,987,..,1130,134,1270,10,1284,..,2189,128,2317,21,2345,..,669,111,775,12,794,..,493,64,561,3,559,..,458,54,516,9,521,..,492,70,560,0,563,..,1768,138,1905,26,1927,..,794,140,932,9,940,..,2786,74,2861,31,2897,..,1787,153,1938,34,1974,..,3630,105,3732,25,3755,..,994,73,1063,13,1077,..,9195,403,9597,112,9710,..,1973,258,2233,26,2260,..,3995
LGA27350,..,212,181,396,0,396,..,2162,993,3160,23,3175,..,134,15,149,0,151,..,573,27,599,12,607,..,452,5,458,5,462,..,1499,471,1966,14,1982,..,48,0,50,0,50,..,38,0,38,0,38,..,217,0,219,0,220,..,75,7,78,0,78,..,54,5,57,0,57,..,116,5,119,4,124,..,47,0,45,0,45,..,50,0,50,0,51,..,639,17,651,7,657,..,1075,154,1233,10,1243,..,244,21,269,4,274,..,22,7,30,0,30,..,139,19,155,4,159,..,146,16,161,0,161,..,32,0,32,0,31,..,146,14,162,0,161,..,153,11,155,0,161,..,185,9,194,0,199,..,146,11,158,0,159,..,10,0,10,0,13,..,161,26,186,0,186,..,118,0,116,3,120,..,134,12,143,5,149,..,155,3,157,0,158,..,105,17,128,0,126,..,515,32,545,6,558,..,795,57,853,11,865,..,95
LGA27450,..,43,5,49,0,49,..,1286,363,1656,19,1676,..,119,12,126,0,126,..,264,10,271,0,274,..,665,15,688,5,687,..,360,44,403,5,408,..,31,0,34,0,34,..,55,6,54,0,54,..,303,20,317,6,322,..,64,7,76,0,79,..,248,18,267,0,267,..,237,13,245,0,245,..,54,4,52,0,52,..,72,4,73,0,73,..,1057,68,1121,4,1132,..,1008,134,1134,11,1148,..,190,21,213,0,210,..,57,12,66,0,66,..,75,18,99,0,102,..,59,9,69,0,68,..,152,15,170,3,173,..,294,32,324,5,328,..,261,21,283,0,283,..,67,4,72,0,74,..,133,15,142,3,148,..,25,0,29,0,29,..,73,9,85,0,85,..,152,8,164,0,163,..,103,9,107,0,111,..,199,4,201,0,207,..,62,0,64,0,64,..,521,13,537,3,544,..,318,21,346,4,351,..,82
LGA27630,..,0,0,0,0,0,..,7,0,6,0,7,..,0,0,0,0,0,..,7,0,7,0,7,..,9,0,9,0,9,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,10,0,10,0,10,..,13,0,10,0,10,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,41,0,39,0,39,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,23,0,23,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,10,0,10,0,8,..,15,0,15,0,14,..,12,3,18,0,18,..,0
LGA29399,..,0,0,0,0,0,..,22,23,42,0,42,..,0,0,0,0,0,..,6,0,3,0,3,..,4,0,4,0,4,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,16,0,16,0,16,..,0
LGA29499,..,12,0,12,0,12,..,99,51,148,0,146,..,3,5,7,0,7,..,14,0,19,0,19,..,25,0,27,0,27,..,23,0,27,0,27,..,3,0,3,0,3,..,4,0,4,0,4,..,33,5,35,0,35,..,5,0,5,0,5,..,14,0,16,0,16,..,15,0,17,0,17,..,10,0,15,0,15,..,8,0,8,0,8,..,98,5,100,0,100,..,30,4,33,0,41,..,3,0,6,0,6,..,6,0,8,0,8,..,5,3,11,0,11,..,10,0,10,0,10,..,3,0,3,0,3,..,17,4,21,0,25,..,7,0,7,0,7,..,5,0,5,0,5,..,11,0,12,0,12,..,6,0,11,0,11,..,8,5,16,0,16,..,18,4,21,0,21,..,11,3,12,0,16,..,10,0,10,0,10,..,13,0,17,0,17,..,51,9,57,0,61,..,40,7,48,0,48,..,6
LGA29799,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0
