UCL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL215088,8,11,0,14,3,0,3,9,3,57,7,7,4,24,5,0,0,0,0,46,11,8,54,25,20,9,5,22,4,166,0,0,0,4,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,5,4,12,67,153,74,92,46,17,19,45,14,524
UCL215089,12,9,3,6,10,0,0,3,0,34,9,3,4,23,3,0,0,5,0,51,32,14,84,52,17,7,18,29,10,265,0,0,3,5,6,4,0,0,0,14,0,3,0,6,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,7,0,0,3,4,0,4,0,5,0,25,68,119,98,107,42,30,23,41,15,549
UCL215090,9,8,10,5,3,0,5,0,0,35,6,16,9,17,11,9,0,0,0,70,27,11,113,36,20,21,29,28,3,282,0,0,0,4,4,0,0,0,0,4,0,0,3,4,3,0,0,3,0,13,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,4,6,0,14,71,138,146,87,53,28,37,50,7,614
UCL215091,12,11,6,6,8,0,0,0,0,49,12,10,3,17,8,4,0,3,0,62,50,9,78,14,20,6,10,18,5,202,0,0,0,4,0,0,0,0,0,3,0,3,3,0,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,146,170,102,44,92,26,8,18,10,617
UCL215092,16,27,10,14,12,4,0,3,3,90,22,24,12,32,26,11,5,4,0,133,37,19,123,49,22,15,13,23,0,309,0,0,8,0,3,5,0,0,0,16,3,5,5,6,6,5,0,7,0,32,0,0,0,0,0,0,0,0,0,3,0,5,0,3,3,3,0,0,0,23,286,643,195,174,153,62,20,52,22,1600
UCL215093,8,15,4,21,8,3,0,5,4,70,21,10,20,60,38,8,8,11,0,179,63,17,365,100,54,32,62,68,8,773,6,0,6,3,7,5,4,5,0,38,8,5,9,7,4,7,5,9,0,45,0,0,0,0,3,0,0,0,0,8,4,0,12,4,7,0,5,4,0,31,137,205,434,232,145,67,81,108,4,1423
UCL215094,9,0,4,9,5,0,0,0,0,20,7,3,0,14,7,0,0,0,0,36,10,5,43,21,15,9,14,11,0,122,0,0,0,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,48,66,54,47,36,14,15,16,5,297
UCL215095,0,3,0,0,0,0,0,0,0,9,0,11,3,16,3,0,0,4,0,41,8,6,68,38,15,7,17,28,5,188,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,53,70,70,33,13,19,36,10,313
UCL215096,10,11,0,14,12,10,0,4,0,53,16,16,12,25,19,3,4,5,3,100,42,15,160,38,41,25,21,28,5,366,0,0,0,0,0,3,3,0,0,14,0,5,4,3,6,4,3,0,0,19,0,0,0,0,0,0,0,0,0,5,4,0,0,8,3,3,0,3,3,31,107,186,184,100,110,46,33,35,8,824
UCL215097,6,8,9,14,15,0,4,0,0,44,19,13,13,26,20,10,4,7,0,110,43,15,196,57,47,30,31,55,13,490,5,0,6,0,6,4,0,8,0,22,3,0,0,6,5,5,0,0,0,22,0,0,0,0,0,0,0,0,0,5,3,3,7,8,0,0,3,5,4,28,102,131,231,138,113,51,45,83,21,926
UCL215098,4,6,0,3,0,0,0,0,0,19,7,10,0,21,8,4,0,4,0,51,20,4,74,37,16,9,28,22,3,206,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,8,44,84,90,78,34,19,28,34,4,417
UCL215099,0,0,0,4,4,0,0,6,0,14,9,10,3,13,8,0,0,3,0,42,18,4,56,27,16,9,21,19,0,170,3,0,0,0,0,7,0,4,0,8,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,3,8,3,0,0,4,0,22,35,76,69,58,36,19,22,40,5,355
UCL215100,0,3,0,11,3,3,0,0,0,22,0,3,5,6,4,3,4,4,0,33,11,7,47,20,11,6,15,13,0,126,0,0,0,0,0,0,0,0,0,4,0,0,5,0,5,0,0,0,0,14,0,0,0,0,4,0,0,0,0,4,0,0,3,7,0,0,0,0,0,13,29,76,58,52,30,22,17,22,0,308
UCL221001,3,0,0,4,5,0,0,0,0,9,4,7,3,4,7,0,0,0,0,31,11,3,50,16,9,10,11,19,3,135,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,9,0,0,0,0,0,5,0,0,0,5,0,0,0,3,0,4,3,0,0,15,28,44,52,31,24,17,17,25,10,241
UCL221002,5,6,8,5,0,0,4,0,0,21,8,6,4,10,4,0,0,0,0,27,17,5,45,11,14,6,10,17,0,122,3,0,0,0,3,0,0,7,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,43,60,58,31,24,11,14,24,0,265
UCL221003,4,4,0,3,0,0,0,0,0,9,6,0,4,4,5,0,0,0,0,18,5,3,34,13,3,13,16,6,0,100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,16,30,37,29,16,12,20,14,0,170
UCL221004,0,10,3,4,3,4,0,0,0,21,12,5,10,4,13,0,0,0,0,39,30,9,58,10,17,5,12,6,4,148,0,0,0,0,0,0,0,0,0,6,4,4,0,0,3,0,0,0,0,13,3,5,5,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,81,124,75,25,58,9,19,16,13,423
UCL221005,7,0,0,5,0,0,0,0,0,13,3,4,0,5,0,4,0,0,0,21,22,0,23,11,8,3,7,5,0,73,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,9,47,58,27,23,15,7,8,10,3,200
UCL221006,0,5,0,3,0,0,0,0,0,15,3,0,3,6,3,0,0,0,0,15,12,0,36,8,3,6,3,4,0,77,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,11,35,69,46,26,28,8,7,8,4,228
UCL221007,0,6,0,3,0,0,0,0,0,8,0,0,5,3,3,0,0,0,4,20,3,4,23,10,4,7,3,10,0,63,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,3,11,10,44,31,16,18,7,9,14,4,158
UCL221008,8,0,0,6,0,0,0,0,0,12,0,3,6,6,0,0,0,0,0,16,15,3,18,6,10,0,13,15,0,73,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,40,46,22,25,13,4,16,18,4,179
UCL221009,0,0,0,6,0,0,0,0,0,12,3,4,0,5,0,0,0,0,0,15,8,0,39,10,4,5,5,10,0,84,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,8,11,46,48,32,14,8,13,11,3,189
UCL221010,0,0,0,5,3,0,0,3,0,14,3,0,4,8,0,0,0,0,0,18,8,4,29,12,8,4,5,3,0,80,0,0,3,0,3,0,0,0,0,7,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,26,31,32,39,13,9,10,9,3,179
UCL221011,0,3,0,4,0,0,0,0,0,15,4,3,3,3,3,0,0,0,0,20,14,0,41,12,9,7,8,10,3,99,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,67,52,22,37,10,11,13,4,247
UCL221012,3,6,0,0,0,0,0,0,0,10,3,4,0,7,7,0,0,0,0,21,7,3,26,6,5,5,0,4,3,61,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0,0,10,21,50,31,17,14,7,0,4,0,165
UCL221013,0,0,0,4,4,4,0,5,0,13,0,0,9,6,3,3,0,3,0,20,9,0,33,9,8,3,15,14,5,89,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,15,27,53,20,19,9,14,20,6,191
UCL221014,0,8,0,0,4,0,0,0,0,15,4,4,3,12,9,5,0,0,0,39,18,0,42,12,16,5,4,11,0,112,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,11,52,85,47,38,38,15,4,19,6,311
UCL221015,6,4,0,0,0,0,0,0,0,12,0,5,0,3,6,0,0,0,0,16,6,6,28,3,0,6,0,10,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,5,43,59,31,7,14,10,0,9,3,180
UCL221016,3,3,0,5,4,3,0,0,0,14,11,8,3,9,15,0,0,4,0,53,12,5,62,26,21,7,14,11,0,159,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,40,77,68,56,57,17,13,16,0,346
UCL221017,0,3,0,3,5,0,0,0,0,15,8,8,6,9,5,0,0,0,0,33,11,0,42,22,7,4,16,12,4,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,23,36,45,48,28,13,15,17,4,236
UCL221018,0,9,0,4,4,0,0,0,0,16,6,7,0,0,0,0,0,0,0,10,15,0,28,14,9,8,10,14,0,102,0,0,0,4,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,11,33,45,34,34,17,12,10,24,0,221
UCL221019,0,7,4,6,0,0,0,0,0,15,0,3,0,10,9,0,0,4,0,29,5,3,22,15,6,8,3,9,0,72,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,22,66,32,38,20,14,7,15,3,223
UCL221020,4,6,0,4,0,0,0,0,0,18,0,7,0,4,0,0,0,0,0,17,8,4,26,15,4,3,10,13,0,84,3,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,45,26,29,13,12,8,19,0,171
UCL221021,0,0,3,0,0,0,0,0,0,9,0,0,0,13,0,3,0,4,0,31,11,0,35,18,7,8,7,16,3,120,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,9,24,50,40,46,11,18,11,32,3,236
UCL221022,0,4,0,0,5,0,0,0,0,11,0,5,7,0,6,0,0,0,0,14,9,5,23,5,5,6,3,3,0,61,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,30,47,38,18,21,6,10,15,0,184
UCL221023,0,0,0,9,0,0,0,0,0,10,0,0,3,8,0,0,0,0,0,16,7,0,10,7,6,5,9,13,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,9,9,15,23,7,7,9,17,0,102
UCL221024,4,3,0,0,3,0,0,0,0,8,7,3,0,5,7,3,0,0,0,22,8,7,40,17,19,5,7,10,0,114,0,0,0,0,3,0,0,4,0,6,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,10,42,78,36,37,38,14,15,17,0,271
UCL221025,4,0,0,0,3,0,0,0,0,8,0,0,3,6,3,0,0,0,0,18,3,0,9,14,6,3,3,12,8,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,43,16,33,15,3,5,16,8,154
UCL221026,4,0,0,3,0,0,0,0,0,12,4,0,0,3,0,0,0,3,0,17,6,0,27,12,9,3,4,7,0,73,3,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,22,22,33,35,11,16,4,13,3,158
UCL221027,0,0,0,0,0,0,0,0,0,8,0,5,0,4,3,0,0,0,0,14,7,3,20,14,5,5,10,10,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,21,31,24,20,13,3,13,16,0,146
UCL221028,9,5,4,0,0,3,0,0,0,20,3,5,0,3,0,0,0,5,0,15,16,0,9,0,0,0,4,5,0,37,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,11,69,98,15,16,23,16,3,11,0,252
UCL221029,0,0,0,4,0,0,0,0,0,14,0,6,0,7,4,0,0,0,0,20,7,4,54,17,6,6,23,12,5,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,5,13,20,47,56,32,24,8,29,23,11,239
UCL221030,4,6,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,8,0,9,8,5,3,3,5,0,0,38,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,12,23,16,10,12,9,8,3,3,89
UCL221031,3,3,4,0,3,0,0,0,0,14,7,0,3,6,3,3,0,3,0,31,11,0,38,9,7,0,11,3,0,88,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,51,55,26,28,9,12,11,4,232
UCL221032,4,3,0,4,0,0,0,0,0,7,3,9,0,7,0,0,0,0,0,22,4,3,18,8,6,0,7,5,0,56,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,45,23,23,10,9,12,5,3,155
UCL221033,0,0,0,0,0,0,0,0,0,3,5,0,0,7,0,0,0,0,5,14,7,4,14,7,0,3,4,9,3,52,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,13,32,13,19,5,5,5,10,3,111
UCL221034,4,0,0,4,4,5,0,0,0,16,0,8,4,11,11,0,3,0,0,38,12,0,54,13,20,8,21,11,4,139,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,25,44,65,41,39,21,23,14,8,279
UCL221035,0,0,0,4,0,0,0,0,0,5,0,0,0,4,0,6,0,0,0,14,0,0,18,12,9,3,14,15,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,15,30,18,12,10,17,0,128
UCL221036,3,0,4,0,3,0,0,0,0,13,5,8,3,8,9,3,0,0,0,35,11,6,44,6,6,5,11,10,3,108,0,7,0,0,7,0,0,0,0,9,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,9,37,85,53,27,35,20,17,21,6,298
UCL221037,3,0,0,0,0,0,0,0,0,9,3,7,0,10,7,0,0,0,0,20,12,4,19,14,12,8,13,12,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,49,20,24,22,6,10,11,0,171
UCL221038,0,4,5,5,3,0,0,0,0,18,3,5,4,13,9,0,0,0,0,47,16,4,74,12,9,3,11,17,5,146,0,0,4,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,10,35,53,86,48,35,13,12,16,4,309
UCL221039,3,4,0,3,3,0,0,0,0,17,7,0,0,7,0,0,0,0,0,22,19,9,31,15,14,0,6,14,0,107,0,0,0,0,0,0,0,4,0,5,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,13,33,45,39,47,27,8,8,19,0,228
UCL221040,0,0,5,9,4,0,0,0,0,14,4,3,3,3,0,0,0,0,0,21,5,8,36,12,4,3,8,6,4,84,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,44,41,30,15,9,4,7,3,189
UCL221041,4,3,0,4,0,0,0,0,0,15,3,0,4,10,3,0,0,0,0,27,8,4,48,17,6,7,17,11,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,22,37,58,38,19,14,19,18,5,231
UCL221042,0,0,0,0,0,0,0,0,0,7,0,10,5,5,0,0,0,4,0,18,9,6,22,5,9,5,0,8,0,67,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,17,31,28,13,9,3,6,25,8,140
UCL221043,4,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,4,7,0,24,13,5,3,6,5,0,66,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,21,18,32,28,13,8,4,10,0,137
UCL221044,5,6,0,3,0,0,0,0,0,14,9,6,4,9,3,0,0,0,0,29,24,0,35,13,9,7,3,18,0,111,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,16,54,60,53,33,29,13,4,38,0,291
UCL221045,6,7,0,0,3,0,0,0,0,14,4,4,0,4,0,0,0,0,0,17,13,6,26,11,6,7,10,8,0,93,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,39,113,38,25,22,9,13,14,0,277
UCL221046,3,4,0,10,4,0,0,0,0,28,5,9,3,27,9,4,3,5,3,58,24,5,93,46,26,19,12,30,0,252,0,0,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,48,109,105,99,63,27,23,41,5,514
UCL221047,6,0,4,8,4,0,0,0,0,15,4,3,7,3,4,3,0,0,0,25,10,3,58,13,14,3,3,7,0,118,0,0,0,0,0,3,0,0,0,8,0,0,0,0,4,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,31,54,67,31,38,15,5,11,0,258
UCL221048,0,0,0,0,0,0,0,0,0,3,6,4,5,0,4,0,0,3,0,22,6,3,23,4,6,4,7,12,0,65,0,0,0,0,0,5,0,0,0,10,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,10,25,30,31,12,22,10,7,24,4,165
UCL221049,0,7,0,4,4,4,0,0,0,13,11,4,3,10,0,4,0,5,0,34,16,8,47,16,7,5,0,5,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,6,49,89,62,37,25,7,0,10,0,295
UCL221050,0,4,0,3,0,0,0,0,0,7,0,9,5,8,0,0,0,0,0,25,4,5,28,22,14,3,10,9,0,96,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,14,46,38,42,22,9,9,9,5,194
UCL221051,0,5,0,3,4,0,0,0,0,12,0,3,0,11,4,0,0,0,0,14,11,3,11,13,8,4,10,6,0,67,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,44,18,23,19,5,14,18,0,175
UCL221052,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,0,0,0,0,16,10,3,41,7,16,6,9,12,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,4,0,0,11,19,22,44,17,24,3,10,14,9,170
UCL221053,0,0,0,3,0,0,0,0,0,9,0,7,0,11,0,0,0,0,0,17,7,0,20,12,4,0,0,9,0,56,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,40,24,28,11,10,0,10,0,152
UCL221054,3,4,4,5,0,0,0,0,0,11,0,9,6,7,0,0,0,0,0,21,7,5,25,4,9,3,9,5,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,55,35,28,13,8,14,11,3,193
UCL221055,0,5,0,0,0,0,0,0,0,14,4,8,3,3,0,5,0,0,0,24,20,5,30,8,11,8,3,8,0,96,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,3,0,0,0,11,57,81,37,21,30,20,4,12,0,265
UCL221056,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,3,4,16,12,5,0,3,8,0,54,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,15,15,3,3,7,17,0,79
UCL221057,5,0,0,0,5,0,0,0,0,3,4,6,5,8,3,6,0,0,0,29,21,4,51,10,12,9,13,16,7,136,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,29,27,64,28,22,14,19,15,5,232
UCL221058,0,3,0,4,5,0,0,0,0,13,0,4,0,9,0,0,0,0,0,15,8,4,37,8,6,3,5,3,0,87,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,52,43,29,15,9,8,9,6,193
UCL221059,4,3,0,0,0,0,3,0,0,13,8,7,3,4,7,7,0,0,0,36,19,5,39,7,11,7,13,13,0,109,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,56,59,49,34,28,13,17,25,3,282
UCL221060,0,5,3,6,0,0,0,0,0,18,0,0,0,4,4,0,0,0,0,15,0,5,12,4,6,5,0,3,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,12,25,16,22,17,13,0,5,6,115
UCL221061,3,0,0,4,0,0,0,0,0,11,4,5,4,3,6,0,0,3,0,22,16,7,21,0,9,9,6,6,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,42,45,30,15,20,16,6,11,0,182
UCL221062,0,3,0,0,0,0,0,0,0,8,0,0,3,7,9,6,0,0,0,23,5,4,15,13,8,7,12,11,0,71,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,6,4,21,16,31,22,32,22,8,13,25,6,170
UCL221063,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,16,0,14,7,8,0,7,4,0,55,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,26,17,13,11,3,7,7,6,113
