UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL221002,167,0,0,0,0,169,128,0,0,0,0,123,32,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,56,4,0,0,0,0,4,4,0,0,0,0,4,358,3,0,0,0,360
UCL221003,60,0,0,0,0,62,114,0,0,0,0,108,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,3,0,200
UCL221004,128,0,0,0,0,129,181,0,0,0,0,184,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,5,0,0,0,0,5,8,0,0,0,0,8,329,0,3,0,0,332
UCL221005,139,0,0,0,0,138,76,0,0,0,0,77,7,0,0,0,0,7,4,0,4,0,0,6,4,0,8,0,0,7,22,0,0,0,0,19,9,0,0,0,0,5,0,0,0,0,0,3,40,0,12,0,0,54,6,0,0,0,0,6,3,0,0,0,0,8,268,0,16,4,0,282
UCL221006,98,0,0,0,0,98,104,0,0,0,0,104,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,4,0,0,0,0,4,0,0,0,0,0,0,46,0,0,0,0,46,3,0,0,0,0,3,4,0,0,0,0,4,249,0,0,0,0,249
UCL221007,90,0,0,0,0,91,90,0,0,0,0,92,11,0,0,0,0,11,10,0,0,0,0,10,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,4,0,0,0,0,4,215,0,0,0,0,216
UCL221008,177,0,0,0,0,176,72,0,0,0,0,72,3,0,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,16,7,0,0,0,22,6,0,0,0,0,8,0,0,0,0,0,0,28,4,0,0,0,40,6,0,0,0,0,6,7,0,0,0,0,7,289,11,0,0,0,298
UCL221009,94,0,0,0,0,94,100,0,0,0,0,100,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35,4,0,0,0,0,4,5,0,0,0,0,5,236,0,0,0,0,236
UCL221010,86,0,0,0,0,91,100,0,3,0,0,101,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,34,0,0,0,0,0,6,4,0,0,0,0,4,221,9,3,3,0,229
UCL221011,74,0,0,0,0,75,106,0,0,0,0,106,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,198,0,0,0,0,199
UCL221012,56,0,0,0,0,58,90,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,158,0,0,0,0,155
UCL221013,67,0,0,0,0,67,126,4,0,0,0,129,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,3,215,4,0,0,0,221
UCL221014,211,5,4,0,0,218,93,8,0,0,0,102,50,5,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,62,5,0,0,0,68,11,0,0,0,0,11,9,0,0,0,0,9,393,9,3,0,0,411
UCL221015,97,0,0,0,0,100,67,0,0,0,0,72,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,178,4,0,0,0,184
UCL221016,65,0,0,0,0,65,195,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,4,276,0,0,0,0,276
UCL221017,161,3,0,4,0,162,134,0,0,6,0,140,14,0,0,0,0,14,0,9,0,0,0,9,0,3,0,0,0,3,22,0,0,0,0,20,4,0,0,0,0,5,0,0,0,0,0,0,33,14,0,0,0,47,3,0,0,0,0,6,14,0,0,0,0,14,343,18,0,5,0,367
UCL221018,234,4,0,5,0,242,105,0,0,0,0,105,22,4,7,0,0,33,8,0,0,0,0,8,0,0,0,0,0,0,20,0,0,0,0,26,8,0,0,0,0,7,0,0,0,0,0,0,54,8,7,0,0,68,4,0,0,0,0,4,19,4,0,0,0,21,421,10,3,4,0,443
UCL221019,193,0,0,9,0,207,123,0,0,0,0,120,24,0,0,0,0,25,6,0,0,0,0,9,0,3,3,0,0,7,17,0,0,0,0,23,9,0,0,7,0,11,0,0,0,0,0,0,56,3,3,10,0,70,15,0,0,0,0,15,3,0,0,0,0,4,388,3,3,22,0,419
UCL221020,227,3,0,4,0,238,100,3,0,0,0,99,14,0,0,0,0,17,7,7,0,0,0,11,3,0,0,0,0,6,23,0,0,0,0,21,5,0,0,0,0,7,0,0,0,0,0,3,49,13,0,3,0,66,8,0,0,0,0,9,10,0,0,0,0,10,390,22,0,4,0,413
UCL221021,83,0,0,0,0,83,159,0,0,0,0,159,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,47,5,0,0,0,0,5,7,0,0,0,0,7,299,0,0,0,0,302
UCL221022,103,0,0,0,0,107,47,0,0,0,0,50,17,0,0,0,0,17,0,4,0,0,0,5,0,0,0,0,0,0,14,0,0,0,0,14,4,0,0,0,0,10,3,0,0,0,0,3,48,11,0,0,0,57,14,0,0,0,0,16,7,0,0,0,0,7,210,8,0,0,0,231
UCL221023,155,4,0,18,0,176,74,0,0,4,0,81,17,0,0,0,0,20,9,16,0,0,0,25,4,0,0,0,0,4,17,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,48,16,0,0,0,67,3,0,0,0,0,3,10,0,0,0,0,8,286,23,0,20,0,327
UCL221024,214,6,0,6,0,229,124,0,0,0,0,129,28,3,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,41,5,3,3,0,54,0,0,0,0,0,0,6,0,0,0,0,7,397,14,3,9,0,424
UCL221025,159,0,6,0,0,166,60,0,0,0,0,61,26,0,0,0,0,23,0,5,6,0,0,6,0,3,0,0,0,4,30,0,3,0,0,30,7,0,3,0,0,12,0,0,0,0,0,0,59,11,14,0,0,80,10,0,0,0,0,10,8,0,0,0,0,7,294,11,20,0,0,332
UCL221026,132,6,0,19,0,148,74,0,0,0,0,74,42,3,0,0,0,47,4,0,0,0,0,4,0,0,0,0,0,0,25,4,0,0,0,33,5,0,0,0,0,6,0,0,0,0,0,0,88,3,0,0,0,97,5,0,0,0,0,8,9,0,0,0,0,9,305,8,0,18,0,331
UCL221027,151,0,0,4,0,151,93,0,0,0,0,96,26,0,0,0,0,26,9,0,0,0,0,9,0,0,0,0,0,0,24,0,0,0,0,25,3,0,0,0,0,3,3,0,0,0,0,3,59,0,0,0,0,59,8,0,0,0,0,8,0,0,0,4,0,8,309,0,0,11,0,317
UCL221028,209,0,7,4,0,213,58,0,0,0,0,60,19,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,29,3,0,0,0,0,3,5,0,0,0,0,5,295,0,12,4,0,315
UCL221029,93,0,3,0,0,94,121,0,0,0,0,121,9,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,20,6,0,0,0,0,6,9,0,0,0,0,8,235,3,5,0,0,246
UCL221030,136,23,0,3,0,166,51,14,0,0,0,61,20,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0,0,0,32,3,0,0,0,0,5,7,0,0,0,0,10,223,46,0,3,0,267
UCL221031,69,0,0,0,0,69,116,0,0,0,0,116,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,203
UCL221032,87,0,0,0,0,87,96,0,0,0,0,96,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,29,5,0,0,0,0,5,8,0,0,0,0,8,219,0,0,0,0,220
UCL221033,141,0,0,0,0,142,43,0,0,0,0,43,17,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,5,0,5,0,0,11,0,0,0,0,0,0,32,3,7,0,0,45,6,0,0,0,0,4,8,0,0,0,0,8,234,3,7,3,0,244
UCL221034,79,0,0,0,0,80,159,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,6,7,0,0,0,0,7,0,0,0,0,0,0,257,0,4,0,0,254
UCL221035,159,0,0,8,0,170,86,0,0,3,0,85,7,0,0,0,0,7,0,3,0,0,0,3,0,0,0,0,0,0,20,3,0,0,0,27,0,0,0,8,0,8,0,0,0,0,0,0,30,5,0,8,0,45,0,0,0,0,0,4,8,0,0,0,0,7,293,9,0,18,0,317
UCL221036,98,0,0,0,0,98,139,0,0,0,0,139,11,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,0,19,3,0,0,0,0,3,0,0,0,0,0,0,261,0,3,0,0,263
UCL221037,188,4,0,0,0,192,66,0,0,0,0,68,7,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,25,11,0,0,0,0,11,0,0,0,0,0,0,46,4,0,0,0,45,8,0,0,0,0,12,4,0,0,0,0,4,310,6,3,0,0,317
UCL221038,92,0,0,0,0,92,165,0,0,0,0,168,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,9,0,0,0,0,9,281,0,0,0,0,288
UCL221039,119,0,0,0,0,118,110,0,0,0,0,110,23,0,0,0,0,25,0,0,3,0,0,3,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,45,0,3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,269,0,5,0,0,280
UCL221040,124,0,0,0,0,124,83,0,0,0,0,88,29,4,0,0,0,34,0,0,0,0,0,0,5,0,0,0,0,5,20,0,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,0,56,4,0,0,0,59,3,0,0,0,0,3,3,0,0,0,0,3,270,6,0,0,0,275
UCL221041,77,0,0,0,0,77,119,0,0,0,0,119,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,3,214,0,0,0,0,214
UCL221042,88,0,0,0,0,86,86,0,0,0,0,90,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,21,0,0,0,0,22,0,0,0,0,0,0,10,0,0,0,0,10,197,3,0,0,0,202
UCL221043,345,0,3,0,0,348,118,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,38,11,0,0,0,0,11,6,0,0,0,0,8,514,0,3,0,0,521
UCL221044,274,11,0,11,0,290,87,0,0,0,0,91,15,0,0,0,0,15,3,0,0,0,0,3,10,0,0,0,0,10,39,3,0,0,0,42,3,0,0,0,0,11,3,0,0,0,0,3,77,3,0,0,0,80,6,0,0,0,0,10,8,0,0,0,0,12,458,20,0,13,0,485
UCL221045,101,0,0,0,0,106,146,0,0,0,0,145,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,32,5,0,0,0,0,5,0,0,0,0,0,0,289,0,0,0,0,292
UCL221046,75,0,0,12,0,81,341,0,0,0,0,338,37,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,3,0,3,0,0,0,0,0,0,51,0,0,3,0,54,0,0,0,0,0,0,5,0,0,0,0,6,469,0,0,14,0,486
UCL221047,69,0,0,0,0,69,109,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,0,0,3,6,0,0,0,0,6,196,0,0,0,0,196
UCL221048,82,0,0,0,0,82,70,0,0,0,0,70,15,0,0,0,0,22,0,7,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,14,5,0,0,0,0,5,0,0,0,0,0,0,37,7,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,188,7,3,0,0,201
UCL221049,94,0,0,0,0,94,118,0,0,0,0,118,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,223
UCL221050,132,10,0,9,0,157,95,13,0,0,0,107,20,9,0,0,0,20,0,5,0,0,0,3,0,6,0,0,0,0,15,0,0,0,0,19,4,0,0,3,0,9,0,0,0,0,0,0,46,9,0,3,0,66,5,5,0,0,0,9,3,0,0,0,0,3,279,40,0,16,0,338
UCL221051,163,0,0,3,0,170,96,0,0,6,0,101,26,3,0,0,0,35,0,0,0,0,0,0,0,6,0,0,0,3,25,0,0,0,0,27,3,0,0,0,0,3,0,0,0,0,0,0,58,5,4,0,0,68,6,0,0,0,0,6,9,0,0,0,0,9,324,5,4,6,0,343
UCL221052,67,0,0,0,0,65,73,0,3,0,0,73,22,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,38,0,0,0,0,0,0,5,0,0,0,0,5,180,3,3,3,0,186
UCL221053,207,0,0,0,0,212,76,0,0,0,0,76,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,9,0,0,0,0,9,321,0,0,0,0,324
UCL221054,130,0,0,0,0,130,126,0,0,0,0,126,8,0,0,0,0,9,0,0,3,0,0,3,0,0,0,0,0,0,14,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,33,6,0,0,0,0,3,6,0,0,0,0,6,281,0,5,4,0,291
UCL221055,55,0,0,0,0,55,128,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,198
UCL221056,48,0,0,4,0,56,63,0,0,3,0,66,17,0,4,0,0,20,5,0,8,0,0,13,0,0,0,0,0,0,13,0,0,0,0,13,3,0,0,0,0,8,0,0,0,0,0,0,39,0,10,0,0,47,4,0,0,0,0,5,8,0,0,0,0,10,160,0,7,6,0,184
UCL221057,67,0,0,0,0,69,154,0,0,0,0,154,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,6,0,0,0,0,6,243,0,0,0,0,244
UCL221058,72,0,0,0,0,72,81,0,0,0,0,81,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,173
UCL221059,111,5,0,0,0,117,94,5,0,4,0,101,37,4,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,57,5,0,0,0,0,6,6,0,0,0,0,6,264,14,0,6,0,286
UCL221060,210,0,0,0,0,214,48,0,0,0,0,50,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,3,0,0,0,0,3,4,0,0,0,0,4,292,0,0,0,0,291
UCL221061,173,0,0,0,0,179,77,5,0,0,0,82,18,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,32,0,0,0,0,0,0,7,0,0,0,0,7,289,3,4,0,0,299
UCL221062,216,0,0,3,0,221,109,0,0,0,0,110,19,7,0,0,0,25,0,3,0,0,0,3,0,0,0,0,0,0,25,7,0,5,0,31,4,0,0,3,0,11,0,0,0,0,0,0,50,12,0,8,0,74,3,0,0,0,0,9,15,0,0,8,0,26,395,13,0,22,0,436
UCL221063,124,0,0,0,0,135,62,0,0,0,0,62,5,0,0,0,0,5,0,7,0,0,0,3,0,0,0,0,0,0,25,0,0,0,0,29,5,0,0,0,0,5,0,0,0,0,0,0,35,4,0,0,0,39,8,0,0,0,0,8,9,0,0,0,0,13,237,9,0,3,0,249
UCL221064,47,0,0,0,0,47,158,0,0,0,0,158,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,4,0,0,0,0,4,228,0,0,0,0,228
UCL221065,118,0,0,0,0,118,39,0,0,0,0,39,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,5,0,0,0,0,5,190,0,0,0,0,190
UCL221066,91,0,0,0,0,91,136,0,0,0,0,136,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,4,245,0,0,0,0,248
UCL221067,72,0,0,0,0,73,90,0,0,0,0,90,19,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,4,0,0,0,0,4,0,0,0,0,0,0,41,3,0,0,0,46,8,0,0,0,0,8,0,0,0,0,0,3,208,11,0,0,0,215
UCL221068,53,0,0,0,0,60,83,0,0,0,0,83,40,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,57,0,0,0,0,57,7,0,0,0,0,7,7,0,0,0,0,7,207,0,0,0,0,209
UCL221069,157,0,0,0,0,157,135,3,0,0,0,141,46,6,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,70,6,0,0,0,71,15,0,0,0,0,15,5,0,0,0,0,7,382,5,0,0,0,390
UCL221070,167,0,0,5,0,175,115,0,0,0,0,116,35,7,6,0,0,45,0,10,0,0,0,8,0,0,0,0,0,0,37,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,75,12,4,0,0,97,9,0,0,0,0,9,7,4,0,0,0,7,367,21,10,4,0,406
UCL221071,165,5,0,0,0,164,85,0,0,0,0,85,41,4,0,0,0,47,0,3,0,0,0,3,0,0,0,0,0,0,18,0,0,0,0,18,3,0,0,0,0,4,0,0,0,0,0,0,62,4,0,0,0,70,6,0,0,0,0,6,5,0,0,0,0,3,320,11,0,0,0,331
UCL221072,78,0,0,0,0,78,99,0,0,0,0,99,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,190
UCL221073,61,0,0,0,0,61,91,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,158
UCL221074,167,4,0,0,0,171,108,0,0,0,0,109,24,0,0,0,0,23,0,0,0,0,0,0,0,4,0,0,0,4,15,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,41,12,0,3,0,55,13,0,0,0,0,12,0,0,0,0,0,0,327,17,0,6,0,352
UCL221075,199,0,0,0,0,201,88,0,0,0,0,88,35,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,6,0,0,0,0,6,5,0,0,0,0,5,348,0,0,0,0,355
UCL221076,225,0,0,0,0,225,122,0,0,0,0,122,49,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,63,8,0,0,0,0,11,7,0,0,0,0,9,419,0,0,0,0,423
UCL221077,153,3,0,0,0,155,71,0,0,0,0,72,15,6,0,0,0,23,0,5,0,0,0,5,0,0,0,0,0,0,21,0,0,0,0,22,3,0,0,11,0,11,0,0,0,0,0,0,44,12,0,11,0,66,4,0,0,0,0,4,9,0,0,3,0,11,279,21,0,12,0,312
UCL221078,65,0,0,0,0,62,116,0,0,0,0,116,15,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,34,5,0,0,0,0,5,0,0,0,0,0,0,214,0,0,0,0,214
UCL221079,152,6,0,5,0,159,60,0,0,0,0,64,19,0,0,0,0,21,0,14,0,0,0,14,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,8,0,0,0,0,0,0,36,10,0,0,0,51,3,0,0,0,0,8,12,0,0,0,0,12,259,21,0,6,0,286
UCL221080,96,11,0,25,0,130,64,13,0,0,0,79,22,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,33,5,0,0,0,45,0,0,0,3,0,4,0,0,0,3,0,5,198,38,0,27,0,260
UCL221081,140,7,0,0,0,149,45,3,0,0,0,52,6,5,0,0,0,11,0,5,0,0,0,5,0,0,0,0,0,0,17,0,0,0,0,17,3,0,0,0,0,7,0,0,0,0,0,0,32,6,0,0,0,36,12,0,0,0,0,12,0,0,0,5,0,8,227,17,0,4,0,248
UCL221082,23,0,35,0,0,57,97,0,27,0,0,125,61,0,101,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,70,0,104,0,0,175,0,0,0,0,0,4,5,0,0,0,0,5,191,5,166,0,0,365
UCL221083,167,0,0,6,0,174,127,0,0,0,0,133,40,0,0,0,0,40,0,0,0,0,0,0,0,13,0,0,0,11,37,4,0,0,0,41,3,5,0,0,0,10,0,4,0,0,0,4,76,20,0,0,0,103,5,4,7,0,0,12,7,0,4,0,0,8,386,32,7,10,0,434
UCL221084,124,0,0,0,0,124,139,0,0,0,0,139,23,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,46,6,0,0,0,0,6,0,0,0,0,0,0,315,0,0,0,0,319
UCL222001,56,0,0,0,0,56,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,95
