UCL_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL215031,0,5,88,318,98,4,0,15,537,0,0,5,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,8,0,17,3,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,24,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,27,102,319,98,8,0,15,571
UCL215032,5,50,206,701,240,21,14,25,1256,0,22,57,6,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,22,57,6,0,0,0,0,84,0,4,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,71,259,712,240,21,14,29,1353
UCL215033,0,0,16,265,548,56,10,4,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,265,548,56,10,4,888
UCL215034,0,9,88,283,82,8,0,9,494,0,5,19,8,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,5,19,8,0,0,0,3,30,0,22,38,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,38,0,0,0,0,0,61,3,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,41,148,297,82,8,0,14,597
UCL215035,0,3,44,226,190,38,8,10,517,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,35,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,79,227,190,38,8,10,557
UCL215036,0,4,39,170,136,20,8,6,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46,174,136,20,8,5,397
UCL215037,0,13,102,280,134,15,6,25,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,37,4,0,0,0,0,5,49,0,0,0,0,0,0,0,0,0,4,51,116,289,134,15,6,24,628
UCL215038,0,33,161,426,114,17,8,21,774,0,0,25,7,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,27,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,8,10,4,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,7,50,198,425,118,17,8,22,836
UCL215039,0,9,106,316,115,11,0,10,563,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,29,0,0,0,0,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,0,0,0,0,3,41,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18,130,323,115,11,0,11,614
UCL215040,0,17,72,320,81,8,3,12,518,0,3,16,4,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,3,16,4,0,0,0,3,25,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,4,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,26,98,326,81,8,4,20,553
UCL215041,0,16,161,777,332,56,16,38,1394,0,17,97,17,4,0,0,3,129,0,0,0,0,0,0,0,0,0,0,17,97,17,4,0,0,0,133,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,13,23,0,0,0,0,0,0,0,0,5,0,33,263,794,339,63,15,52,1557
UCL215042,0,10,45,181,156,32,3,5,444,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,54,182,156,32,3,5,450
UCL215043,3,4,49,416,475,47,11,16,1025,0,0,0,7,0,0,0,0,4,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,10,0,22,66,32,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,68,32,0,0,0,0,125,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,26,117,463,475,47,11,19,1157
UCL215044,0,6,57,340,173,20,0,9,609,0,5,23,4,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,5,25,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,81,343,178,20,0,9,652
UCL215045,6,13,159,782,385,43,4,26,1411,0,18,97,19,4,0,0,3,145,0,0,4,4,0,0,0,0,7,0,18,103,23,4,0,0,3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,33,265,808,385,43,7,30,1575
UCL215046,0,7,69,322,208,17,8,9,639,0,3,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,15,62,328,209,17,8,8,649
UCL215047,0,3,39,265,351,34,4,12,712,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,5,24,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,59,273,353,41,4,16,757
UCL215048,0,4,36,299,238,16,5,16,607,0,0,11,36,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,11,39,0,0,0,0,51,0,0,16,18,0,0,0,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,0,0,0,4,30,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,10,58,352,247,16,5,16,698
UCL215049,0,20,54,156,116,34,17,9,399,0,0,4,0,0,0,0,0,6,0,3,7,20,4,4,0,0,38,0,3,10,16,4,4,0,0,35,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,3,0,0,0,0,27,0,0,6,0,0,0,0,0,7,0,5,0,0,0,0,0,0,5,0,35,71,185,121,34,17,12,476
UCL215050,0,19,69,422,350,99,22,7,986,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,28,74,428,352,99,19,7,1008
UCL215051,0,6,247,953,405,53,4,27,1702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,70,4,0,0,0,4,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,70,4,4,0,0,4,134,0,4,8,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,65,320,965,410,53,6,30,1848
UCL215052,0,31,174,349,86,15,7,5,662,3,4,0,3,0,0,0,4,12,0,0,0,0,0,0,0,0,0,3,4,4,3,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,180,350,86,15,7,9,677
UCL215053,3,15,194,720,446,53,10,21,1451,0,15,63,35,0,0,0,7,117,0,0,4,0,0,0,0,0,4,0,15,60,35,0,0,0,7,120,0,3,4,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,6,0,11,4,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,32,269,759,445,53,10,24,1603
UCL215054,0,4,115,421,120,11,0,23,704,0,7,39,7,0,0,0,0,58,0,0,4,0,0,0,0,0,4,0,7,37,7,0,0,0,0,62,0,19,7,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,26,3,10,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,10,43,166,430,120,11,0,27,805
UCL215055,0,15,91,349,178,14,4,8,664,0,0,7,0,0,0,0,0,9,0,0,3,3,0,0,0,0,5,0,0,7,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,5,20,99,353,178,14,4,8,686
UCL215056,0,12,114,418,62,12,0,18,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,114,418,62,12,0,18,630
UCL215057,0,10,53,365,166,25,4,12,640,0,15,19,4,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,15,19,4,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,73,372,166,25,4,10,675
UCL215058,0,12,87,269,91,15,6,6,484,0,5,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,86,267,91,15,6,12,495
UCL215059,0,22,155,527,180,13,10,11,911,0,4,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,9,0,0,3,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,5,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,3,3,32,157,535,190,14,10,10,944
UCL215060,0,19,138,650,237,19,0,15,1077,0,6,65,18,0,0,0,3,102,0,0,0,0,0,0,0,0,0,0,6,65,18,0,0,0,3,102,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,5,0,4,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,32,210,668,242,18,5,19,1191
UCL215061,0,6,134,394,181,20,3,18,759,0,20,29,16,0,0,0,3,70,0,0,0,0,0,0,0,0,0,0,20,26,16,0,0,0,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,3,0,0,0,0,36,0,0,0,4,0,0,0,0,4,0,43,177,416,183,22,3,28,869
UCL215062,0,6,83,326,135,18,9,13,589,7,10,18,5,0,0,0,0,37,0,0,0,0,0,0,0,0,0,7,10,18,5,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,5,0,0,0,0,21,0,0,0,0,0,0,0,0,0,9,25,102,335,135,18,6,13,652
UCL215063,0,0,51,159,142,24,3,7,376,0,0,4,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,11,0,7,4,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,60,164,142,24,3,6,399
UCL215064,3,7,112,447,129,15,7,9,722,0,17,29,3,0,0,0,3,50,0,0,6,0,0,0,0,0,3,0,21,30,3,0,0,0,3,58,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,143,448,125,15,7,14,788
UCL215065,0,14,178,826,299,31,8,20,1377,3,21,122,25,0,0,0,7,185,0,0,0,0,0,0,0,0,0,3,21,122,25,0,0,0,7,185,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,5,11,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,5,6,45,310,855,299,34,5,29,1589
UCL215066,0,14,123,529,108,21,0,28,818,0,16,12,0,0,0,0,3,37,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,0,3,37,0,4,8,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,22,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,41,147,525,108,21,0,31,881
UCL215067,0,8,62,241,83,8,0,6,411,0,16,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,22,64,246,83,8,0,9,431
UCL215068,0,14,224,809,295,27,5,28,1399,0,3,93,47,0,0,0,4,153,0,0,9,10,4,0,0,0,31,0,9,105,59,6,4,0,4,185,0,3,3,6,0,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,0,0,0,0,20,0,12,5,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,4,43,339,878,302,29,5,33,1632
UCL215069,0,7,183,627,312,46,7,10,1201,0,17,58,22,0,0,0,0,102,0,0,7,7,3,3,0,0,26,0,16,66,28,5,0,0,0,125,0,0,6,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,4,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,5,29,260,662,316,55,11,16,1344
UCL215070,0,8,180,621,178,24,8,18,1034,0,26,48,25,0,0,0,4,113,0,0,0,0,0,0,0,0,3,0,26,57,25,0,0,0,4,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,42,236,652,181,24,10,23,1162
UCL215071,0,4,49,461,536,86,16,7,1155,0,4,33,31,3,0,0,0,72,0,0,0,3,0,0,0,0,8,0,4,35,37,3,0,0,0,81,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,83,502,544,86,16,7,1248
UCL215072,0,3,71,309,157,20,10,20,591,0,6,9,0,0,0,0,0,14,0,0,0,3,5,0,0,0,4,0,6,6,3,5,0,0,0,20,0,14,26,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,0,0,0,0,0,45,3,15,0,0,4,0,0,0,35,0,0,0,0,0,0,0,0,4,9,40,107,319,167,20,13,21,699
UCL215073,0,13,153,606,247,31,5,26,1096,0,25,33,0,0,0,0,3,68,0,0,0,0,0,0,0,0,0,0,25,33,0,0,0,0,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,8,0,0,0,0,0,28,0,0,0,0,4,0,0,0,4,8,54,196,606,249,35,5,27,1185
UCL215074,0,7,97,650,797,79,15,28,1670,0,15,5,21,6,0,0,0,43,0,0,0,0,0,0,0,0,0,0,15,5,21,6,0,0,0,43,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,6,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,101,675,796,79,15,27,1729
UCL215075,0,18,47,269,114,13,0,19,486,0,0,12,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,17,62,275,114,13,0,21,502
UCL215076,0,16,106,456,249,22,5,19,876,0,4,45,11,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,4,45,11,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,21,153,474,256,22,5,21,951
UCL215077,0,10,53,253,197,29,9,3,547,0,0,0,0,0,0,0,0,0,0,0,10,26,4,0,0,0,40,0,0,12,24,4,0,0,0,41,0,4,45,10,6,0,0,0,71,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,45,12,6,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,116,294,205,30,9,5,670
UCL215078,0,5,38,343,209,33,4,9,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,343,209,33,4,9,647
