UCL_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL215022,5,0,0,0,0,0,13,3,3,3,0,0,0,9,5,3,5,5,0,0,17,6,7,0,5,0,0,16,19,29,5,6,7,0,66,21,30,7,12,3,0,78,20,17,10,6,3,0,51,8,12,0,3,3,0,34,10,14,5,0,5,0,26,10,14,0,0,0,0,24,4,12,0,0,0,0,17,9,7,4,0,0,0,15,3,5,0,0,0,0,3,0,6,0,0,0,0,7,4,0,5,0,0,0,8,5,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,6,3,0,0,4,16,129,167,56,41,27,6,421
UCL215023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,6,4,5,5,7,0,0,14,7,7,4,0,0,0,15,5,9,3,4,0,0,24,5,4,0,3,0,0,14,7,6,0,0,0,0,12,0,10,3,0,0,0,8,0,6,0,0,0,0,10,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,37,43,25,15,6,6,135
UCL215024,6,0,3,0,0,0,4,5,0,0,0,0,0,5,5,0,0,0,0,0,7,4,0,0,0,0,0,9,4,9,0,0,0,0,23,5,21,3,0,0,0,29,8,10,4,0,0,0,21,9,3,0,0,3,0,17,0,5,0,0,0,0,10,0,6,0,0,0,0,6,0,3,4,0,0,0,7,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,48,70,20,3,7,0,152
UCL215025,0,0,0,0,0,0,8,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,3,5,3,0,0,10,3,5,0,0,0,0,14,0,6,0,0,0,0,8,9,9,0,0,0,0,16,0,3,0,0,0,0,5,3,5,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,4,3,0,0,0,0,0,4,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,51,35,10,8,13,0,119
UCL215026,0,0,0,0,0,0,5,0,0,0,0,0,0,4,4,0,0,0,0,0,4,3,0,0,0,0,0,3,3,0,3,0,0,0,9,9,5,0,0,0,0,10,4,3,3,0,0,0,8,7,0,0,5,3,0,9,5,8,0,0,0,0,11,3,7,0,0,0,0,7,0,0,0,0,0,0,0,7,3,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,6,50,34,10,10,3,3,112
UCL215027,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,7,9,8,3,0,0,0,15,11,5,0,3,0,0,15,4,5,0,0,4,0,15,4,3,0,0,0,0,8,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,33,34,7,0,8,0,90
UCL215028,3,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,14,3,0,0,4,0,0,4,6,8,8,0,3,0,23,9,6,3,0,5,0,26,6,8,7,0,0,0,32,14,24,5,3,3,0,46,6,16,4,4,0,0,31,10,14,4,0,0,0,33,3,7,3,0,0,0,19,4,7,6,0,0,0,20,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,26,95,125,41,16,21,4,300
UCL215029,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,9,7,0,0,0,0,0,12,9,5,0,3,0,0,22,6,9,4,0,0,0,20,11,4,0,9,0,0,26,15,10,7,0,0,0,26,20,10,4,3,3,0,42,7,5,0,0,0,0,17,18,8,3,0,0,0,31,3,3,0,0,0,0,13,3,5,0,0,0,0,4,7,4,3,0,0,0,19,9,3,3,0,0,0,14,3,0,0,0,0,0,6,7,4,0,0,0,0,13,9,10,4,5,4,0,26,152,83,40,28,24,0,328
UCL215030,0,0,0,0,0,0,3,0,0,0,0,3,0,5,3,0,3,4,0,0,14,8,6,0,0,0,0,18,11,9,0,3,0,0,25,12,10,3,0,6,0,29,3,4,0,0,0,0,11,4,8,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,6,0,0,0,6,48,42,16,11,13,0,128
UCL215031,0,0,0,0,0,0,3,0,0,0,0,0,0,9,5,0,0,0,0,0,6,5,0,5,0,0,0,9,4,16,12,3,0,0,34,0,11,0,0,0,0,14,6,9,4,0,0,0,16,0,3,0,0,0,0,9,4,0,0,0,0,0,10,4,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,35,40,25,7,11,0,116
UCL215032,0,0,0,0,0,0,8,0,0,0,0,6,0,6,3,0,0,0,0,0,9,3,3,3,3,0,0,17,8,4,0,3,4,4,25,7,13,7,0,8,0,37,11,15,0,3,3,0,41,6,20,4,6,0,0,37,10,14,3,0,8,0,31,7,13,0,3,3,0,25,4,3,4,0,0,0,14,10,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,3,0,11,79,105,39,27,31,6,280
UCL215033,5,8,0,0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,5,8,0,0,0,0,9,0,7,0,0,4,0,12,0,17,5,0,0,0,30,10,23,8,3,0,0,48,9,30,6,0,0,0,38,13,38,4,0,4,0,62,10,39,12,0,0,0,67,17,50,12,7,0,0,79,15,24,4,0,3,0,47,13,13,3,0,0,0,26,16,29,10,3,0,0,53,5,25,7,6,3,0,45,4,7,0,0,0,0,11,3,3,0,0,0,0,13,0,18,4,0,0,0,19,127,337,77,28,15,0,591
UCL215034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,7,6,0,0,3,4,0,7,0,6,0,0,4,0,10,3,0,0,0,0,0,9,4,3,0,0,0,0,7,0,0,0,0,0,0,5,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,25,22,9,3,3,0,70
UCL215035,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,3,0,0,0,0,9,8,3,0,0,0,0,11,7,5,6,0,4,0,21,9,13,0,0,0,0,18,4,15,0,0,0,0,19,7,19,0,0,4,0,29,6,9,9,0,0,0,21,12,23,5,3,0,0,32,3,14,0,0,0,0,18,3,11,0,0,0,0,13,0,10,0,0,0,0,10,0,6,0,0,0,0,10,4,3,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,5,63,131,27,7,8,0,237
UCL215036,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,5,4,0,0,0,6,8,0,0,6,3,0,14,0,4,7,0,7,0,16,4,6,0,0,0,0,17,3,14,4,3,3,0,20,7,13,0,0,0,0,23,10,11,3,0,0,0,25,3,9,0,0,0,0,11,4,5,0,0,0,0,8,4,9,4,0,0,0,18,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,4,0,0,0,9,47,84,32,12,18,0,192
UCL215037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,7,5,0,0,0,0,0,3,3,0,0,0,0,0,0,8,0,0,0,3,0,12,5,6,0,4,0,0,16,5,11,0,0,5,0,18,10,7,4,0,3,0,24,9,5,3,0,0,0,25,4,3,0,0,0,0,7,3,3,0,0,0,0,9,3,4,4,0,0,0,10,3,0,0,0,0,0,3,6,0,0,0,0,0,8,3,4,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,5,0,12,68,55,21,16,13,0,168
UCL215038,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,5,0,12,4,5,3,0,0,0,18,10,3,8,0,0,0,21,12,5,0,0,0,0,20,3,7,0,0,0,0,14,3,7,0,0,0,0,6,4,0,5,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,0,0,0,9,65,46,19,8,8,0,142
UCL215039,0,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,6,5,10,4,3,3,0,23,3,11,6,4,0,0,23,9,15,5,0,0,0,27,5,5,7,0,0,0,17,5,0,0,0,0,0,11,0,3,0,0,0,0,7,0,0,0,0,0,0,5,5,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,6,40,57,26,18,11,0,141
UCL215040,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,7,3,3,0,0,0,11,4,6,0,6,0,0,14,8,12,0,4,0,0,25,5,3,3,4,0,3,18,10,6,0,0,0,0,19,0,0,0,0,0,0,7,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,43,47,10,13,11,3,122
UCL215041,6,0,0,0,0,0,4,6,0,4,0,0,0,6,0,5,0,0,0,0,11,7,5,0,0,0,0,16,15,18,5,5,4,0,45,15,22,4,0,0,0,45,9,26,3,4,4,0,45,10,25,4,5,0,0,47,3,15,4,0,0,0,27,7,3,3,0,0,0,18,3,7,0,0,0,0,8,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,5,0,0,0,0,5,4,0,0,0,0,0,4,0,0,0,0,0,0,0,5,3,0,4,0,0,14,84,146,36,22,16,0,305
UCL215042,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,5,3,0,0,0,8,4,0,5,0,0,0,11,9,6,5,0,0,0,18,7,7,5,0,4,0,18,3,14,6,0,0,0,31,5,4,4,0,0,0,19,10,10,5,0,0,0,28,5,3,0,0,0,0,14,0,7,0,0,0,0,7,5,4,0,0,0,0,11,13,9,0,0,0,0,21,0,0,0,0,0,0,3,3,0,0,0,0,0,3,6,7,0,0,5,0,18,79,78,38,8,17,0,222
UCL215043,5,5,0,0,0,0,9,0,0,0,0,0,0,0,5,4,0,0,0,0,6,0,0,3,4,0,0,3,5,7,0,0,0,0,10,3,3,3,3,4,0,17,4,14,5,0,4,0,30,12,18,5,5,4,0,42,6,26,8,0,0,0,49,15,35,6,12,3,0,77,14,39,3,3,0,0,63,16,47,6,3,0,0,76,16,16,0,0,0,0,37,6,12,0,0,0,0,20,13,15,5,0,0,0,31,5,17,3,0,0,0,28,4,3,4,0,0,0,6,5,3,0,0,0,0,4,13,12,5,6,3,3,43,146,290,63,37,24,3,558
UCL215044,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,6,3,3,0,0,0,0,8,4,4,5,0,0,0,18,11,13,0,3,0,0,26,8,16,0,4,0,0,29,11,22,0,0,0,0,32,6,16,0,0,0,0,21,0,6,0,4,0,0,8,0,4,0,0,0,0,14,4,0,0,0,0,0,8,0,5,0,0,0,0,8,0,7,0,0,0,0,10,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,10,66,104,16,13,8,3,209
UCL215045,6,9,0,0,0,0,18,3,0,0,0,0,0,8,8,0,0,4,0,0,12,5,4,0,0,6,0,14,10,7,0,0,6,0,16,14,8,9,4,5,0,41,18,25,6,10,6,0,58,15,30,5,7,3,0,62,10,20,7,3,0,0,42,10,23,6,0,0,0,44,0,16,0,0,0,0,18,10,17,3,0,0,0,35,4,0,0,0,0,0,8,0,0,4,0,0,0,8,4,3,3,0,0,0,15,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,3,5,3,0,20,129,170,58,36,24,4,425
UCL215046,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,5,0,0,0,10,0,0,0,0,0,0,7,3,5,3,0,0,0,6,0,4,0,0,0,0,10,0,4,0,3,4,0,17,10,16,0,0,0,0,26,3,21,0,0,5,0,33,11,16,6,0,0,0,40,10,21,0,0,0,0,31,11,21,3,3,0,0,37,6,6,0,0,0,0,9,0,0,0,0,0,0,7,9,11,3,0,0,0,16,0,4,0,0,0,0,9,0,3,0,0,0,0,0,0,3,0,0,0,0,3,9,0,3,0,0,0,14,77,127,26,21,21,0,272
UCL215047,3,4,4,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,0,0,0,6,5,0,3,0,0,0,10,5,5,3,3,5,0,21,5,14,3,0,3,0,22,8,16,5,5,3,0,38,9,17,3,0,0,0,32,12,28,10,0,0,0,50,18,23,6,3,0,0,50,25,40,5,3,0,0,70,16,20,0,0,0,0,35,4,3,0,0,0,0,6,3,4,0,0,0,0,18,5,0,0,0,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,4,8,8,8,0,0,0,27,131,185,49,19,14,0,401
UCL215048,9,0,4,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,4,0,0,7,3,7,0,4,0,0,16,6,9,0,3,9,0,22,7,16,0,5,7,0,36,17,18,5,4,4,0,46,4,20,0,0,0,0,34,9,6,0,0,4,0,22,3,8,0,0,0,0,20,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,5,0,0,0,0,9,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,3,0,0,0,22,75,115,29,27,30,0,279
UCL215049,0,0,0,0,0,0,3,4,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,3,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,4,0,0,0,0,6,0,0,0,0,0,0,3,0,4,0,0,0,0,4,7,0,0,0,0,0,6,28,20,10,3,0,0,62
UCL215050,6,0,4,0,0,0,10,0,0,5,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,4,4,0,0,0,0,0,10,3,0,0,0,0,0,12,3,5,6,0,0,0,16,0,8,9,0,0,0,10,7,10,3,7,0,0,25,5,17,0,0,0,0,21,4,6,0,0,0,0,13,11,25,0,3,0,0,39,0,14,0,0,0,0,21,8,10,0,0,0,0,20,11,24,0,0,0,0,41,15,41,15,0,0,0,75,15,17,4,0,0,0,31,14,18,9,0,0,0,42,9,6,8,0,0,0,22,120,215,62,20,10,0,417
UCL215051,3,3,0,0,0,0,8,0,0,0,0,0,0,8,5,0,4,0,0,0,13,3,0,4,0,0,0,9,16,15,3,9,5,0,43,19,26,8,7,3,0,64,12,39,5,4,8,0,65,36,31,8,6,6,3,85,16,33,5,6,0,0,66,11,19,9,6,0,0,43,3,4,0,0,0,0,12,0,10,0,4,0,0,21,4,4,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,10,4,5,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,22,154,213,60,35,23,3,489
UCL215052,5,0,0,0,0,0,10,5,0,0,0,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,3,6,5,6,0,5,0,16,3,4,6,0,0,0,11,3,7,0,0,0,0,21,9,0,0,0,0,0,9,8,6,0,0,0,0,19,0,3,0,0,0,0,9,0,13,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,6,4,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,58,46,19,7,15,3,148
UCL215053,5,4,0,0,0,0,7,3,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,4,0,0,3,0,12,3,10,0,0,3,0,24,10,17,0,0,0,0,34,9,13,0,0,0,0,30,13,15,0,4,3,0,36,16,23,3,0,0,0,47,13,24,3,0,0,0,36,8,25,0,0,3,0,45,0,11,0,0,0,0,18,0,5,0,0,0,0,9,11,7,0,0,0,0,18,9,7,6,3,0,0,15,3,6,0,0,0,0,11,0,0,0,0,0,0,3,11,12,0,0,0,0,26,134,186,26,16,17,3,389
UCL215054,0,0,0,0,0,0,4,5,0,0,0,0,0,5,5,4,0,0,0,0,10,3,0,0,0,0,0,6,10,9,3,6,3,0,36,16,19,4,5,6,0,57,10,9,4,6,5,0,37,9,13,5,5,0,0,32,9,9,3,3,0,0,19,5,6,0,0,0,0,11,5,0,0,0,0,0,7,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,3,0,18,85,86,26,26,20,0,241
UCL215055,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,5,0,0,0,0,0,6,4,0,0,0,0,0,5,3,0,0,0,0,0,6,10,0,3,0,0,0,17,3,7,0,5,0,0,17,0,11,0,0,0,0,14,7,6,0,0,0,0,16,0,7,0,0,0,0,11,0,3,0,0,0,0,7,0,5,0,0,0,0,0,0,0,3,0,0,0,5,0,8,0,0,0,0,3,8,4,0,0,0,0,11,5,0,0,0,0,0,5,3,0,0,0,0,0,5,0,0,0,0,0,0,10,65,51,12,8,5,0,140
UCL215056,0,0,5,0,3,0,5,0,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,3,0,7,3,3,4,0,7,0,19,8,3,0,3,0,0,19,9,10,3,0,3,0,20,5,13,0,7,7,0,30,12,10,3,4,4,0,37,10,13,0,0,0,0,30,4,6,0,0,0,0,15,5,7,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,6,3,0,0,14,59,81,22,22,35,0,217
UCL215057,0,3,0,0,0,0,5,0,0,0,0,0,0,0,4,3,0,0,0,0,9,7,6,6,0,0,0,8,3,0,0,0,3,0,8,6,0,5,0,0,0,10,9,8,0,4,0,0,22,8,16,0,3,0,0,34,9,6,0,0,0,0,14,7,18,5,0,0,0,26,4,4,5,0,0,0,13,3,12,0,5,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,4,0,0,0,0,8,4,4,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,4,0,0,10,64,97,23,15,8,0,207
UCL215058,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,9,5,0,0,0,0,10,12,4,4,0,5,0,24,5,5,0,4,0,0,18,3,7,6,0,0,0,15,0,3,0,0,0,0,6,0,3,0,0,0,0,6,0,4,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8,46,36,14,13,6,3,112
UCL215059,3,0,0,0,0,0,3,6,0,0,0,0,0,7,3,0,0,0,0,0,8,3,4,0,0,0,0,5,10,3,0,0,3,0,15,8,9,0,4,0,0,21,17,11,0,3,0,0,27,7,16,0,0,0,0,24,12,17,0,0,0,0,24,6,14,0,0,3,0,24,0,9,0,0,0,0,11,8,7,5,0,0,0,12,0,8,0,0,0,0,3,0,5,0,0,0,0,5,0,3,0,0,0,0,6,0,3,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,4,11,0,0,3,0,0,13,94,89,15,17,12,6,229
UCL215060,0,6,0,0,0,0,8,6,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,3,7,4,0,0,5,0,17,11,9,8,0,0,0,21,11,4,4,3,4,0,32,9,16,3,0,0,0,39,13,15,4,0,0,0,31,13,13,8,0,0,0,35,6,4,0,0,0,0,13,10,7,3,0,0,0,21,0,3,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,6,3,3,0,0,0,0,10,0,4,0,0,0,0,3,0,0,0,0,0,0,0,3,5,6,0,0,0,12,99,96,42,21,12,0,270
UCL215061,5,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,10,3,0,0,0,0,0,3,8,3,0,0,0,0,9,4,6,0,0,0,0,9,0,5,6,0,0,0,9,13,11,6,0,0,0,28,8,14,6,0,0,0,23,5,15,3,0,0,0,24,3,3,0,0,0,0,4,8,9,0,0,0,0,19,3,0,0,0,0,0,4,6,0,0,0,0,0,3,3,4,0,0,0,0,5,0,3,0,0,0,0,7,5,3,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,10,70,74,22,4,4,0,178
UCL215062,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,0,0,0,0,7,0,6,0,0,0,0,9,9,8,0,3,3,0,21,6,14,7,0,0,0,29,3,9,4,3,0,0,18,7,4,0,0,0,0,10,0,3,6,0,0,0,7,0,4,0,0,0,0,10,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,33,69,20,12,6,0,137
UCL215063,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,3,3,0,0,0,0,8,4,10,0,0,0,0,10,3,4,0,0,3,0,10,3,4,0,0,0,0,14,0,11,4,0,0,0,19,5,12,0,0,0,0,17,0,7,3,0,0,0,8,3,10,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,3,0,0,0,6,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,33,59,28,0,7,0,131
