UCL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL215087,709,646,1349,329,158,490,73,192,264,34,31,69,4,13,23,448,400,847,207,194,401,1.3,4,2.6,63.1,62.4,62.8,62.3,59.9,61.1,11,24,33,7,15,23,30,77,108,39,94,136,277,111,394,4,11,14,6,14,24,290,137,431,742,677,1417,79,59,138,572,511,1084,201,183,389
UCL215088,787,858,1643,228,136,368,116,188,305,33,31,71,24,21,42,402,381,786,275,371,647,5.9,5,5.5,51.7,44.4,47.9,48.6,42.2,45.3,32,54,84,21,41,60,87,107,192,77,111,183,178,100,273,9,14,19,7,10,20,190,123,311,724,786,1507,73,73,151,494,527,1020,277,294,573
UCL215089,895,982,1881,314,168,485,107,207,308,39,52,88,15,7,22,476,432,909,343,440,783,3.6,1.6,2.6,53.1,44.2,48.4,51.2,43.4,47.1,14,11,23,7,21,29,41,92,129,45,94,131,246,134,380,4,12,17,8,9,17,259,160,417,885,887,1771,90,105,199,649,642,1292,278,313,594
UCL215090,797,880,1673,346,162,513,75,228,301,33,48,80,19,6,24,472,445,915,256,344,598,3.6,1.6,2.6,59.4,50.9,54.9,57.2,50.1,53.5,15,14,32,6,33,38,51,116,167,57,104,156,261,131,393,4,14,19,10,13,26,278,161,441,760,797,1555,119,154,267,420,428,848,399,455,850
UCL215091,662,630,1291,338,146,485,111,223,330,19,28,51,7,17,19,479,414,889,166,201,369,1,3.9,2.4,72.2,65.6,68.9,71.4,63,67.3,24,35,63,11,19,35,120,144,263,64,87,154,185,66,255,3,8,13,5,13,27,198,92,287,714,692,1403,40,51,93,564,558,1119,168,180,344
UCL215092,1724,1992,3713,738,420,1159,224,533,763,69,86,146,36,45,80,1067,1083,2147,595,840,1438,3.5,4.2,3.8,62,54.3,57.9,59.9,52.1,55.7,171,205,369,63,126,195,341,433,768,131,229,363,350,163,515,9,21,35,30,33,61,384,215,603,1804,1968,3772,320,362,686,1043,1203,2244,936,1027,1959
UCL215093,1634,1658,3294,878,356,1237,197,526,722,64,100,171,39,30,68,1180,1013,2189,407,596,1004,3.4,3,3.2,72.1,61,66.5,69.6,59.2,64.4,13,28,40,14,52,67,67,183,253,99,233,338,659,320,978,22,31,62,20,48,68,704,399,1100,1821,1817,3635,186,183,371,1307,1306,2610,552,571,1122
UCL215094,378,435,810,155,91,246,46,113,156,23,30,51,15,13,27,239,242,481,111,162,273,6.3,4.5,5.4,63.1,55.6,59.1,59.2,53.1,55.9,9,14,24,5,8,16,27,50,79,30,45,78,110,57,168,8,9,14,4,6,10,123,72,194,399,448,846,58,48,109,285,300,589,158,165,329
UCL215095,448,460,905,185,82,264,48,128,175,17,24,40,27,16,41,270,250,515,155,183,333,9.3,5.6,7.5,59.8,54.4,57.1,54.2,51.3,52.8,3,3,9,7,10,17,18,25,47,16,56,67,175,93,271,9,8,18,3,7,13,186,113,298,466,467,933,39,55,94,365,342,708,117,148,266
UCL215096,949,984,1932,493,230,723,112,294,409,29,60,93,18,15,39,656,603,1259,250,342,592,2.8,2.8,2.8,69.1,61.4,65.2,67.2,59.7,63.4,20,35,53,4,35,39,77,131,210,62,150,213,338,130,469,3,12,16,8,19,32,353,162,514,1032,1037,2071,115,117,228,737,723,1460,336,377,706
UCL215097,1308,1345,2656,534,248,778,163,345,511,69,69,140,24,28,57,795,687,1481,421,559,987,3.5,4.1,3.8,60.9,51,55.9,58.7,49,53.8,25,19,49,7,46,53,67,136,201,89,158,241,436,221,654,8,24,32,14,28,42,455,275,731,1311,1355,2659,165,155,317,921,915,1837,483,518,995
UCL215098,553,577,1127,236,120,348,69,150,219,21,34,51,4,14,19,324,313,641,202,243,447,1.8,4.2,3,59.2,54.1,56.6,58.1,51.8,54.9,10,26,32,6,11,19,23,74,98,39,76,113,196,88,288,0,13,15,11,8,15,208,102,314,554,571,1124,93,96,183,349,348,697,255,287,540
UCL215099,688,804,1494,176,105,287,69,170,237,30,16,49,24,20,43,301,310,615,331,417,747,8.9,6.1,7.5,44.1,38.8,41.2,40.2,36.4,38.2,6,11,22,14,17,28,29,73,99,35,70,107,193,91,282,10,9,13,6,8,13,203,109,313,641,726,1368,77,102,177,432,487,923,256,297,552
UCL215100,520,582,1097,152,83,235,60,124,189,18,21,44,21,16,29,257,242,497,230,293,518,7.5,5.4,6.4,49,41.8,45.2,45.4,39.6,42.3,8,10,21,7,19,22,38,68,104,32,67,100,141,72,214,4,6,3,10,12,18,145,93,239,495,524,1016,70,90,159,327,323,649,212,262,476
UCL221001,284,283,567,155,80,233,30,93,125,19,26,45,0,0,0,203,190,398,63,83,144,0.5,0,0.3,71.8,66.8,69.3,71.5,66.8,69.1,0,9,9,5,6,9,10,36,44,15,29,46,100,51,153,0,4,4,0,3,10,101,62,162,309,302,610,23,27,48,236,230,469,82,85,162
UCL221002,343,376,723,141,83,223,47,89,133,9,24,33,10,0,8,207,195,401,128,164,293,2.9,1,2,59.2,52.3,55.6,57.5,51.7,54.5,12,17,23,5,6,10,28,55,81,32,48,78,125,56,176,4,10,12,5,4,11,131,70,202,354,358,718,43,51,90,258,249,506,119,149,268
UCL221003,230,223,458,104,47,154,25,84,104,10,12,16,7,3,9,148,138,288,60,62,123,3.5,2.1,2.8,62.9,62.2,62.6,60.7,60.9,60.8,0,7,5,4,9,13,4,16,24,15,30,38,86,36,127,0,0,3,0,3,3,88,41,132,229,212,443,33,33,69,172,153,321,70,76,152
UCL221004,441,423,866,221,101,324,75,165,244,20,23,40,7,3,13,329,288,623,97,119,218,2.7,1.7,2.3,74.5,68.1,71.4,72.5,67,69.8,25,20,40,10,24,32,59,85,148,38,54,94,142,39,183,4,0,4,5,14,19,154,52,203,484,459,948,74,67,140,333,321,654,218,185,404
UCL221005,280,280,561,120,61,186,33,68,104,9,9,19,4,3,5,169,137,307,87,118,208,2.4,1.4,2,60.6,49.5,55,59.1,48.7,53.9,7,11,14,3,7,7,30,42,69,12,27,44,71,28,103,0,4,4,3,0,3,73,28,106,263,273,540,32,24,60,183,205,387,101,89,189
UCL221006,247,257,503,106,55,160,42,86,128,11,16,22,0,3,4,161,158,315,75,87,163,1.3,1.3,1.3,64.2,62,63.1,63.4,61.2,62.3,0,14,17,6,13,20,34,59,96,23,30,53,63,34,100,0,4,4,5,0,5,72,39,109,268,251,518,33,36,67,168,148,320,115,125,235
UCL221007,203,235,439,69,50,116,27,56,80,7,17,22,8,6,17,111,122,235,77,91,164,6.3,5.6,6,54.7,52.8,53.7,51.2,49.8,50.5,6,10,18,10,5,16,13,34,47,12,34,48,67,37,107,0,5,6,5,5,6,77,45,120,201,224,426,23,27,52,151,178,331,58,72,128
UCL221008,317,365,682,97,40,133,32,73,110,11,16,25,11,3,8,139,132,276,118,159,279,5,2.3,3.7,44.2,36,39.8,42,35.1,38.3,4,8,10,3,8,11,27,38,65,9,26,36,72,29,101,0,6,6,6,3,11,79,40,121,279,311,591,26,34,61,203,221,419,86,106,192
UCL221009,243,255,499,93,57,157,24,68,97,11,16,24,12,4,19,146,149,288,78,87,166,9,2.7,5.8,59.4,57.6,58.5,54.1,56.1,55.1,0,8,9,5,13,12,16,40,58,13,30,40,78,37,120,0,3,6,0,5,3,79,49,135,221,255,476,40,39,85,176,179,352,85,91,179
UCL221010,227,233,458,95,44,134,20,75,102,18,13,27,7,4,9,140,140,276,71,75,153,5,1.4,3.2,61.2,59.4,60.3,58.1,58.5,58.4,9,5,14,0,9,8,10,30,41,22,31,53,65,42,105,3,8,12,0,3,7,72,49,120,239,237,480,22,25,40,175,160,330,65,85,157
UCL221011,259,241,495,135,63,203,45,90,138,8,7,15,8,6,7,192,170,358,59,64,123,3.7,2.3,3,74.6,70.7,72.7,71.9,69,70.5,8,15,25,0,13,13,29,50,81,20,32,52,84,41,129,0,4,4,3,5,4,89,54,137,292,268,564,22,21,40,211,187,401,87,85,170
UCL221012,199,207,399,105,50,156,23,63,79,4,9,12,4,4,4,139,121,259,46,63,102,1.4,2.5,1.9,70.1,59.6,64.8,69,58.1,63.5,4,3,5,4,12,13,23,28,50,18,20,37,43,24,71,4,0,4,0,3,3,51,29,75,212,213,429,16,6,22,162,146,306,53,62,119
UCL221013,262,239,500,124,60,181,32,75,106,13,9,23,5,6,11,171,143,322,65,76,140,4,2.1,3.1,66.2,61.6,64,63.5,60.3,62,3,12,13,4,3,8,15,27,45,17,32,50,100,28,130,0,8,4,0,10,11,102,47,147,272,254,521,22,25,46,196,178,370,81,77,155
UCL221014,410,433,848,137,67,204,55,117,171,8,21,29,4,5,14,209,209,422,182,206,391,2.9,3.3,3.1,51.2,49.1,50.1,49.8,47.5,48.6,32,24,56,12,18,30,60,81,146,46,72,109,123,44,167,4,11,12,3,19,15,127,65,192,386,388,775,62,74,134,243,229,477,190,210,402
UCL221015,209,220,434,95,37,131,25,58,88,6,15,21,3,3,7,129,117,244,71,90,162,1.6,4.3,2.8,60.8,52.7,56.7,59.9,50.5,55.1,15,15,30,4,11,18,38,46,85,30,21,52,56,22,70,0,0,0,0,9,4,55,29,82,197,210,401,27,26,56,142,150,293,69,73,145
UCL221016,318,335,651,182,105,286,42,110,159,18,21,37,4,10,10,246,245,489,58,80,138,2,3.3,2.7,77.5,72.9,75.1,75.9,70.5,73.1,9,13,21,3,12,14,22,55,76,33,44,77,124,62,187,0,12,12,9,3,11,127,77,205,381,407,793,51,58,113,219,229,441,168,208,378
UCL221017,363,383,745,143,50,201,49,118,167,16,20,27,8,3,17,215,196,408,133,164,302,3.8,3.6,3.7,58.2,51,54.5,56,49.2,52.5,5,3,9,4,15,14,13,40,48,15,47,64,119,66,182,0,9,11,3,3,7,122,82,205,383,389,775,38,40,80,304,287,590,108,124,238
UCL221018,437,452,881,137,67,209,52,104,149,8,11,16,10,5,21,205,182,389,176,218,386,5.3,4.4,4.9,47.9,40.5,44.2,45.4,38.8,42,12,5,14,3,9,10,23,42,68,22,41,62,98,55,153,7,4,12,3,4,9,104,68,169,374,386,760,55,51,102,286,290,575,123,136,261
UCL221019,369,403,765,93,51,144,45,98,139,14,14,32,10,19,28,159,184,344,185,201,378,7.5,9.3,8.5,43.5,45.8,44.7,40.2,41.5,40.9,17,20,44,8,11,24,41,62,98,16,50,68,85,47,127,5,20,20,8,11,20,94,68,169,331,342,682,61,72,134,224,225,453,155,170,325
UCL221020,368,400,767,96,56,148,41,87,133,6,7,19,16,4,18,165,158,318,186,214,396,9.9,3.1,6.5,43.9,40.1,41.9,39.6,38.8,39.2,0,4,11,0,5,5,13,34,45,13,38,54,94,58,146,7,9,10,0,5,8,101,64,167,332,359,694,46,47,94,240,256,496,120,150,270
UCL221021,279,308,593,102,72,179,56,93,153,12,14,29,7,9,8,183,189,370,81,97,175,3.3,3.2,3.3,63.6,61.2,62.4,61.5,59.3,60.3,4,10,10,4,13,13,15,35,46,22,32,53,98,64,167,7,7,14,4,9,9,109,77,187,250,270,521,67,76,145,134,154,288,160,175,333
UCL221022,210,217,428,81,48,132,42,65,102,8,10,21,0,0,3,129,125,254,76,76,153,0.8,0.8,0.8,60.7,57.9,59.3,60.2,57.5,58.8,12,7,14,3,9,12,22,47,69,21,30,56,53,19,77,3,0,3,0,4,3,58,28,86,208,203,412,33,37,67,168,158,322,67,69,137
UCL221023,289,308,594,49,21,73,27,46,76,9,17,24,7,5,13,92,95,190,173,202,373,7.6,5.3,6.5,32.1,30.5,31.3,29.6,28.9,29.2,0,4,3,0,0,0,6,25,33,15,31,48,69,40,105,3,12,14,3,6,12,71,60,135,265,291,556,35,44,70,196,212,408,100,103,201
UCL221024,438,462,893,128,73,200,47,104,148,18,14,37,11,8,19,202,198,406,213,242,453,6.5,3,4.7,46.2,43.7,44.9,43.2,42.4,42.8,10,15,32,7,15,29,31,67,95,38,48,87,149,63,215,4,8,10,7,9,17,162,81,241,376,393,771,90,84,171,259,289,543,192,188,385
UCL221025,303,318,624,103,48,150,24,60,82,10,13,25,12,4,17,146,128,276,131,160,296,6.9,3.9,5.5,47.9,39.8,43.7,44.6,38.2,41.3,9,5,16,7,3,13,13,36,57,22,34,51,57,45,102,7,3,7,6,3,12,70,46,118,266,280,540,49,53,102,167,189,353,131,125,258
UCL221026,332,308,642,83,41,121,30,68,103,10,20,30,9,12,18,134,136,274,176,137,312,7.4,6.5,7,40.2,45.2,42.6,37.2,42.3,39.6,3,5,7,5,4,13,17,22,37,12,36,48,107,38,153,3,10,14,0,0,5,120,57,171,286,248,529,65,65,126,187,174,361,150,124,276
UCL221027,304,329,630,97,47,142,21,59,80,11,10,24,10,13,19,134,128,265,126,170,291,5.8,7.3,6.5,45.5,37.9,41.6,42.9,35.2,38.9,0,7,14,6,13,19,11,31,44,13,14,24,77,43,123,0,3,3,0,5,8,81,54,135,281,292,568,37,46,74,195,206,400,109,110,220
UCL221028,370,376,745,90,36,128,73,79,158,16,13,28,4,4,6,191,139,323,140,202,346,2.7,2.2,2.5,50.8,36.1,43.4,49.5,35.3,42.3,41,42,78,13,12,27,97,108,201,43,47,88,43,19,57,4,0,4,9,14,15,47,25,75,312,324,641,47,39,83,201,220,421,146,135,285
UCL221029,274,281,558,139,66,205,31,96,120,17,19,39,6,3,10,196,182,377,73,87,161,4.2,2.2,3.2,70.3,65.5,67.9,67.4,64.1,65.7,0,3,6,0,16,15,17,36,51,18,33,47,122,48,174,0,0,0,8,5,12,123,53,182,299,312,615,28,30,49,225,218,436,85,94,180
UCL221030,262,228,487,49,25,77,24,37,58,10,7,13,12,8,24,92,78,170,155,126,286,15.4,9.9,12.8,34.6,35.8,35.2,29.3,32.3,30.7,0,5,4,5,0,3,12,20,33,16,18,36,68,35,99,3,0,7,4,6,11,75,43,119,214,182,391,46,34,80,130,121,253,124,94,213
UCL221031,229,233,458,107,56,163,37,65,105,11,23,30,3,0,9,157,144,299,58,73,135,2.5,0.7,1.7,68.9,62,65.4,67.1,61.5,64.3,4,15,19,0,11,18,15,42,60,19,37,59,87,32,117,0,3,4,5,0,7,90,34,131,232,260,487,32,35,66,125,140,265,127,133,259
UCL221032,222,243,461,75,39,113,38,67,102,7,5,20,0,4,7,125,118,242,83,103,184,1.6,5,3.3,56.8,49.4,52.9,55.9,46.9,51.2,10,14,23,0,11,10,22,30,53,21,29,53,56,31,92,0,4,7,0,6,7,64,37,104,226,246,478,29,24,48,167,176,345,78,77,155
UCL221033,229,229,461,74,27,95,24,57,81,9,10,21,3,0,4,110,94,206,104,120,226,4.5,2.1,3.4,48.5,41.2,44.8,46.3,40.3,43.3,0,6,9,0,3,0,7,24,31,15,18,27,43,28,72,0,0,0,0,0,4,48,33,77,204,203,408,20,34,56,149,159,312,66,72,140
UCL221034,350,338,681,189,75,261,54,107,157,13,26,43,8,7,18,265,219,477,77,113,189,3,3.7,3.3,75.9,64.6,70.3,73.6,62.2,68,3,6,10,0,18,18,21,31,56,31,36,64,127,44,169,0,0,3,5,5,7,131,56,186,431,398,831,29,39,68,318,276,589,136,139,272
UCL221035,343,339,685,89,32,120,38,57,97,6,14,22,10,7,17,136,114,251,171,191,361,7.3,7.9,7.6,40.1,33.6,36.9,37.1,31,34.1,0,4,3,6,3,11,16,26,36,18,23,40,73,47,118,0,4,8,0,6,8,75,58,132,303,300,601,45,49,97,220,214,437,113,123,240
UCL221036,304,302,607,145,64,206,45,96,144,16,20,40,12,0,11,215,180,398,75,101,181,4.7,1.1,3,70.5,60.7,65.6,67.2,60.1,63.7,5,11,21,9,19,30,35,63,97,33,36,66,100,40,140,3,8,15,3,5,8,108,52,162,336,330,673,30,24,54,251,227,484,91,103,198
UCL221037,278,321,594,122,58,185,23,67,95,7,16,22,5,12,13,155,152,313,113,146,259,2.5,5.9,4.2,57.2,47.8,52.2,55.8,45,50,4,11,7,3,9,10,16,36,52,18,24,44,71,45,119,0,0,0,0,4,9,74,49,125,278,310,586,26,25,52,208,239,449,75,88,161
UCL221038,366,345,714,196,79,273,32,96,129,13,15,29,3,3,9,247,197,443,86,112,199,2,2.6,2.3,67.5,56.8,62.3,66.1,55.4,60.9,9,12,15,9,6,19,23,50,71,36,51,83,137,47,181,5,6,10,5,4,13,140,57,203,385,360,751,24,19,43,281,278,555,98,90,184
UCL221039,314,320,636,133,60,191,37,99,141,10,18,30,0,3,3,185,179,366,95,104,202,1.1,1.7,1.4,57.7,55.9,56.8,57.1,55,56,5,9,10,3,12,17,14,33,47,19,32,51,92,51,143,0,5,11,0,5,4,98,68,162,294,303,599,34,31,67,230,226,456,86,95,177
UCL221040,285,297,579,93,60,151,45,75,119,8,9,22,3,4,10,149,152,305,124,135,262,3.4,3.9,3.6,51.9,52.4,52.2,50.2,50.3,50.3,5,7,13,8,8,17,27,36,67,28,28,55,97,48,137,6,6,9,9,5,16,105,59,167,272,280,556,32,48,75,191,191,379,113,123,234
UCL221041,256,245,500,128,51,176,34,78,115,12,21,34,4,8,14,180,156,341,65,77,139,2.2,5.7,3.8,70.8,64.4,67.6,69.2,60.7,65,8,7,10,0,8,8,15,32,49,16,32,55,107,46,153,0,0,0,0,0,5,101,50,157,276,281,557,22,18,41,205,198,402,81,85,165
UCL221042,247,219,464,107,33,141,27,66,89,7,13,24,6,0,8,148,115,265,71,82,155,4.1,0.9,2.7,60.4,53,56.9,58,52.5,55.4,0,0,0,0,0,0,15,18,33,18,24,39,52,31,88,3,5,11,5,0,5,65,35,102,247,219,463,18,21,41,161,152,314,87,73,159
UCL221043,522,453,972,60,35,96,52,63,116,11,13,24,12,8,20,140,117,257,338,295,633,9.6,8.4,9,26,26.5,26.2,23.5,24.3,23.8,11,8,22,0,6,14,14,29,49,31,41,69,161,54,211,5,14,14,16,10,26,177,74,257,429,378,806,60,47,111,267,233,498,225,190,418
UCL221044,486,513,1003,101,68,172,83,131,209,24,20,47,4,3,13,213,224,437,233,245,478,3.3,2.7,3,43.8,44,43.9,42.4,42.8,42.6,23,28,46,14,26,42,50,74,126,41,62,102,140,53,194,5,3,8,10,15,23,156,71,229,429,459,888,60,66,130,291,318,613,181,197,373
UCL221045,309,293,602,123,63,187,54,99,155,12,11,18,7,4,19,201,177,375,91,105,194,5.5,2.8,4.2,65.5,60.5,63.1,61.9,58.8,60.4,27,32,54,12,25,33,37,63,95,22,25,47,92,43,131,0,6,0,3,5,7,94,53,147,330,313,643,31,18,54,182,206,388,143,117,261
UCL221046,525,535,1059,325,155,481,58,178,236,20,38,64,8,6,12,407,380,792,91,133,225,1.7,1.6,1.6,78.1,71.8,75,76.8,70.7,73.7,4,10,17,8,17,25,36,86,123,34,73,102,193,111,303,4,12,13,6,0,7,202,125,327,575,577,1150,135,135,269,268,270,542,366,365,732
UCL221047,261,257,520,145,64,202,36,97,137,12,14,30,4,0,5,195,176,368,57,66,124,2.1,1.1,1.6,74,68.6,71.3,72.5,67.8,70.2,9,9,12,0,10,7,24,56,73,21,34,53,100,37,143,0,9,8,0,7,6,104,57,159,283,279,558,22,29,51,199,194,394,95,94,191
UCL221048,195,225,418,77,39,118,30,65,95,16,12,27,5,3,7,125,119,242,64,87,152,2.4,1.7,2,63.6,54.3,58.6,62.1,53.4,57.4,5,4,15,0,7,4,14,31,44,15,24,40,56,32,88,5,3,7,0,3,7,62,44,103,196,214,413,21,36,54,135,154,289,69,83,149
UCL221049,251,262,516,142,68,209,38,115,149,16,19,29,0,0,0,196,196,391,56,62,119,1,0.5,0.8,76.6,74.3,75.4,75.8,74,74.9,13,6,21,0,12,16,31,72,104,32,38,71,85,31,116,0,3,3,4,8,7,89,40,123,293,309,605,34,34,67,226,237,471,80,91,167
UCL221050,348,315,661,110,58,165,36,70,106,13,14,25,13,12,26,174,150,322,148,148,291,8.7,6.1,7.5,49.7,47,48.4,45.4,44.1,44.8,0,3,5,7,4,7,18,34,49,25,36,59,90,57,148,3,4,4,3,0,4,94,61,163,321,295,615,51,51,99,226,205,425,130,124,257
UCL221051,325,315,642,128,38,166,28,86,108,3,10,16,7,0,4,160,136,299,145,155,299,1.9,1.5,1.7,49.2,42.9,46.1,48.3,42.3,45.3,6,5,9,4,4,9,18,33,47,21,36,56,69,39,111,9,0,9,0,7,6,75,47,132,334,322,655,32,30,61,230,235,461,115,99,213
UCL221052,203,212,411,101,49,150,29,78,111,4,11,10,6,8,12,143,144,284,40,60,100,4.9,4.2,4.6,70.8,67.3,69,67.3,64.5,65.9,0,4,6,0,0,4,4,25,29,9,21,28,81,39,123,4,4,9,3,3,3,88,47,129,220,221,439,21,29,44,155,162,317,70,68,139
UCL221053,326,339,663,79,44,116,35,60,94,10,13,21,10,8,25,129,129,253,184,199,382,7.8,9.4,8.6,39.3,37.5,38.3,36.2,33.9,35,6,9,14,6,8,15,27,40,69,28,40,67,110,49,159,0,6,11,4,3,10,117,61,180,304,300,608,43,56,100,191,199,386,144,146,291
UCL221054,279,269,543,83,43,128,56,70,127,16,10,25,4,6,8,156,130,283,107,123,230,2.6,1.6,2.1,56.5,48.5,52.6,55.1,47.7,51.5,12,12,22,13,21,29,31,58,84,25,41,62,72,30,100,3,0,3,6,3,5,74,32,108,274,247,526,44,43,81,191,165,355,116,108,221
UCL221055,225,236,463,134,87,222,21,67,87,21,20,43,3,0,7,176,179,357,42,45,94,1.7,1.7,1.7,78.2,76.4,77.3,76.9,75.1,76,4,13,15,5,9,19,29,53,85,22,32,50,77,29,106,3,0,4,7,0,5,79,37,118,278,300,574,26,25,52,178,194,376,100,103,198
UCL221056,232,204,433,62,24,87,15,42,54,12,3,13,4,11,11,94,79,173,99,100,205,5.4,11.8,8.3,40.4,37.3,38.9,38.3,32.8,35.7,0,0,0,0,7,7,4,7,11,3,13,18,56,31,95,0,4,5,0,0,4,64,43,107,209,181,381,30,37,67,127,113,240,102,81,184
UCL221057,292,311,604,142,74,220,29,81,108,17,24,41,6,13,15,189,192,389,75,93,173,3.1,6.2,4.7,65.3,62.3,63.7,63.3,58.4,60.8,0,0,0,0,11,12,15,23,38,12,43,54,113,67,180,0,4,6,8,3,9,124,72,197,312,315,630,50,43,94,205,202,410,134,140,276
UCL221058,187,189,375,96,47,141,29,58,85,4,14,14,0,3,3,129,126,256,44,55,100,0.8,3.2,2,69.5,66.3,67.9,69,64.2,66.6,6,8,13,5,8,16,12,38,55,13,25,43,77,35,112,0,6,6,0,7,6,78,43,120,186,195,389,36,42,78,140,143,280,71,83,151
UCL221059,288,344,633,120,82,204,49,119,167,20,16,40,0,3,6,192,217,407,76,118,196,0.5,1.4,1,65.9,62.8,64.2,65.5,61.9,63.6,10,9,16,15,13,26,23,55,77,25,43,67,102,45,146,0,3,7,3,11,14,103,56,161,270,322,600,59,64,125,146,181,330,167,193,363
UCL221060,275,290,567,37,29,67,30,49,80,4,5,17,9,0,5,82,85,164,181,193,371,6.2,1.2,3.6,29.7,29.6,29.6,27.8,29.2,28.5,13,9,19,6,13,21,23,37,58,35,47,77,89,26,121,3,3,6,10,10,18,99,37,140,246,262,507,26,30,55,182,194,373,80,91,173
UCL221061,335,329,667,79,48,124,50,79,124,18,10,31,4,0,4,158,132,291,151,165,321,3.2,0.7,2.1,46.8,41,43.9,45.3,40.7,43,16,17,33,11,23,35,37,45,81,27,47,75,109,21,129,0,6,8,6,8,13,116,32,147,295,287,584,44,34,81,182,172,346,147,154,303
UCL221062,429,418,845,98,50,147,40,88,126,11,16,26,12,5,11,155,158,318,219,225,444,5.7,2.5,4.1,36.9,37.5,37.2,34.8,36.5,35.7,0,3,6,0,5,8,6,27,36,14,44,64,82,49,130,10,8,13,9,8,21,96,65,154,368,386,761,49,47,95,278,284,553,125,140,266
UCL221063,249,230,483,84,37,121,15,56,69,3,6,17,11,4,12,117,104,219,111,115,221,8.5,1.9,5.5,46.6,44.6,45.6,42.6,43.7,43.2,5,5,6,0,4,4,10,24,32,12,11,27,65,22,88,0,0,3,0,7,4,65,37,99,227,217,443,36,30,63,157,150,304,97,89,178
UCL221064,258,275,533,156,69,225,30,91,119,12,14,27,0,7,5,201,182,379,48,72,127,1,2.7,1.8,75.8,66.2,70.8,75,64.4,69.5,4,10,11,0,4,7,3,35,39,17,42,63,119,58,181,5,6,4,6,3,8,130,70,193,295,308,607,22,24,45,213,216,430,93,92,178
UCL221065,217,223,442,66,29,93,47,54,97,6,10,18,0,3,3,123,92,208,87,121,208,2.5,2.2,2.4,55,40.9,47.9,53.7,40,46.7,34,25,54,7,12,17,51,66,118,8,24,36,43,7,49,0,0,0,0,0,3,46,7,54,222,221,437,23,26,46,140,129,277,97,99,196
UCL221066,306,267,565,130,57,193,39,71,104,13,9,19,4,4,9,188,138,328,93,111,203,3.7,2.2,3.1,62.2,52.3,57.6,59.9,51.1,55.8,6,3,7,0,12,15,10,24,34,23,28,50,105,57,166,5,7,14,0,5,10,112,70,184,300,270,574,49,40,87,193,167,361,136,120,255
UCL221067,240,200,441,109,32,142,15,74,92,14,10,23,7,4,12,149,122,272,72,67,142,4.7,4.9,4.8,62,60.7,61.4,59.1,57.7,58.5,0,0,0,0,3,5,8,17,21,6,21,29,65,37,104,4,6,9,3,3,7,71,41,122,237,219,454,31,28,55,174,142,316,92,81,171
