UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL222048,0,0,0,0,0,3,5,8,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,8,8,8,10,10,21,58,25,21,12,169
UCL222049,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,0,5,22,6,7,14,25,37,41,75,28,5,241
UCL222050,0,0,0,0,0,3,4,8,3,19,0,0,0,0,0,0,0,0,0,0,4,0,3,4,3,11,12,3,0,42,6,5,50,46,55,101,102,43,9,420
UCL222051,0,0,0,0,0,3,6,6,0,14,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,3,8,10,0,32,4,19,43,37,48,87,101,50,12,400
UCL222052,0,0,0,0,0,4,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4,3,0,16,19,14,51,53,62,53,52,14,8,327
UCL222053,0,0,6,0,0,0,8,4,7,27,0,0,0,0,0,0,0,0,0,0,0,4,6,6,10,7,9,0,0,44,11,20,51,49,57,86,73,24,13,385
UCL222054,0,0,0,0,0,0,3,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,3,13,32,35,44,44,20,6,207
UCL222055,0,0,0,0,0,3,10,5,9,29,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,9,15,8,16,49,6,10,34,30,48,80,74,55,39,366
UCL222056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,51,11,10,5,6,3,0,127,25,68,122,29,20,25,10,8,0,305
UCL222057,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,6,0,0,0,23,0,13,26,57,46,51,34,9,0,244
UCL222058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,4,0,0,0,0,20,0,31,41,16,21,10,6,0,3,123
UCL222059,0,0,0,0,3,0,4,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,10,10,7,23,18,33,32,31,19,0,170
UCL222060,0,0,0,0,0,0,3,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,16,0,3,21,21,27,44,30,19,9,169
UCL222061,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,4,0,0,11,8,15,23,25,39,30,22,11,3,179
UCL222062,0,0,0,0,0,3,6,10,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,3,13,25,61,0,9,38,43,56,96,48,36,37,371
UCL222063,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,11,0,0,8,26,9,14,39,43,39,97,91,41,14,384
UCL222064,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,19,13,8,22,26,43,30,26,9,7,195
UCL222065,0,0,0,0,0,3,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,16,0,6,17,10,41,41,30,5,4,162
UCL222066,0,0,0,0,0,3,3,10,5,23,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,12,9,0,0,31,8,11,35,23,34,49,45,28,13,230
UCL222067,0,0,0,0,0,0,0,4,3,12,0,0,0,0,0,0,0,0,0,0,4,0,0,4,7,9,6,0,0,33,6,10,23,25,34,46,40,24,14,211
UCL222068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,13,3,19,25,17,35,36,16,10,0,166
UCL222069,0,4,3,0,0,7,3,5,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,15,15,7,0,41,11,17,24,43,55,97,79,40,29,395
UCL222070,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,8,0,3,24,15,24,47,41,22,7,179
UCL222071,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,4,9,5,6,7,3,0,29,9,13,57,57,39,54,54,23,4,302
UCL222072,0,0,0,0,0,7,9,4,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,6,5,12,10,9,0,44,3,14,28,26,40,65,82,42,5,309
