UCL_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
UCL214015,0,0,8,4,33,3,47,0,0,0,0,0,0,0,0,0,3,6,65,5,75,0,0,0,0,18,0,27,0,0,7,6,143,3,161,0,0,4,3,17,0,29,3,0,9,3,24,3,40,0,0,3,8,9,3,20,0,0,0,4,18,0,21,0,0,0,0,6,0,9,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,16,3,5,0,32,0,0,5,3,10,0,18,0,0,7,16,17,0,42,4,7,33,0,14,0,62,5,5,19,5,15,0,56,0,4,5,0,0,0,10,4,0,4,4,37,0,51,3,0,0,6,16,4,29,25,15,123,85,460,22,736,0,4,8,5,3,0,17,0,0,0,0,0,0,0,0,0,4,6,9,0,22,0,0,0,3,0,0,9,0,0,10,0,14,0,18,0,0,6,3,3,0,12,0,5,6,11,34,6,55,0,0,3,8
UCL214016,0,0,4,4,30,0,38,0,0,0,0,14,0,13,0,0,6,4,112,10,145,0,0,0,0,15,0,15,0,0,4,7,84,0,97,0,0,0,0,12,0,13,0,0,7,11,28,3,53,0,0,6,9,16,0,24,0,0,0,6,36,5,44,0,0,0,0,4,0,9,0,0,0,0,0,0,6,0,0,0,0,4,0,10,0,0,5,3,3,0,18,0,0,0,6,11,0,13,0,5,4,14,27,0,56,0,7,27,3,15,0,53,6,5,22,14,34,0,73,0,0,3,0,4,0,10,0,0,0,0,27,0,23,0,0,0,3,22,8,37,13,14,102,81,494,35,741,0,0,7,3,6,0,16,0,0,0,0,0,0,0,0,0,7,3,38,4,53,0,0,6,0,0,0,3,0,0,0,0,3,0,7,0,0,0,0,5,0,5,0,0,16,8,43,0,70,0,0,7,8
UCL214017,0,0,5,5,9,0,16,0,0,0,0,0,0,3,7,0,8,0,19,0,31,0,0,0,0,4,0,6,0,5,19,15,106,0,143,0,0,9,3,11,0,19,0,0,11,7,5,0,31,5,0,11,8,7,7,35,5,3,11,4,10,0,30,0,0,4,0,0,0,12,4,5,7,4,0,0,27,0,0,7,11,8,3,28,27,7,47,12,7,0,103,4,0,9,0,11,0,25,11,3,29,11,0,0,59,19,9,28,4,3,0,63,15,0,32,7,9,0,62,0,0,14,9,3,0,23,0,3,7,0,3,0,15,4,6,4,6,13,3,40,111,45,269,113,223,17,770,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,4,6,6,0,12,0,0,0,0,0,0,5,0,6,11,3,9,0,26,5,0,0,0,0,0,7,3,3,21,8,7,3,42,3,0,16,9
UCL214018,0,0,4,0,17,0,22,0,0,0,0,4,0,8,8,3,5,15,50,0,75,0,0,5,3,9,0,19,9,0,10,22,200,6,248,0,0,3,3,22,3,35,0,0,7,13,35,0,60,0,0,10,9,31,4,46,6,0,9,21,41,0,71,3,0,7,7,3,0,17,4,5,16,9,10,0,43,5,0,5,3,10,0,20,18,9,38,20,17,4,95,4,0,0,8,15,0,23,4,9,22,18,26,0,78,20,8,21,9,12,0,74,15,4,31,12,19,0,78,0,3,7,4,11,0,24,3,0,3,5,34,0,48,3,0,8,3,22,8,43,90,48,205,176,585,32,1134,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,4,10,13,0,27,0,0,4,4,0,0,4,0,0,6,10,14,0,30,0,0,3,9,3,0,19,0,3,19,19,32,0,78,3,0,13,9
UCL214019,0,0,0,0,20,6,32,0,0,0,0,6,0,9,0,0,5,8,38,0,56,0,0,4,0,17,0,23,0,0,3,11,118,0,136,0,0,5,4,10,5,17,0,0,7,7,37,0,57,0,0,0,10,13,0,34,0,0,9,4,34,0,42,0,0,0,0,5,0,4,0,0,0,0,3,0,6,0,0,0,0,0,0,7,6,0,8,3,3,0,25,0,0,0,9,4,0,13,4,4,14,20,50,5,98,6,0,14,3,10,0,31,4,0,14,4,7,0,39,0,0,0,3,4,0,8,0,0,7,3,33,0,48,0,0,0,0,10,8,26,32,13,92,99,433,30,696,0,0,0,4,5,3,21,0,0,0,0,0,0,0,0,0,6,4,13,0,23,0,0,0,0,0,0,3,0,0,0,11,6,6,18,0,0,4,0,6,0,8,0,0,12,19,31,0,65,4,0,8,9
UCL214020,0,0,9,0,14,4,28,0,0,8,11,28,4,51,3,0,13,11,80,14,122,0,0,0,0,8,0,8,0,0,0,0,68,5,75,0,0,0,0,8,4,11,0,0,4,4,17,0,31,0,0,0,8,11,0,27,4,0,4,0,15,0,31,0,0,4,0,0,4,8,0,0,0,5,0,0,7,0,0,0,0,3,0,10,0,0,3,9,6,0,16,0,0,0,0,12,0,13,4,3,6,18,43,4,73,3,0,12,0,3,0,22,7,0,17,13,34,5,79,0,0,7,3,9,0,17,0,0,0,3,17,0,18,0,0,0,4,11,10,21,25,12,99,90,402,43,663,0,0,0,3,4,0,10,0,0,6,0,0,0,8,0,0,20,0,14,8,42,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,6,4,10,0,0,6,3,21,0,28,3,0,5,15
UCL214021,0,0,0,3,3,0,6,4,0,0,0,6,0,8,5,0,0,13,53,5,75,0,0,3,3,12,0,14,0,0,5,19,268,4,299,0,0,3,4,28,0,41,0,0,8,3,17,0,31,0,0,0,3,8,0,7,0,0,8,5,31,0,41,0,0,3,3,0,0,8,0,0,0,7,3,0,11,0,0,0,3,10,0,16,0,0,11,9,7,0,32,0,0,3,0,12,0,22,6,0,9,21,27,0,62,5,7,10,9,3,0,33,8,0,6,4,9,0,32,0,4,0,3,6,0,15,0,0,6,3,35,4,47,0,0,0,0,38,3,45,26,15,82,112,584,15,835,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,5,15,0,30,0,0,0,0,0,0,4,0,0,4,11,15,8,33,0,0,4,3,3,0,10,0,0,3,11,37,0,57,5,3,3,5
UCL214022,0,0,0,0,22,0,30,0,0,0,0,0,0,0,0,0,3,0,31,6,46,0,0,3,8,22,0,38,4,0,5,10,205,12,232,0,0,4,0,12,4,18,0,0,13,8,38,4,69,0,0,5,0,31,4,45,0,0,0,4,26,3,31,0,0,3,0,3,0,6,0,0,0,8,3,0,10,0,0,6,4,8,0,12,5,0,13,11,5,4,39,0,0,3,5,18,0,25,0,0,13,14,24,0,56,8,7,13,3,11,0,41,12,4,34,13,26,5,90,0,0,6,0,3,0,16,0,0,9,5,50,4,65,6,0,3,8,26,8,43,38,26,123,103,572,53,915,0,0,0,0,5,3,12,0,0,0,0,0,0,0,0,6,3,3,3,0,19,0,0,3,4,0,0,9,0,0,3,3,8,0,18,0,0,0,0,6,0,3,0,3,12,18,69,3,108,0,0,10,10
UCL215001,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,11,0,0,0,0,0,0,4,0,0,11,8,42,3,55,0,0,4,0,3,0,6,0,0,6,3,3,0,13,0,0,10,9,0,0,13,0,0,3,0,5,0,6,0,0,0,0,0,0,6,0,0,10,0,0,0,11,0,0,0,0,3,0,4,8,4,29,3,5,0,44,0,0,4,0,4,0,8,3,0,11,3,5,0,21,4,6,8,0,4,0,21,3,0,14,0,0,0,20,0,0,10,0,0,0,7,0,4,0,0,0,0,5,6,0,4,0,0,0,15,32,17,113,34,79,7,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,3,6,5,0,0,15,0,0,15,3
UCL215002,0,0,0,7,15,0,26,0,0,0,0,0,0,0,0,0,0,0,21,4,23,0,0,0,0,8,0,5,0,0,0,3,61,0,66,0,0,0,0,0,0,4,0,0,4,0,24,0,33,5,0,4,4,5,0,11,0,0,0,0,6,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,4,0,0,15,0,0,0,0,9,0,6,0,8,6,9,7,0,35,3,3,13,4,4,0,32,0,0,6,4,7,0,19,0,0,0,3,4,0,10,3,0,0,0,11,0,13,0,0,0,0,14,0,11,13,14,48,39,194,11,327,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,0,0,0,0,4,0,4,0,15,9,32,0,0,3,7
UCL215003,0,0,3,0,4,0,6,0,0,0,0,0,0,0,0,0,9,5,8,0,26,0,0,0,0,3,0,10,4,0,15,11,70,3,103,0,0,5,0,0,0,12,0,0,9,8,9,0,25,0,0,11,15,22,0,50,0,0,3,4,4,0,10,4,0,0,0,0,0,9,3,6,8,4,6,0,22,0,0,3,0,0,0,8,15,9,38,7,0,0,64,0,0,10,0,8,0,18,6,3,17,6,12,0,44,29,7,20,3,0,0,58,12,4,19,4,4,0,50,0,0,5,5,7,0,12,0,0,0,0,7,0,17,0,0,12,3,3,0,29,89,35,202,77,175,9,580,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,4,5,4,0,12,0,0,3,0,0,0,10,0,0,12,8,10,4,34,0,3,13,3
UCL215004,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,3,5,0,12,0,0,0,0,3,0,3,0,0,4,0,46,0,47,0,0,0,0,0,0,0,5,0,0,4,7,0,19,3,4,10,12,22,0,51,0,0,4,3,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,3,0,0,0,7,0,0,0,0,0,0,7,0,0,0,4,4,0,12,0,3,4,0,0,0,13,4,0,3,0,3,0,12,0,0,0,0,5,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,5,15,5,39,36,117,8,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,7,5,19,4,4,8,10
UCL215005,0,0,0,0,10,0,10,0,0,0,0,0,0,4,0,0,0,5,8,0,22,0,0,0,0,0,0,0,0,0,0,0,16,0,19,0,0,0,0,0,0,0,0,0,3,0,6,0,13,0,0,0,0,3,0,3,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,3,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,3,0,3,4,7,19,12,77,6,122,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,3,0
UCL215006,0,0,0,0,3,0,5,0,0,0,0,4,0,7,0,0,6,0,22,0,34,0,0,0,0,7,0,8,0,0,10,5,79,8,96,0,0,0,0,10,0,15,0,0,0,0,8,0,14,0,0,0,5,6,0,12,0,0,6,7,22,0,30,0,0,6,4,0,0,7,0,0,0,3,3,0,5,0,0,0,5,3,0,7,0,0,9,0,0,0,18,0,0,0,0,4,0,7,0,3,9,13,28,0,59,3,0,12,0,5,0,22,0,0,5,0,11,0,26,0,0,3,0,0,0,4,0,0,6,0,10,0,20,0,0,0,0,12,4,16,14,10,71,49,240,18,407,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,5,0,14,0,0,0,0,0,0,3,0,0,5,7,3,0,18,0,0,4,0,0,0,9,0,0,10,3,17,4,31,0,0,0,3
UCL215007,0,4,3,5,7,0,20,0,0,0,0,5,0,9,4,0,13,7,17,0,40,0,0,0,0,0,0,9,0,0,7,7,79,5,108,0,0,3,3,9,0,6,4,0,5,0,10,0,20,0,0,0,0,8,0,13,0,0,4,0,6,0,13,0,0,4,0,0,0,6,0,0,8,4,3,0,16,0,0,0,0,3,0,6,5,4,19,7,0,0,38,0,0,4,6,5,0,18,0,0,15,8,6,0,31,6,4,20,5,3,4,42,0,3,10,6,0,0,24,4,0,0,0,0,0,9,3,0,0,0,7,0,12,0,0,3,0,8,0,13,33,20,127,64,170,19,437,0,0,0,4,0,0,6,0,0,0,0,0,0,0,3,0,8,0,0,0,16,0,0,0,0,0,0,0,0,0,12,0,8,0,21,0,0,0,0,0,0,3,0,0,18,3,6,3,35,3,0,7,3
UCL215008,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,5,42,4,52,0,0,0,5,3,0,4,0,0,0,4,74,0,80,0,0,0,0,10,0,15,0,0,3,0,12,0,21,0,0,0,4,0,0,3,0,0,0,0,16,0,20,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,5,3,0,4,0,0,0,15,0,0,0,4,4,0,5,5,5,11,19,22,0,58,5,7,9,5,5,0,25,4,8,12,3,7,0,27,0,0,0,0,0,0,0,0,0,0,0,14,0,21,0,0,0,0,5,0,14,16,17,52,61,234,5,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,6,3,3,0,14,0,0,0,0,0,0,0,0,0,0,3,10,0,21,0,0,0,0
UCL215009,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,18,0,18,0,0,0,0,3,0,8,0,0,0,0,6,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,3,0,9,0,0,8,5,72,3,90,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
UCL215010,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,13,4,34,3,59,0,0,0,0,4,0,5,3,0,4,15,122,0,146,0,0,4,4,7,0,15,0,0,7,7,9,0,20,0,0,0,0,6,0,6,0,3,0,3,6,0,20,0,0,0,0,3,0,5,0,0,0,3,0,0,12,0,0,0,0,4,0,10,7,3,17,7,0,0,32,0,0,0,0,12,0,11,5,0,4,3,3,0,19,6,0,6,5,3,0,25,5,0,10,0,3,0,10,0,0,4,0,5,0,11,0,0,0,0,21,4,26,0,0,5,0,11,4,12,34,9,79,65,256,14,456,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,4,0,13,0,0,0,0,0,0,0,0,0,0,11,12,3,26,0,0,3,0,0,0,4,0,0,9,7,16,8,34,0,0,0,3
UCL215011,0,0,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,5,10,0,16,0,0,0,0,0,0,0,0,0,0,0,16,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,5,0,3,0,0,0,4,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,15,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,7,3,9,5,6,9,19,75,8,119,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
UCL215012,0,0,0,4,7,0,14,0,0,0,0,0,0,0,7,0,20,4,33,0,63,0,0,0,0,0,0,0,0,0,6,3,52,5,68,0,0,0,0,4,0,9,3,0,0,0,11,0,23,0,0,9,9,27,0,40,0,0,0,0,9,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,3,4,0,15,4,3,0,39,0,0,0,0,5,0,7,9,6,22,11,29,0,70,8,12,21,3,3,0,47,17,0,14,4,19,0,65,0,3,7,3,0,0,12,0,0,0,0,17,0,16,0,0,4,3,6,6,15,46,27,138,61,226,15,517,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,7,7,4,3,0,24,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,5,0,0,6,3,3,9,13,13,0,38,0,0,7,12
UCL215013,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,9,19,58,0,94,0,0,0,4,10,0,15,5,0,12,21,141,7,188,5,0,3,12,15,0,29,0,0,7,6,16,4,38,0,0,3,3,5,0,17,7,0,15,34,38,3,97,0,0,4,0,6,0,12,0,0,9,0,7,3,20,0,0,3,0,6,0,11,8,4,8,5,4,0,30,0,0,3,11,17,0,23,0,5,15,20,14,6,55,7,3,8,0,4,0,25,6,0,16,7,11,0,45,0,0,0,3,6,0,10,0,0,0,3,31,0,37,8,0,9,3,10,3,35,53,13,123,163,388,24,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,5,0,24,0,0,0,0,3,0,12,3,0,8,3,9,0,27,0,0,7,9,10,0,19,4,0,4,14,21,3,34,4,0,4,8
UCL215014,0,0,0,0,0,0,8,0,0,0,0,3,0,3,0,0,0,0,18,0,25,0,0,0,0,3,0,3,0,0,0,5,75,0,77,0,0,0,0,10,0,12,0,0,0,3,9,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,4,3,5,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,6,0,12,7,9,11,19,158,9,201,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,4,9,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,5,0,9,0,0,0,4,9,0,15,0,0,0,0
UCL215015,0,0,0,0,12,0,13,0,0,0,0,4,0,3,0,0,6,4,17,0,24,4,0,0,0,0,0,6,0,0,4,4,57,0,65,0,0,0,0,8,0,3,4,0,10,6,9,0,21,0,6,24,17,29,0,75,4,0,0,0,6,0,12,0,0,3,3,0,0,7,0,0,4,0,3,0,9,0,0,0,0,4,0,7,4,0,27,6,6,0,38,0,0,0,0,0,0,6,0,0,14,8,7,0,32,3,8,14,3,0,0,27,4,5,9,9,3,0,26,0,0,3,3,5,0,11,0,0,0,0,7,0,14,4,0,0,0,4,0,13,31,15,124,68,168,7,421,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,3,0,9,0,20,0,0,0,0,0,0,0,0,0,4,3,4,0,16,0,0,0,0,0,0,5,0,0,6,11,15,3,38,4,0,15,17
UCL215016,0,0,0,0,7,0,7,0,0,0,0,3,0,4,0,0,0,5,71,0,86,0,0,0,0,13,0,15,0,0,7,5,142,5,155,0,0,0,0,18,0,21,0,0,3,4,18,3,29,0,0,0,3,12,0,11,0,0,4,3,32,0,45,0,0,3,0,0,0,3,0,0,5,3,0,0,9,0,0,0,0,8,0,6,4,0,7,3,4,0,23,0,0,0,4,8,0,12,4,0,9,20,30,0,66,8,4,8,6,4,0,31,0,0,4,0,3,0,15,0,0,0,0,0,0,5,0,0,0,0,32,0,30,0,0,3,0,23,3,30,15,9,59,73,425,21,614,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,6,16,0,26,0,0,0,0,0,0,0,0,0,0,4,13,0,15,0,0,0,0,10,0,11,0,0,0,9,24,3,42,0,0,5,0
UCL215017,0,0,0,4,4,0,7,0,0,0,0,5,0,5,0,0,0,4,29,0,41,0,0,0,0,8,0,13,0,0,8,3,139,0,154,0,0,0,6,12,4,18,0,0,0,3,4,0,11,0,0,0,0,0,0,5,0,0,0,9,16,3,23,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,16,0,5,0,22,0,0,3,0,3,0,10,0,0,0,6,10,0,25,7,3,8,0,3,0,23,0,0,5,0,3,0,7,0,0,0,0,5,0,8,0,0,0,4,24,0,29,0,0,0,4,17,0,25,9,6,48,52,301,12,428,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,5,4,0,0,9,0,0,0,0,0,0,0,0,0,0,5,13,0,20,0,0,5,0,0,0,12,0,0,0,5,14,4,31,0,0,0,3
UCL215018,0,0,4,9,20,0,33,0,0,0,0,3,0,3,3,3,3,0,35,0,46,0,0,0,0,14,0,16,0,0,0,0,54,6,59,0,0,0,0,4,0,4,0,0,4,0,15,0,17,0,0,0,0,7,0,12,0,0,0,0,12,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,5,0,4,0,16,0,0,5,0,8,0,12,0,0,6,0,17,3,28,0,3,7,0,9,0,25,4,3,8,5,15,0,31,0,0,0,0,0,0,5,3,0,0,0,12,0,11,0,0,0,0,10,0,18,17,10,50,34,250,19,375,0,0,0,4,4,0,8,0,0,0,0,0,0,0,0,0,8,4,6,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,4,14,0,26,0,4,5,5
UCL215019,0,0,0,6,0,0,4,0,0,0,0,3,0,3,0,0,5,3,12,0,18,0,0,3,5,0,0,6,0,0,6,5,102,3,115,0,0,0,0,4,0,11,0,0,4,0,4,4,15,0,0,0,3,14,0,17,0,0,0,0,9,0,11,0,0,4,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,3,3,0,16,5,0,0,26,0,0,0,0,6,0,11,3,0,10,6,8,0,30,5,5,20,5,0,5,39,4,0,4,4,9,0,22,6,0,3,4,6,0,17,0,0,0,0,7,0,12,0,0,0,0,4,0,3,25,12,91,52,197,13,383,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,3,0,9,6,4,6,21,0,0,0,7,6,0,7,0,0,3,3,15,5,25,0,0,0,4
