UCL_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL215070,14,24,12,3,3,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,19,12,11,5,0,87,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,3,0,0,0,6,19,33,25,15,13,5,0,98,27,24,15,14,7,0,0,95,0,0,0,0,0,0,0,0,42,55,39,25,25,5,0,193
UCL215071,3,10,4,11,9,3,0,47,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,19,14,9,30,11,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,14,9,28,11,0,94,3,4,3,4,0,0,0,16,6,0,0,0,0,0,0,6,19,19,15,14,28,16,0,114
UCL215072,0,5,4,8,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,8,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,3,4,14,4,8,4,0,0,35,18,14,12,7,3,0,0,54,0,0,0,0,0,0,0,3,22,34,14,16,5,0,0,94
UCL215073,5,6,15,8,9,0,0,38,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,5,7,12,17,10,14,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,17,10,14,0,0,75,16,17,6,8,4,0,0,46,0,0,0,3,0,0,0,5,22,25,24,22,23,4,0,121
UCL215074,8,25,14,11,15,4,0,73,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,12,39,22,16,33,10,0,125,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,7,5,9,0,0,0,0,0,11,19,38,22,16,33,10,0,127,33,29,8,9,9,3,4,87,0,0,0,0,0,0,0,0,46,70,30,20,35,9,3,216
UCL215075,9,3,3,3,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,6,3,3,3,0,34,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,9,9,11,3,3,3,0,38,0,9,3,3,0,4,0,19,0,0,0,0,0,0,0,0,7,13,18,11,4,5,0,64
UCL215076,3,4,7,4,11,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,22,10,18,0,0,67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,3,0,0,0,8,8,9,21,10,17,0,0,75,17,17,9,3,0,0,0,48,0,0,0,0,0,0,0,0,23,23,31,15,26,0,0,128
UCL215077,0,9,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,4,8,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,17,3,4,8,0,0,33,0,4,0,0,5,0,0,10,0,0,0,0,0,0,0,0,3,16,5,3,13,3,0,43
UCL215078,3,11,7,9,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,12,7,11,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,12,7,11,0,0,49,0,5,5,3,0,0,0,9,0,0,0,0,0,0,0,0,3,15,12,9,11,0,0,60
UCL215079,3,10,3,4,3,5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,12,8,8,5,0,55,0,0,3,0,0,0,0,5,4,0,0,0,0,0,0,3,4,0,3,0,0,0,0,11,8,15,7,8,11,5,0,61,6,4,6,3,5,0,0,24,0,0,0,0,0,0,0,0,14,21,15,13,11,5,0,86
UCL215080,6,8,4,8,7,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,17,19,16,5,0,68,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,21,17,18,16,0,0,73,13,7,5,5,4,0,0,30,0,0,0,0,0,0,0,0,19,28,14,21,18,0,0,102
UCL215081,7,22,9,9,7,0,0,47,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,5,36,21,26,21,4,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,21,30,21,4,0,123,18,16,11,4,8,0,0,61,0,0,0,0,0,0,0,0,18,55,34,34,33,3,0,183
UCL215082,9,9,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,7,4,7,4,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,12,11,7,4,7,4,0,48,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,11,6,5,7,4,0,56
UCL215083,3,7,4,5,4,3,0,34,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,8,9,14,9,3,0,52,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,9,3,13,11,20,10,3,0,59,8,7,5,3,4,0,0,27,0,0,0,0,0,0,0,0,12,18,12,17,15,3,4,86
UCL215084,7,10,7,3,5,0,0,28,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,5,12,15,8,7,0,0,46,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,5,0,0,0,0,3,0,0,9,11,12,19,10,9,0,0,57,16,16,5,5,5,0,0,38,0,0,0,0,0,0,0,0,24,26,25,14,11,0,0,98
UCL215085,6,6,0,9,8,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,5,8,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,5,8,0,0,31,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,11,3,5,7,0,0,38
UCL215086,6,14,21,13,18,0,3,75,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,13,25,21,21,36,8,3,138,0,3,0,4,0,0,0,13,6,0,0,0,0,0,0,0,6,4,0,4,0,0,0,14,16,28,28,22,39,9,0,146,28,19,10,7,11,0,0,74,3,3,0,0,0,0,0,3,39,53,40,31,46,12,0,231
UCL215087,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,9,0,6,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,6,0,0,25,5,7,0,0,3,0,0,14,0,0,0,0,0,0,0,0,8,8,5,4,11,0,0,42
UCL215088,6,9,5,6,11,5,0,38,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,4,14,16,10,12,5,0,66,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,5,0,0,0,0,3,8,14,17,10,12,5,0,73,7,13,12,7,4,4,0,41,0,0,0,0,0,0,0,0,11,25,30,19,15,11,3,111
UCL215089,8,11,13,10,11,4,0,49,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,3,19,22,14,16,4,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,22,14,16,4,0,79,13,8,7,4,10,0,0,44,0,0,0,0,0,0,0,0,21,31,26,22,25,4,0,128
UCL215090,4,5,6,5,4,3,0,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,12,11,8,4,6,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,11,8,4,6,0,49,11,13,3,3,3,0,0,36,0,0,0,0,0,0,0,0,16,22,15,9,12,6,0,83
UCL215091,0,0,0,0,3,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,6,0,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,8,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,8,6,0,19
UCL215092,7,21,14,7,12,3,5,72,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,12,43,31,22,31,11,6,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,12,43,28,22,34,11,9,160,12,18,14,14,10,0,0,64,0,0,0,0,0,0,0,0,21,61,44,35,45,14,8,233
UCL215093,3,19,11,10,11,3,5,69,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,34,25,22,29,8,5,126,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,12,34,25,21,32,8,5,132,24,14,6,3,9,0,0,63,0,0,0,0,0,0,0,0,35,49,32,21,36,10,3,190
UCL215094,7,7,0,0,0,0,0,12,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,22,3,10,3,0,0,0,0,19,0,0,0,0,0,0,0,0,6,25,5,6,0,4,0,43
UCL215095,0,3,0,4,4,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,6,11,5,4,5,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,5,4,6,0,0,29,10,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,9,17,5,5,14,0,0,49
UCL215096,5,8,10,5,5,4,0,39,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,9,15,9,8,8,11,4,60,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,9,17,9,10,8,10,4,64,0,5,3,0,6,0,0,14,0,0,0,0,0,0,0,4,7,17,14,12,11,14,5,84
UCL215097,7,21,12,15,9,6,0,61,0,5,0,0,0,0,0,6,0,0,0,0,4,0,0,0,14,25,18,17,20,4,0,102,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,5,0,0,0,0,0,14,25,21,19,20,4,0,105,22,10,12,8,6,0,0,51,0,0,0,0,0,0,0,9,33,41,25,29,29,3,0,159
UCL215098,0,7,9,4,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,15,4,7,12,3,0,48,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,7,18,4,7,12,4,0,51,3,8,3,3,0,0,0,20,0,0,0,0,0,0,0,0,6,21,11,10,12,4,0,68
UCL215099,4,13,3,3,4,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,11,8,11,0,0,52,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,13,16,11,6,11,0,0,54,5,7,4,3,3,0,0,27,0,0,0,0,0,0,0,0,14,24,18,12,14,5,0,81
UCL215100,4,4,7,8,8,0,0,35,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,8,8,10,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,4,8,4,11,0,0,43,4,9,7,5,3,0,0,34,0,0,0,0,0,0,0,0,12,12,14,15,17,0,0,74
UCL221001,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8,3,0,0,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,9,8,3,0,0,30
UCL221002,3,6,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,6,3,5,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,6,3,5,0,0,35,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,10,10,4,5,0,0,44
UCL221003,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9
UCL221004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,4,0,16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,8,7,5,4,0,14
UCL221005,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,13,5,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,5,14,3,0,0,0,0,27
UCL221006,0,8,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,0,9,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,0,9,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,0,9,0,0,23
UCL221007,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,15
UCL221008,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,0,0,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,4,5,0,0,22,3,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,9,7,4,5,0,0,37
UCL221009,0,3,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,3,7,3,3,0,0,22,4,6,0,0,5,0,0,15,0,0,0,0,0,0,0,0,5,3,0,7,5,0,0,30
UCL221010,0,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,4,0,4,0,0,21,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,6,0,9,0,0,31
UCL221011,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,4,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,4,8,0,4,0,0,18
UCL221012,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,6,0,0,13,0,3,7,0,4,0,0,11,0,0,0,0,0,0,0,0,6,4,8,0,7,0,0,27
UCL221013,0,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,0,0,0,17,5,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,9,7,4,0,0,0,24
UCL221014,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,3,4,3,0,4,0,0,8,0,0,0,0,0,0,0,0,3,4,0,5,5,0,0,20
UCL221015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6
UCL221016,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,7,0,0,6,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,6,0,3,32,8,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,11,4,3,11,0,3,44
UCL221017,0,3,3,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,0,0,0,16,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,6,0,11,9,0,0,0,0,25,3,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,13,9,0,0,0,0,30
UCL221018,0,6,4,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,4,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,3,0,10,3,6,4,0,0,21,3,4,0,0,5,0,0,6,0,0,0,0,0,0,0,0,3,7,3,8,6,0,0,36
UCL221019,3,6,3,6,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,4,3,0,25,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,8,6,10,3,0,33,9,4,0,0,6,0,0,10,0,0,0,0,0,0,0,0,11,10,9,6,8,3,0,50
UCL221020,3,9,9,6,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,4,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,9,4,4,0,0,26,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,7,13,9,4,8,0,0,41
UCL221021,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,0,0,0,24,0,4,4,0,0,0,0,5,0,0,0,0,0,0,0,0,3,8,7,5,0,0,0,29
UCL221022,6,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,4,0,0,13
UCL221023,0,3,0,3,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,20,7,6,8,8,4,0,0,24,0,0,0,0,0,0,0,0,10,12,6,13,7,0,0,45
UCL221024,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,5,0,0,16,0,6,3,5,0,0,0,9,0,0,0,0,0,0,0,0,8,4,4,4,7,0,0,27
UCL221025,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,10,4,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,5,0,3,4,0,0,14
UCL221026,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,13,0,0,6,0,0,19,4,0,5,0,4,0,0,7,0,0,0,0,0,0,0,0,3,13,7,0,5,0,0,31
UCL221027,0,6,7,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,3,0,0,22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6,7,0,3,0,0,20,3,7,0,4,3,0,0,11,0,0,0,0,0,0,0,0,10,10,5,3,5,0,0,40
UCL221028,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,6,3,4,0,0,18
UCL221029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,7,0,0,11,0,5,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,8,7,0,0,18
UCL221030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3
UCL221031,0,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,6,6,4,0,0,0,21
UCL221032,0,3,3,4,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,5,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,5,3,0,0,24,3,6,0,3,0,0,0,13,0,0,0,0,0,0,0,0,5,12,9,6,6,0,0,44
UCL221033,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,8,4,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,16
UCL221034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,6,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,9,3,0,0,0,15
UCL221035,0,0,4,0,0,0,0,4,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,6,7,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,5,0,0,20,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,8,7,0,6,0,0,29
UCL221036,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,21
