UCL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
UCL213016,0,0,0,0,0,0,6,3,11,266,284,38,584,25,18,41,629,381,6,1017
UCL213017,0,0,0,0,0,0,5,0,8,239,248,25,510,9,11,24,529,291,11,834
UCL213018,0,0,0,0,0,0,4,5,7,78,104,24,202,0,7,7,210,125,5,343
UCL214001,0,0,0,0,0,0,0,0,5,95,98,18,206,13,10,14,225,143,3,371
UCL214002,0,0,0,0,0,0,0,0,0,68,74,11,148,3,0,0,149,47,0,197
UCL214003,0,0,0,0,0,0,3,0,11,113,119,21,252,4,13,15,266,219,3,490
UCL214004,0,0,0,0,0,0,0,0,6,61,60,10,133,8,7,13,143,106,5,255
UCL214005,0,0,0,0,0,0,0,0,0,9,3,3,19,0,0,0,19,18,3,42
UCL214006,0,0,0,0,0,0,0,0,5,63,82,12,157,5,0,3,161,118,4,282
UCL214007,0,0,0,0,0,0,0,0,0,76,50,11,138,5,5,7,146,57,0,207
UCL214008,0,0,0,0,0,0,3,5,5,118,113,17,245,6,8,13,261,155,8,423
UCL214009,0,0,0,0,0,0,0,0,0,114,121,20,249,0,10,15,266,154,5,423
UCL214010,0,0,0,0,0,0,0,0,3,41,56,6,101,0,0,0,104,51,3,163
UCL214011,0,3,0,0,0,3,0,5,5,136,99,16,252,8,9,17,269,149,3,422
UCL214012,0,0,0,0,0,0,0,0,5,73,81,12,172,0,5,8,177,121,0,304
UCL214013,0,3,0,0,0,3,3,0,5,77,55,14,146,4,4,7,150,78,8,235
UCL214014,0,0,0,0,0,0,0,8,6,54,70,22,141,13,8,21,162,132,3,295
UCL214015,0,6,0,0,0,3,0,0,4,87,73,12,172,3,9,13,184,85,0,271
UCL214016,0,3,0,0,0,3,3,7,13,78,98,19,195,11,8,16,214,225,16,451
UCL214017,0,0,0,0,0,0,0,0,0,47,34,5,82,0,4,4,87,42,0,129
UCL214018,0,0,0,0,0,0,6,3,8,50,69,15,133,3,3,12,146,156,4,310
UCL214019,0,3,0,0,0,4,0,4,12,89,104,25,214,8,15,22,240,176,4,423
UCL214020,0,0,0,0,0,0,6,5,10,47,60,9,119,0,0,0,117,116,4,243
UCL214021,0,0,0,0,0,0,0,0,3,97,73,11,187,4,0,5,192,110,0,303
UCL214022,0,3,0,0,0,3,4,7,17,88,117,16,227,14,9,25,255,226,7,495
UCL215001,0,0,0,0,0,0,0,0,0,13,15,4,33,0,0,0,33,11,0,42
UCL215002,0,0,0,0,0,0,3,0,8,27,26,3,48,3,4,8,57,47,4,105
UCL215003,0,0,0,0,0,0,0,0,0,22,21,5,51,0,0,0,48,23,0,77
UCL215004,0,0,0,0,0,0,0,0,0,10,23,6,37,0,0,5,45,15,0,57
UCL215005,0,0,0,0,0,0,0,0,0,7,9,0,18,3,0,4,19,33,0,60
UCL215006,0,0,0,0,0,0,0,0,0,40,30,3,80,0,0,0,83,58,0,137
UCL215007,0,0,0,0,0,0,0,0,0,27,19,0,56,0,3,4,59,19,0,80
UCL215008,0,0,0,0,0,0,0,0,6,26,14,0,40,0,0,0,40,9,0,47
UCL215009,0,0,0,0,0,0,0,3,3,8,13,0,23,0,0,0,25,15,6,38
UCL215010,0,0,0,0,0,0,0,0,0,14,6,5,30,0,0,0,28,9,0,40
UCL215011,0,0,0,0,0,0,0,4,3,11,11,0,23,0,0,0,30,31,4,61
UCL215012,0,0,0,0,0,0,0,4,4,36,49,11,96,0,4,4,98,48,8,150
UCL215013,0,0,0,0,0,0,0,4,0,50,23,4,76,4,4,6,81,42,0,130
UCL215014,0,0,0,0,0,0,0,0,0,17,16,5,31,0,0,0,31,13,4,50
UCL215015,0,0,0,0,0,0,0,0,0,23,27,3,55,0,0,0,55,29,3,87
UCL215016,0,3,0,0,0,3,0,4,5,61,63,10,135,4,0,6,141,96,7,237
UCL215017,0,3,0,0,0,3,0,0,3,23,27,3,54,3,0,3,58,28,0,80
UCL215018,0,0,0,0,0,0,0,0,0,22,40,0,66,0,0,3,68,55,4,121
UCL215019,0,0,0,0,0,0,0,3,3,31,24,3,57,0,0,0,66,11,3,75
UCL215020,0,0,0,0,0,0,0,0,0,14,11,0,24,0,0,0,24,22,4,51
UCL215021,0,0,0,0,0,0,4,0,8,9,0,3,19,0,0,0,14,22,0,46
UCL215022,0,0,0,0,0,0,3,0,4,62,77,12,144,8,10,23,168,147,5,315
UCL215023,0,0,0,0,0,0,0,0,0,12,21,6,39,0,6,6,43,26,0,71
UCL215024,0,0,0,0,0,0,0,0,0,11,16,0,26,0,0,0,27,35,0,66
UCL215025,0,0,0,0,0,0,0,0,0,12,12,0,23,0,0,0,23,28,0,49
UCL215026,0,0,0,0,0,0,0,0,3,11,13,3,29,0,0,0,29,21,0,51
UCL215027,0,0,0,0,0,0,0,0,0,13,14,4,29,0,0,0,31,7,0,37
UCL215028,0,0,0,0,0,0,0,0,0,27,32,5,65,4,0,3,70,50,0,121
UCL215029,0,0,0,0,0,0,3,4,3,34,55,0,92,0,3,8,95,78,3,180
UCL215030,0,0,0,0,0,0,0,0,0,12,11,3,30,0,0,0,28,30,0,60
UCL215031,0,0,0,0,0,0,0,0,0,14,7,0,23,0,0,0,28,23,0,49
