UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL221004,5,4,3,7,4,3,3,0,0,30,6,0,0,4,6,5,0,0,0,22,71,53,49,138,167,110,26,0,0,606
UCL221005,0,0,0,0,0,4,5,0,0,16,0,0,0,3,4,0,6,0,0,12,4,17,63,49,62,61,37,5,0,304
UCL221006,0,0,0,0,0,3,0,0,0,12,0,0,0,0,4,0,0,5,0,8,17,12,60,79,63,50,24,7,0,308
UCL221007,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,7,0,0,0,11,8,15,47,44,42,59,7,0,0,218
UCL221008,0,0,0,0,0,0,5,0,0,9,0,0,5,4,0,3,0,5,0,13,19,14,36,48,46,63,30,6,0,267
UCL221009,0,0,3,0,3,4,0,0,0,12,0,0,0,6,3,0,0,0,0,13,18,23,61,59,47,51,12,3,0,277
UCL221010,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,10,12,20,53,55,50,65,9,0,0,267
UCL221011,5,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,46,16,46,69,97,72,14,0,0,353
UCL221012,0,0,4,6,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,7,20,13,35,46,65,68,4,0,0,254
UCL221013,0,3,0,0,0,0,0,0,0,6,3,0,0,3,0,8,0,0,0,22,11,24,56,59,67,77,9,0,0,310
UCL221014,0,5,4,0,0,0,0,0,0,10,0,0,0,0,4,3,0,0,0,10,26,25,57,76,94,93,29,7,0,407
UCL221015,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,9,8,11,30,30,53,72,27,3,0,242
UCL221016,0,0,3,8,8,3,0,0,0,23,0,0,3,0,0,0,0,0,0,10,45,35,87,152,97,42,15,0,0,475
UCL221017,0,5,4,0,0,0,0,0,0,12,0,0,5,4,6,3,0,0,0,11,21,33,71,60,78,89,33,3,0,395
UCL221018,0,0,3,4,0,0,0,0,0,10,0,0,5,0,6,0,3,0,0,20,22,29,52,38,79,96,50,4,0,372
UCL221019,0,0,0,3,0,0,0,0,0,13,0,0,0,0,3,6,0,0,0,8,9,13,58,56,72,86,14,0,0,315
UCL221020,0,0,0,0,4,3,0,0,0,9,0,6,0,4,0,6,0,0,0,16,17,25,36,48,56,86,25,4,0,298
