UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL215034,0,0,0,0,0,9,0,0,3,17,0,3,0,0,0,0,0,3,7,11,30,79,60,46,61,70,24,34,11,415
UCL215035,0,6,4,4,9,11,6,10,3,45,3,5,3,0,8,7,4,3,6,35,40,126,87,59,139,157,45,91,16,765
UCL215036,3,0,0,0,6,6,0,4,0,29,8,3,3,4,3,14,0,7,4,39,44,92,63,53,95,111,34,69,23,574
UCL215037,0,7,6,4,9,6,4,3,0,27,0,4,0,0,7,5,0,5,7,35,28,82,68,42,115,120,34,57,17,562
UCL215038,3,9,5,0,6,4,0,0,0,36,3,6,0,5,5,4,0,8,7,32,34,101,72,49,98,119,28,68,18,589
UCL215039,0,6,3,0,9,8,3,3,0,24,0,3,0,0,6,3,0,3,8,17,33,86,57,36,91,112,27,68,10,518
UCL215040,0,0,0,0,3,3,0,3,0,14,7,5,0,0,3,4,0,0,8,30,21,64,75,35,96,89,21,52,16,475
UCL215041,3,7,7,0,10,11,6,4,0,46,3,5,0,4,15,18,3,8,13,69,70,188,165,125,241,282,97,167,26,1359
UCL215042,3,4,3,0,3,5,0,8,4,34,3,0,0,0,9,4,0,5,7,24,47,96,64,40,111,124,36,68,21,621
UCL215043,9,6,8,4,14,13,6,8,0,76,0,10,0,0,28,23,3,6,16,99,77,209,185,133,360,335,100,211,38,1637
UCL215044,4,11,3,0,14,8,0,7,0,46,0,0,3,0,6,4,0,0,6,32,57,132,112,75,147,154,33,90,25,817
UCL215045,6,13,8,3,16,11,3,15,3,75,4,14,13,8,11,10,6,7,19,80,90,259,225,158,290,282,76,182,35,1591
UCL215046,0,8,9,4,7,9,0,9,0,46,7,0,0,0,4,3,0,0,9,28,50,118,98,58,139,185,56,91,14,817
UCL215047,7,8,7,5,15,20,0,10,0,67,7,11,3,6,16,17,0,7,8,65,63,132,87,97,245,210,61,132,31,1058
UCL215048,3,11,6,9,8,12,7,0,0,48,0,10,0,0,16,13,4,8,9,59,44,112,98,72,185,146,56,87,24,825
UCL215049,0,4,0,0,6,0,0,0,0,10,7,0,0,0,0,0,0,7,6,26,68,114,64,61,76,93,28,47,12,561
UCL215050,0,10,7,7,3,4,8,3,0,38,0,4,3,13,0,12,6,10,8,55,92,237,160,109,182,304,89,215,28,1422
UCL215051,10,9,13,3,10,28,6,7,0,89,4,8,0,3,0,13,4,15,16,61,130,275,217,170,318,369,113,232,34,1859
UCL215052,0,3,0,0,3,7,0,3,0,18,7,4,0,0,3,0,0,3,7,23,37,97,85,50,82,82,24,61,13,537
UCL215053,0,14,12,12,10,17,3,4,0,76,4,9,7,3,11,7,4,7,11,65,108,276,227,195,305,329,133,209,34,1819
UCL215054,0,0,3,0,17,3,0,0,0,34,0,0,0,5,11,10,0,8,22,43,41,110,89,94,172,140,46,67,23,776
UCL215055,4,8,0,0,5,7,4,5,0,26,0,11,0,0,0,3,0,6,4,20,55,132,74,58,94,100,35,66,19,628
UCL215056,3,3,3,3,9,6,0,5,0,26,3,4,4,0,11,3,0,0,7,34,48,101,71,54,155,106,28,41,25,621
UCL215057,3,5,4,0,7,0,4,3,0,31,0,4,0,0,6,8,0,3,8,27,44,121,109,56,130,125,53,75,18,730
UCL215058,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,3,11,25,82,56,48,70,74,26,40,9,428
UCL215059,0,5,0,5,4,0,6,0,0,14,0,0,0,0,3,0,0,6,6,19,74,179,153,98,158,168,41,96,20,989
UCL215060,3,7,7,0,5,4,7,6,0,49,4,10,10,0,8,10,4,3,5,48,83,206,185,120,244,213,62,113,27,1255
UCL215061,0,5,0,0,0,9,0,0,0,22,3,10,4,3,4,6,0,4,0,33,44,127,85,68,156,205,41,103,10,835
UCL215062,3,5,3,0,3,3,4,4,0,31,6,3,0,0,4,5,0,14,10,38,29,96,74,58,114,119,32,87,24,631
UCL215063,0,3,0,0,6,4,0,3,0,21,0,0,3,0,3,4,0,0,3,17,28,79,60,37,86,88,29,52,5,465
UCL215064,3,4,4,4,9,9,4,10,0,35,3,0,3,3,19,8,0,4,3,39,45,84,102,84,186,204,35,90,20,852
UCL215065,0,8,9,3,17,9,3,7,3,67,5,3,5,0,10,6,5,10,17,64,83,192,145,134,268,309,85,155,39,1409
UCL215066,0,5,5,8,0,7,0,0,0,25,0,0,3,0,0,0,0,0,9,22,33,112,92,72,117,91,17,58,22,611
