UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL215041,8,37,11,19,0,90,11,13,35,30,58,6,154,0,0,0,0,6,0,3,0,0,0,3,29,0,36,0,0,3,4,14,0,22,32,27,156,146,446,31,837
UCL215042,5,14,14,8,0,57,4,4,13,17,24,0,63,0,0,3,3,6,0,10,0,0,0,8,14,3,27,0,0,0,0,10,3,16,26,22,72,85,213,14,433
UCL215043,15,27,14,30,0,91,3,7,51,38,64,6,178,0,0,6,3,9,0,18,0,0,4,8,45,0,58,0,0,10,8,30,5,53,21,31,136,165,627,41,1019
UCL215044,7,30,3,10,4,68,14,9,32,24,45,10,134,0,0,0,0,4,0,9,0,0,6,9,24,4,40,0,0,0,0,3,5,13,39,30,126,85,279,25,581
UCL215045,15,36,23,21,0,103,12,16,48,54,78,6,210,0,0,5,0,6,0,11,0,0,3,3,42,0,57,0,0,5,5,15,10,41,45,43,171,186,519,34,1000
UCL215046,11,30,7,14,0,78,9,9,28,19,19,0,84,0,0,3,4,0,0,3,0,0,5,12,23,0,35,0,0,5,4,6,3,11,36,28,135,101,253,13,569
UCL215047,14,27,6,9,0,55,4,11,19,45,26,5,109,0,0,0,0,9,0,9,0,0,4,9,43,3,56,0,4,0,0,13,8,25,9,24,79,127,408,22,678
UCL215048,6,21,9,13,0,56,5,6,9,27,31,4,81,0,0,0,0,4,0,12,0,0,0,14,21,3,36,0,0,0,0,22,4,24,14,12,70,100,297,28,526
UCL215049,0,18,3,0,0,29,7,10,14,10,9,0,49,0,0,8,0,0,0,8,0,0,0,0,0,0,5,0,0,3,0,3,0,15,43,18,147,68,120,17,417
UCL215050,20,65,12,6,0,150,27,16,70,18,15,5,148,5,4,10,3,3,4,30,4,0,11,5,12,0,35,6,3,15,0,12,5,39,182,75,410,142,240,32,1086
UCL215051,24,59,15,32,4,155,23,17,60,59,91,3,249,3,0,3,6,11,0,20,4,0,4,0,51,0,64,0,0,3,3,25,3,30,67,55,228,174,658,36,1216
UCL215052,9,12,9,3,0,48,10,3,27,12,17,5,77,0,0,7,0,3,0,11,0,0,5,5,9,0,15,3,0,5,0,6,4,20,59,26,111,55,141,20,407
UCL215053,26,64,31,20,0,166,21,11,57,44,45,14,190,5,3,0,11,5,0,22,0,7,8,10,38,0,64,0,0,0,4,14,10,34,68,61,273,243,576,49,1261
