UCL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL222009,56,109,0,4,0,14,0,0,15,58,20,79,3,9,0,3,4,16,5,21,30,101,0,0,0,4,0,0,3,3,4,11,0,0,0,5,6,18,8,22,13,32,0,5,89,240
UCL222010,39,67,0,0,6,25,0,4,18,73,23,99,8,24,10,21,16,48,25,92,56,187,0,0,0,0,0,0,0,14,0,14,3,9,0,3,9,19,12,34,15,44,3,3,104,308
UCL222011,32,69,0,0,10,37,0,0,22,94,27,135,10,36,8,22,9,24,23,83,50,217,0,0,0,3,0,0,0,4,4,11,0,0,0,4,3,6,7,10,10,23,0,0,99,311
UCL222012,66,129,0,0,8,34,4,11,18,78,28,119,0,7,3,9,9,26,13,43,43,162,0,0,0,3,0,0,10,13,7,13,0,0,0,0,6,4,6,4,12,25,0,0,118,319
UCL222013,36,74,0,0,0,6,0,6,3,17,6,33,0,0,6,15,5,22,14,38,16,67,0,0,0,4,0,0,4,7,6,9,0,0,0,4,0,0,0,4,6,14,0,0,58,156
UCL222014,38,80,0,0,3,26,0,0,34,137,40,161,5,19,0,6,12,42,17,66,64,221,0,0,0,0,0,0,8,19,8,19,0,0,0,0,7,12,5,15,14,28,0,0,117,337
UCL222015,42,84,3,12,6,33,4,24,20,87,33,151,0,4,11,19,12,31,21,60,56,212,0,0,6,7,0,0,3,13,4,17,0,0,0,4,3,10,4,13,11,33,3,8,113,337
UCL222016,45,91,0,0,0,0,0,0,13,52,13,52,0,3,0,0,3,16,8,25,21,73,0,0,0,3,0,3,0,0,3,10,0,5,0,0,3,0,0,11,4,18,0,0,70,183
UCL222017,26,52,0,0,0,0,0,0,5,25,5,25,0,0,0,4,3,12,5,15,9,36,0,0,0,0,0,0,8,8,8,8,0,0,0,0,5,5,5,5,10,12,4,6,47,108
UCL222018,13,28,0,0,0,3,0,0,0,14,0,11,0,3,3,3,0,5,3,14,9,28,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,6,0,0,20,55
UCL222019,50,94,3,17,5,13,0,3,22,76,28,113,0,9,0,12,15,49,16,66,47,175,0,4,3,8,0,0,8,18,11,29,0,0,0,0,3,8,3,15,16,42,4,3,112,317
UCL222020,37,72,0,0,4,5,0,12,13,51,20,71,0,0,0,0,6,18,7,16,25,87,0,5,0,6,0,0,7,20,10,39,0,0,0,0,0,8,0,8,18,47,0,4,77,207
UCL222021,46,91,0,0,0,6,0,0,16,49,16,61,6,9,0,4,7,19,9,28,29,90,0,7,5,11,0,4,4,9,7,30,0,0,0,6,4,13,5,11,15,41,0,0,88,223
UCL222022,41,80,0,0,3,11,0,4,18,59,17,77,0,0,5,13,3,19,9,28,31,102,0,0,0,3,0,4,0,7,0,15,0,0,0,0,4,10,4,8,7,17,0,0,79,205
UCL222023,47,90,0,10,3,16,0,14,45,173,53,211,3,11,4,15,10,26,12,52,69,256,0,0,0,8,0,0,9,20,10,25,0,5,0,3,9,17,9,16,17,44,4,6,131,398
UCL222024,6,7,0,0,0,4,0,0,4,13,8,15,0,0,0,0,0,3,0,4,3,15,0,0,0,0,0,0,4,12,4,12,0,0,0,0,0,3,0,3,8,12,0,0,16,43
UCL222025,24,51,0,0,8,19,0,3,8,35,14,60,0,0,0,4,0,10,0,15,19,69,0,0,0,0,0,0,3,4,3,4,0,0,0,0,9,10,9,10,12,15,0,3,49,144
UCL222026,47,93,0,3,3,14,0,6,25,100,34,127,3,7,0,3,11,46,18,54,45,179,0,0,0,0,0,0,5,21,5,21,0,0,0,0,0,5,4,7,5,22,0,0,102,293
UCL222027,52,98,0,8,3,11,0,0,27,95,28,117,0,5,6,0,9,22,11,26,37,144,0,0,0,4,0,0,7,16,5,18,0,0,0,7,9,14,10,18,16,37,0,6,100,274
UCL222028,30,62,0,0,3,21,0,6,26,97,35,122,4,9,0,0,9,27,10,41,43,162,0,0,0,4,0,0,8,20,9,24,0,4,0,0,0,0,5,4,8,30,6,4,87,253
UCL222029,24,49,0,0,0,9,0,0,14,38,14,47,0,0,0,0,0,9,0,9,14,60,0,0,0,0,0,3,9,25,5,24,0,0,0,0,5,10,5,10,11,37,0,0,54,142
UCL222030,23,48,0,0,0,4,0,0,16,59,17,65,0,0,0,3,3,10,7,11,21,81,0,0,0,11,0,0,7,14,8,29,0,0,0,4,10,17,8,19,19,42,0,0,65,179
UCL222031,42,85,0,0,0,10,0,4,14,67,20,83,0,5,0,0,8,14,9,19,27,104,0,0,0,0,0,0,6,14,6,14,0,0,0,9,0,9,8,15,17,32,0,3,78,222
UCL222032,42,88,0,0,0,0,0,0,18,69,18,69,0,4,0,3,0,4,0,12,22,83,0,0,0,0,0,0,8,10,8,10,0,0,0,0,0,3,3,7,8,15,0,0,80,192
UCL222033,38,77,0,0,6,10,0,0,20,81,22,98,0,6,0,6,9,17,11,26,31,123,0,0,0,0,0,0,8,17,8,17,0,0,0,0,5,10,5,10,13,30,0,0,83,230
UCL222034,28,61,3,8,0,7,0,0,22,73,21,86,0,6,0,12,8,22,13,33,33,125,0,0,0,3,0,0,4,12,3,21,0,0,4,7,7,22,11,25,21,44,0,0,82,233
UCL222035,55,106,0,0,0,10,0,0,9,48,10,57,0,0,0,0,6,17,9,17,19,72,0,0,0,0,0,0,5,14,4,17,0,0,0,0,11,21,11,21,18,33,0,0,88,213
UCL222036,18,42,0,0,3,14,0,6,9,40,11,55,0,10,0,6,4,15,11,29,19,84,0,0,0,0,0,0,9,21,9,21,0,0,0,0,5,15,5,15,15,29,0,3,60,162
UCL222037,37,75,0,7,0,0,0,3,16,68,20,79,0,4,0,15,0,9,6,26,28,104,0,0,0,0,0,0,7,17,4,20,6,4,0,5,9,16,12,30,20,52,0,0,81,229
UCL222038,25,54,0,0,3,21,0,0,19,78,23,100,0,0,4,10,9,25,8,30,38,140,0,0,0,0,0,0,4,12,4,12,0,0,0,0,0,4,0,4,7,10,0,0,65,197
UCL222039,39,79,0,7,5,21,0,0,19,96,26,119,0,8,5,23,3,19,12,42,43,164,0,0,0,0,0,0,6,6,6,6,0,0,0,6,4,3,3,9,4,16,0,6,87,259
UCL222040,78,155,0,0,11,22,0,7,27,101,38,129,0,0,9,22,4,11,8,36,46,168,0,0,0,0,0,0,0,3,3,9,0,0,0,0,4,16,7,18,11,22,0,0,131,345
UCL222041,44,85,0,0,4,26,5,13,12,50,22,87,6,10,0,7,0,10,3,18,28,107,0,3,0,3,0,0,3,11,5,20,0,0,0,3,3,3,0,5,10,24,0,0,80,214
UCL222042,39,82,0,0,3,6,0,5,8,45,12,59,0,0,0,0,0,8,0,15,19,70,0,5,0,4,0,0,9,12,6,16,0,0,0,3,4,8,3,7,12,31,0,0,70,183
UCL222043,53,105,0,15,6,15,0,6,24,88,29,125,0,9,0,4,9,29,9,37,41,166,0,0,0,0,0,5,11,28,13,35,0,7,0,0,10,17,12,23,18,56,4,7,123,332
UCL222044,45,83,0,0,0,8,0,0,16,54,19,63,0,0,0,10,7,11,8,26,23,81,0,0,0,0,0,0,3,9,6,9,0,0,0,3,4,10,11,11,11,25,0,4,75,192
UCL222045,32,58,0,0,0,11,0,0,17,71,19,76,3,8,5,14,18,45,16,65,34,140,0,0,0,0,0,12,3,7,8,28,0,0,0,0,5,12,3,14,9,39,0,3,82,243
UCL222046,46,99,0,0,4,25,0,0,11,38,15,63,0,3,0,3,10,25,10,32,23,97,0,0,0,7,0,5,14,29,15,48,0,0,5,6,12,28,13,29,30,76,0,5,101,273
UCL222047,31,61,0,0,4,4,0,0,7,27,7,31,0,0,0,16,0,5,5,19,13,52,0,0,0,7,0,0,3,14,8,20,0,0,0,3,3,5,5,7,11,25,0,0,57,135
UCL222048,38,69,0,0,0,6,0,0,3,14,4,26,0,0,0,4,4,13,4,19,14,44,0,6,0,5,0,0,0,9,9,16,0,0,4,5,3,8,5,14,9,28,0,0,56,140
UCL222049,47,98,0,0,4,17,0,0,15,42,16,64,0,0,4,11,4,5,3,17,22,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,9,14,10,13,0,3,76,195
UCL222050,80,157,0,4,6,23,0,6,21,91,30,122,0,5,0,3,6,24,10,41,46,161,0,0,0,6,0,0,0,4,4,8,0,0,0,0,4,13,7,11,8,20,0,3,133,338
UCL222051,98,189,0,0,8,28,0,0,18,48,19,78,0,9,0,0,6,30,10,35,29,111,0,0,0,3,0,0,4,7,4,12,0,4,0,0,4,8,11,15,8,25,0,0,138,332
UCL222052,45,86,0,6,6,31,3,25,27,93,36,155,6,6,0,0,14,42,13,48,55,198,0,0,3,5,0,3,7,16,12,21,0,0,0,0,14,34,14,34,25,54,0,0,122,342
UCL222053,52,109,0,8,6,14,0,0,14,58,19,81,0,0,6,15,13,42,21,58,44,141,0,9,5,6,0,0,11,38,16,47,0,0,0,0,12,25,12,25,28,69,0,0,116,315
UCL222054,39,83,0,0,3,25,0,0,26,88,29,113,0,14,4,5,3,7,12,30,32,145,0,0,0,0,0,0,4,3,4,3,0,0,0,0,0,3,0,3,4,8,0,0,78,231
UCL222055,60,117,0,0,0,3,0,5,13,53,12,60,6,11,0,0,8,22,10,41,27,98,0,0,5,10,0,5,6,13,10,24,0,4,0,0,8,22,16,26,20,54,0,0,106,273
UCL222056,8,16,0,0,0,0,0,0,3,8,3,8,0,0,0,3,0,0,0,3,4,14,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,0,6,0,0,13,33
UCL222057,27,57,0,0,6,10,0,0,25,106,30,126,3,14,0,0,12,25,15,39,41,163,0,0,0,3,0,0,5,5,0,8,0,0,0,0,0,0,0,0,6,12,3,5,79,238
UCL222058,6,17,0,0,0,0,0,0,3,7,3,7,0,5,0,0,0,3,0,3,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30
UCL222059,32,66,0,0,0,0,0,0,17,49,17,49,0,5,0,4,3,7,7,20,21,70,0,7,0,0,0,0,7,10,5,16,0,0,0,0,3,4,3,5,12,25,3,5,61,166
UCL222060,24,55,0,0,0,3,0,0,11,47,12,51,0,0,0,8,0,3,4,15,19,65,0,0,0,5,0,5,0,4,3,7,0,0,0,4,3,9,5,13,7,19,0,0,50,139
UCL222061,19,37,0,8,0,4,0,0,13,49,17,61,3,10,3,10,10,42,15,56,28,119,0,0,0,8,0,0,3,8,4,13,0,6,0,3,8,10,5,15,8,29,0,3,62,191
UCL222062,61,126,0,3,0,4,5,6,13,48,20,67,0,3,0,3,3,22,7,24,22,92,0,0,6,8,0,0,4,7,5,16,0,0,0,5,3,6,8,17,10,29,0,5,102,247
UCL222063,65,140,0,0,3,20,0,0,22,76,23,89,0,5,8,30,8,20,19,49,38,140,0,0,0,9,0,0,8,21,5,27,0,0,0,3,9,24,14,30,19,52,4,9,130,338
UCL222064,22,43,3,9,6,38,0,0,13,51,20,100,3,15,5,13,10,33,15,56,35,157,0,0,0,7,0,0,4,7,3,12,0,0,0,0,0,3,0,3,6,12,0,0,59,213
UCL222065,25,46,0,0,3,17,0,0,10,38,12,55,0,3,4,6,5,8,3,17,19,73,0,0,0,0,0,0,11,21,11,21,0,0,0,0,6,8,6,8,12,28,0,0,52,147
UCL222066,41,83,0,0,0,18,0,0,8,34,12,50,0,3,0,4,5,20,8,26,26,75,0,0,0,0,0,6,4,11,3,17,0,0,0,0,5,7,5,7,8,26,0,0,71,186
UCL222067,37,68,0,0,0,0,0,0,10,38,10,38,0,0,0,3,5,11,8,14,19,48,0,0,0,0,0,8,0,0,0,6,0,0,5,5,3,12,5,15,10,24,0,0,62,143
UCL222068,15,34,0,0,0,3,0,3,13,49,12,61,4,16,4,15,7,19,13,45,29,108,0,0,0,0,0,0,0,4,0,4,0,0,3,5,0,11,8,19,8,24,4,5,57,168
UCL222069,63,125,0,14,6,27,0,0,13,69,26,103,0,6,3,10,9,22,14,38,39,147,0,8,0,0,0,6,6,30,10,40,0,4,0,0,6,9,5,11,15,51,4,7,117,325
UCL222070,40,74,0,0,0,11,0,0,14,47,13,57,0,5,0,0,0,3,0,9,20,68,0,0,0,5,0,0,0,5,0,7,0,0,0,0,0,4,0,4,0,9,0,0,60,148
UCL222071,51,104,0,8,3,23,0,4,27,98,33,133,0,10,5,8,8,20,14,42,47,179,0,0,0,4,0,0,5,14,3,19,0,0,0,0,3,6,3,6,10,23,4,10,105,307
UCL222072,59,115,0,0,0,5,0,4,12,39,13,48,0,0,0,0,3,9,3,20,21,71,0,0,0,0,0,0,5,13,5,13,0,0,0,0,9,11,9,11,7,26,0,0,89,215
UCL222073,18,36,0,10,3,13,0,0,9,46,13,72,3,12,0,3,5,6,6,25,25,97,0,0,0,4,0,0,9,13,7,15,0,0,0,0,8,10,8,10,13,27,0,0,51,163
UCL222074,18,39,3,16,3,22,3,8,7,24,15,62,0,0,0,3,3,15,6,22,20,85,0,0,3,3,0,0,0,3,7,7,0,4,0,0,5,3,4,8,10,17,0,3,49,146
UCL222075,53,108,0,0,3,19,8,25,33,123,39,168,0,18,3,9,4,20,11,43,47,212,0,4,0,9,0,0,9,25,12,35,0,7,9,15,15,23,17,40,25,77,0,0,136,393
UCL222076,49,95,0,0,8,34,0,0,16,66,22,100,3,8,0,9,9,30,16,51,39,156,0,0,4,11,0,0,11,30,17,46,0,0,3,3,7,18,12,23,23,68,0,4,116,320
UCL222077,72,146,0,4,3,18,0,0,22,83,23,103,0,5,6,11,7,23,11,40,34,144,0,0,0,0,0,0,7,19,7,19,0,4,0,7,6,9,5,22,17,38,0,3,127,330
UCL222078,27,52,0,0,5,20,9,28,10,33,20,80,0,0,0,3,0,0,0,3,18,86,0,4,3,9,0,10,8,11,9,31,0,3,0,8,4,7,7,18,17,49,0,6,69,192
UCL222079,57,109,0,4,5,29,0,4,31,129,43,175,0,11,4,12,15,40,18,64,60,234,0,0,5,7,0,0,9,10,7,22,0,0,0,5,5,19,9,22,18,46,0,0,135,391
UCL222080,56,111,0,0,0,12,0,17,10,48,14,71,3,10,0,4,6,11,8,22,21,96,0,0,0,9,0,0,5,11,4,16,0,0,5,5,4,12,4,13,16,29,0,3,99,242
UCL222081,41,76,0,0,0,10,0,0,7,32,10,44,0,6,0,3,8,15,6,22,20,65,0,0,0,0,0,0,0,7,0,7,0,0,0,0,5,4,0,7,11,13,0,4,67,163
UCL222082,21,42,0,0,6,8,0,0,21,61,17,70,0,0,0,6,3,6,3,13,21,81,0,0,0,6,0,0,0,0,3,6,0,0,0,0,0,3,0,3,3,10,0,0,53,137
UCL222083,19,44,0,0,4,5,0,10,17,62,19,78,0,4,4,7,7,27,12,39,30,113,0,0,0,0,0,0,0,6,0,6,0,0,0,0,10,18,14,24,13,32,0,0,61,186
UCL222084,46,98,0,0,0,21,0,3,13,55,17,80,0,10,0,0,5,8,9,19,24,106,0,0,4,13,0,0,9,26,10,37,3,5,0,0,13,22,15,29,29,72,0,0,101,265
UCL222085,43,87,0,0,8,22,0,0,15,63,24,89,0,3,4,10,5,9,7,23,33,111,0,0,0,0,0,0,0,6,0,6,0,0,3,3,0,3,3,5,5,13,0,0,77,210
UCL222086,43,90,0,4,0,7,0,10,24,96,24,107,3,23,5,8,14,52,20,83,51,193,0,3,0,0,0,0,6,14,9,21,0,0,0,3,8,8,10,17,14,33,0,0,110,320
UCL222087,71,143,0,0,0,4,3,17,18,71,23,96,0,12,0,6,7,21,11,36,33,126,0,0,3,8,0,0,18,51,17,58,0,3,0,0,14,19,10,29,28,86,3,8,137,355
UCL222088,38,78,0,0,0,7,0,4,0,14,8,23,0,5,3,8,6,25,13,30,14,50,0,0,0,0,0,3,0,6,3,10,0,6,0,0,10,19,12,26,13,36,0,3,66,167
UCL222089,34,66,0,0,0,0,0,3,13,36,11,39,0,6,4,12,5,12,8,25,17,67,0,0,0,8,0,0,9,16,9,22,0,0,3,0,4,14,12,18,19,40,0,3,69,173
UCL222090,22,43,0,0,3,28,5,5,15,57,20,91,0,0,0,9,6,17,6,21,27,115,0,0,0,3,0,0,3,7,3,13,0,0,0,0,3,4,3,4,3,21,3,6,56,176
UCL222091,36,67,0,0,5,24,0,3,32,127,37,154,4,13,3,10,11,30,17,55,56,210,0,0,0,4,0,3,10,27,15,33,0,0,4,5,6,16,10,20,22,59,0,3,113,339
UCL222092,24,55,0,6,5,10,0,0,37,145,35,160,0,8,9,18,13,39,20,62,59,227,0,0,0,0,0,0,7,12,7,12,0,3,0,0,0,0,0,3,6,18,0,0,92,299
UCL222093,56,105,0,0,3,14,0,0,16,58,15,68,0,0,4,5,7,15,11,25,22,92,0,0,4,6,0,0,8,27,12,33,0,3,6,5,13,30,19,34,24,65,6,4,108,274
UCL222094,47,93,0,0,0,6,0,8,16,62,16,75,0,0,0,5,6,28,6,25,27,102,0,0,0,0,0,7,13,27,17,38,0,0,5,4,6,19,12,19,20,55,0,0,96,256
UCL222095,27,50,0,0,0,0,0,0,12,43,12,43,0,3,3,12,3,11,12,26,21,73,0,0,0,0,0,0,0,8,0,8,0,0,0,6,6,3,4,8,6,23,0,4,50,140
UCL222096,43,89,0,8,5,39,0,0,32,135,45,182,0,0,3,12,8,33,13,43,58,226,0,0,0,3,0,4,5,13,5,18,0,0,0,5,3,9,7,13,14,29,4,7,116,348
UCL222097,28,64,0,10,6,33,0,3,19,61,23,109,0,17,5,14,15,44,20,73,42,179,0,4,0,3,0,3,3,8,4,26,0,0,0,3,4,8,4,13,13,32,0,0,86,276
UCL222098,43,85,0,3,5,26,0,11,26,115,38,158,0,7,3,11,8,23,13,38,48,199,0,0,0,4,0,0,0,6,5,13,0,0,0,0,0,3,0,3,8,20,0,0,99,293
UCL222099,23,43,0,0,0,9,0,0,15,58,19,66,0,0,0,5,9,34,8,30,27,101,0,0,0,0,0,5,7,21,4,23,0,0,0,3,4,3,5,9,9,33,0,3,62,177
UCL222100,30,69,0,0,0,3,0,0,7,18,4,26,0,0,0,7,5,9,3,19,16,42,0,0,0,0,0,0,4,8,4,9,0,0,0,0,7,26,11,30,16,35,0,0,60,145
UCL222101,32,63,0,0,0,3,0,0,21,83,23,93,3,16,0,5,0,8,7,27,28,118,0,0,0,0,0,3,4,20,6,24,0,0,0,0,4,3,3,11,11,33,0,0,74,213
UCL222102,55,103,0,8,6,26,0,8,21,97,35,137,0,0,0,9,6,26,9,35,47,171,0,0,4,10,0,0,4,6,6,14,0,0,3,0,3,5,4,9,11,27,0,3,106,302
UCL222103,23,48,0,0,8,18,0,3,21,70,23,92,7,9,0,13,8,23,14,42,32,140,0,0,0,0,0,0,0,3,0,3,0,7,0,7,0,6,3,14,6,11,0,0,63,195
UCL222104,39,77,0,0,4,9,0,7,13,49,13,72,0,0,3,7,11,29,12,35,25,110,0,0,0,5,0,5,4,18,8,28,0,0,3,4,6,15,8,19,16,50,3,6,86,248
UCL222105,33,63,0,0,5,11,0,0,9,34,16,41,0,14,0,7,3,18,8,34,19,82,0,0,0,0,0,3,3,11,3,11,0,0,0,0,3,5,3,5,11,16,0,0,62,159
UCL231001,55871,111596,1075,6034,5346,25104,1415,6499,23231,94104,31067,131743,2855,11976,4391,14715,11472,36617,18726,63307,49784,195049,150,687,729,2490,388,1392,3820,10212,5087,14786,422,1330,971,2122,4981,10810,6378,14260,11459,29040,1045,2185,118159,337869
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL299994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
