UCL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL215059,13,24,24,13,8,3,106,0,8,16,16,19,16,8,0,80,11,41,74,70,52,60,22,6,342,4,18,28,33,40,41,22,4,190,15,57,63,56,76,66,21,8,364,3,3,5,4,11,5,0,0,32,3,5,7,3,3,14,9,5,32,20,68,72,66,91,84,28,13,433,0,0,5,0,0,5,0,0,9,21,11,13,21,31,30,30,10,166,53,155,226,227,253,254,113,32,1317
UCL215060,12,10,4,3,0,0,34,0,6,10,7,13,0,5,0,40,3,48,45,42,24,32,8,6,208,13,24,38,40,28,23,16,5,202,22,96,91,87,100,59,22,12,494,7,0,0,0,7,5,0,0,28,0,6,6,4,7,4,3,3,39,32,107,96,95,121,75,27,11,566,0,0,3,0,3,3,0,0,10,10,25,25,17,27,42,55,35,226,69,217,236,203,221,183,114,67,1301
UCL215061,4,3,0,3,0,0,22,0,3,13,4,8,3,0,0,36,5,37,33,24,23,17,11,0,139,6,25,25,18,22,24,13,5,133,27,71,65,47,60,66,23,5,360,3,0,5,0,3,0,0,0,14,5,4,0,6,8,11,0,0,31,29,73,73,50,68,82,22,4,405,0,0,0,0,4,0,0,0,7,13,15,24,21,33,39,38,34,213,49,158,169,116,159,165,88,47,952
UCL215062,4,4,5,5,0,0,20,0,4,6,12,3,0,0,0,19,0,26,16,11,26,24,3,3,104,11,15,16,20,14,14,15,0,96,33,39,57,49,48,32,17,7,282,5,7,4,6,6,0,0,0,19,0,0,4,0,0,0,0,0,13,36,52,55,54,54,39,18,7,307,0,0,0,0,0,3,0,0,5,18,9,11,14,16,27,18,9,122,65,109,102,103,121,107,52,23,683
UCL215063,0,5,0,6,0,0,17,0,6,0,6,6,5,0,0,24,0,12,13,11,14,12,9,0,84,4,15,25,19,13,32,9,0,112,16,53,25,29,35,22,16,5,215,0,0,4,0,3,3,0,0,16,0,0,0,3,3,3,0,0,14,18,55,27,39,45,32,20,5,239,0,0,0,0,4,0,3,0,14,4,4,6,3,9,13,9,9,66,38,102,88,72,90,100,51,16,551
UCL215064,9,3,6,0,0,0,29,0,6,5,4,3,3,0,0,25,11,62,16,16,12,18,15,5,150,8,19,19,17,17,16,3,3,101,25,72,40,59,70,22,6,4,303,5,11,10,4,0,0,3,0,35,3,0,3,7,5,5,0,0,23,39,78,49,71,76,27,7,4,356,0,0,0,0,0,0,4,0,3,12,20,19,11,22,26,30,27,165,66,198,124,131,134,81,66,46,839
UCL215065,4,8,4,3,0,0,35,0,9,7,16,6,14,3,0,55,13,72,35,34,31,25,16,0,235,9,34,38,47,46,48,25,4,241,64,109,100,94,122,78,32,17,614,4,6,15,6,6,7,8,0,46,7,5,4,7,8,5,6,0,54,72,122,121,106,138,86,46,19,715,0,3,0,0,0,4,3,0,13,44,55,46,62,65,78,55,30,427,138,302,258,274,293,259,153,50,1725
UCL215066,5,6,0,4,0,0,26,0,3,0,3,3,8,3,0,26,0,21,14,19,32,18,10,4,106,0,10,17,22,24,23,9,3,102,14,53,36,50,63,41,28,3,299,5,0,6,8,3,0,0,0,16,0,0,4,0,11,9,4,0,27,18,55,44,55,78,52,33,6,343,0,0,0,0,0,3,5,0,5,15,34,22,33,39,61,43,24,270,40,129,98,131,183,166,107,33,884
UCL215067,4,0,0,0,0,0,19,0,3,0,0,0,0,0,0,5,4,23,13,9,10,7,3,0,74,0,12,6,17,6,10,7,0,54,12,42,29,30,27,29,8,0,182,0,0,4,0,0,0,0,0,4,0,0,0,4,0,3,0,0,9,12,45,32,33,31,33,8,0,194,0,0,0,0,0,0,0,0,3,4,9,11,14,22,18,26,26,125,24,99,67,66,67,70,42,34,476
UCL215068,7,9,16,26,10,6,79,0,0,12,7,24,35,0,0,80,9,22,34,41,63,95,43,9,309,3,25,24,50,77,118,62,22,380,26,67,65,87,139,162,99,21,670,0,8,3,8,8,11,3,0,39,0,4,5,5,19,22,16,8,77,28,75,71,104,170,195,118,26,790,0,0,0,0,4,5,9,0,19,7,6,7,16,39,64,55,24,226,43,136,157,227,394,532,305,81,1878
UCL215069,30,26,25,35,6,3,144,0,12,14,21,23,25,6,0,100,3,60,129,87,89,105,45,13,531,0,17,56,48,67,82,40,8,318,20,59,79,70,73,80,26,8,414,10,5,6,3,5,5,0,0,40,0,0,0,8,10,13,6,12,45,30,61,84,78,94,98,31,14,499,0,0,0,4,0,0,4,0,14,27,27,19,25,40,77,67,52,329,59,200,331,287,335,423,202,91,1934
UCL215070,4,7,3,0,0,0,23,0,5,9,3,4,4,0,0,27,10,31,25,28,21,10,3,0,126,4,31,29,36,30,26,12,0,168,45,135,120,75,77,48,19,9,531,7,17,12,4,10,0,0,0,47,6,5,8,4,4,3,0,0,30,63,157,141,85,86,54,16,9,606,0,4,6,0,0,0,0,0,14,38,55,33,45,52,66,50,15,347,111,286,235,208,198,172,83,26,1317
UCL215071,26,26,32,12,12,0,129,0,9,20,20,26,14,6,0,105,18,60,108,107,66,44,20,0,420,10,41,62,76,61,52,26,0,329,51,118,127,133,139,60,25,0,654,6,6,5,6,0,5,0,0,29,3,7,9,16,13,17,3,0,61,61,131,136,151,160,74,28,6,744,0,0,0,8,3,6,7,0,30,25,10,21,33,23,17,14,0,147,119,272,364,423,376,223,108,9,1902
UCL215072,13,0,0,0,0,0,23,3,0,0,0,3,4,0,0,16,9,44,33,17,8,15,3,0,124,0,35,25,12,8,10,0,3,94,11,40,42,25,26,16,4,0,163,0,0,0,3,3,3,0,0,13,0,9,3,5,7,0,0,0,21,15,42,48,32,30,20,6,0,199,0,6,5,0,5,0,0,0,10,54,88,68,41,34,38,24,20,371,82,221,192,103,92,88,38,25,845
UCL215073,3,6,3,0,0,0,15,0,4,9,8,7,0,0,0,33,8,29,24,25,37,23,6,0,153,15,11,20,28,30,32,11,5,155,25,87,67,86,95,56,28,11,462,6,3,3,3,6,5,4,0,27,0,0,3,4,7,3,0,0,25,35,90,79,95,111,61,33,15,519,0,4,0,0,0,0,0,0,6,17,16,19,24,33,38,66,58,282,80,156,159,191,224,153,129,71,1167
UCL215074,31,22,8,9,0,0,92,5,29,28,22,17,14,0,0,107,30,136,104,80,50,35,22,0,458,22,85,76,89,72,49,14,0,404,79,274,219,190,147,74,35,3,1018,5,13,4,3,6,4,0,0,45,0,15,9,16,11,17,4,0,63,84,299,236,207,161,92,38,3,1127,0,0,3,4,4,5,0,0,17,20,28,16,23,37,34,25,4,190,154,605,491,437,345,239,103,12,2393
UCL215075,0,3,0,0,0,0,10,0,3,7,3,7,0,0,0,13,0,25,15,3,0,6,3,0,59,0,11,8,11,13,7,0,0,57,22,63,42,47,55,28,13,0,274,7,0,5,3,0,0,0,0,18,0,4,0,0,0,5,0,0,13,27,72,48,52,62,31,18,0,300,0,0,0,0,3,0,0,0,4,11,19,20,7,21,28,21,11,141,44,133,95,82,107,77,41,11,594
UCL215076,7,12,12,9,4,0,56,0,3,9,5,12,12,9,0,54,5,39,49,35,32,33,12,5,213,8,27,25,30,36,32,16,0,175,27,86,75,66,84,73,25,7,440,7,3,7,6,6,3,0,0,28,4,6,6,10,3,9,3,0,43,41,91,88,77,91,84,29,9,514,0,0,0,0,0,0,0,0,3,8,14,9,17,28,22,26,11,132,64,186,181,180,215,200,97,26,1148
UCL215077,13,10,10,4,4,0,39,0,11,5,7,3,9,6,0,43,7,44,56,28,26,27,13,0,196,8,16,38,16,35,43,15,7,173,9,23,43,58,61,43,13,3,255,0,0,0,0,3,8,0,0,22,0,0,0,0,9,9,3,0,23,11,25,44,58,75,54,19,5,300,0,0,0,0,0,0,0,0,4,11,11,13,27,31,27,18,11,159,29,110,165,147,189,169,78,31,920
UCL215078,5,9,8,5,0,0,28,3,5,7,0,0,6,5,0,30,8,38,30,29,11,9,3,0,131,6,39,31,32,31,15,13,0,165,28,107,98,73,80,31,4,0,425,6,6,8,3,0,3,0,0,17,4,6,4,10,3,0,4,0,22,34,118,102,80,90,36,10,0,466,0,0,3,0,0,4,0,0,10,18,12,15,6,8,8,10,0,75,61,219,193,162,144,71,36,0,903
UCL215079,9,0,0,0,0,0,17,5,0,4,9,5,7,4,0,24,0,19,20,24,22,22,10,0,122,7,20,12,23,26,20,11,0,121,16,62,39,55,60,57,29,3,329,0,7,3,3,0,3,3,0,28,0,0,12,9,6,4,0,3,28,19,72,46,68,67,63,33,11,383,0,0,0,0,4,5,0,0,12,16,16,8,28,28,50,45,37,234,56,144,105,139,148,166,103,47,916
UCL215080,9,0,3,0,0,0,27,0,4,7,7,4,5,5,0,33,10,43,37,17,17,16,4,0,144,8,31,31,31,30,25,6,0,169,35,139,82,67,62,66,13,6,461,8,9,9,4,5,10,3,0,37,0,3,3,7,15,7,3,0,37,42,151,90,71,88,78,20,3,536,0,0,0,0,0,0,3,0,3,13,15,10,12,15,31,12,4,112,77,252,183,137,154,165,52,4,1024
UCL215081,16,22,12,5,0,0,85,0,17,12,19,15,12,4,0,79,18,107,81,56,51,45,13,0,372,23,59,48,66,73,34,23,3,320,50,166,100,113,115,78,33,4,654,7,10,8,3,3,6,0,0,44,7,11,0,9,6,10,8,3,46,64,185,115,125,118,84,40,9,740,0,0,4,0,0,5,0,0,15,35,42,37,47,49,45,90,46,391,139,432,306,338,327,237,168,56,2007
UCL215082,4,9,9,8,0,0,31,0,12,15,17,10,14,0,0,66,7,46,53,43,26,20,0,0,198,8,26,44,36,34,24,9,0,178,43,103,123,89,66,31,9,6,461,3,0,6,4,3,3,0,0,28,3,0,10,11,6,0,4,0,23,49,101,135,108,66,34,10,6,511,0,4,0,0,5,0,0,0,4,12,13,24,26,13,16,6,4,116,80,203,275,239,160,114,31,5,1111
UCL215083,7,4,8,3,0,0,29,0,6,9,7,13,9,0,0,38,11,37,14,26,26,15,10,0,130,8,20,21,25,31,22,3,6,131,26,77,60,54,68,33,15,0,333,0,4,9,5,3,3,0,0,24,3,8,4,0,9,0,3,0,24,32,84,66,58,80,37,21,0,383,0,0,0,0,3,0,0,0,4,14,8,16,14,19,36,35,25,172,59,158,139,130,179,122,71,34,891
UCL215084,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,6,3,20,6,12,6,6,0,0,59,5,20,15,22,10,14,5,0,81,28,62,32,34,36,33,8,5,238,0,3,4,0,5,0,0,0,18,0,0,0,0,9,0,0,0,17,32,64,37,39,43,34,17,5,273,0,0,0,0,0,0,0,0,4,21,12,12,14,12,20,22,18,131,57,120,73,81,76,81,36,25,561
UCL215085,6,3,0,4,0,0,11,0,3,8,3,0,0,0,0,13,9,17,30,8,11,3,0,0,77,5,16,22,10,13,12,0,0,83,10,56,74,50,42,29,4,3,259,3,0,3,8,0,0,0,0,14,0,3,0,4,3,0,0,0,12,13,57,78,54,49,30,4,3,292,0,0,0,0,0,0,0,0,3,7,4,12,9,21,14,8,3,79,29,104,158,93,89,65,13,12,558
UCL215086,17,18,5,4,4,0,68,0,10,18,29,15,9,7,0,83,16,80,69,42,37,58,13,4,320,6,33,66,46,38,45,17,10,266,51,158,152,122,93,86,26,11,693,9,7,13,6,0,8,0,0,37,4,5,4,14,9,15,9,0,51,63,171,165,138,102,103,38,11,783,0,4,6,0,0,3,0,0,17,19,19,18,27,14,35,56,44,241,104,333,364,306,219,257,138,64,1785
UCL215087,8,7,5,0,0,0,33,0,4,3,8,8,4,0,0,23,5,24,30,17,17,8,7,0,108,10,26,23,35,22,23,3,0,136,26,75,83,80,75,42,12,0,394,3,0,8,6,0,0,0,0,14,0,0,4,6,4,0,3,0,24,30,75,94,87,79,48,11,0,431,0,0,0,0,0,0,0,0,4,12,26,16,16,31,25,11,0,145,64,156,171,173,167,108,35,0,879
UCL215088,16,25,26,9,3,0,84,0,0,11,16,13,15,5,0,60,0,19,35,54,41,27,19,0,192,4,10,25,34,60,37,12,4,183,13,33,45,58,56,41,22,4,273,0,0,6,3,6,0,0,0,19,0,5,5,4,3,0,5,0,20,12,37,48,68,58,47,25,5,311,0,0,0,0,4,0,5,0,10,34,13,22,58,36,36,17,15,242,57,92,146,264,239,176,89,23,1088
UCL215089,3,0,3,0,0,0,23,0,3,3,3,6,3,4,0,29,3,32,26,11,26,20,12,0,129,7,16,15,41,27,22,9,5,131,29,72,55,56,85,53,20,7,380,4,3,0,3,3,0,0,0,17,3,3,0,3,8,3,0,0,17,30,84,56,64,96,55,21,7,417,0,0,0,0,4,0,0,0,10,23,26,21,25,22,55,56,44,272,64,165,131,147,184,168,107,56,1014
UCL215090,3,7,4,0,0,0,32,0,9,7,4,8,3,0,0,38,5,59,41,17,22,25,9,0,167,10,34,35,23,24,25,4,0,156,26,111,71,63,59,48,9,4,393,3,4,0,0,3,6,0,0,19,0,0,6,4,5,5,3,0,26,30,114,78,68,67,55,14,10,441,0,0,0,5,0,3,0,0,7,18,20,19,21,31,37,34,31,207,70,247,193,142,160,143,58,40,1041
UCL215091,11,22,10,7,4,0,63,0,0,6,8,13,4,4,0,35,25,28,43,57,62,35,3,0,263,9,15,17,35,41,23,6,4,154,30,27,31,46,69,34,8,0,255,3,0,0,3,4,0,0,0,13,0,0,3,5,0,3,0,0,27,38,27,32,55,80,39,12,6,287,0,0,0,0,0,5,0,0,4,4,5,3,8,23,11,0,0,46,79,82,119,181,230,120,34,12,856
UCL215092,106,91,49,45,16,6,369,4,17,43,52,38,30,7,5,195,17,94,207,195,83,101,64,10,768,5,49,48,90,73,55,37,11,363,28,64,82,94,95,87,43,8,515,3,4,0,9,4,4,3,0,35,0,0,12,7,9,13,4,0,61,43,71,101,114,113,104,57,8,603,0,0,0,0,0,6,0,0,13,19,11,25,27,22,31,38,21,199,86,298,526,569,381,377,222,56,2520
UCL215093,9,11,3,8,0,0,40,0,16,9,13,11,8,0,0,67,9,75,53,33,34,23,11,0,253,28,91,71,55,58,30,6,3,338,89,294,190,164,129,84,27,4,978,13,19,7,3,4,3,0,0,62,3,12,5,9,14,10,4,0,68,112,322,213,177,141,102,33,4,1100,0,0,4,3,0,0,0,0,20,20,21,24,22,19,24,15,6,153,173,543,382,315,269,202,64,12,1959
UCL215094,4,11,8,0,0,0,24,0,0,0,9,4,0,0,0,16,0,7,19,25,12,8,4,0,79,0,9,12,25,17,7,7,0,78,18,15,32,44,24,25,0,0,168,3,0,5,0,3,0,0,0,14,0,0,0,3,0,0,0,0,10,20,21,35,48,36,25,0,0,194,0,0,0,0,0,0,0,0,4,19,7,6,11,17,13,3,4,75,44,50,86,122,90,50,16,4,465
UCL215095,0,4,4,3,0,0,9,0,9,3,0,5,0,0,0,17,3,11,7,8,13,7,0,0,47,5,18,7,17,15,10,5,0,67,23,71,39,48,58,21,4,0,271,5,3,3,0,5,0,0,0,18,0,5,4,3,0,0,0,0,13,28,71,44,57,62,26,4,0,298,0,0,0,0,0,0,0,0,0,8,11,8,10,12,21,4,0,73,46,119,74,91,100,62,14,3,511
UCL215096,9,11,4,7,7,0,53,0,3,4,7,11,6,0,0,39,7,49,44,51,23,22,5,3,210,6,50,59,37,24,28,10,5,213,34,106,90,99,66,54,18,3,469,0,0,3,7,4,0,0,0,16,8,7,0,9,3,3,6,0,32,38,117,92,114,71,56,26,3,514,0,0,0,0,0,0,4,0,7,7,22,13,21,20,21,17,7,139,68,249,219,246,162,141,69,21,1179
UCL215097,4,7,8,7,3,0,49,0,5,13,12,9,8,0,0,53,6,27,48,37,29,29,15,5,201,18,39,44,49,39,39,12,5,241,57,154,128,114,92,61,34,12,654,7,8,3,4,4,7,0,0,32,0,4,8,7,3,6,7,0,42,73,166,134,130,97,79,41,12,731,0,0,0,0,0,0,0,0,9,32,29,35,43,29,47,29,12,260,128,274,285,283,208,211,114,37,1546
UCL215098,5,0,9,7,0,0,32,0,4,4,0,3,4,0,0,19,5,27,25,17,7,8,3,0,98,0,20,20,14,26,23,9,0,113,21,89,51,33,50,40,12,6,288,0,0,0,0,3,0,0,0,15,0,3,5,0,3,3,0,0,15,21,91,51,33,58,43,14,4,314,0,0,0,0,0,0,0,0,3,8,10,3,4,15,22,8,6,69,34,162,111,76,110,109,31,12,645
UCL215099,5,4,4,3,3,3,22,0,4,0,7,10,8,0,0,28,4,20,17,14,20,19,9,0,99,0,11,20,11,19,26,11,4,107,24,41,48,50,56,41,22,6,282,0,4,0,0,0,3,0,0,13,0,3,0,0,4,3,0,5,13,25,47,51,50,59,48,19,11,313,0,0,0,6,0,0,0,0,10,26,20,19,15,21,41,31,17,183,64,101,113,99,130,140,75,40,758
UCL215100,10,0,4,6,4,0,21,0,4,0,9,8,3,4,0,22,0,15,10,18,14,26,12,0,104,0,3,23,14,20,19,15,0,100,13,27,35,28,51,32,14,3,214,0,0,0,0,0,0,0,0,3,0,0,0,5,5,0,4,0,18,17,32,33,33,58,39,19,0,239,0,0,4,0,0,4,5,0,10,6,11,12,14,19,28,33,13,135,27,62,90,88,127,128,83,21,629
UCL221001,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,4,15,10,3,6,3,0,0,44,0,9,16,7,5,0,5,0,46,13,43,34,38,20,5,0,0,153,0,0,0,3,0,0,0,0,4,0,0,0,5,0,0,0,0,10,13,45,34,41,19,7,0,0,162,0,0,0,0,0,0,0,0,5,9,3,4,12,3,13,0,4,44,26,77,77,64,35,24,8,4,317
UCL221002,7,0,7,8,4,0,23,0,0,4,0,0,3,0,0,10,0,14,11,16,10,26,3,0,81,0,11,8,19,19,16,8,6,78,10,27,28,37,42,24,6,0,176,0,7,0,3,5,0,0,0,12,0,0,0,0,0,3,0,0,11,12,31,32,40,44,24,11,0,202,0,0,0,0,0,0,0,0,0,8,0,3,0,11,11,5,0,45,22,55,74,80,90,81,27,8,439
UCL221003,0,0,0,0,0,0,5,0,7,0,0,3,4,0,0,13,0,4,9,0,5,7,4,0,24,0,4,9,10,18,4,0,0,38,7,34,23,20,22,6,8,0,127,0,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,3,7,38,23,21,28,6,8,0,132,0,0,0,0,0,0,0,0,3,9,15,13,3,10,11,4,0,59,17,64,56,39,56,30,20,0,277
UCL221004,18,5,7,6,0,0,40,0,3,12,12,5,3,0,0,32,9,16,41,44,24,17,8,0,148,4,7,18,25,16,14,3,0,94,15,15,35,59,37,9,3,0,183,0,0,0,0,0,0,0,0,4,4,0,3,4,0,0,0,0,19,16,19,38,69,38,12,12,0,203,0,3,0,8,0,0,0,0,11,8,4,3,8,3,6,3,4,37,37,49,135,160,99,52,18,3,560
UCL221005,0,0,0,3,0,0,14,0,0,6,4,0,0,0,0,7,5,23,15,8,9,8,0,3,69,0,0,5,11,14,11,0,0,44,8,16,18,23,17,9,3,0,103,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,5,16,17,32,21,7,3,0,106,0,0,0,0,0,0,0,0,6,8,4,0,11,8,11,11,3,54,14,58,50,63,52,43,21,7,307
UCL221006,0,6,4,5,0,0,17,0,4,9,5,5,6,0,0,20,0,23,19,12,13,19,3,0,96,0,8,11,7,12,12,3,0,53,3,18,29,16,19,17,3,0,100,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,3,20,31,19,18,17,7,0,109,0,0,0,0,0,0,0,0,4,5,0,6,0,10,8,0,0,33,5,58,72,49,59,65,8,0,325
UCL221007,7,5,11,0,0,0,18,0,0,5,5,0,5,0,0,16,3,13,4,9,11,3,4,0,47,0,5,7,5,10,12,6,0,48,3,17,18,13,27,11,3,4,107,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,6,6,20,19,13,36,15,6,4,120,0,0,0,0,0,0,0,0,5,5,8,8,3,12,4,4,0,48,13,50,53,44,75,39,14,6,296
UCL221008,3,0,0,0,0,0,10,0,3,3,0,0,3,3,0,11,3,15,16,13,6,5,3,0,65,0,5,9,5,4,7,0,0,36,8,11,14,9,31,19,7,0,101,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,11,9,11,17,14,31,24,10,0,121,0,0,0,0,0,0,0,0,0,11,5,7,15,20,33,28,32,152,23,42,53,51,76,79,39,37,394
UCL221009,0,0,0,0,0,0,9,0,4,6,8,4,0,0,0,12,0,15,11,10,8,8,5,0,58,0,4,11,7,11,10,0,0,40,6,23,24,15,25,18,3,0,120,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,7,28,31,14,22,21,3,0,135,0,0,0,0,0,0,0,0,0,15,13,12,5,12,3,3,0,57,23,60,68,45,58,45,10,7,305
UCL221010,0,0,0,4,0,0,14,0,3,4,0,4,0,0,0,8,0,8,13,13,10,3,0,0,41,0,16,7,6,20,9,0,0,53,6,24,24,16,20,7,4,3,105,5,0,0,0,6,0,0,0,12,0,0,0,0,3,0,0,0,7,12,24,23,16,24,9,4,3,120,0,0,0,0,0,0,0,0,0,8,8,8,4,7,11,0,5,50,18,56,54,47,63,37,7,10,283
UCL221011,7,0,10,6,3,0,25,0,0,5,0,4,0,0,0,13,4,12,16,29,11,9,3,0,81,0,4,13,16,11,13,0,0,52,9,15,30,31,29,6,0,0,129,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,14,17,35,36,29,9,0,0,137,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,0,0,20,17,30,72,84,68,41,13,0,329
UCL221012,0,0,0,0,0,0,5,0,0,4,3,4,0,0,0,13,0,11,10,13,13,4,0,0,50,0,3,5,7,17,0,0,0,37,4,15,18,18,12,5,0,0,71,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,15,22,21,14,5,0,0,75,0,0,0,0,0,0,0,0,0,9,0,4,16,6,8,8,0,54,14,28,43,58,60,26,7,0,238
UCL221013,9,3,0,0,0,0,13,0,0,0,0,0,4,0,0,8,0,8,12,10,7,4,0,0,45,0,3,14,9,10,7,3,0,50,10,30,14,25,35,16,6,3,130,0,0,0,4,0,0,0,0,4,0,8,0,0,0,0,0,0,11,15,34,15,31,31,16,10,3,147,0,0,0,0,0,0,0,0,0,4,5,8,9,11,0,0,0,47,17,43,62,64,63,34,18,4,308
UCL221014,7,3,13,15,9,0,56,0,0,3,3,10,16,0,0,30,7,18,22,28,35,29,9,5,146,0,10,15,9,22,34,13,0,109,7,21,33,35,34,25,11,0,167,0,0,0,7,3,0,0,0,12,0,0,0,4,3,7,0,0,15,9,23,33,41,37,30,11,5,192,0,0,0,0,0,0,0,0,0,3,0,8,5,10,12,16,3,59,23,63,81,93,133,135,46,15,592
UCL221015,5,6,10,14,4,0,30,0,4,0,0,3,5,3,0,18,0,8,14,16,22,24,4,0,85,0,0,4,6,11,13,4,0,52,0,10,5,19,27,12,4,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,13,5,19,27,13,5,0,82,0,0,0,0,0,0,0,0,0,3,4,7,12,11,7,0,0,37,4,28,31,58,87,72,18,4,303
UCL221016,9,4,3,4,0,0,21,0,5,5,0,0,0,0,0,14,5,12,22,17,10,4,0,0,76,0,19,26,28,5,6,0,0,77,15,34,64,26,24,11,3,0,187,4,0,3,0,0,0,0,0,12,3,0,0,0,0,0,0,0,11,25,39,72,29,24,17,3,0,205,0,0,0,0,0,0,0,0,0,4,9,9,0,3,4,6,5,34,38,83,139,83,50,34,8,4,429
UCL221017,0,5,0,5,0,0,9,0,0,0,6,4,3,0,0,14,0,8,8,10,10,9,4,0,48,4,12,12,9,20,10,0,0,64,11,26,23,39,40,32,5,0,182,5,0,0,0,4,0,0,0,11,0,0,0,0,3,0,0,0,7,12,29,28,38,47,40,10,0,205,0,0,0,0,0,0,0,0,3,4,6,8,13,8,14,14,0,58,23,54,55,76,76,79,29,0,402
UCL221018,0,0,3,4,0,0,14,0,0,7,0,0,4,0,0,10,8,11,8,7,13,8,3,0,68,0,5,3,10,17,17,10,0,62,9,16,10,30,38,30,11,4,153,3,0,0,0,3,0,0,0,12,0,0,0,0,0,4,0,0,9,14,18,10,39,42,39,11,4,169,0,0,0,0,0,0,0,0,0,11,10,8,15,23,23,23,26,151,24,44,39,77,102,95,48,35,476
UCL221019,8,12,9,7,5,0,44,0,4,0,5,4,3,4,0,24,5,12,12,23,27,15,4,0,98,7,3,12,11,21,8,4,0,68,3,23,15,18,33,18,6,0,127,0,0,8,0,3,0,0,0,20,0,0,3,0,7,0,0,0,20,9,28,24,24,38,27,9,0,169,0,0,0,0,0,0,0,0,0,9,6,0,12,12,7,3,5,56,16,58,66,92,102,83,32,8,450
UCL221020,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,5,3,3,6,11,6,3,4,0,45,5,5,7,8,19,13,3,0,54,16,13,21,18,36,26,11,5,146,0,6,3,0,6,0,0,0,10,0,0,0,0,0,0,0,0,8,16,20,30,23,42,28,15,6,167,0,0,0,0,0,0,0,0,0,3,3,8,15,11,17,12,13,86,23,33,49,57,88,66,38,20,372
