SA2_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
203031049,0,3,5,8,11,17,9,3,0,64,3,3,16,22,22,35,12,6,0,110,114,164,434,455,603,747,318,48,0,2879
203031051,0,10,26,25,29,35,9,0,0,137,6,8,12,22,34,34,13,0,0,139,126,225,490,566,781,919,339,32,0,3485
203031052,0,4,4,7,10,17,6,0,0,64,3,5,7,14,22,20,17,3,0,85,109,128,229,347,452,559,290,51,5,2169
203031053,11,41,64,95,92,65,13,3,0,380,17,29,75,130,106,50,15,0,0,436,708,846,2069,3371,2965,1845,523,46,0,12382
203031489,4,21,58,62,36,20,5,0,0,198,9,16,53,48,32,24,13,8,0,192,318,509,1455,1449,1118,704,225,39,5,5828
203031490,22,26,54,77,62,50,12,0,0,303,18,13,58,64,69,44,23,11,7,301,604,610,1437,2230,2187,1669,471,57,12,9277
204011054,8,5,26,17,29,29,12,0,0,120,0,6,20,20,28,28,15,4,0,121,129,155,430,506,648,716,303,72,4,2957
204011055,0,7,14,22,20,24,15,0,0,97,4,7,7,21,16,12,20,4,0,85,151,162,389,490,553,679,383,85,5,2888
204011056,18,32,65,68,47,38,17,3,0,292,16,38,75,58,84,67,17,3,0,361,459,629,1480,1406,1619,1235,337,46,3,7214
204011057,5,16,38,33,45,25,22,0,0,178,11,13,26,36,41,35,28,5,5,202,254,270,770,936,985,1072,434,61,7,4785
