SA1_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
20103101309,47,884,483,200,1362,0.8,1160,2.3
20103101310,51,678,487,210,1303,0.8,953,2.4
20103101401,51,868,592,231,1575,0.7,989,1.9
20103101402,61,899,482,253,1312,0.7,784,2.1
20103101403,47,1421,613,285,1492,0.8,1443,2.5
20103101404,52,1380,516,170,1275,0.7,1087,2.2
20103101405,42,0,1012,163,2225,0.7,1875,2.6
20103101406,47,1406,864,188,2134,0.7,1821,2.4
20103101407,46,1083,543,265,1208,0.8,1086,2.4
20103101408,41,1300,803,200,1852,0.8,1547,2.6
20103101409,56,1300,639,150,1542,0.8,1031,2
20103101410,47,977,725,100,1593,0.8,1281,2.3
20103101411,49,1450,686,260,1765,0.8,1308,2.3
20103101412,52,1300,616,250,1625,0.6,877,1.9
20103101413,15,0,669,0,1375,1,1375,4
20103101501,47,1733,727,200,2102,0.8,1718,2.8
20103101502,45,1733,736,0,1899,0.8,1589,2.5
20103101503,44,1582,765,290,1954,0.8,1760,2.8
20103101504,48,1036,645,238,1410,0.7,1142,2.1
20103101505,50,1092,531,190,1388,0.8,1050,2.2
20103101506,47,1184,601,300,1422,0.7,1117,2.2
20103101507,36,1361,695,310,1837,0.8,1596,2.7
20103101508,38,1387,568,280,1625,0.9,1471,2.8
20103101509,37,1300,790,285,2092,0.8,1933,2.8
20103101510,49,1159,912,170,1875,0.6,1531,2.1
20103101511,45,1481,653,106,1721,0.9,1537,2.6
20103101512,37,1500,537,225,1625,0.8,1300,2.8
20103101601,48,941,568,243,1365,0.7,971,2.1
20103101602,54,973,478,230,1152,0.7,756,1.9
20103101603,50,867,564,240,1275,0.7,968,2.1
20103101604,44,867,539,245,1178,0.7,807,2.2
20103101605,36,560,443,200,792,0.7,692,2.1
20103101606,54,910,431,213,863,0.7,735,2
20103101607,53,997,519,245,1218,0.7,908,2.2
20103101608,52,953,532,253,1268,0.6,885,2
20103101609,50,900,513,223,1125,0.7,746,1.9
20103101610,53,867,515,230,1228,0.7,833,2
20103101612,51,1083,621,250,1419,0.7,1160,2.2
20103101613,58,975,471,240,1135,0.7,839,2.1
20103101614,40,1300,610,290,1470,0.8,1118,2.5
20103101615,65,1205,463,245,1071,0.8,697,1.6
20103101616,55,1000,542,230,1187,0.7,884,1.9
20103101617,51,1040,579,250,1260,0.7,919,2
20103101618,69,941,483,250,1055,0.6,642,1.5
20103101619,48,1079,487,250,1256,0.7,836,2.1
20103101620,52,1107,525,230,1270,0.6,1008,2
20103101621,52,1138,606,235,1583,0.7,1375,2.5
20103101622,51,943,454,270,1333,0.7,987,2.4
