SAL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SAL21028,0,0,6,4,5,0,0,3,4,15
SAL21029,0,0,0,14,14,13,7,4,0,60
SAL21030,0,0,0,3,9,0,5,6,0,17
SAL21031,0,0,0,0,10,4,0,0,0,21
SAL21032,0,0,0,4,14,9,3,17,0,57
SAL21033,0,0,0,0,3,3,0,0,0,8
SAL21034,0,0,0,0,7,9,0,0,3,23
SAL21035,0,0,0,0,4,0,0,0,0,10
SAL21036,0,0,0,4,5,0,0,4,0,11
SAL21037,0,0,0,4,8,3,0,0,0,17
SAL21038,0,0,5,78,125,58,42,49,30,380
SAL21039,4,0,4,26,75,38,35,44,27,246
SAL21040,0,0,0,3,19,5,4,13,14,60
SAL21041,0,0,0,16,27,10,12,28,14,113
SAL21042,0,0,3,13,7,13,0,5,10,53
SAL21043,0,0,3,17,26,10,6,15,33,114
SAL21044,0,0,0,0,0,0,3,8,0,13
SAL21045,3,0,3,135,276,133,105,136,67,851
SAL21046,0,0,0,8,22,16,10,6,3,64
SAL21047,413,155,843,3322,4476,1724,1511,6974,1626,19640
SAL21048,3,0,7,29,68,28,24,46,15,208
SAL21049,0,0,0,4,7,0,0,4,3,14
SAL21050,0,0,5,50,70,38,24,50,12,237
SAL21051,3,0,3,22,27,17,7,15,13,105
SAL21052,0,0,0,6,3,7,3,0,12,37
SAL21053,0,0,0,15,26,15,12,24,7,90
SAL21054,0,0,4,48,99,39,35,100,32,344
SAL21055,0,0,0,34,35,21,19,50,10,171
SAL21056,13,9,43,392,600,214,120,440,136,1909
SAL21057,0,0,0,14,32,12,15,10,12,92
SAL21058,149,73,320,1504,2047,927,645,2001,505,7617
SAL21059,0,0,6,31,56,33,23,30,37,199
SAL21060,0,0,0,0,7,5,8,7,0,33
SAL21061,0,0,0,0,6,4,0,0,0,5
SAL21062,0,0,4,8,10,8,4,9,4,50
SAL21063,0,0,0,10,28,14,7,10,9,81
SAL21064,0,0,0,24,38,17,21,11,12,118
SAL21065,0,0,0,0,11,9,9,4,0,32
SAL21066,4,0,4,25,35,12,23,23,12,125
SAL21067,0,0,0,8,20,6,3,7,10,64
SAL21068,4,4,6,38,64,42,23,39,26,229
SAL21069,0,0,0,102,146,96,62,110,56,572
SAL21070,0,0,0,5,3,4,0,0,4,17
SAL21071,0,0,3,38,52,31,25,32,13,181
SAL21072,0,0,0,39,61,32,14,40,9,202
SAL21073,11,0,11,203,339,178,136,184,63,1108
SAL21074,0,0,0,23,63,45,39,60,28,255
SAL21075,7,0,6,38,66,24,41,52,10,237
SAL21076,0,0,0,11,4,3,3,10,0,32
SAL21077,5,0,7,37,84,33,30,72,49,301
SAL21078,0,0,0,21,22,14,8,14,0,81
SAL21079,28,16,72,523,728,307,179,582,79,2386
SAL21080,0,0,0,4,5,0,6,0,0,12
SAL21081,0,0,0,4,0,7,0,0,0,9
SAL21082,0,0,0,3,3,3,3,6,5,23
SAL21083,0,0,0,8,9,5,6,9,0,42
SAL21084,3,3,10,102,175,67,60,125,37,566
SAL21085,0,0,0,0,0,0,0,0,0,0
SAL21086,0,0,0,0,3,0,0,0,0,10
SAL21087,0,0,0,17,22,9,20,35,5,110
SAL21088,0,0,3,50,53,54,28,29,9,219
SAL21089,8,11,17,157,270,148,99,267,79,1017
SAL21090,0,0,0,7,23,17,10,9,0,72
SAL21091,0,0,0,12,10,3,8,5,4,37
SAL21092,3,0,5,65,85,33,38,61,14,301
SAL21093,0,0,0,0,0,0,0,0,0,0
SAL21094,0,0,0,11,18,7,0,12,4,52
SAL21095,0,0,0,0,8,0,0,0,0,6
SAL21096,0,0,0,5,4,0,0,4,0,13
SAL21097,0,0,0,0,0,0,0,3,7,14
SAL21098,0,0,3,57,116,51,36,71,39,372
SAL21099,0,0,0,6,3,0,0,0,0,12
SAL21100,0,0,0,12,24,7,6,5,16,71
SAL21101,4,0,7,105,132,89,61,77,25,488
SAL21102,0,0,0,9,7,5,7,15,4,50
SAL21103,0,0,0,6,11,8,11,7,3,41
SAL21104,300,30,507,3650,5303,2436,1507,3735,518,17147
SAL21105,80,5,120,3011,3821,1625,1566,6064,666,16750
SAL21106,0,0,0,14,11,13,0,9,0,46
SAL21107,0,0,0,26,21,17,11,11,0,94
SAL21108,0,0,9,20,29,12,9,3,5,79
SAL21109,0,5,3,23,30,12,10,28,12,107
SAL21110,0,0,5,23,34,30,22,15,14,141
SAL21111,0,0,0,0,6,0,0,0,0,4
SAL21112,0,0,0,13,9,6,3,0,0,37
SAL21113,0,0,0,10,10,10,8,3,0,38
SAL21114,454,44,722,2574,3472,1584,1109,3364,471,12568
SAL21115,0,0,11,177,267,126,103,96,38,808
SAL21116,7,0,9,36,79,45,36,40,18,262
SAL21117,5,0,8,84,122,58,56,103,50,472
SAL21118,0,0,3,38,60,28,15,23,9,177
SAL21119,0,0,0,0,0,0,0,0,0,0
SAL21120,0,0,0,4,7,0,0,4,6,16
SAL21121,0,0,8,77,94,50,34,52,24,332
SAL21122,0,0,0,12,7,4,6,15,7,49
SAL21123,7,0,8,206,302,151,108,214,32,1011
SAL21124,89,15,220,885,1228,493,433,1698,339,5078
SAL21125,195,40,294,1521,1802,766,699,3669,667,9124
SAL21126,0,0,3,23,23,17,16,10,5,99
SAL21127,0,0,10,76,125,78,43,53,48,426
SAL21128,0,0,3,17,39,19,13,40,12,135
SAL21129,218,48,426,1583,2373,1135,866,2121,526,8612
SAL21130,131,20,241,1101,1640,692,447,1303,231,5406
SAL21131,109,19,272,2698,3601,1609,837,2007,429,11174
SAL21132,52,11,119,909,1211,512,314,966,232,4144
SAL21133,122,15,190,3371,3895,1668,1586,8445,1525,20488
SAL21134,0,0,3,29,27,32,13,18,8,118
SAL21135,0,0,0,15,19,11,6,10,9,67
SAL21136,0,0,0,12,3,0,3,30,9,58
SAL21137,7,0,15,148,257,150,104,134,61,852
SAL21138,0,4,5,36,62,48,43,35,35,252
SAL21139,5,3,10,185,205,120,90,149,48,796
SAL21140,14,0,28,1541,1999,897,821,2945,678,8875
SAL21141,0,0,0,9,19,20,4,8,0,60
SAL21142,0,0,0,54,118,57,43,61,76,401
SAL21143,0,0,7,23,52,18,17,21,26,159
SAL21144,0,0,0,18,51,15,21,27,8,137
SAL21145,175,34,302,1474,2070,969,733,2561,664,8469
SAL21146,0,0,0,0,4,4,3,10,0,29
SAL21147,0,0,0,13,10,14,4,17,10,75
SAL21148,0,0,12,257,313,198,127,185,42,1127
SAL21149,0,0,0,11,4,4,6,0,0,22
SAL21150,0,0,0,65,76,36,29,44,18,257
SAL21151,0,0,0,0,0,0,0,0,0,6
SAL21152,186,24,409,5135,6558,2181,1056,3742,897,19579
SAL21153,153,27,319,3160,4252,1530,805,2415,467,12628
SAL21154,0,0,0,3,9,7,9,10,4,45
SAL21155,4,0,8,32,44,24,17,32,11,166
SAL21156,6,0,14,193,361,211,173,261,51,1252
SAL21157,0,0,0,39,62,45,35,39,11,231
SAL21158,161,23,259,1172,1831,921,589,1434,390,6341
SAL21159,0,0,4,24,42,19,20,36,12,156
SAL21160,62,23,120,365,634,352,281,653,344,2622
SAL21161,0,0,4,102,192,93,83,108,42,632
SAL21162,0,0,0,0,5,7,3,6,6,21
SAL21163,18,14,43,485,667,250,143,555,147,2250
SAL21164,5,0,5,38,64,33,22,33,16,202
SAL21165,88,34,222,1814,2517,1145,705,1491,337,8007
SAL21166,0,0,5,20,21,17,20,17,8,97
SAL21167,106,38,238,1306,1934,806,469,1285,330,6132
SAL21168,54,10,124,1184,1701,609,341,1453,351,5639
SAL21169,54,6,85,830,1058,392,278,1452,347,4357
SAL21170,0,0,0,12,27,8,0,12,5,63
SAL21171,0,0,0,5,22,13,8,20,4,64
SAL21172,9,0,16,110,194,69,50,100,29,547
SAL21173,3,0,8,55,109,51,17,81,31,346
SAL21174,38,8,92,609,884,362,241,689,120,2902
SAL21175,0,0,0,50,81,47,39,47,26,287
SAL21176,0,0,0,26,39,29,22,17,25,154
SAL21177,0,0,0,9,3,0,0,3,0,14
SAL21178,0,0,0,25,23,5,21,29,7,117
SAL21179,34,5,68,302,398,231,190,404,200,1723
SAL21180,0,0,0,11,3,5,0,11,0,32
SAL21181,34,20,69,240,335,180,155,405,180,1495
SAL21182,0,0,0,10,3,6,9,12,0,31
SAL21183,0,0,0,6,3,5,0,0,0,18
SAL21184,0,0,0,25,23,15,17,15,10,101
SAL21185,161,32,291,2272,3136,1214,672,2107,391,9802
SAL21186,0,0,0,24,46,20,13,16,18,137
SAL21187,181,32,435,3618,5136,2445,1562,3346,717,16820
SAL21188,0,0,0,7,4,3,0,0,6,22
SAL21189,0,0,0,31,29,20,26,30,6,146
SAL21190,0,0,0,3,17,19,11,22,10,85
SAL21191,0,0,5,44,82,35,39,49,19,276
SAL21192,0,0,3,41,78,37,22,31,10,224
SAL21193,51,3,90,2894,3279,1375,1285,4527,590,13951
SAL21194,0,0,0,6,3,3,0,0,3,18
SAL21195,0,0,0,196,133,52,36,562,40,1015
SAL21196,4,0,7,113,154,92,64,98,29,564
SAL21197,0,0,0,0,4,6,0,0,5,29
SAL21198,0,0,0,4,6,10,3,5,0,23
SAL21199,0,0,0,4,10,0,6,0,3,28
SAL21200,0,0,5,13,6,12,0,4,13,53
SAL21201,29,0,49,105,132,81,73,172,36,595
SAL21202,4,0,3,132,170,85,79,201,17,681
SAL21203,191,34,355,5342,6940,3175,2744,9992,1937,30147
SAL21204,0,0,0,5,19,6,8,4,4,38
SAL21205,0,0,0,14,17,7,6,22,3,78
SAL21206,282,58,570,2355,3309,1512,1127,3309,756,12374
SAL21207,0,0,3,20,24,5,5,42,28,119
SAL21208,0,5,4,9,9,3,7,5,3,35
SAL21209,0,0,0,13,16,10,3,3,0,48
SAL21210,0,0,0,0,0,0,0,0,0,0
SAL21211,0,0,0,22,25,8,3,24,4,94
SAL21212,0,0,0,0,0,0,0,0,0,5
SAL21213,0,0,0,14,12,6,6,8,14,55
SAL21214,112,14,214,1423,1970,775,427,1552,240,6382
SAL21215,3,0,5,48,78,43,37,75,12,285
SAL21216,0,0,0,4,7,5,0,8,0,20
SAL21217,0,0,0,3,7,4,8,4,0,18
SAL21218,11,5,38,370,453,194,100,432,70,1625
SAL21219,8,5,32,549,767,379,273,476,200,2647
SAL21220,0,0,0,9,10,6,0,5,4,36
SAL21221,0,0,3,37,50,30,38,19,7,177
SAL21222,0,0,0,38,73,47,24,24,4,216
SAL21223,11,0,26,634,906,506,293,439,78,2850
SAL21224,0,0,0,7,6,5,7,0,0,24
SAL21225,0,0,0,5,6,15,8,10,0,50
SAL21226,0,0,0,7,4,6,0,9,4,30
SAL21227,0,0,0,15,18,7,10,9,0,61
SAL21228,0,0,5,46,72,45,30,40,17,247
SAL21229,10,0,28,193,331,219,135,250,84,1221
SAL21230,5,3,8,52,96,55,21,38,24,288
SAL21231,40,16,73,108,177,85,86,244,83,774
SAL21232,0,0,0,16,15,14,3,4,17,65
SAL21233,5,4,8,95,139,82,42,111,22,498
SAL21234,4,0,7,266,405,222,167,191,62,1314
SAL21235,125,37,245,951,1754,1007,578,940,280,5506
SAL21236,0,0,6,127,220,134,74,127,25,708
SAL21237,15,9,45,309,405,198,150,338,60,1454
SAL21238,0,0,6,56,50,24,18,38,19,210
SAL21239,0,0,0,15,25,11,11,20,9,90
SAL21240,0,0,0,0,3,0,6,0,0,10
SAL21241,31,4,46,186,281,118,63,275,64,999
SAL21242,0,4,7,48,81,38,43,69,31,305
SAL21243,0,0,0,14,30,14,16,6,7,81
SAL21244,0,0,0,18,19,9,6,11,5,68
SAL21245,54,14,102,878,1259,635,468,1125,449,4819
SAL21246,217,26,377,2666,3707,1485,810,2273,419,11357
SAL21247,38,3,91,763,1031,481,252,545,94,3167
SAL21248,20,0,47,292,329,148,138,804,148,1862
SAL21249,0,0,0,30,36,17,15,32,0,132
SAL21250,8,0,13,253,393,174,138,397,37,1393
SAL21251,0,0,0,5,3,6,3,0,0,25
SAL21252,0,0,0,17,23,9,14,17,10,94
SAL21253,0,0,14,42,93,36,43,68,69,350
SAL21254,5,3,19,732,1087,505,308,450,169,3253
SAL21255,0,0,0,0,8,0,0,7,0,13
SAL21256,0,0,5,34,29,20,25,29,12,149
SAL21257,0,0,0,0,4,4,5,15,12,37
SAL21258,0,0,0,20,25,12,15,11,9,104
SAL21259,0,0,0,8,8,9,4,7,0,35
SAL21260,0,0,0,7,22,10,17,4,6,65
SAL21261,0,0,3,75,157,91,75,74,25,487
SAL21262,0,0,0,20,18,20,17,12,6,102
SAL21263,0,0,0,10,11,0,5,7,0,33
SAL21264,0,0,0,7,0,4,0,0,0,16
SAL21265,3,11,24,58,104,55,76,82,42,415
SAL21266,0,0,0,0,0,0,0,0,0,0
SAL21267,0,0,0,4,0,0,0,0,0,6
SAL21268,0,0,0,3,5,0,3,4,0,11
SAL21269,0,6,12,104,142,89,54,78,24,493
SAL21270,0,0,0,5,4,0,0,3,3,19
SAL21271,0,0,0,5,7,8,4,3,0,23
SAL21272,0,0,0,8,20,12,17,10,5,76
SAL21273,0,0,3,48,62,45,35,70,35,296
SAL21274,0,0,0,4,8,6,3,0,0,20
SAL21275,0,0,0,0,13,6,8,0,3,31
SAL21276,0,0,0,28,38,20,18,15,7,127
SAL21277,82,8,112,133,200,77,51,391,60,915
SAL21278,0,0,0,0,0,0,0,0,0,0
SAL21279,26,5,62,681,945,486,290,498,128,3027
SAL21280,0,0,0,22,23,5,7,12,10,81
SAL21281,0,0,0,4,20,3,3,3,4,31
SAL21282,33,14,65,188,294,144,133,283,127,1175
SAL21283,3,0,8,20,34,19,21,36,19,154
SAL21284,6,5,7,598,919,442,394,1296,305,3948
SAL21285,0,0,0,4,8,8,5,3,0,31
SAL21286,4,0,11,218,444,200,130,175,43,1208
SAL21287,3,0,8,177,376,173,144,127,26,1031
SAL21288,0,0,0,6,4,0,0,0,0,20
SAL21289,0,0,0,11,22,11,6,18,4,72
SAL21290,0,0,0,0,8,0,0,0,0,9
SAL21291,0,0,0,4,4,3,5,4,0,18
SAL21292,0,0,0,8,19,14,6,13,7,70
SAL21293,202,141,517,1638,2352,1078,919,2690,824,9498
SAL21294,3,0,11,206,304,181,116,124,75,1006
SAL21295,17,0,38,139,198,111,94,169,44,749
SAL21296,0,0,0,5,14,14,5,8,4,44
SAL21297,0,0,0,0,4,3,0,4,0,13
SAL21298,0,0,0,6,11,12,3,6,5,46
SAL21299,0,0,0,11,12,3,8,6,0,30
SAL21300,0,0,0,31,52,24,19,9,9,141
SAL21301,0,0,3,28,33,14,13,16,5,108
SAL21302,0,0,0,18,22,11,9,14,4,78
SAL21303,0,0,0,0,5,0,4,0,0,9
SAL21304,0,0,0,0,16,0,0,6,5,29
SAL21305,0,0,0,0,5,3,0,3,0,11
SAL21306,3,0,15,83,77,46,41,84,51,369
SAL21307,0,0,0,9,3,3,0,5,0,29
SAL21308,0,0,3,10,26,26,15,28,9,101
SAL21309,0,0,4,82,117,58,52,55,33,393
SAL21310,0,0,12,151,215,106,89,181,90,827
SAL21311,0,0,4,29,49,37,18,27,8,160
SAL21312,20,3,38,476,634,301,224,875,157,2672
SAL21313,0,0,0,6,11,8,5,7,4,49
SAL21314,108,19,224,1028,1304,642,507,1304,187,4962
SAL21315,138,5,210,1484,1877,909,723,2887,469,8341
SAL21316,311,19,514,2481,3248,1515,1099,3563,532,12435
SAL21317,7,0,16,315,355,153,142,410,50,1434
SAL21318,0,0,0,0,14,14,3,19,12,67
SAL21319,25,5,66,404,557,260,225,656,101,2204
SAL21320,0,0,0,5,0,0,6,4,0,11
SAL21321,0,0,7,11,14,8,12,7,4,57
SAL21322,0,0,0,26,6,0,0,13,0,54
SAL21323,0,0,0,0,0,0,0,0,3,3
SAL21324,0,0,0,4,8,10,6,4,0,36
SAL21325,0,0,0,11,15,8,5,6,14,54
SAL21326,190,23,326,1046,1441,601,402,1239,285,5011
SAL21327,86,4,134,2329,3318,972,456,1730,377,9185
SAL21328,109,27,215,530,854,435,356,854,288,3313
SAL21329,0,0,0,7,4,4,6,8,0,34
SAL21330,0,3,8,39,66,22,33,27,14,202
SAL21331,0,0,0,20,15,9,12,7,12,69
SAL21332,0,0,0,19,25,11,15,14,16,94
SAL21333,0,0,0,17,15,13,9,11,9,71
SAL21334,0,0,0,10,15,14,10,14,16,80
SAL21335,0,0,0,8,8,8,10,3,3,40
SAL21336,366,101,786,5106,6265,2661,1560,4315,890,20798
SAL21337,65,4,163,1323,1679,769,451,1040,170,5431
SAL21338,0,0,0,3,4,3,6,6,11,45
SAL21339,280,29,456,4510,5164,2415,1771,9299,958,24118
SAL21340,87,10,178,1323,1821,840,632,1760,333,6709
SAL21341,0,0,3,29,44,25,10,24,9,140
SAL21342,6,0,4,55,97,46,43,74,14,334
SAL21343,0,0,0,12,17,6,9,9,0,51
SAL21344,0,0,0,68,121,57,42,51,42,376
SAL21345,4,0,18,97,139,95,58,80,33,499
SAL21346,0,0,0,0,3,0,0,0,0,3
SAL21347,0,0,0,238,332,150,95,194,28,1034
SAL21348,0,0,0,31,44,33,25,16,10,170
SAL21349,0,0,3,57,103,56,41,44,14,313
SAL21350,0,0,0,23,35,30,18,13,8,129
SAL21351,4,0,9,26,49,16,15,22,6,131
SAL21352,149,21,246,1405,1975,938,675,1954,492,7440
SAL21353,0,0,6,68,104,51,44,58,42,369
SAL21354,182,17,324,2030,2831,1133,725,2462,336,9519
SAL21355,17,0,22,611,664,315,210,556,53,2408
SAL21356,0,0,0,12,26,7,9,24,14,83
SAL21357,0,0,3,14,23,17,11,8,4,72
SAL21358,0,0,9,283,409,186,157,226,108,1378
SAL21359,0,0,0,56,102,52,38,64,37,350
SAL21360,5,0,9,178,268,150,133,167,128,1032
SAL21361,0,0,0,8,5,10,5,3,7,46
SAL21362,40,6,82,1031,1115,553,514,2954,512,6681
SAL21363,38,4,92,582,710,303,217,1020,179,3008
SAL21364,0,0,3,31,54,24,19,16,20,163
SAL21365,53,5,83,649,1091,402,208,626,131,3107
SAL21366,0,0,0,10,13,0,0,0,3,30
SAL21367,0,0,0,0,0,0,5,0,3,9
SAL21368,0,0,0,49,87,49,45,71,18,312
SAL21369,5,0,4,14,25,26,16,31,15,125
SAL21370,0,0,0,10,10,9,6,15,10,56
SAL21371,0,0,0,4,10,3,0,0,3,19
SAL21372,0,0,0,0,0,0,0,0,0,0
SAL21373,0,0,7,22,37,19,13,25,13,136
SAL21374,56,4,129,1406,1765,729,593,1652,233,6368
SAL21375,0,0,0,10,14,3,0,3,0,30
SAL21376,0,0,0,3,5,5,4,8,3,21
SAL21377,0,0,4,16,37,20,10,37,27,152
SAL21378,0,0,0,45,45,33,15,38,8,183
SAL21379,0,0,0,11,23,6,9,3,3,55
SAL21380,60,18,114,596,855,357,290,862,159,3127
SAL21381,0,0,6,3,7,5,4,8,8,35
SAL21382,0,0,0,3,6,0,3,4,0,18
SAL21383,0,0,0,3,0,4,5,0,5,20
SAL21384,8,4,14,139,239,136,90,240,99,943
SAL21385,0,0,3,46,59,54,32,49,20,261
SAL21386,0,6,7,86,87,55,47,39,12,321
SAL21387,0,0,0,0,7,3,4,3,0,25
SAL21388,0,0,0,54,86,38,24,64,28,301
SAL21389,0,0,0,10,20,26,4,9,13,76
SAL21390,0,0,0,3,6,4,6,3,6,31
SAL21391,0,0,0,0,0,0,0,0,0,0
SAL21392,0,0,3,9,31,18,11,14,11,86
SAL21393,8,5,38,196,230,88,73,109,24,716
SAL21394,0,0,0,11,21,10,5,7,0,59
SAL21395,0,0,0,12,18,10,6,9,9,58
SAL21396,15,8,42,332,501,293,207,299,115,1742
SAL21397,0,0,3,19,26,14,16,42,23,132
SAL21398,0,0,0,12,7,8,0,4,13,52
SAL21399,110,22,195,743,972,624,472,904,228,3947
SAL21400,0,0,0,21,26,20,11,12,5,92
SAL21401,5,0,5,29,48,26,22,26,12,168
SAL21402,3,0,3,31,23,17,8,17,3,106
SAL21403,3,0,4,23,34,18,11,22,3,111
SAL21404,0,0,0,58,62,49,48,49,10,279
SAL21405,0,0,0,22,36,11,18,9,23,112
SAL21406,0,0,0,0,4,0,0,3,4,16
SAL21407,0,0,0,5,8,4,3,7,4,31
SAL21408,0,0,0,0,5,0,0,0,0,5
SAL21409,0,0,0,0,0,0,0,0,0,0
SAL21410,0,0,0,4,5,8,12,7,9,51
SAL21411,70,8,95,1540,1916,886,799,2666,477,8290
SAL21412,139,62,325,1095,1609,783,565,1644,462,6159
SAL21413,0,0,0,9,6,4,18,8,4,58
SAL21414,162,33,284,1113,1794,973,674,1314,388,6247
SAL21415,0,0,0,18,30,18,9,22,11,112
SAL21416,4,4,4,58,79,49,24,46,22,280
SAL21417,0,0,0,23,33,24,13,40,24,162
SAL21418,0,0,6,24,24,19,13,17,7,100
SAL21419,0,0,6,52,87,42,37,38,36,301
SAL21420,5,0,4,36,62,35,30,30,30,228
SAL21421,0,0,0,15,25,21,18,26,6,102
SAL21422,0,0,0,0,0,0,0,0,0,4
SAL21423,0,0,0,0,3,0,5,0,0,6
SAL21424,0,0,0,0,9,3,0,0,0,12
SAL21425,0,0,0,9,8,0,10,7,9,46
SAL21426,0,0,0,24,56,20,14,17,13,140
SAL21427,0,3,12,131,214,120,80,159,104,810
SAL21428,4,0,10,49,72,43,38,59,28,300
SAL21429,5,0,9,57,107,43,53,65,21,346
SAL21430,0,0,0,26,34,12,18,31,9,132
SAL21431,0,0,0,0,0,0,0,0,0,9
SAL21432,0,0,0,0,0,0,0,0,0,3
SAL21433,0,0,0,0,0,0,0,0,0,0
SAL21434,0,0,0,0,6,4,7,0,3,13
SAL21435,18,5,56,347,446,256,145,312,51,1555
SAL21436,0,0,0,4,7,0,0,3,5,23
SAL21437,0,0,0,4,14,3,6,12,8,45
SAL21438,0,0,0,0,14,7,4,0,0,22
SAL21439,0,0,0,7,6,3,0,0,0,20
SAL21440,0,0,0,0,5,3,6,7,10,30
SAL21441,0,0,0,29,20,3,3,17,8,77
SAL21442,0,0,0,14,9,7,5,12,8,57
SAL21443,0,0,0,0,0,0,0,0,0,4
SAL21444,8,0,9,123,188,109,78,168,39,704
SAL21445,0,0,0,0,0,0,0,0,0,0
SAL21446,0,0,0,0,0,0,0,0,0,0
SAL21447,95,34,182,524,690,361,218,519,166,2480
SAL21448,0,0,0,0,0,0,0,0,0,3
SAL21449,104,27,197,616,1001,549,516,1252,466,4392
SAL21450,0,0,0,79,142,97,62,82,33,496
SAL21451,0,0,4,23,12,12,32,30,13,115
SAL21452,345,34,630,2982,3594,1702,1550,7870,1261,18957
SAL21453,0,0,0,4,18,9,3,13,0,46
SAL21454,0,0,0,47,96,58,31,56,35,326
SAL21455,0,0,0,27,38,18,11,13,10,124
SAL21456,10,0,25,447,609,333,285,414,123,2220
SAL21457,4,0,4,27,38,14,26,36,25,163
SAL21458,0,0,0,5,8,3,9,3,0,35
SAL21459,23,9,43,404,543,266,220,432,155,2010
SAL21460,0,0,0,8,24,17,11,15,0,78
SAL21461,0,0,0,3,9,4,9,3,0,25
SAL21462,0,3,4,6,3,4,0,3,315,331
SAL21463,0,0,0,4,6,0,0,3,0,21
SAL21464,0,0,0,21,24,13,16,6,3,83
SAL21465,0,0,4,11,15,10,9,0,5,47
SAL21466,0,0,0,14,12,9,12,26,15,88
SAL21467,200,30,357,4116,5562,2381,1656,4413,764,18894
SAL21468,10,0,21,231,326,154,111,239,31,1092
SAL21469,172,21,291,2937,3984,1791,1379,3568,1688,15341
SAL21470,0,0,0,23,20,9,13,13,13,93
SAL21471,0,0,0,29,45,22,28,28,8,155
SAL21472,0,0,0,11,17,11,3,22,8,68
SAL21473,10,0,20,378,602,311,205,410,106,2003
SAL21474,0,0,0,36,73,42,26,16,12,208
SAL21475,0,0,0,19,17,12,8,7,7,76
SAL21476,29,7,50,598,840,308,258,1573,424,4006
SAL21477,0,0,0,10,8,0,7,30,44,108
SAL21478,0,0,0,6,3,0,6,4,5,16
SAL21479,0,0,0,12,4,0,0,0,0,14
SAL21480,0,0,0,3,0,0,0,0,0,8
SAL21481,0,0,0,0,8,0,0,0,3,20
SAL21482,4,0,4,65,92,62,41,63,6,326
SAL21483,0,0,3,6,9,11,3,8,8,43
SAL21484,0,0,0,33,31,18,16,27,15,138
SAL21485,0,0,0,7,10,10,9,11,7,55
SAL21486,4,0,10,86,118,68,50,107,39,480
SAL21487,0,0,7,29,56,21,14,59,28,210
SAL21488,3,4,11,234,327,138,83,160,40,970
SAL21489,0,0,0,8,9,3,3,10,11,37
SAL21490,101,24,217,906,1289,727,558,1042,285,4795
SAL21491,0,0,3,27,27,18,19,18,3,111
SAL21492,8,0,9,112,131,70,55,93,35,498
SAL21493,144,76,320,2194,3017,1476,1037,2655,490,10867
SAL21494,0,0,0,0,0,0,0,0,0,0
SAL21495,0,0,0,18,16,8,6,0,0,47
SAL21496,9,0,7,189,266,137,97,159,63,909
SAL21497,3,0,7,34,58,24,37,63,26,244
SAL21498,0,0,0,0,0,5,0,0,0,7
SAL21499,0,0,0,0,0,0,0,0,0,9
SAL21500,0,0,5,19,23,12,10,11,3,74
SAL21501,0,0,0,15,7,15,5,17,25,76
SAL21502,0,0,0,20,21,9,10,16,7,94
SAL21503,0,0,0,9,26,9,0,8,0,61
SAL21504,193,33,425,3193,4255,1845,1296,3217,564,14376
SAL21505,0,0,0,6,9,19,17,16,14,78
SAL21506,0,0,0,21,37,39,15,21,6,136
SAL21507,0,0,0,23,28,10,13,27,10,114
SAL21508,0,0,5,11,31,18,19,11,14,101
SAL21509,4,0,10,75,104,57,40,118,47,447
SAL21510,5,0,4,73,99,57,46,68,43,387
SAL21511,0,0,0,0,0,0,0,0,3,4
SAL21512,0,0,0,6,13,0,0,7,0,26
SAL21513,0,0,0,0,0,0,0,0,5,7
SAL21514,6,5,10,78,127,78,68,133,37,527
SAL21515,0,0,0,14,4,4,0,5,9,27
SAL21516,0,6,9,79,88,48,51,95,39,399
SAL21517,4,0,4,6,13,3,0,10,3,34
SAL21518,0,0,0,0,5,0,0,0,0,6
SAL21519,0,0,0,21,14,12,3,19,0,70
SAL21520,7,0,16,216,259,142,113,240,123,1095
SAL21521,0,0,0,9,20,3,11,0,17,59
SAL21522,0,0,0,9,10,3,0,3,5,34
SAL21523,0,0,4,110,157,96,77,112,39,590
SAL21524,15,0,17,123,229,142,115,281,87,976
SAL21525,0,0,0,0,0,0,0,0,0,0
SAL21526,8,9,26,117,168,89,90,153,81,697
SAL21527,0,0,0,13,37,12,13,26,10,103
SAL21528,3,0,11,142,199,97,69,140,44,689
SAL21529,0,0,0,164,247,144,112,116,55,837
SAL21530,0,0,0,3,6,0,0,3,0,20
SAL21531,0,0,4,5,14,5,6,13,0,41
SAL21532,0,0,0,22,48,26,16,18,10,132
SAL21533,0,0,0,58,93,34,40,59,9,293
SAL21534,41,12,89,465,662,276,255,848,284,2790
SAL21535,0,0,0,41,42,22,22,48,24,204
SAL21536,11,0,13,247,341,188,137,198,48,1168
SAL21537,0,0,4,71,153,70,54,70,24,440
SAL21538,14,3,24,392,521,216,182,418,146,1872
SAL21539,0,0,6,29,35,32,26,39,50,207
SAL21540,0,0,3,50,59,30,35,36,18,228
SAL21541,0,0,0,19,30,17,22,20,21,122
SAL21542,29,16,56,209,328,167,105,278,120,1195
SAL21543,0,0,0,3,0,0,3,0,0,8
SAL21544,15,4,29,426,569,280,178,721,119,2296
SAL21545,0,0,0,6,7,6,0,3,0,30
SAL21546,0,0,0,34,43,29,29,35,21,191
SAL21547,99,14,150,673,1008,445,305,756,124,3308
