SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL21440,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16
SAL21441,8,9,0,0,0,4,0,0,0,14,3,14,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,8,0,0,11,30
SAL21442,9,20,0,0,0,0,0,5,0,0,4,10,0,4,3,10,0,8,7,21,12,34,0,0,0,0,0,0,4,6,4,6,0,0,0,0,0,0,0,0,4,6,0,0,19,50
SAL21443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21444,128,254,0,15,12,45,5,20,29,109,44,189,3,13,6,18,17,48,26,84,72,277,0,0,3,6,4,8,13,29,14,47,4,7,0,11,11,27,17,39,37,85,0,0,239,618
SAL21445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21447,395,779,0,16,46,229,0,10,131,525,182,779,14,58,40,139,44,123,92,312,277,1090,4,5,12,22,6,8,20,45,36,80,0,6,16,29,26,56,47,95,79,180,4,10,754,2055
SAL21448,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
SAL21449,700,1397,5,30,34,142,9,52,181,758,235,986,19,76,15,52,76,234,109,364,345,1352,0,3,16,62,14,44,102,280,137,390,0,0,15,27,90,203,104,231,235,630,13,29,1291,3403
SAL21450,68,131,5,26,11,62,3,21,30,138,58,252,3,14,8,22,18,62,33,95,82,348,0,0,0,6,3,11,3,10,7,18,0,0,0,0,9,26,9,26,16,44,0,0,164,517
SAL21451,21,46,0,0,3,12,0,0,8,23,11,31,0,0,0,0,4,10,4,10,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,0,0,42,101
SAL21452,1984,4023,53,348,257,1283,61,289,1527,6019,1899,7929,177,785,167,604,651,2183,991,3574,2890,11501,25,128,64,279,39,161,283,794,416,1358,56,200,90,237,633,1496,779,1934,1198,3286,138,290,6209,19107
SAL21453,10,21,0,0,0,4,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,14,37
SAL21454,43,87,0,8,3,19,0,0,26,102,28,126,0,4,0,6,11,45,16,51,49,181,0,0,0,0,0,4,0,10,3,15,0,0,0,3,6,16,7,22,12,35,0,3,104,304
SAL21455,21,43,3,8,0,4,4,9,7,33,13,54,0,0,0,0,3,17,3,17,19,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,42,120
SAL21456,319,642,7,41,34,151,10,60,187,726,240,979,12,48,24,82,73,239,108,370,348,1348,0,0,9,21,0,9,46,112,52,147,5,18,13,28,45,102,65,149,118,292,7,14,795,2302
SAL21457,19,40,0,7,4,20,0,0,9,33,14,57,0,8,0,0,6,9,3,16,15,75,0,3,0,0,0,3,0,0,3,12,0,0,0,0,5,14,5,14,7,22,0,0,46,138
SAL21458,0,8,0,0,0,0,0,7,4,16,3,23,0,0,0,0,0,5,0,5,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,12,38
SAL21459,281,568,8,53,30,146,7,42,200,785,256,1034,12,49,16,54,56,171,81,269,335,1297,0,0,5,21,6,25,26,75,36,121,10,22,7,16,38,88,56,127,92,247,4,11,720,2127
SAL21460,16,31,0,0,0,11,0,0,6,25,5,38,0,4,0,0,3,15,5,15,17,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,87
SAL21461,5,10,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,8,21
SAL21462,4,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
SAL21463,4,8,0,0,0,0,0,0,5,8,5,8,0,0,0,0,0,5,0,5,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18
SAL21464,9,16,0,0,0,3,0,0,6,18,4,24,0,0,5,7,5,9,3,12,9,38,0,0,0,3,0,0,0,4,5,11,0,0,0,0,0,0,0,0,4,10,0,5,22,71
SAL21465,9,22,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,5,6,9,0,0,16,43
SAL21466,15,27,0,4,0,0,0,5,8,16,4,24,0,0,0,4,0,3,3,10,11,36,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,5,7,0,0,25,69
SAL21467,2274,4582,51,290,300,1398,83,396,1690,6599,2126,8682,180,770,204,705,688,2257,1074,3732,3205,12414,13,68,77,242,35,101,389,1023,504,1432,54,180,105,234,404,878,561,1290,1070,2723,72,150,6624,19872
SAL21468,130,267,5,34,25,128,11,42,78,318,116,523,18,85,22,84,49,166,88,335,208,855,0,4,0,7,3,8,15,33,18,48,0,11,0,11,13,24,22,46,32,95,0,0,378,1216
SAL21469,1816,3648,37,224,213,985,70,338,1332,5186,1653,6729,130,544,156,549,439,1455,728,2554,2385,9280,12,45,57,183,22,82,304,813,389,1116,36,127,64,158,267,616,372,898,765,2014,56,114,5018,15062
SAL21470,16,26,0,0,0,4,0,0,4,7,4,15,0,4,4,9,0,0,7,15,7,32,0,7,0,0,0,0,0,8,3,16,0,0,0,0,5,4,5,4,9,20,0,0,24,72
SAL21471,26,49,0,3,3,29,0,9,16,59,21,99,0,0,0,6,0,5,3,12,23,107,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,4,11,0,0,52,168
SAL21472,8,16,0,6,3,15,0,3,0,7,5,33,0,0,0,0,4,8,4,8,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,58
SAL21473,248,497,8,51,29,139,11,42,172,672,219,903,21,89,19,57,78,251,113,393,334,1303,0,0,11,36,4,12,33,99,50,141,8,28,10,13,36,91,54,132,106,273,11,24,692,2095
SAL21474,35,75,0,0,3,10,0,0,15,67,18,85,0,0,3,12,4,22,10,35,29,123,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,4,5,11,0,0,73,208
SAL21475,11,27,0,0,0,3,0,0,5,21,7,27,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,6,5,6,5,0,0,0,0,0,4,0,4,5,5,0,0,22,60
SAL21476,419,858,9,70,28,147,4,38,292,1095,333,1342,17,79,19,72,59,185,98,341,429,1684,4,21,7,27,0,24,72,185,93,264,18,45,21,45,116,253,151,350,242,613,44,93,1136,3247
SAL21477,4,14,0,0,0,4,0,0,0,0,0,4,0,9,0,0,0,0,0,9,0,12,0,0,0,0,0,0,6,6,6,6,0,0,0,0,4,6,4,6,6,16,0,0,13,34
SAL21478,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,4,13,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16
SAL21479,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14
SAL21480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21481,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
SAL21482,61,120,0,0,8,35,4,18,17,79,29,136,6,10,5,10,9,28,12,45,42,180,0,3,0,3,0,3,8,10,9,22,0,0,0,3,3,6,4,9,16,32,0,0,121,332
SAL21483,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,11,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23
SAL21484,12,19,3,9,0,10,0,0,10,44,14,64,0,0,0,5,12,41,11,56,26,120,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,41,144
SAL21485,12,22,0,0,0,6,0,0,4,8,7,13,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,5,0,0,3,10,0,0,0,0,0,4,0,4,4,7,0,0,16,45
SAL21486,87,180,3,12,3,28,0,5,30,124,36,163,4,9,5,18,15,42,23,64,56,228,0,5,0,4,0,0,6,17,11,27,0,4,0,3,8,13,11,19,17,47,0,6,166,459
SAL21487,33,63,0,3,0,0,5,9,13,56,17,74,0,10,0,12,7,27,16,52,29,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,3,6,0,0,71,199
SAL21488,113,232,0,14,21,111,0,4,140,527,161,655,8,24,13,36,22,72,39,137,207,790,0,0,8,16,5,5,22,60,29,79,4,10,0,8,11,20,12,42,44,120,7,11,365,1148
SAL21489,4,10,0,0,0,4,0,0,0,6,4,13,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27
SAL21490,721,1431,11,86,65,303,9,41,320,1288,404,1718,33,134,38,139,93,287,164,550,571,2270,3,13,21,83,8,28,117,312,158,425,15,45,32,69,80,163,122,274,278,700,22,40,1585,4442
SAL21491,19,39,0,7,4,21,0,3,4,31,15,63,0,5,4,5,6,6,3,18,16,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,0,43,128
SAL21492,72,147,3,22,10,51,0,8,31,139,47,220,5,11,4,17,16,65,29,97,78,320,0,0,0,3,0,0,8,15,4,16,3,10,3,5,5,13,11,27,18,46,3,3,171,513
SAL21493,1558,3127,30,154,136,617,37,164,848,3313,1048,4247,100,417,126,443,323,1035,547,1897,1592,6146,7,37,54,166,17,61,216,561,293,824,35,109,55,120,208,455,303,688,598,1514,45,92,3796,10881
SAL21494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21495,5,16,0,0,0,0,0,0,8,32,8,32,0,0,0,0,5,8,5,8,13,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,59
SAL21496,125,251,4,31,17,78,11,37,85,333,117,483,5,37,9,34,29,94,49,159,159,641,0,11,5,12,0,5,14,34,17,62,0,3,4,10,12,30,16,41,35,99,0,3,322,991
SAL21497,35,72,0,8,7,30,0,8,11,50,23,86,3,7,0,0,7,14,6,19,25,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,4,13,4,13,3,4,71,201
SAL21498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21499,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL21500,11,24,0,0,0,4,0,4,0,12,6,23,3,11,0,0,0,11,9,23,13,41,0,3,0,0,0,0,0,5,4,16,0,0,0,0,0,0,0,0,4,16,0,0,26,76
SAL21501,9,15,0,0,0,0,0,4,0,4,3,11,0,8,0,0,0,0,3,6,3,19,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,6,4,6,4,12,0,0,14,42
SAL21502,14,29,0,0,0,4,0,3,11,30,10,39,0,0,0,3,7,13,9,12,14,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,8,0,0,29,91
SAL21503,9,15,0,7,0,0,0,0,10,38,7,45,0,5,0,0,0,3,6,11,9,47,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,3,0,3,3,7,0,4,21,73
SAL21504,1883,3793,44,216,212,961,48,220,1073,4174,1379,5569,161,667,176,613,490,1591,822,2862,2198,8437,7,24,65,206,24,83,240,588,326,902,42,144,72,175,295,656,414,974,744,1883,59,119,4889,14231
SAL21505,18,32,0,0,3,10,0,0,7,27,9,37,0,0,0,0,0,4,0,4,11,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,75
SAL21506,35,60,0,0,0,0,4,10,10,39,11,51,0,0,0,0,0,4,0,4,16,55,0,0,0,7,0,0,3,5,5,8,0,0,0,0,0,0,0,0,5,8,0,3,46,123
SAL21507,19,38,0,0,0,0,0,5,13,47,14,53,0,5,0,0,4,11,5,14,18,68,0,4,0,0,0,0,0,3,0,7,0,0,0,0,0,3,0,3,5,11,0,0,43,119
SAL21508,24,55,4,15,0,0,0,0,5,10,8,32,0,0,0,3,0,6,3,8,8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,89
SAL21509,80,157,0,6,0,14,0,3,23,101,30,129,0,6,0,6,16,43,12,53,47,178,0,0,0,4,0,0,5,17,9,16,0,0,0,10,8,7,6,20,13,36,0,0,140,374
SAL21510,53,107,0,3,6,37,3,10,28,110,42,162,0,5,0,3,20,53,21,61,62,220,0,0,0,0,0,9,11,28,8,36,0,0,0,0,8,13,6,21,20,56,0,3,135,382
SAL21511,0,3,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL21512,5,7,0,0,0,0,0,0,0,7,0,7,0,10,0,0,0,4,4,11,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25
SAL21513,5,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
SAL21514,88,170,0,15,4,23,0,6,27,119,40,162,4,13,5,20,6,30,20,68,56,223,0,0,0,6,0,5,12,38,15,46,0,7,0,0,15,35,18,33,27,80,4,10,182,487
SAL21515,6,3,0,0,0,0,0,0,7,11,7,11,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,4,5,4,5,0,0,0,0,0,0,0,0,4,5,0,0,9,18
SAL21516,65,124,0,0,4,7,0,0,28,109,28,116,0,4,3,10,5,29,15,45,39,155,0,0,3,7,0,0,5,10,4,18,0,0,0,3,4,10,11,11,13,33,0,4,120,316
SAL21517,0,5,0,0,0,0,0,0,5,7,5,7,0,0,0,0,5,12,5,12,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,29
SAL21518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,5
SAL21519,10,25,0,0,0,0,0,0,4,19,4,19,0,0,4,3,0,4,7,7,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,24,55
SAL21520,121,238,10,33,18,92,0,7,74,296,100,434,12,51,16,62,51,170,79,287,177,713,0,0,6,10,9,27,13,36,26,70,0,3,0,9,19,45,23,58,43,129,0,3,344,1085
SAL21521,10,21,0,0,0,0,0,3,4,10,0,17,0,0,0,0,5,7,5,7,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,46
SAL21522,6,6,0,0,0,0,0,5,5,13,4,19,0,0,0,0,0,5,0,5,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28
SAL21523,123,245,0,0,8,38,0,0,36,157,44,194,3,18,3,13,16,47,23,78,69,270,0,0,3,9,0,0,9,25,8,38,0,0,0,4,5,5,8,12,20,45,0,0,209,563
SAL21524,199,390,0,0,6,20,0,5,12,37,14,63,0,7,0,4,4,15,6,34,29,92,0,0,5,8,0,5,5,18,10,27,0,0,0,8,22,47,25,49,38,78,3,17,264,578
SAL21525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21526,98,195,0,8,11,67,0,3,40,151,57,231,4,17,3,12,23,64,30,92,80,320,0,6,0,7,0,5,19,50,22,70,0,0,5,6,16,37,22,44,43,108,0,5,223,630
SAL21527,21,48,0,0,0,0,0,0,10,29,10,29,0,8,0,5,0,0,0,15,10,43,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,4,4,10,4,8,0,0,37,99
SAL21528,101,207,9,32,9,50,0,10,31,120,46,217,13,49,10,25,36,111,54,184,100,395,0,6,0,9,0,0,7,23,10,37,4,8,0,4,12,26,16,36,24,72,0,11,237,683
SAL21529,134,283,0,8,18,73,3,21,69,292,88,385,16,61,15,52,18,72,50,184,143,573,0,3,0,0,0,0,12,38,14,39,0,8,0,0,4,17,11,19,24,63,0,3,300,915
SAL21530,3,10,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,3,0,7,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25
SAL21531,9,11,0,0,0,8,0,0,7,21,3,26,0,3,0,0,0,0,0,3,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,47
SAL21532,33,55,0,10,0,8,0,0,7,40,14,56,0,0,0,0,9,14,9,14,19,68,0,0,0,0,0,0,4,3,4,3,0,0,0,0,0,0,0,0,4,3,0,0,50,135
SAL21533,40,72,0,0,6,16,3,10,13,67,17,91,6,33,3,16,19,57,30,111,50,202,0,0,3,7,3,10,0,0,9,18,0,0,3,3,6,14,8,18,16,33,0,0,102,310
SAL21534,308,629,4,50,21,98,5,33,134,496,162,674,10,43,18,55,43,133,72,235,234,916,8,18,20,66,16,45,125,356,167,490,0,9,21,39,95,199,113,247,280,735,19,41,843,2319
SAL21535,25,42,4,21,0,9,0,0,8,24,9,50,0,4,0,0,3,19,9,26,18,76,0,0,0,0,0,0,7,18,7,18,0,3,0,0,5,3,0,11,12,27,0,4,50,145
SAL21536,193,373,0,0,25,122,3,21,110,429,140,575,12,61,27,76,28,107,69,242,210,814,0,3,3,16,0,5,18,43,21,72,0,0,5,11,10,19,10,24,34,95,0,3,436,1293
SAL21537,63,123,5,21,11,52,0,8,54,201,67,279,4,16,3,17,13,45,25,72,93,353,0,0,0,0,0,3,6,13,4,14,0,4,0,3,4,4,8,13,8,27,0,0,162,501
SAL21538,225,468,8,53,21,101,10,44,162,635,200,833,9,34,9,35,54,187,73,249,275,1087,0,9,4,13,5,26,59,182,74,230,0,9,15,27,37,86,53,118,121,347,13,19,642,1916
SAL21539,34,62,0,0,7,24,0,0,9,23,6,47,0,4,0,6,0,9,6,23,17,69,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,14,8,19,8,19,0,0,55,147
SAL21540,42,87,0,7,0,9,6,4,12,41,14,64,0,0,3,8,9,21,8,28,22,90,0,0,0,4,0,0,7,16,8,15,0,4,0,0,3,6,3,12,11,27,0,4,79,206
SAL21541,30,59,0,0,0,6,0,0,0,0,6,3,0,7,0,0,3,4,3,10,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,71
SAL21542,166,330,0,0,11,50,0,0,43,155,51,207,3,15,13,43,20,67,42,128,93,331,0,5,4,8,0,0,10,22,13,32,0,3,5,17,19,32,25,52,42,89,3,11,305,763
SAL21543,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SAL21544,260,519,8,67,31,159,16,74,161,634,216,926,34,149,30,107,102,349,167,614,387,1535,3,12,4,18,3,21,34,97,45,138,6,17,13,27,58,133,72,181,118,321,8,10,770,2389
SAL21545,8,9,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17
SAL21546,31,57,0,0,4,20,0,5,16,51,20,78,0,7,3,16,4,14,8,38,32,117,0,0,3,6,0,0,4,8,7,12,0,0,0,0,3,10,8,14,9,23,0,0,72,198
SAL21547,451,893,5,35,55,247,6,27,253,996,314,1298,43,169,48,184,84,284,172,642,496,1942,0,4,14,41,3,7,34,85,51,136,10,31,13,32,55,116,80,177,133,317,12,24,1085,3177
SAL21548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21549,8,16,0,0,0,8,0,0,0,0,0,8,0,0,0,7,0,0,0,7,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29
SAL21550,259,511,8,33,37,169,17,54,288,1118,348,1374,12,36,24,88,35,111,69,231,412,1604,3,16,16,46,6,14,70,180,92,261,7,12,9,20,20,49,42,86,134,347,9,19,814,2478
SAL21551,183,368,3,22,15,59,3,20,74,289,95,385,5,34,6,26,31,102,48,171,144,554,0,7,4,19,3,4,17,60,27,92,0,10,4,12,19,37,24,54,49,141,6,9,382,1077
SAL21552,0,7,0,0,0,0,0,0,3,15,5,20,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25
SAL21553,30,61,0,3,0,10,0,0,14,56,16,71,3,14,0,0,8,25,7,34,28,100,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,8,8,6,0,3,64,172
SAL21554,513,1074,32,220,179,826,31,150,754,3041,995,4237,97,459,158,555,252,846,508,1859,1504,6099,9,34,18,73,13,36,103,313,143,458,25,72,34,78,99,250,154,396,293,858,27,57,2346,8088
SAL21555,520,1072,27,171,167,743,35,164,1063,4150,1290,5232,68,284,123,428,169,552,355,1265,1644,6492,6,27,16,54,10,29,87,222,113,330,18,52,17,39,64,151,102,250,213,580,27,50,2402,8196
SAL21556,5,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,6,15
SAL21557,27,59,0,0,0,0,0,0,9,34,9,34,0,0,0,3,6,14,9,16,14,56,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,4,4,3,5,7,0,0,46,123
SAL21558,573,1153,13,67,112,506,22,96,422,1680,570,2349,128,555,143,518,310,1041,577,2117,1149,4467,0,14,17,48,5,12,59,149,75,223,14,51,25,55,65,153,102,254,181,474,8,8,1910,6106
SAL21559,99,201,3,38,15,62,3,18,53,235,77,348,20,88,17,65,53,163,90,321,168,676,0,0,3,8,0,0,7,12,5,22,3,7,0,0,4,0,4,12,10,38,0,0,280,917
SAL21560,70,138,3,13,4,10,0,3,23,79,28,111,5,15,5,23,8,27,21,70,47,180,0,0,0,7,0,0,5,16,9,23,0,3,3,3,3,5,9,17,15,36,0,0,132,355
SAL21561,113,229,0,12,15,69,3,25,39,160,61,264,13,48,12,56,29,107,58,208,121,472,0,0,0,0,3,8,7,22,7,29,0,0,3,4,8,14,7,23,18,50,0,0,252,751
SAL21562,233,461,7,37,29,146,0,4,155,629,191,818,17,66,33,105,42,139,92,316,282,1135,3,9,12,29,0,4,13,41,24,81,3,10,6,12,22,56,34,71,60,152,6,9,576,1757
SAL21563,4,7,0,0,0,0,0,0,6,20,6,20,0,0,0,0,3,8,3,8,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29
SAL21564,972,1953,7,49,132,578,10,45,753,2839,910,3507,67,303,154,544,207,657,422,1509,1331,5012,6,11,29,90,7,22,102,257,139,381,11,42,60,137,163,373,240,549,382,932,36,65,2713,7958
SAL21565,11,28,0,8,0,3,0,0,0,0,0,5,0,0,0,0,0,6,6,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,20,48
SAL21566,0,10,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,6,22
SAL21567,16,29,0,0,0,0,0,0,5,18,5,18,0,4,0,0,0,4,0,8,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,3,0,0,28,64
SAL21568,3,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
SAL21569,517,1045,13,95,47,214,13,54,508,1964,584,2328,24,95,36,129,87,272,147,498,731,2825,4,11,26,105,6,30,107,291,139,433,11,47,28,60,71,160,111,269,252,710,13,35,1521,4609
SAL21570,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,9,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19
