persid,hhid,persno,travdow,agegroup,sex,relationship,carlicence,mbikelicence,otherlicence,nolicence,fulltimework,parttimework,casualwork,anywork,studying,activities,mainact,emptype,anzsco1,anzsco2,anzsic1,anzsic2,startplace,numstops,persinc,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,faretype,anytoll,anyvehwalk,anypaidpark,perspoststratweight,perspoststratweight_GROUP_1,perspoststratweight_GROUP_2,perspoststratweight_GROUP_3,perspoststratweight_GROUP_4,perspoststratweight_GROUP_5,perspoststratweight_GROUP_6,perspoststratweight_GROUP_7,perspoststratweight_GROUP_8,perspoststratweight_GROUP_9,perspoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y25H6460507P01,Y25H6460507,1,Sunday,65->69,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Self-Employed,Professionals,Education Professionals,Education and Training,Adult Community and Other Education,At Home,0,"$300-$399 ($15,600-$20,799)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,834.96478334,0.0,853.129752745,958.696535152,982.176678705,847.248790131,1134.958179551,1049.750545392,958.619054764,833.705677592,780.38949271,MELB - Outer,Greater Melbourne,Weekend
Y25H6460508P01,Y25H6460508,1,Monday,70->74,Female,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$1,000-$1,249 ($52,000-$64,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1094.292264562,0.0,1166.712344796,1079.281237529,1068.670940237,1253.933303647,1739.665311285,1270.426846011,1098.148411686,1066.865216243,1067.614025571,MELB - Outer,Greater Melbourne,Weekday
Y25H6460508P02,Y25H6460508,2,Monday,70->74,Male,Spouse,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$500-$649 ($26,000-$33,799)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1050.250730862,0.0,1087.839295365,1060.175487102,1074.471750203,1202.518467821,1677.642827324,1284.894909175,1113.723144827,1029.050991951,998.286206768,MELB - Outer,Greater Melbourne,Weekday
Y25H6460512P01,Y25H6460512,1,Friday,20->24,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Community and Personal Service Workers,Sports and Personal Service Workers,Transport Postal and Warehousing,Transport Support Services,At Home,0,"$800-$999 ($41,600-$51,999)",No,No,No,No,No,No,No,No,No,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1172.17026126,0.0,910.059161314,1131.413307487,1107.374296223,1091.98591516,1289.080514946,1064.780878653,1077.206032318,1123.306641718,1025.511158325,MELB - Outer,Greater Melbourne,Weekday
Y25H6460512P02,Y25H6460512,2,Friday,20->24,Male,Sibling,Red Probationary Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Sales Workers,Sales Assistants and Salespersons,Retail Trade,Retail Trade (NEC),At Home,0,"$800-$999 ($41,600-$51,999)",No,No,No,No,No,No,No,No,No,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,806.846278253,0.0,701.324856117,808.938190181,965.760261577,735.870514647,917.952806692,878.02850723,803.464676446,824.53828972,684.564870492,MELB - Outer,Greater Melbourne,Weekday
Y25H6460515P01,Y25H6460515,1,Monday,30->34,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Health Professionals,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,7,"$3,000-$3,499 ($156,000-$181,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,855.608177681,0.0,857.773935016,1026.204625266,1084.958145055,930.052605171,1350.078650038,1135.014298215,1081.618484701,936.174501363,989.030004319,MELB - Outer,Greater Melbourne,Weekday
Y25H6460515P02,Y25H6460515,2,Monday,30->34,Female,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Business Human Resource and Marketing Professionals,Public Administration and Safety,Public Administration,At Home,0,"$2,000-$2,999 ($104,000-$155,999)",Yes,Yes,No,Yes,No,Yes,No,No,Yes,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,891.487511334,0.0,919.966251716,1044.698176283,1079.100721611,969.817900494,1399.991080774,1122.233907818,1066.492715485,970.575821461,1057.715009146,MELB - Outer,Greater Melbourne,Weekday
Y25H6460516P01,Y25H6460516,1,Tuesday,50->54,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Labourers,Factory Process Workers,Manufacturing,Food Product Manufacturing,At Home,2,"$800-$999 ($41,600-$51,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,1348.880907186,0.0,1412.753788184,1449.460287357,1856.778179901,1259.056334704,1450.896297399,1556.899994637,978.319036925,1359.823020689,1505.974111498,MELB - Outer,Greater Melbourne,Weekday
Y25H6460516P02,Y25H6460516,2,Tuesday,25->29,Female,Child,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Clerical and Administrative Workers,CLERICAL AND ADMINISTRATIVE WORKERS(NEC),Financial and Insurance Services,Finance,At Home,20,"$2,000-$2,999 ($104,000-$155,999)",Yes,Yes,No,No,Yes,Yes,No,No,No,Full Adult,No,Yes,Yes,1102.285182272,0.0,971.803164842,1167.031158552,1647.936460211,975.440365106,1227.219688996,1095.282668782,889.298880606,1162.134652356,1088.999445433,MELB - Outer,Greater Melbourne,Weekday
Y25H6460516P03,Y25H6460516,3,Tuesday,25->29,Female,Child,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Design Engineering Science and Transport Professionals,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,13,"$2,000-$2,999 ($104,000-$155,999)",No,No,No,No,No,No,No,No,No,Full Adult,No,No,No,1102.285182272,0.0,971.803164842,1167.031158552,1647.936460211,975.440365106,1227.219688996,1095.282668782,889.298880606,1162.134652356,1088.999445433,MELB - Outer,Greater Melbourne,Weekday
Y25H6460520P01,Y25H6460520,1,Saturday,45->49,Female,Self,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Community and Personal Service Workers,Carers and Aides,Health Care and Social Assistance,Residential Care Services,At Home,2,"$800-$999 ($41,600-$51,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,Yes,2093.580853933,0.0,1610.262522071,2089.888660231,2648.954827589,2369.656420112,2079.936792759,1890.47164475,2154.732018961,2095.272345529,2067.313296521,MELB - Outer,Greater Melbourne,Weekend
Y25H6460520P02,Y25H6460520,2,Saturday,20->24,Male,Child,Learners Permit,No,No,No,No,No,No,No,No Study,Keeping House,Keeping House,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,2265.046524494,0.0,1873.670832543,2240.716658751,2978.209439041,2042.826008424,2049.003797633,2255.426241437,2130.727591384,2212.687897742,1978.598554242,MELB - Outer,Greater Melbourne,Weekend
Y25H6460520P03,Y25H6460520,3,Saturday,20->24,Female,Unrelated,Learners Permit,No,No,No,No,No,No,No,Full-time TAFE/Uni,No other activity,Full-time TAFE/Uni,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$1,500-$1,749 ($78,000-$90,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,3075.900173003,0.0,3346.459888138,3871.283590359,3732.754447747,3070.361257903,3263.040712617,3416.368441832,3502.586934552,3428.647741842,3605.572884493,MELB - Outer,Greater Melbourne,Weekend
Y25H6460520P04,Y25H6460520,4,Saturday,15->19,Female,Child,No Car Licence,No,No,Yes,No,No,No,No,Secondary,No other activity,Secondary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$300-$399 ($15,600-$20,799)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1668.590360357,0.0,1365.148145323,1717.684004206,1717.202396767,1902.946677889,1717.161684708,1943.311626434,1633.548256184,1527.616865653,1801.168741733,MELB - Outer,Greater Melbourne,Weekend
Y25H6460522P01,Y25H6460522,1,Monday,40->44,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Business Human Resource and Marketing Professionals,Financial and Insurance Services,Finance,At Home,4,"$2,000-$2,999 ($104,000-$155,999)",Yes,Yes,No,No,No,Yes,No,No,Yes,Not applicable,No,No,No,916.761437894,1817.191184143,864.547561202,981.357996824,1216.548658894,975.32936972,0.0,932.698358934,849.609412457,915.054064544,920.781339546,MELB - Middle,Greater Melbourne,Weekday
Y25H6460522P02,Y25H6460522,2,Monday,40->44,Female,Spouse,Full Licence,No,No,No,No,No,No,No,No Study,Keeping House,Keeping House,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,2,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,1748.91199309,2895.239913334,1598.562062859,1983.348751083,2318.169771718,1850.34586527,0.0,1755.443311615,1381.370970792,1600.764323376,1666.993507599,MELB - Middle,Greater Melbourne,Weekday
Y25H6460522P03,Y25H6460522,3,Monday,10->14,Male,Child,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Primary,No other activity,Primary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,2,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,1365.257083162,2160.733641538,1444.536065088,1454.894348615,1658.319190845,1178.166841779,0.0,1486.520740728,1401.967929883,1218.644616056,1318.154272049,MELB - Middle,Greater Melbourne,Weekday
Y25H6460522P04,Y25H6460522,4,Monday,0->4,Female,Child,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,No Study,Not Yet at School,Not Yet at School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,Not applicable,4,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,1922.572137803,3312.469121639,1749.797944283,1958.741737059,2859.037614862,1884.519176056,0.0,2079.348874504,2162.583949103,1869.95678931,2002.39540494,MELB - Middle,Greater Melbourne,Weekday
Y25H6460529P01,Y25H6460529,1,Monday,70->74,Male,Self,No Car Licence,No,No,Yes,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$150-$299 ($7,800-$15,599)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1699.303849234,2212.373665227,1635.295413574,1823.899066699,2379.076985285,1868.137963171,0.0,1828.667484325,1813.861136988,1720.245825032,1698.706589471,MELB - Middle,Greater Melbourne,Weekday
Y25H6460529P02,Y25H6460529,2,Monday,70->74,Female,Spouse,No Car Licence,No,No,Yes,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$150-$299 ($7,800-$15,599)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1770.562973883,2657.583140529,1753.861397115,1856.768116017,2366.232931002,1948.012001904,0.0,1808.076479971,1788.495404674,1783.459175949,1816.676387947,MELB - Middle,Greater Melbourne,Weekday
Y25H6460529P03,Y25H6460529,3,Monday,40->44,Male,Child,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Technicians and Trades Workers,Other Technicians and Trades Workers,Manufacturing,Printing (including the Reproduction of Recorded Media),At another location,1,"$1,500-$1,749 ($78,000-$90,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,1292.719611149,1643.27881079,1127.979644062,1451.862794109,1972.009849062,1436.524949156,0.0,1312.553072169,1143.385186386,1234.721185175,1347.454122567,MELB - Middle,Greater Melbourne,Weekday
Y25H6460529P04,Y25H6460529,4,Monday,30->34,Male,Child,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Machinery Operators and Drivers,Storepersons,Transport Postal and Warehousing,Warehousing and Storage Services,At Home,4,"$1,250-$1,499 ($65,000-$77,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,1778.823811434,2684.97270673,1692.32806678,2165.623576828,2760.337316615,1984.322634849,0.0,2136.066936962,2102.744396267,1897.890223574,2314.50759747,MELB - Middle,Greater Melbourne,Weekday
Y25H6460532P01,Y25H6460532,1,Thursday,80->84,Female,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,3,"$1,500-$1,749 ($78,000-$90,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,1201.681952283,2353.133525102,1199.683738179,1295.074020646,1356.69300443,1127.686070316,0.0,1268.313268621,1059.191836454,1174.583015378,1138.902602295,MELB - Middle,Greater Melbourne,Weekday
Y25H6460532P02,Y25H6460532,2,Thursday,60->64,Male,Child,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Sales Workers,Sales Representatives and Agents,Rental Hiring and Real Estate Services,Property Operators and Real Estate Services,At Home,3,"$1,500-$1,749 ($78,000-$90,999)",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Not applicable,No,No,No,849.451106852,1726.094980072,712.559280389,981.231717208,993.76567986,802.38226714,0.0,1121.946114792,1002.141257596,857.278403275,779.423751304,MELB - Middle,Greater Melbourne,Weekday
Y25H6460533P01,Y25H6460533,1,Friday,75->79,Female,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$300-$399 ($15,600-$20,799)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,676.630434258,1085.531513982,565.079117086,756.435449043,794.309965674,641.442913569,0.0,827.412786863,678.558161708,653.300440668,599.812343756,MELB - Middle,Greater Melbourne,Weekday
Y25H6460534P01,Y25H6460534,1,Saturday,80->84,Female,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$400-$499 ($20,800-$25,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1612.529596545,2673.819023113,1594.865400708,1767.319124286,1961.554410472,1708.297895018,0.0,2040.227340901,1205.344571649,1599.298538991,1533.338467567,MELB - Middle,Greater Melbourne,Weekend
Y25H6460536P01,Y25H6460536,1,Monday,75->79,Female,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,2,"$500-$649 ($26,000-$33,799)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,632.382856958,1035.160108937,514.000677794,684.420353407,735.582164364,583.26865435,0.0,782.956311439,635.766072694,595.329479319,590.062084694,MELB - Middle,Greater Melbourne,Weekday
Y25H6470101P01,Y25H6470101,1,Monday,65->69,Male,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$400-$499 ($20,800-$25,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,822.000263509,1053.361680385,797.124474452,906.24483621,0.0,701.062608859,828.855232148,839.15005042,1039.087017674,998.597648342,992.663331313,MELB - Outer,Greater Melbourne,Weekday
Y25H6470101P02,Y25H6470101,2,Monday,65->69,Female,Spouse,Full Licence,No,No,No,No,No,Yes,Yes,No Study,No other activity,Casual Work,Paid Employee,Community and Personal Service Workers,Health and Welfare Support Workers,Construction,Construction Services,At Home,2,"$800-$999 ($41,600-$51,999)",Missing/Refused,No,No,No,No,No,No,No,No,Not applicable,No,No,No,665.760444162,903.622908157,665.352976291,558.958582587,0.0,597.196428364,663.033311649,672.387051141,791.995793188,867.868562931,637.625576112,MELB - Outer,Greater Melbourne,Weekday
Y25H6470107P01,Y25H6470107,1,Sunday,75->79,Male,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,2,"$800-$999 ($41,600-$51,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,1169.755198103,1383.105774019,1155.43845452,1254.47367984,0.0,1169.665965105,1177.750087208,1188.551126291,1550.363357069,1800.864398339,901.501741146,MELB - Outer,Greater Melbourne,Weekend
Y25H6470107P02,Y25H6470107,2,Sunday,70->74,Female,Spouse,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,4,"$1,500-$1,749 ($78,000-$90,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,1143.79558028,1473.628633318,1153.618901171,1194.344741507,0.0,1346.822512392,1152.576884877,1167.746143667,1878.385438836,1207.987814471,857.329044782,MELB - Outer,Greater Melbourne,Weekend
Y25H6470107P03,Y25H6470107,3,Sunday,45->49,Male,Child,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Self-Employed,Technicians and Trades Workers,Skilled Animal and Horticultural Workers,Administrative and Support Services,Building Cleaning Pest Control and Other Support Services,At Home,0,"$3,000-$3,499 ($156,000-$181,999)",No,No,No,No,No,No,No,No,No,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1338.642516386,1599.783223361,1401.156088938,1406.923485363,0.0,1565.480955041,1344.280509358,1369.429645888,1287.141235765,2155.296414625,1197.961312553,MELB - Outer,Greater Melbourne,Weekend
Y25H6470110P01,Y25H6470110,1,Wednesday,55->59,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Health Professionals,Health Care and Social Assistance,Residential Care Services,At Home,6,"$3,000-$3,499 ($156,000-$181,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,621.025523542,995.654350754,695.808398797,675.24145225,0.0,735.007284496,616.929772886,612.625495286,706.503836161,641.413500175,518.486205621,MELB - Outer,Greater Melbourne,Weekday
Y25H6470110P02,Y25H6470110,2,Wednesday,55->59,Male,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Design Engineering Science and Transport Professionals,Transport Postal and Warehousing,Air and Space Transport,At Home,2,"$2,000-$2,999 ($104,000-$155,999)",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,No,No,No,543.579515108,757.276210832,593.01772389,609.25938396,0.0,604.861537876,542.635582905,538.171468326,707.75127279,567.98523635,426.749867344,MELB - Outer,Greater Melbourne,Weekday
Y25H6470112P01,Y25H6470112,1,Friday,50->54,Female,Self,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Self-Employed,Professionals,Legal Social and Welfare Professionals,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,5,"$1,500-$1,749 ($78,000-$90,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,616.639752518,782.192503332,673.733273154,731.193827063,0.0,908.567419666,607.819687158,629.062498613,704.169335436,597.611760633,563.709268289,MELB - Outer,Greater Melbourne,Weekday
Y25H6470113P01,Y25H6470113,1,Saturday,45->49,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Labourers,Construction and Mining Labourers,Construction,Construction Services,At Home,7,"$1,250-$1,499 ($65,000-$77,999)",No,No,No,No,No,No,No,No,No,Not applicable,Yes,No,No,1005.696340943,1163.926503025,1038.810125467,1017.778271616,0.0,1035.333538053,1008.554010704,981.295162039,1074.999047042,1187.222159134,1218.511326112,MELB - Outer,Greater Melbourne,Weekend
Y25H6470113P02,Y25H6470113,2,Saturday,45->49,Female,Spouse,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Professionals,Education Professionals,Education and Training,Preschool and School Education,At Home,7,"$500-$649 ($26,000-$33,799)",No,No,No,No,No,No,No,No,No,Not applicable,Yes,No,No,768.179416963,936.985371283,752.558181262,733.433451362,0.0,702.210636718,772.088246476,749.940321169,961.009469895,1006.345337299,828.258381199,MELB - Outer,Greater Melbourne,Weekend
Y25H6470113P03,Y25H6470113,3,Saturday,15->19,Male,Child,Red Probationary Licence,No,No,No,No,No,Yes,Yes,Secondary,No other activity,Secondary School,Paid Employee,Sales Workers,Sales Assistants and Salespersons,Retail Trade,Food Retailing,At Home,3,"$300-$399 ($15,600-$20,799)",No,No,No,No,No,No,No,No,No,Not applicable,Yes,No,No,236.295603911,280.877664355,252.849515713,205.739227589,0.0,189.876660535,238.069151963,232.197404737,410.240535566,286.324868645,208.199891382,MELB - Outer,Greater Melbourne,Weekend
Y25H6470113P04,Y25H6470113,4,Saturday,15->19,Female,Child,Learners Permit,No,No,No,No,No,Yes,Yes,Secondary,No other activity,Secondary School,Paid Employee,Labourers,Food Preparation Assistants,Accommodation and Food Services,Food and Beverage Services,At Home,3,"$1-$149 ($1-$7,799)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,403.78723112,603.140533054,480.509750623,350.689935758,0.0,413.386045064,401.966875545,393.712414251,457.284744368,430.770668295,452.138878758,MELB - Outer,Greater Melbourne,Weekend
Y25H6470115P01,Y25H6470115,1,Monday,45->49,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Managers,Specialist Managers,Health Care and Social Assistance,Health Care and Social Assistance (NEC),At Home,3,"$1,750-$1,999 ($91,000-$103,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,526.546458708,714.618094724,561.127203396,559.326426823,0.0,418.750779927,528.781585603,545.252967231,637.269275219,544.951378396,657.07176843,MELB - Outer,Greater Melbourne,Weekday
Y25H6470115P02,Y25H6470115,2,Monday,20->24,Female,Child,Learners Permit,No,No,No,No,No,Yes,Yes,Part-time TAFE/Uni,No other activity,Part-time TAFE/Uni,Paid Employee,Sales Workers,Sales Assistants and Salespersons,Retail Trade,Other Store-Based Retailing,At Home,2,Nil income,No,No,No,No,No,No,No,No,No,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,630.580618101,900.521660842,679.565041656,825.925455024,0.0,533.700722709,637.108963982,656.059992064,756.822597987,686.66619985,831.339461028,MELB - Outer,Greater Melbourne,Weekday
Y25H6470115P03,Y25H6470115,3,Monday,15->19,Male,Child,Learners Permit,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Technicians and Trades Workers,Automotive and Engineering Trades Workers,Construction,Building Construction,At Home,4,Nil income,No,No,No,No,No,No,No,No,No,Full Adult,No,No,No,615.032900467,859.719484523,737.806407136,523.653267073,0.0,586.009999783,620.696423889,632.000082589,814.333722879,485.284375743,941.497451689,MELB - Outer,Greater Melbourne,Weekday
Y25H6470115P04,Y25H6470115,4,Monday,15->19,Male,Child,No Car Licence,No,No,Yes,No,No,No,No,Secondary,No other activity,Secondary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,6,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Full Adult,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,332.511548124,505.879665299,354.101756098,404.092806633,0.0,275.554763256,336.275122788,345.008724638,476.419949823,213.960800256,435.738758675,MELB - Outer,Greater Melbourne,Weekday
Y25H6470121P01,Y25H6470121,1,Sunday,70->74,Male,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,7,"$300-$399 ($15,600-$20,799)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,965.807207324,1115.716861694,1011.062449105,1018.215339461,0.0,906.650456954,980.054056065,1005.60980943,1854.990088114,842.111342302,886.336269174,MELB - Outer,Greater Melbourne,Weekend
Y25H6470121P02,Y25H6470121,2,Sunday,60->64,Female,Spouse,Full Licence,No,No,No,No,No,No,No,No Study,Unemployed,Unemployed,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,7,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,2174.571200868,3968.927306971,2190.426270964,2385.860575817,0.0,2238.913431603,2204.837132633,2211.369678808,2183.267308502,3490.154247374,2061.452388517,MELB - Outer,Greater Melbourne,Weekend
