hhid,surveyperiod,hhsize,dwelltype,owndwell,totalbikes,totalvehs,travmonth,travdow,homelga,youngestgroup_5,aveagegroup_5,oldestgroup_5,hhinc_group,hhpoststratweight,hhpoststratweight_GROUP_1,hhpoststratweight_GROUP_2,hhpoststratweight_GROUP_3,hhpoststratweight_GROUP_4,hhpoststratweight_GROUP_5,hhpoststratweight_GROUP_6,hhpoststratweight_GROUP_7,hhpoststratweight_GROUP_8,hhpoststratweight_GROUP_9,hhpoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y25H6580231,2024-25,3,Separate House,Being Purchased,2,2,March,Wednesday,Maroondah (C),0->4,25->29,35->39,"$5,000-$5,999 ($260,000-$311,999)",714.635895404,681.632528273,695.847469491,673.405866125,0.0,756.357489818,713.666430241,814.411333764,774.761950558,817.38223936,1016.430642175,MELB - Outer,Greater Melbourne,Weekday
Y25H6580232,2024-25,2,Separate House,Fully Owned,4,2,March,Thursday,Maroondah (C),60->64,65->69,70->74,"$300-$399 ($15,600-$20,799)",558.99112647,552.757173175,541.915736012,590.330700932,0.0,556.904124749,546.542857295,637.713234344,499.561058715,760.116578251,746.804492019,MELB - Outer,Greater Melbourne,Weekday
Y25H6580237,2024-25,4,Separate House,Being Rented,0,1,March,Tuesday,Maroondah (C),0->4,15->19,25->29,"$2,000-$2,499 ($104,000-$129,999)",228.072647963,241.664929044,225.957917298,215.946218639,0.0,225.660774593,229.48443949,297.240416467,233.884649145,240.222650644,237.385717219,MELB - Outer,Greater Melbourne,Weekday
Y25H6580238,2024-25,1,Separate House,Being Rented,1,1,March,Wednesday,Maroondah (C),65->69,65->69,65->69,"$2,500-$2,999 ($130,000-$155,999)",555.880042552,546.398910426,546.76253597,588.782774235,0.0,584.759805832,556.72233688,719.092696933,553.406096919,703.654329405,541.668688397,MELB - Outer,Greater Melbourne,Weekday
Y25H6580239,2024-25,2,Separate House,Being Purchased,0,2,March,Thursday,Maroondah (C),65->69,65->69,65->69,"$1,250-$1,499 ($65,000-$77,999)",558.99112647,552.757173175,541.915736012,590.330700932,0.0,556.904124749,546.542857295,637.713234344,499.561058715,760.116578251,746.804492019,MELB - Outer,Greater Melbourne,Weekday
Y25H6580242,2024-25,2,Separate House,Fully Owned,0,2,March,Sunday,Maroondah (C),80->84,85->89,85->89,,636.294247765,603.445004877,661.180105171,647.383636253,0.0,642.036568608,645.525664551,773.568646579,565.388146046,834.506079895,846.765716393,MELB - Outer,Greater Melbourne,Weekend
Y25H6580302,2024-25,2,"Unit, Flat or Apartment",Fully Owned,0,1,March,Tuesday,Yarra (C),60->64,60->64,60->64,"$2,000-$2,499 ($104,000-$129,999)",1491.941052711,2255.713579307,1431.283410278,1763.057936838,1471.121958855,1584.075683062,1505.423625861,0.0,1737.928551539,1491.92536535,1609.795026434,MELB - Inner,Greater Melbourne,Weekday
Y25H6580307,2024-25,1,"Unit, Flat or Apartment",Fully Owned,Missing/Refused,1,March,Sunday,Yarra (C),50->54,50->54,50->54,"$2,500-$2,999 ($130,000-$155,999)",1675.821664302,2610.222932507,1792.902159317,1926.452767426,1643.08660975,1818.918964552,1645.465220498,0.0,1770.510716541,1627.820381838,1784.013264658,MELB - Inner,Greater Melbourne,Weekend
Y25H6580308,2024-25,2,"Unit, Flat or Apartment",Fully Owned,1,1,March,Monday,Yarra (C),45->49,45->49,50->54,"$3,500-$3,999 ($182,000-$207,999)",1424.272777545,2173.459063922,1377.875568109,1614.920228571,1414.126624421,1480.235976747,1440.548228691,0.0,1713.402620209,1362.514656177,1555.124732291,MELB - Inner,Greater Melbourne,Weekday
Y25H6580314,2024-25,2,"Unit, Flat or Apartment",Fully Owned,2,2,March,Sunday,Yarra (C),55->59,60->64,65->69,"$1,250-$1,499 ($65,000-$77,999)",1708.232214764,2786.450354606,1783.031121569,1828.000162968,1676.083621805,1913.476202376,1714.570532609,0.0,2057.955752189,1552.520024849,1891.031358875,MELB - Inner,Greater Melbourne,Weekend
Y25H6580318,2024-25,1,"Unit, Flat or Apartment",Fully Owned,0,1,March,Thursday,Yarra (C),55->59,55->59,55->59,"$1,250-$1,499 ($65,000-$77,999)",1472.226793156,2390.970905165,1469.496564801,1756.677414784,1520.881314111,1577.734857285,1393.154931827,0.0,1564.373456017,1482.71329408,1573.409378858,MELB - Inner,Greater Melbourne,Weekday
Y25H6580321,2024-25,1,"Unit, Flat or Apartment",Being Rented,1,0,March,Sunday,Yarra (C),55->59,55->59,55->59,"$3,500-$3,999 ($182,000-$207,999)",1785.181882093,2930.110831656,1828.53864367,1963.400957331,1757.244925501,2013.443997495,1863.152334115,0.0,1933.22521708,1769.214302014,1866.82360906,MELB - Inner,Greater Melbourne,Weekend
Y25H6580327,2024-25,1,"Unit, Flat or Apartment",Being Rented,1,0,March,Saturday,Yarra (C),20->24,20->24,20->24,"$500-$649 ($26,000-$33,799)",2511.766136054,4135.687534443,2467.511444626,2657.06462215,2489.712464288,2829.317346416,2632.935398033,0.0,2939.423537013,2605.617455412,2654.725188182,MELB - Inner,Greater Melbourne,Weekend
Y25H6580335,2024-25,1,"Unit, Flat or Apartment",Being Rented,0,0,March,Sunday,Yarra (C),60->64,60->64,60->64,"$500-$649 ($26,000-$33,799)",2677.772823139,4395.166247483,2742.807965504,2945.101435996,2635.86738825,3020.165996242,2794.728501172,0.0,2899.83782562,2653.821453021,2800.23541359,MELB - Inner,Greater Melbourne,Weekend
Y25H6580337,2024-25,2,"Unit, Flat or Apartment",Being Rented,0,1,March,Tuesday,Yarra (C),65->69,65->69,65->69,"$1,000-$1,249 ($52,000-$64,999)",2237.911579066,3383.570368959,2146.925115417,2644.586905257,2206.682938282,2376.113524593,2258.135438791,0.0,2606.892827307,2237.888048025,2414.692539651,MELB - Inner,Greater Melbourne,Weekday
Y25H6580339,2024-25,3,"Unit, Flat or Apartment",Being Rented,0,1,March,Thursday,Yarra (C),10->14,25->29,30->34,"$4,000-$4,499 ($208,000-$233,999)",1820.945051872,2099.825860984,1821.076960748,2395.270043977,1877.493141348,2118.423473066,1814.078640322,0.0,2135.086210921,1929.690647103,1930.197032029,MELB - Inner,Greater Melbourne,Weekday
Y25H6581001,2024-25,4,Separate House,Being Rented,2,2,March,Monday,Greater Geelong (C),0->4,15->19,35->39,"$3,000-$3,499 ($156,000-$181,999)",276.330687973,291.547423061,334.860844586,337.263178833,312.738847334,286.349329464,332.66595074,319.599801634,284.146601094,0.0,278.853885501,Geelong SA4,Geelong SA4,Weekday
Y25H6581002,2024-25,2,Separate House,Being Purchased,Missing/Refused,2,March,Tuesday,Greater Geelong (C),35->39,35->39,35->39,"$4,000-$4,499 ($208,000-$233,999)",361.053341692,382.807999148,416.071755615,398.196751201,405.037263499,367.992228104,478.402071793,397.507415608,380.962689543,0.0,388.63076571,Geelong SA4,Geelong SA4,Weekday
Y25H6581007,2024-25,5,Separate House,Being Rented,2,4,March,Sunday,Greater Geelong (C),0->4,20->24,30->34,"$2,000-$2,499 ($104,000-$129,999)",905.907535812,887.539588975,1059.16617366,1157.55015342,947.629579379,1032.422151109,1057.231933517,924.632896068,899.10459982,0.0,934.598122584,Geelong SA4,Geelong SA4,Weekend
Y25H6581008,2024-25,4,Separate House,Fully Owned,3,2,March,Monday,Greater Geelong (C),5->9,20->24,35->39,"$3,500-$3,999 ($182,000-$207,999)",276.330687973,291.547423061,334.860844586,337.263178833,312.738847334,286.349329464,332.66595074,319.599801634,284.146601094,0.0,278.853885501,Geelong SA4,Geelong SA4,Weekday
Y25H6581009,2024-25,4,Separate House,Being Rented,0,1,March,Tuesday,Greater Geelong (C),0->4,15->19,35->39,"$1,250-$1,499 ($65,000-$77,999)",166.03668705,175.501344349,185.624498546,224.022246527,166.579579095,190.04949825,177.368394698,185.4620244,176.283954446,0.0,162.914214465,Geelong SA4,Geelong SA4,Weekday
Y25H6581011,2024-25,2,Separate House,Being Rented,Missing/Refused,2,March,Thursday,Greater Geelong (C),30->34,30->34,35->39,"$3,500-$3,999 ($182,000-$207,999)",359.195428666,379.153599316,411.130350727,398.537242003,422.524819725,368.825564032,462.399434298,395.867016743,389.016382854,0.0,379.054238953,Geelong SA4,Geelong SA4,Weekday
Y25H6581015,2024-25,2,Terrace or Townhouse,Being Purchased,3,1,March,Monday,Greater Geelong (C),10->14,30->34,55->59,"$2,500-$2,999 ($130,000-$155,999)",197.71031521,213.937672368,213.750866798,221.916151532,199.34904127,213.264839338,233.560333007,233.620386598,229.724746031,0.0,211.889165626,Geelong SA4,Geelong SA4,Weekday
Y25H6581016,2024-25,2,Separate House,Being Rented,1,1,March,Tuesday,Greater Geelong (C),50->54,65->69,80->84,"$1,500-$1,749 ($78,000-$90,999)",207.103681582,222.034139357,222.036065275,242.272667931,207.383657888,228.225533871,244.078772491,232.141204792,233.013064421,0.0,219.338113462,Geelong SA4,Geelong SA4,Weekday
Y25H6581018,2024-25,3,Separate House,Being Rented,0,2,March,Thursday,Greater Geelong (C),0->4,25->29,40->44,"$2,000-$2,499 ($104,000-$129,999)",295.982220196,305.380364494,289.64209055,338.05048028,347.36623859,346.273945663,409.225029549,329.1841212,300.138417722,0.0,319.261553279,Geelong SA4,Geelong SA4,Weekday
Y25H6581019,2024-25,2,Separate House,Being Purchased,4,2,March,Friday,Greater Geelong (C),35->39,35->39,40->44,"$1,500-$1,749 ($78,000-$90,999)",368.794400151,386.797290687,440.350165217,403.117043088,420.429733205,378.166495446,478.143868644,422.75469363,400.866425036,0.0,381.636157968,Geelong SA4,Geelong SA4,Weekday
Y25H6581021,2024-25,1,"Unit, Flat or Apartment",Being Rented,1,1,March,Sunday,Greater Geelong (C),35->39,35->39,35->39,"$2,500-$2,999 ($130,000-$155,999)",338.769617659,341.602242948,391.731110692,369.116775521,372.484698269,356.11828674,425.007275142,402.202187476,363.706999977,0.0,339.176071368,Geelong SA4,Geelong SA4,Weekend
Y25H6581024,2024-25,1,Separate House,Fully Owned,0,1,March,Wednesday,Greater Geelong (C),55->59,55->59,55->59,"$1,000-$1,249 ($52,000-$64,999)",454.408673484,445.749647044,549.949267869,491.988211643,460.450844376,585.468049814,475.585379621,458.403528062,0.0,580.900835579,527.402212513,Geelong SA4,Geelong SA4,Weekday
Y25H6581027,2024-25,2,Separate House,Being Rented,3,2,March,Saturday,Greater Geelong (C),40->44,45->49,50->54,"$1,000-$1,249 ($52,000-$64,999)",637.38501163,625.214985319,840.977234101,622.08485401,653.332307824,770.864094916,722.451570818,635.706816216,0.0,724.25176001,799.368528936,Geelong SA4,Geelong SA4,Weekend
Y25H6581031,2024-25,4,Separate House,Being Rented,3,1,March,Wednesday,Greater Geelong (C),0->4,20->24,40->44,"$4,500-$4,999 ($234,000-$259,999)",252.20792724,247.621431736,314.173229391,327.732573357,232.069985313,361.025061645,226.580170436,255.350099653,0.0,311.38431805,280.153623859,Geelong SA4,Geelong SA4,Weekday
Y25H6581032,2024-25,1,Separate House,Fully Owned,0,1,March,Thursday,Greater Geelong (C),85->89,85->89,85->89,,494.611103714,502.291557073,598.346783368,531.018858604,522.437623369,597.780258205,505.252707453,494.106792769,0.0,632.064767515,586.858201083,Geelong SA4,Geelong SA4,Weekday
Y25H6581033,2024-25,4,Separate House,Being Purchased,4,1,March,Friday,Greater Geelong (C),10->14,20->24,45->49,"$2,500-$2,999 ($130,000-$155,999)",281.857437631,284.656654522,366.115514999,357.797337732,262.00606416,377.952961809,248.910576345,293.93278149,0.0,345.012919397,313.859755827,Geelong SA4,Geelong SA4,Weekday
Y25H6581102,2024-25,2,Terrace or Townhouse,Being Purchased,2,2,March,Tuesday,Greater Geelong (C),75->79,75->79,80->84,"$2,500-$2,999 ($130,000-$155,999)",441.287417623,467.876443404,508.532145752,486.684918135,495.045544277,449.768278794,0.0,485.842396855,465.621064997,505.110762064,474.993158091,Geelong SA4,Geelong SA4,Weekday
Y25H6581103,2024-25,2,Separate House,Fully Owned,Missing/Refused,2,March,Wednesday,Greater Geelong (C),70->74,80->84,85->89,"$650-$799 ($33,800-$41,599)",403.332972646,411.244865346,461.848334691,451.298446726,455.14652306,441.502149558,0.0,448.876243292,434.128304242,456.875267118,416.35166214,Geelong SA4,Geelong SA4,Weekday
Y25H6581105,2024-25,2,Separate House,Fully Owned,2,1,March,Friday,Greater Geelong (C),70->74,70->74,70->74,"$1,750-$1,999 ($91,000-$103,999)",258.553811302,274.203093711,287.212691292,299.769915096,263.101393365,286.654530227,0.0,301.748842532,299.673048638,306.408510583,263.254992581,Geelong SA4,Geelong SA4,Weekday
Y25H6581107,2024-25,2,Separate House,Fully Owned,2,2,March,Sunday,Greater Geelong (C),65->69,65->69,70->74,"$2,000-$2,499 ($104,000-$129,999)",499.728432741,505.904646664,613.080819921,534.177307272,557.914351552,519.69737284,0.0,586.911910772,538.116351036,545.766067256,525.300577166,Geelong SA4,Geelong SA4,Weekend
Y25H6581109,2024-25,2,Separate House,Fully Owned,3,3,March,Tuesday,Greater Geelong (C),65->69,70->74,70->74,,646.280165726,698.243092682,786.365709174,742.719246299,659.205970798,618.716496561,0.0,674.279327621,721.066120887,844.551460158,713.258208182,Geelong SA4,Geelong SA4,Weekday
Y25H6581110,2024-25,2,Separate House,Fully Owned,0,2,March,Wednesday,Greater Geelong (C),75->79,75->79,75->79,"$1,250-$1,499 ($65,000-$77,999)",403.332972646,411.244865346,461.848334691,451.298446726,455.14652306,441.502149558,0.0,448.876243292,434.128304242,456.875267118,416.35166214,Geelong SA4,Geelong SA4,Weekday
Y25H6581113,2024-25,3,Separate House,Being Purchased,4,5,March,Saturday,Greater Geelong (C),25->29,45->49,60->64,"$2,500-$2,999 ($130,000-$155,999)",682.611722078,680.503851892,653.511240187,987.067009659,783.204766449,702.701859271,0.0,713.354754646,735.979269582,993.075067942,674.614103018,Geelong SA4,Geelong SA4,Weekend
Y25H6581115,2024-25,5,Separate House,Fully Owned,3,3,March,Monday,Greater Geelong (C),15->19,30->34,55->59,"$2,000-$2,499 ($104,000-$129,999)",773.504664766,812.792745868,950.42106581,746.22024952,727.671277714,913.130312209,0.0,794.120048292,830.117495643,1031.579219524,931.604077244,Geelong SA4,Geelong SA4,Weekday
Y25H6581120,2024-25,2,Separate House,Fully Owned,0,2,March,Saturday,Greater Geelong (C),75->79,75->79,75->79,"$2,500-$2,999 ($130,000-$155,999)",468.748111766,476.037406327,551.545700123,481.933697685,526.97883105,486.85694551,0.0,521.383422394,545.462182027,535.852775549,498.004084514,Geelong SA4,Geelong SA4,Weekend
Y25H6581126,2024-25,2,Separate House,Fully Owned,3,2,March,Friday,Greater Geelong (C),70->74,70->74,70->74,"$1-$149 ($1-$7,799)",811.347680334,850.954039513,968.770363479,886.857494795,924.945413051,831.966289982,1051.916511018,930.060325987,881.906135081,0.0,839.599547529,Geelong SA4,Geelong SA4,Weekday
Y25H6581129,2024-25,4,Separate House,Being Purchased,5,1,March,Monday,Greater Geelong (C),10->14,30->34,45->49,"$6,000-$7,999 ($312,000-$415,999)",348.713089316,372.023726963,393.135567014,451.438214262,352.276815816,390.700922245,373.394564376,410.616295941,382.35165433,0.0,346.239256546,Geelong SA4,Geelong SA4,Weekday
Y25H6581131,2024-25,4,Separate House,Being Rented,7,3,March,Wednesday,Greater Geelong (C),15->19,35->39,50->54,"$4,500-$4,999 ($234,000-$259,999)",852.416318984,873.190805258,1074.706347584,1146.304137805,876.28815433,910.354820973,902.489786891,895.872741202,915.515266355,0.0,835.866860245,Geelong SA4,Geelong SA4,Weekday
Y25H6581132,2024-25,1,Separate House,Fully Owned,Missing/Refused,1,March,Thursday,Greater Geelong (C),75->79,75->79,75->79,"$300-$399 ($15,600-$20,799)",654.747805563,688.398768736,706.354521741,740.491565985,758.51816384,679.57536293,791.643690132,729.4468949,706.994799114,0.0,658.099471099,Geelong SA4,Geelong SA4,Weekday
Y25H6581133,2024-25,5,Separate House,Fully Owned,1,4,March,Friday,Greater Geelong (C),5->9,45->49,70->74,"$3,500-$3,999 ($182,000-$207,999)",1797.657648934,1824.632245512,2045.584352685,2348.866849817,1920.159714897,2020.052692216,2036.314996944,1790.843817249,1800.970381319,0.0,1825.741964481,Geelong SA4,Geelong SA4,Weekday
Y25H6590103,2024-25,2,"Unit, Flat or Apartment",Being Rented,1,1,March,Wednesday,Monash (C),20->24,20->24,20->24,"$1-$149 ($1-$7,799)",675.097009702,780.172887495,683.073974014,682.621158696,890.363367198,0.0,710.514621554,673.704729479,736.4641006,694.391800497,781.149518102,MELB - Middle,Greater Melbourne,Weekday
Y25H6590106,2024-25,2,"Unit, Flat or Apartment",Being Rented,Missing/Refused,1,March,Saturday,Monash (C),5->9,15->19,25->29,"$1,750-$1,999 ($91,000-$103,999)",784.588590615,903.090856921,815.736433228,728.959165526,1030.882633797,0.0,839.929904171,782.528553889,925.333159281,814.427482499,934.343935682,MELB - Middle,Greater Melbourne,Weekend
Y25H6590108,2024-25,2,Separate House,Being Rented,1,2,March,Monday,Monash (C),25->29,25->29,30->34,"$2,500-$2,999 ($130,000-$155,999)",705.124023066,855.242069873,724.054287523,674.29243212,930.89528517,0.0,747.305204509,733.832412305,778.742018266,701.112390594,860.906263365,MELB - Middle,Greater Melbourne,Weekday
Y25H6590111,2024-25,3,Separate House,Fully Owned,2,2,March,Thursday,Monash (C),15->19,35->39,45->49,"$6,000-$7,999 ($312,000-$415,999)",770.734035367,800.620769603,818.383138908,821.049704141,960.338898742,0.0,842.336549682,909.168696916,848.552389211,743.736069782,967.099123963,MELB - Middle,Greater Melbourne,Weekday
Y25H6590112,2024-25,3,Terrace or Townhouse,Being Rented,0,1,March,Friday,Monash (C),30->34,35->39,40->44,"$1,750-$1,999 ($91,000-$103,999)",719.667503716,751.301827755,896.719709087,688.185826861,919.027223981,0.0,752.626755129,814.629835626,792.728420955,684.698827421,886.604630768,MELB - Middle,Greater Melbourne,Weekday
Y25H6590114,2024-25,5,Separate House,Fully Owned,Missing/Refused,5,March,Sunday,Monash (C),20->24,35->39,60->64,"$5,000-$5,999 ($260,000-$311,999)",1215.459558192,1590.532578212,1144.208008992,1037.750238358,1333.36864601,0.0,1608.345486232,1425.664486447,1370.11823233,1136.62319294,1468.007000213,MELB - Middle,Greater Melbourne,Weekend
Y25H6590117,2024-25,2,"Unit, Flat or Apartment",Being Rented,0,2,March,Wednesday,Monash (C),25->29,25->29,25->29,"$2,500-$2,999 ($130,000-$155,999)",742.32202486,848.147723847,667.707602565,823.769520871,925.773242315,0.0,822.281101768,802.958090439,812.339563287,768.07368161,857.873635444,MELB - Middle,Greater Melbourne,Weekday
Y25H6590120,2024-25,2,Terrace or Townhouse,Being Purchased,0,2,March,Saturday,Monash (C),40->44,40->44,45->49,"$4,000-$4,499 ($208,000-$233,999)",862.716591686,981.775279559,797.385698879,879.689026439,1071.880979717,0.0,972.053869207,932.660267699,1020.667176978,900.846344153,1026.114732562,MELB - Middle,Greater Melbourne,Weekend
Y25H6590121,2024-25,3,Separate House,Being Purchased,2,2,March,Sunday,Monash (C),0->4,20->24,30->34,"$1,250-$1,499 ($65,000-$77,999)",877.319173844,874.037692614,998.492226551,900.400643524,1037.503696511,0.0,994.889703071,1102.853697412,960.366012901,816.522478036,1096.547210518,MELB - Middle,Greater Melbourne,Weekend
Y25H6590122,2024-25,2,Separate House,Fully Owned,2,2,March,Monday,Monash (C),40->44,45->49,45->49,"$2,000-$2,499 ($104,000-$129,999)",872.256461944,1045.977218439,796.236779904,915.433458208,1088.906760349,0.0,972.966346243,983.94923999,966.344889494,872.445817355,1063.647054651,MELB - Middle,Greater Melbourne,Weekday
Y25H6590131,2024-25,5,Terrace or Townhouse,Being Rented,Missing/Refused,2,March,Wednesday,Monash (C),25->29,25->29,35->39,"$2,500-$2,999 ($130,000-$155,999)",586.981914709,729.144526397,444.063210581,566.798543539,675.588792247,0.0,727.72081218,633.868643375,673.12602599,567.660609487,768.6941927,MELB - Middle,Greater Melbourne,Weekday
Y25H6590132,2024-25,3,"Unit, Flat or Apartment",Being Rented,0,1,March,Thursday,Monash (C),20->24,20->24,25->29,"$1,500-$1,749 ($78,000-$90,999)",788.553017784,828.511855958,941.869237994,765.4132885,1039.057788139,0.0,818.824593832,858.170763314,865.456331837,756.437528162,990.68220115,MELB - Middle,Greater Melbourne,Weekday
Y25H6590133,2024-25,4,"Unit, Flat or Apartment",Fully Owned,Missing/Refused,2,March,Friday,Monash (C),15->19,35->39,55->59,"$3,000-$3,499 ($156,000-$181,999)",701.824225724,763.522410495,643.889415847,671.163608758,839.99055165,0.0,836.865037481,846.925170517,770.138457545,687.008383551,948.457410735,MELB - Middle,Greater Melbourne,Weekday
Y25H6590135,2024-25,4,Terrace or Townhouse,Being Rented,2,2,March,Sunday,Monash (C),0->4,20->24,35->39,"$4,000-$4,499 ($208,000-$233,999)",778.08657372,817.065471528,733.467164768,727.666697824,912.007345706,0.0,955.880094481,962.009475297,845.853480487,740.682864508,1068.13469366,MELB - Middle,Greater Melbourne,Weekend
Y25H6590139,2024-25,2,Separate House,Fully Owned,Missing/Refused,2,March,Thursday,Monash (C),35->39,45->49,50->54,"$5,000-$5,999 ($260,000-$311,999)",908.996305823,1075.199103629,817.276809903,1000.261353666,1181.702945498,0.0,982.772478094,973.684538447,1000.898625528,940.188615123,1073.907991514,MELB - Middle,Greater Melbourne,Weekday
Y25H6590140,2024-25,4,Terrace or Townhouse,Being Rented,0,0,March,Friday,Monash (C),10->14,20->24,25->29,,551.213040896,733.593314625,438.210685622,442.260093226,649.890034874,0.0,712.015054759,759.77196542,583.852642953,534.612049204,683.785632872,MELB - Middle,Greater Melbourne,Weekday
Y25H6590141,2024-25,3,Terrace or Townhouse,Being Rented,2,2,March,Saturday,Monash (C),5->9,25->29,40->44,"$1,750-$1,999 ($91,000-$103,999)",925.796670977,925.241483426,1010.557394391,913.882116158,1102.47261813,0.0,1054.454969297,1102.185571085,1095.160474914,901.902564496,1169.512542186,MELB - Middle,Greater Melbourne,Weekend
Y25H6590401,2024-25,3,Separate House,Being Purchased,Missing/Refused,2,March,Monday,Banyule (C),0->4,15->19,30->34,"$3,000-$3,499 ($156,000-$181,999)",1563.183689067,1606.407288184,2278.239900531,1949.309493391,1540.834173074,0.0,1869.546846559,1615.180021125,1784.730671692,1420.871574397,1787.990242281,MELB - Middle,Greater Melbourne,Weekday
Y25H6590406,2024-25,2,Separate House,Being Purchased,2,2,March,Saturday,Banyule (C),60->64,60->64,60->64,"$1,000-$1,249 ($52,000-$64,999)",1329.846758235,1341.270193106,1547.079070983,1727.603693095,1305.999927689,0.0,1689.437457571,1406.785085571,1664.164233273,1297.901021478,1299.505449264,MELB - Middle,Greater Melbourne,Weekend
Y25H6590408,2024-25,3,Separate House,Being Purchased,0,3,March,Monday,Banyule (C),20->24,40->44,55->59,"$4,000-$4,499 ($208,000-$233,999)",1355.841822655,1300.533968403,1945.734050359,1653.821410856,1415.865918716,0.0,1650.23003496,1175.261178351,1530.891975053,1303.734201979,1548.458384952,MELB - Middle,Greater Melbourne,Weekday
Y25H6590409,2024-25,2,Separate House,Fully Owned,1,3,March,Tuesday,Banyule (C),65->69,65->69,70->74,"$4,500-$4,999 ($234,000-$259,999)",1085.881973735,1067.265343531,1218.241652805,1480.173177869,1127.356738955,0.0,1386.551937084,953.848506847,1218.529414745,1122.579079617,1073.413240486,MELB - Middle,Greater Melbourne,Weekday
Y25H6590410,2024-25,6,Separate House,Being Purchased,4,3,March,Wednesday,Banyule (C),5->9,20->24,45->49,"$800-$999 ($41,600-$51,999)",1244.953448526,1146.039307104,1401.162152446,1656.545610016,1439.616359012,0.0,1769.831269348,1285.855829806,1313.84353313,1118.328546174,1221.96409162,MELB - Middle,Greater Melbourne,Weekday
Y25H6590419,2024-25,2,Separate House,Fully Owned,0,1,March,Friday,Banyule (C),70->74,75->79,75->79,"$2,500-$2,999 ($130,000-$155,999)",1261.785550532,1198.283918413,1346.210408452,2000.151563816,1269.598535864,0.0,1505.434205036,1358.862379981,1427.518060674,1269.588514063,1291.13251087,MELB - Middle,Greater Melbourne,Weekday
Y25H6590420,2024-25,2,Separate House,Being Purchased,2,2,March,Saturday,Banyule (C),65->69,70->74,70->74,"$300-$399 ($15,600-$20,799)",1329.846758235,1341.270193106,1547.079070983,1727.603693095,1305.999927689,0.0,1689.437457571,1406.785085571,1664.164233273,1297.901021478,1299.505449264,MELB - Middle,Greater Melbourne,Weekend
Y25H6590421,2024-25,2,Separate House,Fully Owned,1,1,March,Sunday,Banyule (C),15->19,35->39,55->59,"$3,500-$3,999 ($182,000-$207,999)",1398.894993641,1282.315229213,1533.494893946,2168.537841738,1378.447874838,0.0,1719.53006243,1543.511198716,1567.862386625,1368.77872215,1454.048872795,MELB - Middle,Greater Melbourne,Weekend
Y25H6590422,2024-25,1,Terrace or Townhouse,Being Rented,Missing/Refused,1,March,Monday,Banyule (C),65->69,65->69,65->69,"$300-$399 ($15,600-$20,799)",2031.04837586,2262.162992921,2061.643557169,3234.28207125,2009.798362293,2429.775099464,2391.925016642,2028.541648212,2215.781225259,2307.113119191,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6590503,2024-25,2,Separate House,Fully Owned,1,2,March,Wednesday,Wyndham (C),65->69,65->69,70->74,"$500-$649 ($26,000-$33,799)",696.703484161,801.55521566,816.881741699,719.593483797,718.54964477,0.0,816.303752935,719.75288961,727.584787877,690.945253441,770.036996097,MELB - Outer,Greater Melbourne,Weekday
Y25H6590507,2024-25,2,Separate House,Fully Owned,0,2,March,Sunday,Wyndham (C),65->69,65->69,65->69,"$650-$799 ($33,800-$41,599)",863.213681593,986.056100225,1084.370106725,851.743479938,880.791434863,0.0,1024.286002745,941.086880934,901.86534095,825.377298356,971.536600599,MELB - Outer,Greater Melbourne,Weekend
Y25H6590513,2024-25,3,Separate House,Being Rented,Missing/Refused,1,March,Saturday,Wyndham (C),15->19,25->29,45->49,"$1,750-$1,999 ($91,000-$103,999)",1006.52122754,1025.766371007,1245.459319974,1060.402171265,1129.887526194,0.0,1124.474089868,1033.733258993,1095.454289774,1016.01525241,1183.064100823,MELB - Outer,Greater Melbourne,Weekend
Y25H6590515,2024-25,1,"Unit, Flat or Apartment",Being Rented,0,0,March,Monday,Wyndham (C),60->64,60->64,60->64,"$1-$149 ($1-$7,799)",914.548854872,971.944267604,1048.740539211,980.410468892,1064.433002239,0.0,960.100943927,1170.321042541,763.160089303,881.21983737,1062.926816542,MELB - Outer,Greater Melbourne,Weekday
Y25H6590517,2024-25,1,Separate House,Fully Owned,0,2,March,Wednesday,Wyndham (C),70->74,70->74,70->74,"$1,000-$1,249 ($52,000-$64,999)",624.381064291,733.314354899,685.435377433,606.2580107,661.72303064,0.0,689.524507446,688.167204255,661.103799336,670.885388277,682.58105206,MELB - Outer,Greater Melbourne,Weekday
Y25H6590521,2024-25,2,Separate House,Being Rented,1,0,March,Sunday,Wyndham (C),70->74,70->74,70->74,,1210.531723141,1192.215045077,1565.221070834,1394.410768067,1355.132048565,0.0,1356.011712314,1469.310111826,984.567889351,1073.755479718,1372.734673915,MELB - Outer,Greater Melbourne,Weekend
Y25H6590522,2024-25,4,Terrace or Townhouse,Being Purchased,4,2,March,Monday,Wyndham (C),5->9,25->29,50->54,"$3,500-$3,999 ($182,000-$207,999)",617.828915221,0.0,732.51094751,597.586855543,711.315308071,816.996678108,604.269005162,636.235316392,676.288857648,606.5930382,761.407245663,MELB - Outer,Greater Melbourne,Weekday
Y25H6590523,2024-25,5,Separate House,Being Rented,7,2,March,Tuesday,Wyndham (C),5->9,20->24,35->39,"$2,000-$2,499 ($104,000-$129,999)",719.598769247,0.0,972.487409676,729.110450625,871.826601919,915.864491249,680.975286284,682.081457256,807.042802404,737.62187263,793.395877099,MELB - Outer,Greater Melbourne,Weekday
