POW_LGA_CODE_2021,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_mnf_M,Mnf_Food_pdt_mnf_F,Mnf_Food_pdt_mnf_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_leath_clo_footw_mnf_M,Mnf_Tex_leath_clo_footw_mnf_F,Mnf_Tex_leath_clo_footw_mnf_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pul_pap_cvertd_pap_mnf_M,Mnf_Pul_pap_cvertd_pap_mnf_F,Mnf_Pul_pap_cvertd_pap_mnf_P,Mnf_Print_inc_repdtn_RM_mnf_M,Mnf_Print_inc_repdtn_RM_mnf_F,Mnf_Print_inc_repdtn_RM_mnf_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Bas_che_and_chem_pr_mnf_M,Mnf_Bas_che_and_chem_pr_mnf_F,Mnf_Bas_che_and_chem_pr_mnf_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Pri_met_and_met_pr_mnf_M,Mnf_Pri_met_and_met_pr_mnf_F,Mnf_Pri_met_and_met_pr_mnf_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
LGA26080,0,0,0,4,4,3,3,6,10,0,0,0,0,0,0,0,0,7,13,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,0,0,0,0,0,0,24,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,34,6,39,0,0,0,53,4,60,91,13,107,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,8,0,7,7,0,0,0,0,0,4,42,40,80,10,51,66,0,0,0,57,99,156,0,0,0,26,39,65,86,106,197,113,145,257,14,11,23,0,0,5,0,0,0,26,22,44,0,0,0,9,8
LGA26170,12,6,19,1252,659,1912,0,0,3,9,0,9,18,4,22,45,24,68,1341,693,2028,0,0,6,0,0,0,7,0,7,14,0,16,55,9,66,0,0,0,77,14,96,41,14,49,445,183,626,26,9,39,6,15,18,18,8,22,5,0,5,9,4,13,0,0,0,0,5,3,0,0,3,29,6,32,39,12,48,28,7,35,19,4,22,17,0,18,23,5,23,694,261,954,0,0,0,33,5,35,3,0,7,76,42,115,27,4,31,140,53,186,44,6,53,176,19,199,105,25,129,467,85,555,791,135,927,0,0,0,131,75,210,40,0,45,5,0,5,17,12,27,3,3,4,14,6,15,207,110,313,17,18,37,44,17,59,16,27,40,210,280,491,113,271,385,0,0,3,406,616,1018,0,0,0,48,71,118,228,364,596,273,438,712,24,8,26,260,69,330,0,0,0,0,0,0,3,0,4,0,4
LGA26260,9,5,14,920,434,1350,0,0,0,65,18,86,0,0,0,79,31,109,1072,487,1557,0,0,0,0,0,0,0,0,0,6,0,6,11,4,13,0,0,0,17,4,22,24,4,29,34,38,66,3,0,4,11,7,20,15,3,13,0,0,0,8,0,7,0,0,0,12,0,9,0,0,0,14,5,17,13,0,8,12,0,10,8,0,7,29,0,31,22,0,20,185,71,255,0,0,0,9,0,9,0,0,0,20,8,22,3,3,3,27,9,37,22,0,20,118,20,142,24,9,32,292,30,326,454,60,516,0,0,0,96,27,121,33,12,43,5,0,0,0,0,6,9,0,9,30,12,47,174,46,220,11,18,31,49,19,72,19,16,30,93,164,260,114,210,326,0,0,0,289,428,711,0,0,0,26,59,89,155,233,392,179,293,474,11,5,8,87,18,109,0,0,0,0,0,0,4,0,10,0,0
LGA26350,0,4,3,53,40,94,3,4,3,0,0,0,0,0,0,3,0,9,66,46,116,6,4,9,0,0,0,3,0,5,9,8,10,10,0,11,8,4,14,38,21,51,32,24,49,154,235,396,30,22,59,23,103,125,9,5,14,3,0,6,32,20,51,0,0,0,21,24,47,9,4,10,6,0,9,4,3,9,8,3,7,7,0,12,53,32,86,33,21,51,432,507,937,0,0,5,75,45,118,0,0,3,3,3,4,10,4,13,90,56,145,106,23,129,1154,247,1399,75,17,92,1111,166,1280,2449,449,2896,16,19,38,94,49,142,67,47,108,46,11,57,74,120,191,127,215,340,31,48,75,453,502,951,102,216,312,143,33,175,48,23,77,1093,886,1978,1987,5115,7101,41,62,105,3425,6334,9756,4,4,12,203,202,406,3325,3109,6436,3538,3316,6849,23,11,33,312,79,390,62,22,83,12,6,15,6,0,7,4,0
LGA26430,3,9,11,596,325,921,0,0,0,3,0,3,0,0,0,23,12,39,631,343,979,0,0,3,0,0,0,0,0,0,0,0,6,10,0,17,3,0,6,21,8,27,9,4,13,37,30,70,105,88,191,4,0,3,0,0,0,0,0,0,0,5,5,0,0,0,0,6,4,0,0,0,15,4,13,3,0,5,3,0,3,17,4,20,7,0,7,0,0,4,199,138,337,0,0,0,0,0,0,0,0,0,4,0,4,7,7,15,16,7,19,9,0,9,35,8,46,19,0,20,164,23,180,228,31,255,0,0,0,22,16,37,0,0,8,4,0,4,4,0,4,0,0,4,4,4,4,36,20,59,6,15,20,5,0,3,8,20,31,50,97,141,31,56,85,0,0,0,96,184,279,0,0,0,22,57,81,113,154,266,139,213,350,7,0,13,41,14,53,0,0,0,0,0,0,13,4,16,0,0
LGA26490,10,0,10,371,193,560,0,0,0,3,0,3,3,0,3,17,10,32,400,199,605,0,0,0,0,0,0,0,0,0,0,0,0,11,0,7,4,0,4,12,4,17,20,8,29,56,95,154,42,18,65,10,11,21,6,0,6,0,0,0,5,4,11,0,0,0,0,0,0,18,6,22,10,0,12,10,0,10,7,8,15,16,6,16,20,0,17,45,12,54,260,174,433,0,0,0,11,0,11,5,3,3,12,0,15,19,3,19,43,6,51,34,6,45,350,81,435,31,3,40,788,115,897,1205,205,1409,0,4,10,41,18,59,8,0,7,5,3,8,9,7,18,41,41,81,4,3,3,111,72,188,8,26,41,6,4,13,20,16,33,268,320,586,327,525,854,0,6,11,634,898,1532,0,0,0,211,266,477,567,664,1232,783,927,1709,3,9,13,30,8,41,3,0,3,0,0,0,5,4,9,0,3
LGA26610,13,0,18,1252,498,1749,0,3,0,0,0,0,0,0,3,130,46,175,1400,550,1946,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,13,0,12,93,33,127,165,98,263,72,28,100,3,4,7,11,3,12,6,4,13,7,6,13,0,0,0,13,8,23,28,5,25,10,4,13,15,4,16,19,5,25,46,9,53,35,12,52,10,0,14,536,218,754,0,0,0,17,3,26,0,0,0,38,3,38,24,6,29,82,11,94,43,15,51,140,23,162,53,8,64,348,40,394,579,84,670,9,0,9,85,33,123,55,9,68,31,6,35,86,41,127,0,4,10,12,3,18,280,98,377,14,22,34,90,27,116,16,16,31,136,187,325,126,267,391,0,0,0,383,524,906,0,0,0,31,82,111,152,264,414,180,342,526,14,8,21,189,39,231,0,8,5,0,0,0,0,0,0,0,0
LGA26670,0,0,0,406,217,620,0,0,0,9,4,14,0,0,0,13,5,21,430,227,655,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,3,0,9,3,0,3,78,29,112,5,0,4,0,0,0,12,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,4,0,3,100,42,139,0,0,0,0,0,5,0,0,0,4,0,9,8,0,3,13,4,19,4,4,6,10,0,12,12,5,18,68,10,78,89,17,110,0,0,0,10,7,14,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,12,9,28,4,0,3,0,0,6,6,0,5,31,40,71,13,28,43,0,0,0,55,77,128,0,0,0,11,17,27,32,62,87,40,78,115,3,3,9,22,5,31,0,0,0,0,0,0,0,0,0,0,0
LGA26700,4,3,5,593,275,865,5,0,5,22,4,28,0,0,0,34,15,43,663,288,948,0,0,0,0,0,0,0,0,0,0,0,0,12,3,16,8,4,11,23,3,24,77,12,88,105,79,188,183,91,275,69,28,95,188,29,216,6,0,3,9,4,11,0,0,0,12,8,11,6,4,14,46,10,57,39,4,38,34,5,44,42,6,45,30,4,34,19,4,26,862,287,1149,0,0,0,7,0,7,3,0,3,10,0,11,23,5,28,47,9,53,25,10,37,158,34,194,50,7,57,523,82,609,759,140,898,0,0,4,68,21,90,36,11,45,18,3,21,38,28,69,13,5,21,0,0,3,171,74,248,17,14,28,115,37,152,28,46,78,158,272,427,211,457,663,0,5,5,526,827,1353,0,4,4,56,102,162,371,464,833,423,567,993,11,0,9,201,47,249,26,8,36,0,0,0,6,0,6,0,0
LGA26730,0,0,6,135,62,198,0,0,0,0,0,0,0,0,8,16,10,27,161,81,237,0,0,0,0,0,0,0,0,0,3,0,3,8,0,8,0,0,0,12,0,12,46,3,46,408,231,640,3,0,7,0,10,10,31,8,32,0,0,0,4,0,6,0,0,0,6,0,7,14,0,14,21,0,22,46,6,56,25,5,35,16,0,13,29,4,27,25,3,24,672,290,961,0,0,0,53,11,61,0,4,4,95,74,162,55,12,73,198,99,296,48,4,48,267,55,321,71,12,81,704,78,783,1091,144,1234,7,6,14,118,45,159,47,12,61,19,0,22,66,26,93,11,6,15,3,4,5,271,97,369,27,28,58,164,47,215,27,38,66,365,430,797,412,777,1190,0,5,3,1003,1329,2326,0,0,0,96,186,284,528,674,1201,626,865,1492,28,0,31,286,45,331,14,7,22,0,0,0,4,0,4,3,0
LGA26810,17,0,21,1262,693,1958,0,0,6,64,12,75,3,0,3,96,27,124,1451,745,2189,14,0,11,0,0,0,337,25,366,8,4,9,15,7,19,50,3,52,424,42,461,52,12,62,155,104,260,6,5,7,0,5,5,197,37,236,0,0,6,0,6,3,5,0,5,5,0,7,3,0,4,27,8,30,41,10,51,49,4,50,71,8,77,63,10,77,19,5,22,691,210,905,7,5,10,24,0,25,27,5,33,85,40,124,43,15,57,183,70,255,48,6,61,248,45,297,272,62,336,733,93,822,1303,212,1517,5,3,10,111,47,157,47,10,57,14,5,17,4,3,15,3,8,16,5,0,5,192,78,276,15,27,47,115,43,161,25,32,57,267,398,664,231,500,725,0,0,3,657,1008,1659,0,4,4,72,123,197,324,502,823,399,623,1021,24,7,23,226,49,273,10,0,14,4,0,3,43,9,51,3,0
LGA26890,3,0,3,609,234,837,0,0,3,0,0,0,0,0,0,22,11,30,637,243,882,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,7,0,7,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,5,15,0,0,0,0,0,0,0,0,0,3,0,3,9,0,6,7,0,8,0,0,0,14,0,14,0,0,5,52,3,52,70,6,77,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11,4,5,7,0,0,5,8,9,12,17,25,43,11,12,23,0,0,0,36,52,91,0,0,0,0,4,8,9,27,37,8,28,38,0,3,3,23,6,27,0,0,0,0,0,0,0,0,0,0,0
LGA26980,4,0,4,30,21,50,0,0,0,3,5,6,0,0,0,7,10,16,52,31,79,9,6,5,0,0,0,0,6,6,4,0,6,0,0,0,11,0,10,20,9,24,195,60,251,144,218,365,9,10,21,43,105,151,34,20,53,189,47,229,105,51,154,0,0,0,37,24,64,38,17,57,43,8,47,36,9,42,153,94,249,55,16,72,320,145,460,160,43,204,1568,858,2429,11,10,24,97,33,130,7,0,12,377,358,739,39,28,68,528,432,964,199,39,237,1125,252,1379,358,110,468,2211,377,2591,3894,779,4670,93,75,167,412,255,666,656,292,948,99,29,130,105,98,203,204,192,392,20,10,30,1586,949,2533,137,135,274,504,155,663,67,31,101,1193,1107,2294,1715,2158,3878,36,37,72,3653,3628,7277,6,0,11,101,101,203,1904,2014,3915,2005,2116,4120,53,13,63,406,134,537,51,15,69,0,0,3,16,3,20,5,0
LGA27070,3,0,3,367,268,640,0,0,0,0,0,0,0,0,0,21,15,39,402,287,687,21,3,26,0,0,0,4,5,8,11,0,11,67,8,76,14,0,14,119,19,136,521,152,669,1202,1021,2220,89,42,140,189,233,425,145,40,183,126,47,170,151,52,199,18,5,21,65,50,124,180,53,234,274,68,347,221,42,266,388,91,476,558,130,688,538,153,693,406,97,502,5065,2278,7341,16,0,17,107,27,133,44,16,62,64,19,85,153,25,177,390,90,479,382,66,447,1498,342,1842,809,141,950,4120,637,4751,6801,1192,7992,91,56,145,305,102,410,269,128,392,175,94,271,731,318,1048,240,224,462,0,0,0,1813,921,2727,115,116,228,431,139,572,110,76,186,1698,1696,3394,1388,2544,3926,24,33,52,3756,4597,8357,10,5,12,75,82,156,1687,2082,3767,1773,2169,3941,130,42,169,1837,247,2080,145,50,199,8,3,15,12,10,19,93,28
LGA27170,0,0,4,109,60,166,0,0,0,14,7,19,4,0,4,24,4,31,148,70,217,7,0,7,0,0,0,0,0,0,4,0,3,6,0,6,7,0,6,22,4,25,122,34,155,566,239,803,12,5,19,0,11,10,46,8,49,188,17,208,29,3,33,4,0,4,8,7,18,64,7,64,78,9,83,230,21,256,86,15,104,54,15,67,277,75,356,35,7,42,1805,469,2269,0,0,0,30,5,37,4,0,4,13,0,17,51,11,66,106,20,124,68,16,82,387,120,505,264,52,319,1067,158,1223,1790,343,2133,13,5,13,93,33,122,130,14,148,101,22,126,44,16,61,12,10,15,9,3,14,399,105,502,16,28,42,226,85,311,32,62,93,499,505,1006,264,506,770,12,4,18,1051,1186,2241,0,0,0,28,75,98,430,553,985,458,624,1083,37,9,45,749,119,867,11,3,18,0,0,0,0,0,0,0,0
LGA27260,11,8,14,714,367,1076,31,9,38,7,0,9,9,0,9,102,45,144,865,426,1286,9,3,15,0,0,4,0,0,0,11,0,17,64,4,68,3,0,4,89,10,107,342,124,469,1137,754,1891,61,22,85,208,222,431,113,16,130,140,42,183,104,48,152,28,7,37,509,266,777,362,128,486,232,38,264,552,41,592,299,57,351,213,29,240,200,66,269,184,53,236,4692,1909,6600,5,6,10,97,42,139,22,10,31,101,26,134,334,79,411,565,164,725,363,64,418,1526,353,1882,808,150,961,4135,529,4664,6823,1097,7927,105,54,155,496,153,651,443,128,575,399,105,502,796,260,1055,283,173,457,15,10,18,2526,888,3418,141,142,285,507,162,672,140,88,224,2104,1835,3937,2251,3448,5693,30,42,77,5176,5720,10892,7,0,4,146,152,302,2015,2586,4600,2165,2739,4905,456,140,598,4846,623,5472,72,31,108,76,23,92,17,0,16,0,0
LGA27350,0,4,6,68,60,128,0,0,0,0,0,5,6,0,9,6,0,7,84,69,146,14,0,14,0,0,0,4,0,4,3,0,7,5,3,12,3,0,9,36,6,45,114,76,193,551,430,978,361,105,463,77,227,303,57,22,80,4,5,11,164,100,263,0,0,0,139,243,387,43,34,81,23,13,32,13,4,20,11,9,15,233,54,287,196,83,278,81,62,141,2064,1465,3535,24,15,34,769,471,1241,7,5,6,9,4,17,19,3,25,823,502,1324,205,65,271,2098,507,2599,284,132,414,1602,193,1797,4187,896,5083,36,50,89,219,123,344,528,274,803,109,63,170,184,141,324,398,724,1118,12,3,15,1483,1371,2860,199,179,376,578,183,763,240,176,415,1197,884,2082,2669,5204,7879,62,68,132,4943,6706,11646,9,10,21,219,198,418,3720,3299,7019,3946,3513,7454,54,25,75,579,91,667,111,31,141,12,4,15,557,345,908,6,9
LGA27450,8,5,21,1156,846,2007,4,0,9,31,16,48,3,0,3,123,49,170,1330,920,2254,0,0,0,0,0,0,0,0,0,6,0,6,31,3,40,8,3,13,49,12,63,218,90,310,227,346,576,363,238,604,26,47,75,206,46,249,55,23,77,42,31,75,0,0,0,96,66,162,65,37,101,42,18,49,99,28,118,183,65,243,560,146,702,399,77,482,152,47,197,2720,1310,4030,6,0,10,144,46,191,5,3,9,83,16,105,86,28,114,330,99,427,220,56,275,812,212,1029,447,118,561,2987,540,3522,4457,923,5386,14,11,30,378,190,568,106,27,131,127,42,172,92,96,191,35,49,81,4,5,8,758,416,1179,53,78,128,220,85,300,88,78,161,885,1287,2165,762,1571,2337,10,15,25,2013,3099,5115,5,5,5,240,366,604,1461,2077,3536,1705,2445,4146,45,14,55,451,96,545,62,21,82,3,0,3,17,10,23,31,25
LGA27630,4,0,4,584,168,753,0,0,0,0,0,0,0,0,0,9,0,9,594,168,764,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,0,0,0,5,0,7,6,4,7,4,3,8,0,0,0,4,3,9,3,0,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,3,0,3,21,0,21,16,0,17,59,19,80,0,0,0,7,0,10,0,0,0,8,0,8,0,0,0,13,0,21,3,0,5,22,3,22,18,0,23,57,8,62,96,8,108,0,0,3,22,12,37,38,8,46,0,0,0,6,0,6,0,0,4,0,0,0,73,27,97,7,8,18,7,0,4,6,13,15,44,39,81,25,36,62,0,0,0,85,98,177,0,0,0,7,3,11,21,47,63,21,55,77,4,4,3,30,3,31,0,0,0,0,0,0,0,0,0,0,0
LGA29399,0,0,0,14,15,30,0,0,0,0,0,0,0,0,0,0,0,0,17,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,11,3,12,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,9,0,9,0,0,0,4,0,7,3,0,3,16,0,16,23,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,0,0,0,0,0,0,14,19,33,9,12,20,0,0,0,32,41,72,0,4,0,377,364,745,152,139,286,530,508,1036,11,6,20,19,6,27,0,0,0,5,0,5,4,3,4,262,200
LGA29499,37,12,50,1381,545,1928,16,0,17,168,25,189,72,5,78,514,151,660,2182,739,2922,29,0,31,10,4,14,37,4,42,68,13,81,54,3,58,75,5,81,273,27,298,208,35,244,320,293,604,134,47,182,40,57,94,141,14,159,27,9,37,95,45,138,9,0,9,85,76,163,85,14,102,170,16,188,109,16,121,93,14,103,116,24,139,209,35,244,169,29,197,2004,724,2727,31,7,38,313,65,374,63,15,81,172,37,209,295,33,330,869,154,1029,1726,147,1874,12462,574,13035,2036,164,2202,35199,1290,36485,51416,2178,53597,60,33,92,314,72,385,370,126,490,52,18,70,171,100,272,169,248,421,49,49,109,1197,651,1844,158,201,356,118,38,158,70,31,103,513,446,957,924,1075,2003,49,54,101,1826,1848,3674,8,4,6,136,179,313,739,643,1388,886,826,1705,317,64,378,3698,292,3986,204,58,265,52,3,57,126,66,195,35,6
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,46,0,0,0,0,0,0,12,0,12,58,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,15,0,15,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,9,5,5,0,0,0,10,0,10,0,0,0,48,10,57,0,0,0,0,0
